Time,Open,High,Low,Last,Change,%Chg,Volume
01/27/2023,13.55,13.6,13.08,13.42,-0.21,-1.54%,271500
01/26/2023,13.99,14.08,13.55,13.63,-0.28,-2.01%,206800
01/25/2023,13.95,13.96,13.77,13.91,-0.08,-0.57%,45400
01/24/2023,14.16,14.16,13.95,13.99,-0.18,-1.27%,52800
01/23/2023,14.15,14.48,14.05,14.17,0.02,+0.14%,101300
01/20/2023,14.06,14.15,13.87,14.15,0.23,+1.65%,126100
01/19/2023,13.75,13.95,13.7,13.92,0.12,+0.87%,105700
01/18/2023,14.19,14.19,13.78,13.8,-0.4,-2.82%,93300
01/17/2023,14.27,14.35,14.08,14.2,0.02,+0.14%,99100
01/13/2023,14.05,14.21,13.95,14.18,0.06,+0.42%,56300
01/12/2023,13.96,14.23,13.93,14.12,0.2,+1.44%,49200
01/11/2023,13.94,14.095,13.81,13.92,0.02,+0.14%,61000
01/10/2023,13.93,14.02,13.88,13.9,-0.04,-0.29%,86600
01/09/2023,14.11,14.17,13.91,13.94,-0.17,-1.20%,48400
01/06/2023,13.94,14.145,13.865,14.11,0.3,+2.17%,68400
01/05/2023,13.86,13.91,13.77,13.81,-0.15,-1.07%,68200
01/04/2023,13.82,14.11,13.82,13.96,0.01,+0.07%,77300
01/03/2023,13.97,14.08,13.74,13.95,0.05,+0.36%,130600
12/30/2022,13.95,14.01,13.88,13.9,-0.16,-1.14%,55500
12/29/2022,14.01,14.09,13.94,14.06,0.14,+1.01%,67400
12/28/2022,14.15,14.15,13.92,13.92,-0.18,-1.28%,49300
12/27/2022,14.11,14.135,13.99,14.1,0.05,+0.36%,60900
12/23/2022,13.83,14.09,13.83,14.05,0.09,+0.64%,48000
12/22/2022,14.06,14.08,13.82,13.96,-0.19,-1.34%,73400
12/21/2022,13.94,14.25,13.94,14.15,0.26,+1.87%,80200
12/20/2022,13.8,13.94,13.8,13.89,0.06,+0.43%,76700
12/19/2022,13.76,13.88,13.72,13.83,0.06,+0.44%,89000
12/16/2022,13.77,13.885,13.62,13.77,0.01,+0.07%,337700
12/15/2022,14.05,14.06,13.7,13.76,-0.38,-2.69%,178010
12/14/2022,14.39,14.45,13.99,14.14,-0.24,-1.67%,157900
12/13/2022,14.54,14.75,14.24,14.38,0,0.00%,143500
12/12/2022,14.31,14.45,14.21,14.38,0.04,+0.28%,111000
12/09/2022,14.15,14.37,14.12,14.34,0.12,+0.84%,74200
12/08/2022,14.25,14.285,14.06,14.22,-0.03,-0.21%,106800
12/07/2022,14.23,14.38,14.17,14.25,-0.06,-0.42%,76700
12/06/2022,14.59,14.66,14.26,14.31,-0.24,-1.65%,172400
12/05/2022,14.82,14.82,14.46,14.55,-0.24,-1.62%,231300
12/02/2022,14.82,14.89,14.405,14.79,-0.09,-0.60%,77900
12/01/2022,14.76,14.93,14.485,14.88,0.25,+1.71%,99400
11/30/2022,14.34,14.67,14.09,14.63,0.27,+1.88%,167000
11/29/2022,14.38,14.44,14.32,14.36,-0.04,-0.28%,51400
11/28/2022,14.64,14.69,14.36,14.4,-0.29,-1.97%,78000
11/25/2022,14.69,14.75,14.62,14.69,0.09,+0.62%,22900
11/23/2022,14.53,14.68,14.485,14.6,0,0.00%,75400
11/22/2022,14.48,14.66,14.385,14.6,0.14,+0.97%,78600
11/21/2022,14.3,14.5,14.21,14.46,0.17,+1.19%,117500
11/18/2022,14.53,14.53,14.255,14.29,0.04,+0.28%,122300
11/17/2022,14.27,14.41,14.02,14.25,-0.16,-1.11%,129300
11/16/2022,14.6,14.69,14.35,14.41,-0.22,-1.50%,146800
11/15/2022,14.5,14.71,14.46,14.63,0.26,+1.81%,132000
11/14/2022,14.21,14.57,14.16,14.37,0.13,+0.91%,110200
11/11/2022,14.54,14.58,14.21,14.24,-0.31,-2.13%,115300
11/10/2022,14.48,14.76,14.46,14.55,0.4,+2.83%,150100
11/09/2022,14.32,14.49,14.13,14.15,-0.15,-1.05%,149600
11/08/2022,14.64,14.64,13.221,14.3,-0.3,-2.05%,124500
11/07/2022,14.64,14.92,14.58,14.6,-0.07,-0.48%,133700
11/04/2022,14.6,14.75,14.47,14.67,0.11,+0.76%,227700
11/03/2022,14.68,14.7062,14.47,14.56,-0.18,-1.22%,106200
11/02/2022,15.14,15.17,14.67,14.74,-0.54,-3.53%,182500
11/01/2022,15.33,15.505,15.2,15.28,0.05,+0.33%,160400
10/31/2022,15.01,15.565,14.9496,15.23,0.13,+0.86%,489800
10/28/2022,14.48,15.17,14.44,15.1,0.49,+3.35%,257900
10/27/2022,14.37,14.975,14.37,14.61,0.38,+2.67%,222202
10/26/2022,13.74,14.28,13.68,14.23,0.59,+4.33%,300800
10/25/2022,13.66,13.72,13.58,13.64,0,0.00%,159900
10/24/2022,13.33,13.69,13.33,13.64,0.35,+2.63%,208600
10/21/2022,13,13.38,12.82,13.29,0.35,+2.70%,240800
10/20/2022,14.08,14.145,12.87,12.94,-1.37,-9.57%,420900
10/19/2022,14.33,14.49,14.205,14.31,-0.12,-0.83%,168400
10/18/2022,14.56,14.64,14.37,14.43,-0.06,-0.41%,89100
10/17/2022,14.45,14.59,14.39,14.49,0.23,+1.61%,118915
10/14/2022,14.42,14.56,14.24,14.26,-0.11,-0.77%,100800
10/13/2022,13.66,14.4,13.64,14.37,0.6,+4.36%,138300
10/12/2022,13.78,13.96,13.56,13.77,-0.01,-0.07%,183600
10/11/2022,13.63,13.84,13.62,13.78,0.01,+0.07%,138200
10/10/2022,13.86,13.885,13.74,13.77,0.01,+0.07%,135500
10/07/2022,13.84,13.93,13.64,13.76,-0.1,-0.72%,158700
10/06/2022,13.84,13.91,13.75,13.86,0.01,+0.07%,112000
10/05/2022,13.76,13.92,13.71,13.85,-0.11,-0.79%,91200
10/04/2022,13.88,14.03,13.88,13.96,0.17,+1.23%,137000
10/03/2022,13.38,13.84,13.38,13.79,0.37,+2.76%,196300
09/30/2022,13.61,13.71,13.41,13.42,-0.21,-1.54%,182100
09/29/2022,13.68,13.68,13.55,13.63,-0.14,-1.02%,163800
09/28/2022,13.77,13.895,13.7111,13.77,0,0.00%,116300
09/27/2022,13.85,13.92,13.715,13.77,-0.06,-0.43%,187500
09/26/2022,13.96,14.11,13.83,13.83,-0.19,-1.36%,154900
09/23/2022,14.08,14.08,13.845,14.02,-0.14,-0.99%,147000
09/22/2022,14.23,14.46,14.125,14.16,0.1,+0.71%,208800
09/21/2022,14.19,14.26,14.03,14.06,-0.05,-0.35%,143300
09/20/2022,14.18,14.18,13.94,14.11,-0.08,-0.56%,128200
09/19/2022,13.84,14.2,13.78,14.19,0.35,+2.53%,137600
09/16/2022,13.8,13.86,13.71,13.84,0,0.00%,698800
09/15/2022,13.73,13.9,13.67,13.84,0.12,+0.87%,125400
09/14/2022,13.49,13.72,13.49,13.72,0.16,+1.18%,159100
09/13/2022,13.7,13.78,13.47,13.56,-0.29,-2.09%,184500
09/12/2022,13.85,13.93,13.78,13.85,0.01,+0.07%,112400
09/09/2022,13.84,13.88,13.76,13.84,0.11,+0.80%,81800
09/08/2022,13.73,13.822,13.59,13.73,0,0.00%,137200
09/07/2022,13.45,13.74,13.42,13.73,0.23,+1.70%,131300
09/06/2022,13.78,13.78,13.44,13.5,-0.18,-1.32%,130700
09/02/2022,13.9,13.91,13.61,13.68,-0.06,-0.44%,117400
09/01/2022,13.6,13.75,13.57,13.74,0.1,+0.73%,118400
08/31/2022,13.76,13.82,13.62,13.64,-0.15,-1.09%,173400
08/30/2022,13.75,13.91,13.71,13.79,-0.01,-0.07%,162229
08/29/2022,13.81,13.87,13.75,13.8,-0.12,-0.86%,147600
08/26/2022,13.97,13.97,13.87,13.92,-0.07,-0.50%,122700
08/25/2022,14.07,14.08,13.93,13.99,-0.05,-0.36%,118200
08/24/2022,14.13,14.13,13.96,14.04,-0.09,-0.64%,155200
08/23/2022,14.24,14.24,14.12,14.13,-0.07,-0.49%,96900
08/22/2022,14.47,14.47,14.12,14.2,-0.35,-2.41%,153200
08/19/2022,14.55,14.57,14.33,14.55,-0.04,-0.27%,187150
08/18/2022,14.74,14.74,14.57,14.59,-0.11,-0.75%,71482
08/17/2022,14.59,14.72,14.56,14.7,0,0.00%,73400
08/16/2022,14.67,14.79,14.67,14.7,-0.02,-0.14%,129200
08/15/2022,14.63,14.74,14.54,14.72,0.01,+0.07%,82700
08/12/2022,14.57,14.74,14.55,14.71,0.19,+1.31%,103300
08/11/2022,14.49,14.5603,14.41,14.52,0.16,+1.11%,85900
08/10/2022,14.38,14.45,14.32,14.36,0.13,+0.91%,100000
08/09/2022,14.2,14.25,14.03,14.23,0.07,+0.49%,118500
08/08/2022,14.05,14.21,13.99,14.16,0.12,+0.85%,199500
08/05/2022,14.05,14.13,14.03,14.04,-0.01,-0.07%,134100
08/04/2022,14.25,14.25,14.01,14.05,-0.2,-1.40%,132400
08/03/2022,14.31,14.31,14.14,14.25,0.02,+0.14%,118100
08/02/2022,14.46,14.489,14.21,14.23,-0.27,-1.86%,72800
08/01/2022,14.39,14.6,14.35,14.5,0,0.00%,198400
07/29/2022,14.54,14.54,14.43,14.5,0.05,+0.35%,175400
07/28/2022,14.5,14.53,14.38,14.45,-0.08,-0.55%,129700
07/27/2022,14.63,14.63,14.42,14.53,0.1,+0.69%,186300
07/26/2022,14.36,14.54,14.34,14.43,0.04,+0.28%,199300
07/25/2022,14.49,14.61,14.38,14.39,0.01,+0.07%,138600
07/22/2022,14.3,14.38,14.18,14.38,0.05,+0.35%,131700
07/21/2022,14.45,14.57,14.26,14.33,-0.2,-1.38%,154800
07/20/2022,14.33,14.57,14.29,14.53,0.1,+0.69%,113900
07/19/2022,14.26,14.52,14.26,14.43,0.3,+2.12%,138400
07/18/2022,14.23,14.32,14.09,14.13,0.01,+0.07%,109000
07/15/2022,14.09,14.2,13.97,14.12,0.23,+1.66%,142900
07/14/2022,13.81,13.91,13.78,13.89,-0.02,-0.14%,133300
07/13/2022,13.95,13.98,13.8,13.91,-0.07,-0.50%,126400
07/12/2022,13.96,14.09,13.96,13.98,-0.03,-0.21%,115100
07/11/2022,13.99,14.07,13.93,14.01,0,0.00%,138300
07/08/2022,14.07,14.18,13.97,14.01,-0.04,-0.28%,103200
07/07/2022,14.15,14.3,14.02,14.05,-0.02,-0.14%,119200
07/06/2022,14.07,14.13,13.97,14.07,-0.04,-0.28%,188900
07/05/2022,13.87,14.165,13.79,14.11,0.02,+0.14%,176100
07/01/2022,13.78,14.12,13.69,14.09,0.3,+2.18%,260100
06/30/2022,13.63,13.81,13.56,13.79,0,0.00%,159400
06/29/2022,14.04,14.08,13.77,13.79,-0.22,-1.57%,182100
06/28/2022,14.14,14.23,14,14.01,-0.06,-0.43%,207800
06/27/2022,14,14.22,14,14.07,0.15,+1.08%,265100
06/24/2022,13.69,14,13.69,13.92,0.22,+1.61%,479100
06/23/2022,13.91,14.15,13.64,13.7,-0.23,-1.65%,218100
06/22/2022,13.89,14.11,13.89,13.93,-0.14,-1.00%,196200
06/21/2022,13.79,14.09,13.7,14.07,0.44,+3.23%,171000
06/17/2022,13.51,13.73,13.51,13.63,0.12,+0.89%,275200
06/16/2022,13.55,13.805,13.43,13.51,-0.22,-1.60%,230200
06/15/2022,13.8,13.92,13.61,13.73,0.07,+0.51%,249600
06/14/2022,13.81,13.92,13.63,13.66,-0.03,-0.22%,235500
06/13/2022,13.51,13.8968,13.45,13.69,0.04,+0.29%,205800
06/10/2022,13.68,13.78,13.55,13.65,-0.2,-1.44%,177100
06/09/2022,14.01,14.1,13.835,13.85,-0.21,-1.49%,179000
06/08/2022,14.13,14.14,14.02,14.06,-0.16,-1.13%,105400
06/07/2022,14.08,14.26,14.08,14.22,0.05,+0.35%,85300
06/06/2022,14.23,14.248,14.11,14.17,0.04,+0.28%,77300
06/03/2022,14.36,14.43,14.1,14.13,-0.3,-2.08%,86800
06/02/2022,14.27,14.435,14.12,14.43,0.21,+1.48%,110300
06/01/2022,14.23,14.3,13.97,14.22,-0.07,-0.49%,364700
05/31/2022,14.03,14.31,13.99,14.29,0.18,+1.28%,211000
05/27/2022,14.11,14.17,14.06,14.11,0.01,+0.07%,132201
05/26/2022,14.16,14.18,13.95,14.1,0.04,+0.28%,190100
