Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/31/2023,8.38,8.5234,8,8.19,-0.01,-0.12%,170500,0
01/30/2023,8.27,8.3025,8.2,8.2,-0.2,-2.38%,13500,0
01/27/2023,8.25,8.4325,8.2105,8.4,0.18,+2.19%,11700,0
01/26/2023,8.41,8.515,8.22,8.22,-0.07,-0.84%,19400,0
01/25/2023,8.27,8.615,8.23,8.29,-0.09,-1.07%,39500,0
01/24/2023,8.2,8.39,8.2,8.38,0.18,+2.20%,12000,0
01/23/2023,8.23,8.25,8.15,8.2,-0.0635,-0.77%,32000,0
01/20/2023,8.21,8.3099,8.21,8.2635,0.0535,+0.65%,9900,0
01/19/2023,8.27,8.32,8.21,8.21,-0.11,-1.32%,4700,0
01/18/2023,8.27,8.33,8.18,8.32,0.07,+0.85%,5200,0
01/17/2023,8.28,8.285,8.21,8.25,0.06,+0.73%,13900,0
01/13/2023,8.26,8.468,8.1,8.19,-0.035,-0.43%,32200,0
01/12/2023,8.17,8.72,8.13,8.225,0.185,+2.30%,67100,0
01/11/2023,8.11,8.33,8.04,8.04,-0.12,-1.47%,12600,0
01/10/2023,8.16,8.29,8.15,8.16,-0.06,-0.73%,8700,0
01/09/2023,8.07,8.59,8.06,8.22,0.22,+2.75%,23700,0
01/06/2023,8.25,8.3589,8,8,-0.26,-3.15%,137300,0
01/05/2023,8.28,8.6225,8.23,8.26,-0.14,-1.67%,6500,0
01/04/2023,8.27,8.6,8.2,8.4,0.22,+2.69%,95300,0
01/03/2023,8.04,8.24,8.04,8.18,0.18,+2.25%,22000,0
12/30/2022,7.8,8.25,7.8,8,-0.15,-1.84%,36600,0
12/29/2022,7.79,8.23,7.79,8.15,0.05,+0.62%,28500,0
12/28/2022,8.02,8.36,8.02,8.1,0.08,+1.00%,5900,0
12/27/2022,8.2,8.26,8.02,8.02,-0.13,-1.60%,5600,0
12/23/2022,8.27,8.27,8.15,8.15,-0.05,-0.61%,10500,0
12/22/2022,8.38,8.38,8.06,8.2,-0.04,-0.49%,12500,0
12/21/2022,8.3,8.3,8.17,8.24,-0.06,-0.72%,3900,0
12/20/2022,8.37,8.37,8.1434,8.3,-0.08,-0.95%,13900,0
12/19/2022,7.97,8.38,7.94,8.38,0.4,+5.01%,123900,0
12/16/2022,7.84,7.98,7.84,7.98,0.08,+1.01%,12500,0
