Time,Open,High,Low,Last,Change,%Chg,Volume
01/20/2023,7.28,7.35,7.18,7.29,0.05,+0.69%,240300
01/19/2023,7.3,7.36,7.18,7.24,-0.14,-1.90%,273600
01/18/2023,7.51,7.65,7.37,7.38,-0.16,-2.12%,262600
01/17/2023,7.56,7.6581,7.49,7.54,-0.06,-0.79%,336600
01/13/2023,7.53,7.65,7.5,7.6,-0.02,-0.26%,202200
01/12/2023,7.49,7.68,7.41,7.62,0.04,+0.53%,248500
01/11/2023,7.65,7.755,7.555,7.58,-0.13,-1.69%,324800
01/10/2023,7.77,7.99,7.61,7.71,0.03,+0.39%,312800
01/09/2023,7.66,7.745,7.56,7.68,0.08,+1.05%,292700
01/06/2023,7.65,7.75,7.57,7.6,-0.05,-0.65%,206900
01/05/2023,7.51,7.71,7.36,7.65,0.07,+0.92%,361600
01/04/2023,7.68,7.79,7.57,7.58,0.01,+0.13%,245400
01/03/2023,7.24,7.73,7.24,7.57,0.54,+7.68%,967300
12/30/2022,6.92,7.04,6.88,7.03,0.08,+1.15%,154200
12/29/2022,6.86,7,6.33,6.95,0.05,+0.72%,532600
12/28/2022,7.07,7.3,6.8949,6.9,-0.14,-1.99%,213300
12/27/2022,7.33,7.37,7.02,7.04,-0.29,-3.96%,517400
12/23/2022,7.37,7.44,7.3,7.33,-0.06,-0.81%,124500
12/22/2022,7.63,7.63,7.29,7.39,-0.26,-3.40%,318500
12/21/2022,7.89,8.02,7.6,7.65,-0.25,-3.16%,391800
12/20/2022,7.6,7.97,7.5145,7.9,0.25,+3.27%,288500
12/19/2022,7.84,7.86,7.605,7.65,-0.23,-2.92%,247600
12/16/2022,7.9,8.075,7.83,7.88,-0.04,-0.51%,657600
12/15/2022,7.99,8.0596,7.85,7.92,-0.2,-2.46%,309800
12/14/2022,8.16,8.185,8,8.12,-0.04,-0.49%,346500
12/13/2022,8.24,8.24,8.015,8.16,0.03,+0.37%,555600
12/12/2022,8.03,8.15,7.96,8.13,0.07,+0.87%,277100
12/09/2022,8.15,8.305,8.0338,8.06,-0.16,-1.95%,374200
12/08/2022,7.8,8.22,7.59,8.22,0.4,+5.12%,561800
12/07/2022,7.55,7.82,7.47,7.82,0.19,+2.49%,357900
12/06/2022,7.68,7.79,7.4812,7.63,-0.03,-0.39%,492000
12/05/2022,7.93,8.15,7.59,7.66,-0.25,-3.16%,697400
12/02/2022,7.48,7.91,7.41,7.91,0.37,+4.91%,567600
12/01/2022,7.25,7.58,7.15,7.54,0.28,+3.86%,593200
11/30/2022,7.07,7.26,7.055,7.26,0.2,+2.83%,495200
11/29/2022,7.02,7.19,6.96,7.06,0.06,+0.86%,390400
11/28/2022,7.18,7.18,6.95,7,-0.22,-3.05%,342500
11/25/2022,7.2,7.25,7.13,7.22,0,0.00%,158900
11/23/2022,7.17,7.2499,7.1,7.22,0.04,+0.56%,256000
11/22/2022,7.12,7.2,7.02,7.18,0.08,+1.13%,325000
11/21/2022,6.83,7.13,6.83,7.1,0.27,+3.95%,755500
11/18/2022,7.24,7.26,6.82,6.83,-0.41,-5.66%,478800
11/17/2022,6.93,7.29,6.84,7.24,0.19,+2.70%,660100
11/16/2022,6.83,7.085,6.75,7.05,0.23,+3.37%,848900
11/15/2022,6.72,7.13,6.66,6.82,0.01,+0.15%,1385700
11/14/2022,6,6.96,6,6.81,1.3,+23.59%,1754200
11/11/2022,5.34,5.66,5.34,5.51,0.13,+2.42%,184400
11/10/2022,5.49,5.56,5.35,5.38,0.06,+1.13%,222300
11/09/2022,5.44,5.465,5.28,5.32,-0.14,-2.56%,168900
11/08/2022,5.41,5.585,5.37,5.46,0.08,+1.49%,194800
11/07/2022,5.33,5.41,5.255,5.38,0.04,+0.75%,271700
11/04/2022,5.41,5.48,5.29,5.34,-0.1,-1.84%,100600
11/03/2022,5.48,5.55,5.42,5.44,-0.14,-2.51%,104700
11/02/2022,5.58,5.68,5.47,5.58,0,0.00%,203100
11/01/2022,5.43,5.59,5.38,5.58,0.24,+4.49%,167500
10/31/2022,5.31,5.445,5.275,5.34,-0.02,-0.37%,229800
10/28/2022,5.25,5.455,5.25,5.36,0.11,+2.10%,120600
10/27/2022,5.38,5.48,5.22,5.25,-0.2,-3.67%,153200
10/26/2022,5.46,5.58,5.4,5.45,-0.01,-0.18%,143500
10/25/2022,5.36,5.55,5.36,5.46,0.09,+1.68%,170300
10/24/2022,5.36,5.38,5.235,5.37,0.03,+0.56%,147100
10/21/2022,5.17,5.36,5.17,5.34,0.19,+3.69%,167500
10/20/2022,5.1,5.25,5.08,5.15,0.03,+0.59%,120200
10/19/2022,5.2,5.22,5.0833,5.12,-0.11,-2.10%,133300
10/18/2022,5.27,5.3302,5.19,5.23,0.01,+0.19%,90200
10/17/2022,5.14,5.3,5.0814,5.22,0.18,+3.57%,140200
10/14/2022,5.11,5.13,4.93,5.04,-0.06,-1.18%,262200
10/13/2022,4.9,5.1,4.85,5.1,0.1,+2.00%,165000
10/12/2022,4.99,5.09,4.89,5,0.01,+0.20%,248100
10/11/2022,5.08,5.15,4.9401,4.99,-0.08,-1.58%,272500
10/10/2022,5.21,5.24,5.07,5.07,-0.18,-3.43%,191400
10/07/2022,5.33,5.35,5.18,5.25,-0.14,-2.60%,202000
10/06/2022,5.48,5.55,5.38,5.39,-0.13,-2.36%,141100
10/05/2022,5.6,5.64,5.5,5.52,-0.13,-2.30%,160800
10/04/2022,5.62,5.74,5.62,5.65,0.09,+1.62%,149700
10/03/2022,5.42,5.56,5.42,5.56,0.07,+1.28%,243600
09/30/2022,5.44,5.56,5.44,5.49,0.01,+0.18%,209900
09/29/2022,5.46,5.485,5.35,5.48,-0.05,-0.90%,170700
