Time,Open,High,Low,Last,Change,%Chg,Volume
01/26/2023,0.52,0.5389,0.4849,0.52,0.006,+1.17%,99900
01/25/2023,0.5577,0.56,0.511,0.514,-0.0369,-6.70%,140500
01/24/2023,0.5779,0.579,0.541,0.5509,-0.004,-0.72%,112300
01/23/2023,0.54,0.57,0.54,0.5549,0.0149,+2.76%,85200
01/20/2023,0.54,0.58,0.5265,0.54,0.0028,+0.52%,94200
01/19/2023,0.55,0.6078,0.523,0.5372,-0.0032,-0.59%,106400
01/18/2023,0.581,0.6,0.52,0.5404,-0.0397,-6.84%,89000
01/17/2023,0.56,0.595,0.55,0.5801,0.0239,+4.30%,222500
01/13/2023,0.51,0.57,0.51,0.5562,0.0362,+6.96%,273900
01/12/2023,0.49,0.53,0.4801,0.52,0.0291,+5.93%,251200
01/11/2023,0.5,0.5,0.4715,0.4909,0.0039,+0.80%,82100
01/10/2023,0.48,0.4999,0.4611,0.487,0.0072,+1.50%,147100
01/09/2023,0.479,0.49,0.4614,0.4798,-0.0001,-0.02%,101000
01/06/2023,0.4553,0.48,0.4451,0.4799,0.0309,+6.88%,76300
01/05/2023,0.46,0.46,0.4449,0.449,0,0.00%,50100
01/04/2023,0.42,0.4497,0.4111,0.449,0.036,+8.72%,88400
01/03/2023,0.41,0.4188,0.3903,0.413,0.0152,+3.82%,49300
12/30/2022,0.41,0.42,0.3722,0.3978,-0.0031,-0.77%,313300
12/29/2022,0.3905,0.4091,0.3905,0.4009,0.0104,+2.66%,81200
12/28/2022,0.41,0.41,0.39,0.3905,-0.0095,-2.38%,121700
12/27/2022,0.4011,0.4216,0.4,0.4,-0.0057,-1.40%,205700
12/23/2022,0.41,0.42,0.4,0.4057,-0.0044,-1.07%,126800
12/22/2022,0.4253,0.4253,0.4002,0.4101,-0.0152,-3.57%,63200
12/21/2022,0.41,0.4348,0.4,0.4253,0.013,+3.15%,143200
12/20/2022,0.45,0.4517,0.4123,0.4123,-0.0366,-8.15%,111300
12/19/2022,0.46,0.465,0.4216,0.4489,0.0239,+5.62%,136200
12/16/2022,0.44,0.46,0.4202,0.425,-0.0164,-3.72%,144600
12/15/2022,0.44,0.4509,0.4306,0.4414,0.0114,+2.65%,39400
12/14/2022,0.409,0.475,0.4001,0.43,0.0205,+5.01%,351100
12/13/2022,0.4179,0.4299,0.4,0.4095,-0.0052,-1.25%,227500
12/12/2022,0.4324,0.4324,0.41,0.4147,0.0094,+2.32%,104500
12/09/2022,0.4034,0.42,0.4034,0.4053,-0.0009,-0.22%,56400
12/08/2022,0.41,0.4489,0.4,0.4062,-0.0051,-1.24%,82300
12/07/2022,0.415,0.4367,0.4072,0.4113,-0.0037,-0.89%,33200
12/06/2022,0.42,0.4497,0.415,0.415,-0.017,-3.94%,68600
12/05/2022,0.46,0.4616,0.42,0.432,-0.0182,-4.04%,114400
12/02/2022,0.46,0.46,0.415,0.4502,-0.0064,-1.40%,99600
12/01/2022,0.4349,0.47,0.4273,0.4566,0.0065,+1.44%,76700
11/30/2022,0.4512,0.49,0.44,0.4501,0.0125,+2.86%,54300
11/29/2022,0.46,0.4765,0.411,0.4376,-0.0191,-4.18%,107000
11/28/2022,0.48,0.493,0.446,0.4567,-0.0199,-4.18%,150200
11/25/2022,0.44,0.4775,0.4398,0.4766,0.0406,+9.31%,144500
11/23/2022,0.4598,0.4825,0.4311,0.436,-0.024,-5.22%,55300
11/22/2022,0.46,0.49,0.4355,0.46,0.009,+2.00%,94200
11/21/2022,0.5095,0.5095,0.451,0.451,-0.0291,-6.06%,148900
11/18/2022,0.4599,0.51,0.45,0.4801,0.0284,+6.29%,339500
11/17/2022,0.4002,0.4782,0.4002,0.4517,0.0314,+7.47%,232600
11/16/2022,0.4017,0.4394,0.4006,0.4203,0.0062,+1.50%,210500
11/15/2022,0.39,0.432,0.3895,0.4141,0.034,+8.95%,295600
11/14/2022,0.39,0.4,0.36,0.3801,-0.0014,-0.37%,154200
11/11/2022,0.385,0.4089,0.38,0.3815,0.0028,+0.74%,187200
11/10/2022,0.3793,0.3995,0.37,0.3787,0.0111,+3.02%,238900
11/09/2022,0.4,0.4179,0.36,0.3676,-0.0234,-5.98%,290200
11/08/2022,0.4,0.43,0.3811,0.391,-0.0117,-2.91%,139800
11/07/2022,0.39,0.4254,0.385,0.4027,0.0069,+1.74%,116000
11/04/2022,0.4129,0.4129,0.3762,0.3958,-0.0091,-2.25%,171800
11/03/2022,0.4,0.4115,0.4,0.4049,0.0023,+0.57%,51100
