Time,Open,High,Low,Last,Change,%Chg,Volume
01/19/2023,165.95,166.71,162.76,165.43,-1.56,-0.93%,223200
01/18/2023,168.37,171.74,166.815,166.99,-1.4,-0.83%,239900
01/17/2023,170.14,170.42,167.65,168.39,-1.49,-0.88%,251700
01/13/2023,169.77,170.655,167.89,169.88,-1.19,-0.70%,184200
01/12/2023,173.74,173.74,170.86,171.07,-2.93,-1.68%,237800
01/11/2023,174.39,175.535,173.12,174,0.81,+0.47%,218402
01/10/2023,171.23,173.6597,170.43,173.19,1.59,+0.93%,290600
01/09/2023,169.71,173.51,168.15,171.6,4.29,+2.56%,278500
01/06/2023,164.17,168.075,163.09,167.31,4.67,+2.87%,306150
01/05/2023,163.39,163.61,160.05,162.64,-3.17,-1.91%,357900
01/04/2023,164.68,167.27,163.96,165.81,2.14,+1.31%,326630
01/03/2023,163.7,164.74,162.07,163.67,0.77,+0.47%,209401
12/30/2022,163.2,163.955,161.29,162.9,-1.88,-1.14%,141203
12/29/2022,164.37,166.65,163.785,164.78,1.77,+1.09%,161801
12/28/2022,166.71,167.425,162.96,163.01,-3.14,-1.89%,118904
12/27/2022,166.62,167.79,164.605,166.15,-0.31,-0.19%,144700
12/23/2022,166.01,167.735,165.17,166.46,0.89,+0.54%,116001
12/22/2022,165.16,167.95,162.99,165.57,-0.73,-0.44%,225001
12/21/2022,165.75,167.61,164.52,166.3,2.48,+1.51%,300101
12/20/2022,167.28,167.28,162.85,163.82,-3.4,-2.03%,270500
12/19/2022,168.29,169.6,165.611,167.22,-1.15,-0.68%,330600
12/16/2022,167.05,169.72,166.01,168.37,0.66,+0.39%,928000
12/15/2022,170.35,170.46,167.58,167.71,-4.41,-2.56%,268501
12/14/2022,171.89,174.6,171.025,172.12,0.24,+0.14%,283701
12/13/2022,178.14,178.14,170.76,171.88,-0.08,-0.05%,307100
12/12/2022,168.4,173.44,168.4,171.96,3.76,+2.24%,427501
12/09/2022,169.75,169.86,167.89,168.2,-2.04,-1.20%,229000
12/08/2022,171.64,172.14,168.57,170.24,1.88,+1.12%,322810
12/07/2022,168.44,170.385,167.57,168.36,-1.41,-0.83%,227300
12/06/2022,171.45,171.96,167.475,169.77,-1.15,-0.67%,430300
12/05/2022,172.41,173.29,169.73,170.92,-1.6,-0.93%,283901
12/02/2022,170.78,173.55,170.23,172.52,0.61,+0.35%,240500
12/01/2022,172.98,173.72,170.59,171.91,-1.07,-0.62%,202900
11/30/2022,170.39,173.18,167.85,172.98,2.37,+1.39%,299200
11/29/2022,171.71,173.89,168.68,170.61,-1.1,-0.64%,286401
11/28/2022,172.14,174.94,171.475,171.71,-1.01,-0.58%,380400
11/25/2022,169.73,173.23,169.73,172.72,1.9,+1.11%,142401
11/23/2022,168.94,171.37,167.27,170.82,1.86,+1.10%,204902
11/22/2022,168.82,170.38,167.53,168.96,1.37,+0.82%,257001
11/21/2022,165.73,168.979,165.73,167.59,1.6,+0.96%,235401
11/18/2022,166.27,166.94,163.81,165.99,1.12,+0.68%,272101
11/17/2022,164.01,165.17,161.53,164.87,-1.82,-1.09%,477502
11/16/2022,172.46,173.19,165.7,166.69,-6.8,-3.92%,360600
11/15/2022,170.48,174.4,170.48,173.49,4.85,+2.88%,498402
11/14/2022,167.76,171.44,167.11,168.64,0.41,+0.24%,424900
11/11/2022,166.85,169.74,166.16,168.23,1.92,+1.15%,405201
11/10/2022,162.15,166.62,161.28,166.31,8.96,+5.69%,292700
11/09/2022,159.89,162.18,156.63,157.35,-4.32,-2.67%,192701
11/08/2022,162.42,165.13,160.37,161.67,-0.77,-0.47%,334900
11/07/2022,156.36,162.58,155.71,162.44,6.14,+3.93%,389904
11/04/2022,152.91,156.31,152.91,156.3,3.79,+2.49%,224601
11/03/2022,149.85,154.88,148.23,152.51,0.57,+0.38%,292701
11/02/2022,156.82,158.39,151.75,151.94,-5.99,-3.79%,391600
11/01/2022,156.57,158.16,154.4,157.93,1.71,+1.09%,231900
10/31/2022,151.46,157.86,150.96,156.22,3.75,+2.46%,486400
10/28/2022,149.79,152.72,148.25,152.47,3.05,+2.04%,281402
10/27/2022,151.66,152.892,149.115,149.42,-1.84,-1.22%,296204
10/26/2022,149.98,152.05,145.71,151.26,1.84,+1.23%,319200
10/25/2022,148.32,150.925,148.32,149.42,0.09,+0.06%,203508
10/24/2022,148.14,151,147.54,149.33,2.75,+1.88%,314201
10/21/2022,147.27,147.73,142.985,146.58,-0.74,-0.50%,434001
10/20/2022,148.27,150.61,142.68,147.32,3.69,+2.57%,634600
10/19/2022,148.74,149.52,142.505,143.63,-5.22,-3.51%,350300
10/18/2022,148.44,150.91,147.23,148.85,2.95,+2.02%,347300
10/17/2022,145.16,147.495,145.16,145.9,1.38,+0.95%,248600
10/14/2022,148.59,148.59,144.21,144.52,-3.28,-2.22%,360600
10/13/2022,145.63,149.42,143.6,147.8,-0.57,-0.38%,343050
10/12/2022,146.74,149.58,145.54,148.37,2.6,+1.78%,331400
10/11/2022,144.13,146.7,143.9,145.77,0.59,+0.41%,343300
10/10/2022,144.34,146.04,143.49,145.18,1.47,+1.02%,264000
10/07/2022,147.1,147.5,143.1,143.71,-5.43,-3.64%,291100
10/06/2022,149.38,151.34,147.775,149.14,0.2,+0.13%,249200
10/05/2022,149.84,151.53,147.51,148.94,-2.28,-1.51%,289300
10/04/2022,149.76,151.31,148.51,151.22,3.18,+2.15%,372900
10/03/2022,146.19,149.355,144.85,148.04,3.67,+2.54%,330500
09/30/2022,144.75,147.02,143.605,144.37,-1.38,-0.95%,420200
09/29/2022,144.98,146.4,143.82,145.75,-0.31,-0.21%,362300
09/28/2022,142.9,147.58,142.9,146.06,2.83,+1.98%,332000
09/27/2022,144.97,145.86,141.69,143.23,-1.41,-0.97%,427500
09/26/2022,141.8,146.87,141.8,144.64,1.9,+1.33%,391900
09/23/2022,141.78,142.84,139.49,142.74,0.13,+0.09%,368800
09/22/2022,143.65,144.11,141.77,142.61,-1.63,-1.13%,328500
09/21/2022,143.79,146.162,143.32,144.24,1.98,+1.39%,289700
09/20/2022,145.16,145.16,140.79,142.26,-4.18,-2.85%,236200
09/19/2022,140.37,146.73,140.37,146.44,5.43,+3.85%,488700
09/16/2022,143.85,143.85,137.51,141.01,-4.13,-2.85%,1016500
09/15/2022,145.64,147.575,143.91,145.14,-0.38,-0.26%,370900
09/14/2022,145.28,146.14,143.83,145.52,0.33,+0.23%,422500
09/13/2022,145.07,146.51,143.98,145.19,-2.78,-1.88%,369600
09/12/2022,147.69,150.38,147.69,147.97,1.28,+0.87%,253300
09/09/2022,144.17,147.705,144.17,146.69,3.08,+2.14%,304600
09/08/2022,143.97,144.095,142.18,143.61,-0.84,-0.58%,274502
09/07/2022,143.47,145.11,141.28,144.45,0.91,+0.63%,290800
