Time,Open,High,Low,Last,Change,%Chg,Volume
01/20/2023,35.69,35.93,35.41,35.85,0.42,+1.19%,64200
01/19/2023,35.12,35.53,35.025,35.43,0.11,+0.31%,54800
01/18/2023,36.2,36.2,35.25,35.32,-0.97,-2.67%,43700
01/17/2023,36.56,36.775,36.16,36.29,-0.18,-0.49%,68900
01/13/2023,36.03,36.62,35.86,36.47,0.04,+0.11%,32900
01/12/2023,36.08,37.06,35.69,36.43,0.56,+1.56%,40000
01/11/2023,36.06,36.1,35.61,35.87,0.06,+0.17%,45400
01/10/2023,35.48,36.31,35.48,35.81,0.18,+0.51%,36400
01/09/2023,36.37,36.57,35.53,35.63,-0.56,-1.55%,45000
01/06/2023,35.82,36.77,35.45,36.19,0.72,+2.03%,45300
01/05/2023,35.65,35.98,35.265,35.47,-0.65,-1.80%,56500
01/04/2023,36.35,37.09,35.9,36.12,-0.22,-0.61%,64700
01/03/2023,37.26,37.55,36.145,36.34,-0.88,-2.36%,73600
12/30/2022,36.7,37.25,36.56,37.22,0.35,+0.95%,78200
12/29/2022,36.7,37.6,36.16,36.87,0.47,+1.29%,54900
12/28/2022,36.88,37.75,36.32,36.4,-0.48,-1.30%,60900
12/27/2022,37.13,37.3,36.75,36.88,-0.17,-0.46%,90500
12/23/2022,36.61,37.23,36.44,37.05,0.54,+1.48%,118801
12/22/2022,37.14,37.175,36.25,36.51,-0.76,-2.04%,139700
12/21/2022,36.94,37.71,36.68,37.27,0.58,+1.58%,136700
12/20/2022,36.68,37.005,36.5,36.69,0.1,+0.27%,109700
12/19/2022,36.55,36.99,36.485,36.59,0.29,+0.80%,92500
12/16/2022,36.4,36.94,36.085,36.3,-0.46,-1.25%,200500
12/15/2022,36.24,36.83,36.24,36.76,-0.02,-0.05%,76500
12/14/2022,37.07,37.43,36.6,36.78,-0.42,-1.13%,75000
12/13/2022,38.35,38.67,36.835,37.2,-0.4,-1.06%,92600
12/12/2022,37.5,37.9975,37.13,37.6,0.19,+0.51%,94500
12/09/2022,38,38.15,37.38,37.41,-0.59,-1.55%,86400
12/08/2022,38.86,39.04,37.85,38,-0.83,-2.14%,54800
12/07/2022,39.77,39.95,38.82,38.83,-1.12,-2.80%,54400
12/06/2022,40.01,40.25,39.71,39.95,-0.35,-0.87%,59100
12/05/2022,41.01,41.13,39.43,40.3,-0.91,-2.21%,100800
12/02/2022,40.81,41.33,40.81,41.21,0.18,+0.44%,38400
12/01/2022,41.49,41.49,40.47,41.03,-0.19,-0.46%,60200
11/30/2022,40.4,41.27,40.0737,41.22,0.76,+1.88%,63500
11/29/2022,40.38,40.69,40.2,40.46,0.09,+0.22%,34100
11/28/2022,41.19,41.3,40.3,40.37,-0.94,-2.28%,31300
11/25/2022,41.16,41.4,41,41.31,0.4,+0.98%,14500
11/23/2022,41.18,41.405,40.85,40.91,-0.32,-0.78%,28400
11/22/2022,41.07,41.44,40.81,41.23,0.28,+0.68%,38800
11/21/2022,40.53,41.17,40.53,40.95,0.15,+0.37%,49200
11/18/2022,41.57,41.61,40.6,40.8,-0.16,-0.39%,44900
11/17/2022,40.68,41.11,40.22,40.96,-0.13,-0.32%,36000
11/16/2022,40.99,41.09,40.49,41.09,0.12,+0.29%,35400
11/15/2022,40.85,41.55,38.85,40.97,0.29,+0.71%,65301
11/14/2022,40.65,41.535,40.0975,40.68,0.2,+0.49%,48700
11/11/2022,41.53,42.19,40.34,40.48,-1,-2.41%,51300
11/10/2022,40.49,41.6,40.49,41.48,1.78,+4.48%,96000
11/09/2022,39.55,39.89,39.23,39.7,-0.07,-0.18%,65700
11/08/2022,39.97,39.97,39.4,39.77,-0.04,-0.10%,54100
11/07/2022,39.39,39.96,39.39,39.81,0.6,+1.53%,62400
11/04/2022,38.53,39.32,37.98,39.21,1.17,+3.08%,80900
11/03/2022,38.3,38.49,37.96,38.04,-0.55,-1.43%,70400
11/02/2022,39.04,39.43,38.435,38.59,-0.55,-1.41%,60400
11/01/2022,39.8,39.87,37.28,39.14,-0.43,-1.09%,55800
10/31/2022,39.17,39.86,39,39.57,0.2,+0.51%,82700
10/28/2022,38.9,39.45,38.19,39.37,1.49,+3.93%,111300
