Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/01/2023,10.39,10.545,10.16,10.54,0.05,+0.48%,680200,0
01/31/2023,10.16,10.52,10.1,10.49,0.31,+3.05%,798800,0
01/30/2023,10.09,10.33,10.06,10.18,-0.09,-0.88%,491300,0
01/27/2023,10.02,10.4,10.02,10.27,-0.04,-0.39%,899200,0
01/26/2023,10.47,10.575,10.205,10.31,-0.09,-0.87%,661300,0
01/25/2023,10.35,10.43,10.15,10.4,-0.16,-1.52%,753300,0
01/24/2023,10.58,10.725,10.46,10.56,-0.15,-1.40%,673000,0
01/23/2023,10.23,10.75,10.16,10.71,0.51,+5.00%,1325000,0
01/20/2023,9.65,10.325,9.6,10.2,0.71,+7.48%,1413900,0
01/19/2023,9.49,9.62,9,9.49,-0.12,-1.25%,1813300,0
01/18/2023,9.85,9.95,9.55,9.61,-0.19,-1.94%,933600,0
01/17/2023,9.59,9.81,9.36,9.8,0.17,+1.77%,1086600,0
01/13/2023,9.45,9.655,9.38,9.63,0.14,+1.48%,468100,0
01/12/2023,9.49,9.53,9.27,9.49,0,0.00%,1390400,0
01/11/2023,9.44,9.54,9.31,9.49,0.08,+0.85%,659500,0
01/10/2023,9.21,9.43,9.105,9.41,0.18,+1.95%,628100,0
01/09/2023,9.19,9.36,9.12,9.23,0.15,+1.65%,565000,0
01/06/2023,9.25,9.25,8.92,9.08,-0.09,-0.98%,587500,0
01/05/2023,9.07,9.265,9.04,9.17,-0.03,-0.33%,955200,0
01/04/2023,8.8,9.27,8.71,9.2,0.57,+6.60%,1034100,0
01/03/2023,8.6,8.94,8.52,8.63,0.12,+1.41%,1668000,0
12/30/2022,8.19,8.54,8.145,8.51,0.15,+1.79%,1008700,0
12/29/2022,7.96,8.38,7.84,8.36,0.47,+5.96%,846400,0
12/28/2022,7.92,8.06,7.855,7.89,-0.06,-0.75%,749200,0
12/27/2022,8.14,8.15,7.905,7.95,-0.29,-3.52%,882300,0
12/23/2022,8.36,8.38,8.145,8.24,-0.17,-2.02%,616200,0
12/22/2022,8.31,8.425,8.175,8.41,-0.03,-0.36%,664400,0
12/21/2022,8.22,8.48,8.14,8.44,0.21,+2.55%,1032600,0
12/20/2022,8.2,8.46,8.18,8.23,-0.06,-0.72%,1051800,0
12/19/2022,8.84,8.84,8.215,8.29,-0.6,-6.75%,1041600,0
12/16/2022,8.6,8.925,8.5054,8.89,0.22,+2.54%,2742100,0
12/15/2022,8.88,9,8.64,8.67,-0.38,-4.20%,1490500,0
12/14/2022,8.67,9.275,8.67,9.05,0.32,+3.67%,1322600,0
12/13/2022,9.11,9.39,8.675,8.73,0.25,+2.95%,1402300,0
12/12/2022,8.54,8.83,8.165,8.48,-0.13,-1.51%,1842800,0
12/09/2022,8.36,8.615,8.29,8.61,0.25,+2.99%,1469600,0
12/08/2022,7.83,8.63,7.81,8.36,-0.09,-1.07%,1081600,0
12/07/2022,8.39,8.595,8.275,8.45,0.01,+0.12%,1262100,0
12/06/2022,8.99,9.015,8.355,8.44,-0.61,-6.74%,1205000,0
12/05/2022,9.46,9.57,9,9.05,-0.44,-4.64%,772400,0
12/02/2022,9.3,9.66,9.25,9.49,-0.02,-0.21%,855100,0
12/01/2022,9.5,9.84,9.44,9.51,0.06,+0.63%,931400,0
11/30/2022,9.02,9.48,8.95,9.45,0.45,+5.00%,3184900,0
11/29/2022,9.01,9.035,8.81,9,0,0.00%,1978100,0
11/28/2022,8.935,9.19,8.925,9,-0.33,-3.54%,1069000,0
11/25/2022,9.36,9.4,9.25,9.33,-0.12,-1.27%,211500,0
11/23/2022,9.33,9.481,9.22,9.45,0.14,+1.50%,670400,0
11/22/2022,9.16,9.35,8.945,9.31,0.04,+0.43%,823700,0
11/21/2022,9.34,9.62,9.205,9.27,-0.19,-2.01%,831500,0
11/18/2022,9.7,9.7,9.295,9.46,-0.23,-2.37%,963300,0
11/17/2022,9.64,9.82,9.54,9.69,-0.24,-2.42%,789600,0
11/16/2022,10.03,10.1,9.85,9.93,-0.21,-2.07%,851600,0
11/15/2022,10.38,10.7,10.105,10.14,0.09,+0.90%,890700,0
11/14/2022,10.1,10.415,10.0019,10.05,-0.18,-1.76%,1041000,0
11/11/2022,9.72,10.26,9.69,10.23,0.51,+5.25%,1846400,0
11/10/2022,9.01,9.73,8.98,9.72,1.18,+13.82%,2530800,0
11/09/2022,8.51,8.93,8.39,8.54,-0.08,-0.93%,1683800,0
11/08/2022,9.78,9.79,8.5,8.62,-1.07,-11.04%,2281100,0
11/07/2022,9.47,9.77,9.22,9.69,0.38,+4.08%,2038100,0
11/04/2022,9.16,9.34,8.92,9.31,0.34,+3.79%,1527600,0
11/03/2022,8.98,9.17,8.94,8.97,-0.19,-2.07%,1031100,0
11/02/2022,9.7,9.7,9.155,9.16,-0.5,-5.18%,1130500,0
11/01/2022,9.7,9.87,9.6,9.66,0.21,+2.22%,931000,0
10/31/2022,9.78,9.88,9.42,9.45,-0.37,-3.77%,839200,0
10/28/2022,9.59,9.845,9.3993,9.82,0.1,+1.03%,990100,0
10/27/2022,9.94,10.02,9.66,9.72,-0.16,-1.62%,799600,0
10/26/2022,9.96,10.29,9.77,9.88,-0.11,-1.10%,857300,0
10/25/2022,9.51,10.23,9.4692,9.99,0.6,+6.39%,2126800,0
10/24/2022,9.38,9.47,9.085,9.39,-0.13,-1.37%,1728800,0
10/21/2022,9.51,9.59,9.235,9.52,-0.21,-2.16%,1067300,0
10/20/2022,9.54,9.89,9.54,9.73,0.27,+2.85%,2282300,0
10/19/2022,9.78,9.85,9.32,9.46,-0.42,-4.25%,953600,0
10/18/2022,10.15,10.24,9.72,9.88,0.01,+0.10%,1110300,0
10/17/2022,9.45,9.93,9.31,9.87,0.77,+8.46%,1767800,0
10/14/2022,9.5,9.55,9.08,9.1,-0.29,-3.09%,1522600,0
10/13/2022,9.39,9.695,9.245,9.39,-0.16,-1.68%,3305800,0
10/12/2022,9.38,9.65,9.315,9.55,-0.36,-3.63%,2107400,0
10/11/2022,10.15,10.3554,9.75,9.91,-0.2,-1.98%,1790200,0
10/10/2022,10.32,10.4,10.08,10.11,-0.21,-2.03%,1066600,0
10/07/2022,10.22,10.4,10.09,10.32,-0.05,-0.48%,3364000,0
10/06/2022,10.01,10.47,10.01,10.37,0.25,+2.47%,1179800,0
10/05/2022,10.1,10.24,9.78,10.12,-0.18,-1.75%,2902100,0
10/04/2022,11.58,11.79,10.21,10.3,0.35,+3.52%,8531200,0
10/03/2022,9.67,10.04,9.3,9.95,0.56,+5.96%,5076100,0
09/30/2022,9.66,9.77,9.38,9.39,-0.29,-3.00%,5979500,0
09/29/2022,9.79,10.16,9.41,9.68,-0.27,-2.71%,3247000,0
09/28/2022,9.56,10.24,9.56,9.95,0.4,+4.19%,1988600,0
09/27/2022,9.85,10.06,9.47,9.55,-0.07,-0.73%,2118800,0
09/26/2022,10.33,10.65,9.59,9.62,-0.7,-6.78%,3690300,0
09/23/2022,10.76,10.83,10.15,10.32,-0.59,-5.41%,1771100,0
09/22/2022,10.2,10.99,10.2,10.91,0.62,+6.03%,7432700,0
