Time,Open,High,Low,Last,Change,%Chg,Volume
01/19/2023,84.86,86.32,83.79,86.28,1.18,+1.39%,357600
01/18/2023,84.31,86.81,84.31,85.1,1.05,+1.25%,268900
01/17/2023,84,85.665,84,84.05,-0.53,-0.63%,353800
01/13/2023,83.63,86.8,83.63,84.58,0.32,+0.38%,422700
01/12/2023,84.49,86.24,83.69,84.26,-0.64,-0.75%,534900
01/11/2023,85.96,86.3941,84.55,84.9,0.16,+0.19%,607700
01/10/2023,85.54,88.03,83.72,84.74,-1.42,-1.65%,1191400
01/09/2023,92.33,93.11,85.52,86.16,-4.61,-5.08%,1786900
01/06/2023,88.53,90.92,88.23,90.77,2.03,+2.29%,679200
01/05/2023,87.83,88.905,86.335,88.74,0.43,+0.49%,485000
01/04/2023,86.5,88.31,85.27,88.31,3.31,+3.89%,587900
01/03/2023,86.4,87.03,83.03,85,-0.67,-0.78%,581000
12/30/2022,84.32,86.26,83.52,85.67,0.53,+0.62%,514300
12/29/2022,83.98,86.73,83.87,85.14,2.25,+2.71%,464800
12/28/2022,83.73,85.72,82.58,82.89,-0.81,-0.97%,422100
12/27/2022,84.5,84.5,83.06,83.7,-1,-1.18%,336200
12/23/2022,85.84,86.97,83.7,84.7,-1.8,-2.08%,506000
12/22/2022,84.95,86.63,84.23,86.5,0.85,+0.99%,502400
12/21/2022,82.72,85.84,82.15,85.65,3.95,+4.83%,625300
12/20/2022,81.16,83.1,80.1,81.7,0.17,+0.21%,636400
12/19/2022,81.87,82.15,80.5,81.53,-1.06,-1.28%,720900
12/16/2022,85.38,85.77,79.4698,82.59,-3.54,-4.11%,1535600
12/15/2022,82.98,87.45,81.33,86.13,1.71,+2.03%,1110100
12/14/2022,84.86,87.88,83.69,84.42,2.34,+2.85%,1769000
12/13/2022,99.88,102,78.5,82.08,-15.42,-15.82%,2221800
12/12/2022,95,98.15,93.955,97.5,5.2,+5.63%,687900
12/09/2022,95.35,98.65,92.29,92.3,-3.37,-3.52%,662500
12/08/2022,92.98,95.79,91.46,95.67,3.06,+3.30%,485400
12/07/2022,93.04,94.2,92.18,92.61,0.42,+0.46%,468900
12/06/2022,93.4,94.4747,90.38,92.19,-1.41,-1.51%,466300
12/05/2022,93.69,93.97,91.115,93.6,-0.66,-0.70%,320600
12/02/2022,92.9,96.99,91.78,94.26,0.61,+0.65%,846500
12/01/2022,88.11,93.97,87.94,93.65,6.04,+6.89%,931800
11/30/2022,83,87.82,83,87.61,4.29,+5.15%,558200
11/29/2022,84.85,85.17,82.2,83.32,-1.53,-1.80%,508600
11/28/2022,87.35,88.335,84.17,84.85,-3.35,-3.80%,509600
11/25/2022,87.3,88.6,86.25,88.2,0.05,+0.06%,285200
11/23/2022,89.07,89.37,87.53,88.15,-0.4,-0.45%,384701
11/22/2022,88.47,89.35,86.46,88.55,0.1,+0.11%,816900
11/21/2022,88.03,90.07,87.28,88.45,0.05,+0.06%,329800
11/18/2022,91.56,92.96,86.11,88.4,-2.03,-2.24%,981600
11/17/2022,87.95,90.44,87.58,90.43,1.2,+1.34%,327400
11/16/2022,90.72,90.91,88.48,89.23,-2.22,-2.43%,388900
11/15/2022,92.06,94.02,90.67,91.45,0.58,+0.64%,770900
11/14/2022,92.59,92.72,90.6342,90.87,-2.48,-2.66%,522300
