Time,Open,High,Low,Last,Change,%Chg,Volume
01/23/2023,84.93,85.98,84.32,85.49,0.43,+0.51%,40900
01/20/2023,85.09,85.34,83.52,85.06,0.61,+0.72%,82400
01/19/2023,84.4,84.87,83.74,84.45,-0.67,-0.79%,59900
01/18/2023,85.25,86.62,84.51,85.12,-0.38,-0.44%,73000
01/17/2023,85.79,85.98,84.07,85.5,-0.26,-0.30%,75100
01/13/2023,84.165,86.04,84.165,85.76,0.83,+0.98%,89000
01/12/2023,84.69,85.77,83.8867,84.93,1,+1.19%,89400
01/11/2023,84.12,84.43,82.45,83.93,-0.35,-0.42%,90500
01/10/2023,83.63,84.92,83.22,84.28,0.27,+0.32%,52100
01/09/2023,85.73,86.22,83.8,84.01,-2.23,-2.59%,68300
01/06/2023,84.42,86.77,83.73,86.24,2.79,+3.34%,51500
01/05/2023,82.48,84.16,82.05,83.45,0.44,+0.53%,47000
01/04/2023,86.44,87.11,82.765,83.01,-3.5,-4.05%,94200
01/03/2023,84.29,86.73,83.54,86.51,2.25,+2.67%,61000
12/30/2022,85.69,85.69,83.8144,84.26,-1.58,-1.84%,45900
12/29/2022,86.12,86.88,85.56,85.84,0.26,+0.30%,42300
12/28/2022,87.83,88.29,85.29,85.58,-2.55,-2.89%,60801
12/27/2022,89.05,89.96,88,88.13,-0.64,-0.72%,76500
12/23/2022,87.7,89.255,87.1,88.77,1.46,+1.67%,41900
12/22/2022,87.42,87.48,85.42,87.31,-0.2,-0.23%,81000
12/21/2022,85.52,88.4775,83.5,87.51,2.58,+3.04%,82100
12/20/2022,84.16,85.05,83.76,84.93,1.09,+1.30%,29100
12/19/2022,82.29,84.42,81.5,83.84,1.65,+2.01%,43302
12/16/2022,82.22,82.53,80.805,82.19,-0.48,-0.58%,343300
12/15/2022,83.99,84.2,81.65,82.67,-1.45,-1.72%,47400
12/14/2022,85.65,86.2,83.815,84.12,-1.27,-1.49%,51700
12/13/2022,85.92,86.92,84.8,85.39,0.44,+0.52%,59400
12/12/2022,85,85.56,83.7,84.95,-0.19,-0.22%,51200
12/09/2022,86.47,86.8,85.14,85.14,-1.88,-2.16%,42300
12/08/2022,86.88,87.605,86.53,87.02,0.23,+0.27%,28600
12/07/2022,87.46,89.6,86.79,86.79,-1.26,-1.43%,41200
12/06/2022,87.8,88.5,86.5,88.05,0.01,+0.01%,55700
12/05/2022,88.28,88.575,86.95,88.04,-0.8,-0.90%,51800
12/02/2022,88.83,89.81,88.6,88.84,-0.95,-1.06%,31000
12/01/2022,91.54,91.54,89.56,89.79,-1.95,-2.13%,39200
