Time,Open,High,Low,Last,Change,%Chg,Volume
01/27/2023,45.09,45.385,43.35,43.37,-1.6,-3.56%,427700
01/26/2023,44.78,45.16,43.4,44.97,0.46,+1.03%,384900
01/25/2023,44.62,45.47,43.6532,44.51,-0.53,-1.18%,350900
01/24/2023,42.48,45.64,42.2,45.04,2.38,+5.58%,527800
01/23/2023,42.38,42.99,41.76,42.66,0.095,+0.22%,434900
01/20/2023,43.09,43.09,41.71,42.565,0.015,+0.04%,624900
01/19/2023,43.78,43.88,42.52,42.55,-1.39,-3.16%,352700
01/18/2023,44.07,44.84,43.48,43.94,-0.1,-0.23%,544700
01/17/2023,45.58,45.81,43.67,44.04,-1.54,-3.38%,476000
01/13/2023,45.22,49.56,45.09,45.58,0.27,+0.60%,1009300
01/12/2023,41.13,45.36,40.56,45.31,4.35,+10.62%,874200
01/11/2023,40.64,41.15,40.08,40.96,0.21,+0.52%,350600
01/10/2023,39.79,40.895,39.79,40.75,0.92,+2.31%,396800
01/09/2023,40.38,40.55,39.135,39.83,-0.46,-1.14%,507300
01/06/2023,39.76,40.32,39.21,40.29,0.95,+2.41%,362900
01/05/2023,38.78,39.62,38.39,39.34,0.18,+0.46%,343700
01/04/2023,37.54,39.45,37.54,39.16,1.89,+5.07%,361100
01/03/2023,37.39,37.99,36.91,37.27,-0.87,-2.28%,761500
12/30/2022,38.26,38.63,37.51,38.14,-0.53,-1.37%,326000
12/29/2022,37.89,39.305,37.65,38.67,1.12,+2.98%,299600
12/28/2022,37.55,38.38,37.25,37.55,0.02,+0.05%,277400
12/27/2022,38.38,38.55,37.51,37.53,-0.92,-2.39%,269700
12/23/2022,40,40.2,38,38.45,-1.55,-3.88%,289500
12/22/2022,39.59,40.06,38.975,40,0.17,+0.43%,324600
12/21/2022,39.02,40.23,38.46,39.83,0.87,+2.23%,311100
12/20/2022,38.16,39.15,38.16,38.96,0.47,+1.22%,303700
12/19/2022,40.13,40.13,38.04,38.49,-1.77,-4.40%,412300
12/16/2022,39.88,40.675,39.4,40.26,-0.09,-0.22%,1238300
12/15/2022,40.99,41.07,39.9515,40.35,-0.98,-2.37%,429300
12/14/2022,41.63,41.94,40.88,41.33,-0.46,-1.10%,444500
12/13/2022,42.03,42.145,40.325,41.79,0.73,+1.78%,721500
12/12/2022,39.5,41.41,38.71,41.06,1.93,+4.93%,621700
12/09/2022,39.17,39.9,38.85,39.13,-0.35,-0.89%,430100
12/08/2022,40.55,40.55,38.965,39.48,-1.16,-2.85%,516700
12/07/2022,41.29,42.02,40.3,40.64,-0.97,-2.33%,627900
12/06/2022,43.41,43.6,40.59,41.61,-1.91,-4.39%,804800
12/05/2022,43.65,44.07,42.42,43.52,-0.09,-0.21%,691300
12/02/2022,40.65,43.67,40.65,43.61,2.67,+6.52%,567600
12/01/2022,40.92,41.29,39.955,40.94,-0.1,-0.24%,714600
11/30/2022,38.91,41.17,38.59,41.04,2.56,+6.65%,793900
11/29/2022,37.92,38.77,37.655,38.48,0.56,+1.48%,534200
11/28/2022,37.53,38.805,37.53,37.92,0.13,+0.34%,630400
11/25/2022,37.33,37.9,37.01,37.79,0.34,+0.91%,123000
11/23/2022,37.36,37.68,36.72,37.45,0.28,+0.75%,405000
11/22/2022,35.23,37.24,34.805,37.17,2.12,+6.05%,406800
11/21/2022,35.7,35.9,34.68,35.05,-0.92,-2.56%,398500
11/18/2022,35.91,36.7002,35.59,35.97,0.93,+2.65%,506300
11/17/2022,34.63,35.7,33.48,35.04,-0.08,-0.23%,791100
11/16/2022,37.13,37.13,35.02,35.12,-0.13,-0.37%,497900
11/15/2022,36.81,36.9047,35.055,35.25,-0.71,-1.97%,368400
11/14/2022,35.59,36.83,35.12,35.96,0.35,+0.98%,412200
11/11/2022,34.99,35.87,34.53,35.61,0.55,+1.57%,436100
11/10/2022,33.5,35.3,33.335,35.06,2.86,+8.88%,1058700
11/09/2022,33.57,33.74,32.13,32.2,-1.71,-5.04%,743800
11/08/2022,35.05,35.98,33.91,33.91,0.03,+0.09%,722100
11/07/2022,34.9,35.04,33.76,33.88,-0.9,-2.59%,622900
11/04/2022,36.75,36.75,34.015,34.78,-1.85,-5.05%,558900
11/03/2022,36.29,37.58,35.85,36.63,-0.27,-0.73%,301400
11/02/2022,37.62,38.84,36.87,36.9,-0.98,-2.59%,310100
11/01/2022,38.03,38.68,37.53,37.88,0.22,+0.58%,353400
10/31/2022,37.96,38.62,37.55,37.66,-0.56,-1.47%,361600
10/28/2022,37.48,38.22,36.75,38.22,0.9,+2.41%,351600
10/27/2022,38.13,38.37,37.095,37.32,-0.29,-0.77%,318200
10/26/2022,36.3,38.12,36.06,37.61,1.28,+3.52%,469900
10/25/2022,36.65,36.92,35.77,36.33,-0.2,-0.55%,478200
10/24/2022,36.22,36.71,34.855,36.53,0.36,+1.00%,622500
10/21/2022,36.04,36.36,35.4,36.17,0.33,+0.92%,373200
10/20/2022,36.2,37.14,35.765,35.84,-0.3,-0.83%,250200
10/19/2022,37.76,38.06,35.45,36.14,-2,-5.24%,631800
10/18/2022,38.67,39.355,37.82,38.14,0.07,+0.18%,383100
10/17/2022,38.35,38.77,37.66,38.07,0.14,+0.37%,443400
10/14/2022,39.8,40.285,37.83,37.93,-1.27,-3.24%,286500
10/13/2022,37.58,39.26,37.515,39.2,0.43,+1.11%,303701
10/12/2022,38.64,39.32,38.07,38.77,0.09,+0.23%,282200
10/11/2022,38.27,39.44,37.51,38.68,0.31,+0.81%,427500
10/10/2022,39.32,39.6852,38.32,38.37,-1.25,-3.15%,324700
10/07/2022,42.19,42.19,39.535,39.62,-3.04,-7.13%,649100
10/06/2022,41.26,42.92,41.01,42.66,1.29,+3.12%,445600
10/05/2022,40.75,41.76,40.17,41.37,0.14,+0.34%,461600
10/04/2022,40.03,41.24,39.76,41.23,1.64,+4.14%,483300
10/03/2022,40,40,38.52,39.59,0.43,+1.10%,392805
09/30/2022,39.48,41.02,39.08,39.16,-0.44,-1.11%,442000
09/29/2022,39.8,40.08,38.93,39.6,-0.63,-1.57%,598900
09/28/2022,39.23,40.77,39.23,40.23,1.67,+4.33%,514800
09/27/2022,38.42,39.48,37.96,38.56,0.89,+2.36%,485500
09/26/2022,38.42,39.23,37.56,37.67,-0.83,-2.16%,256900
09/23/2022,38.87,38.885,37.51,38.5,-0.72,-1.84%,427900
09/22/2022,39.78,39.78,38.57,39.22,-0.66,-1.65%,255500
09/21/2022,41.45,41.54,39.76,39.88,-1.38,-3.34%,395800
09/20/2022,42.03,42.58,40.51,41.26,-0.89,-2.11%,308900
09/19/2022,40.6,42.39,40.2,42.15,1.55,+3.82%,432200
09/16/2022,41.62,41.6261,39.77,40.6,-1.66,-3.93%,666800
09/15/2022,40.96,42.27,40.4925,42.26,1.09,+2.65%,354900
09/14/2022,40.54,41.56,40.11,41.17,0.72,+1.78%,388300
09/13/2022,41.05,41.69,40.07,40.45,-1.51,-3.60%,523600
09/12/2022,42.13,42.1977,41.39,41.96,-0.04,-0.10%,255300
09/09/2022,41.28,42.16,40.15,42,0.82,+1.99%,330500
09/08/2022,38.95,41.19,38.8,41.18,2.14,+5.48%,493500
09/07/2022,37.47,39.06,37.47,39.04,1.53,+4.08%,494400
09/06/2022,38.27,38.56,37.32,37.51,-1.14,-2.95%,354200
09/02/2022,39.36,39.75,38.41,38.65,-0.18,-0.46%,352200
09/01/2022,37.85,38.89,36.8,38.83,1.17,+3.11%,337500
08/31/2022,38.61,38.735,37.43,37.66,-0.48,-1.26%,389800
08/30/2022,39.53,39.5778,37.24,38.14,-1.24,-3.15%,507600
08/29/2022,38.7,40.1,38.42,39.38,0.37,+0.95%,435200
08/26/2022,40.69,40.69,38.59,39.01,-1.79,-4.39%,593900
08/25/2022,43.04,43.08,40.61,40.8,-2.16,-5.03%,510100
08/24/2022,42.38,43.52,42.08,42.96,0.66,+1.56%,402300
08/23/2022,42.04,42.76,41.19,42.3,0.44,+1.05%,335100
08/22/2022,42.28,42.56,40.9045,41.86,-0.91,-2.13%,370100
08/19/2022,42.39,42.84,41.95,42.77,-0.2,-0.47%,484600
08/18/2022,43.12,43.29,41.62,42.97,-0.15,-0.35%,560500
08/17/2022,42.35,43.4071,41.9801,43.12,0.25,+0.58%,521600
08/16/2022,43.17,43.2455,42.13,42.87,-0.4,-0.92%,295500
08/15/2022,42.57,43.6,42.57,43.27,0.28,+0.65%,255900
08/12/2022,42.3,43.4,42.3,42.99,1.01,+2.41%,438400
08/11/2022,42.78,43.33,41.8,41.98,-0.86,-2.01%,767900
08/10/2022,43.11,43.16,41.93,42.84,0.7,+1.66%,315200
08/09/2022,42.28,42.96,41.405,42.14,-0.88,-2.05%,516500
08/08/2022,42.02,43.32,41.395,43.02,1.07,+2.55%,859300
08/05/2022,37.88,42.19,37.28,41.95,3.61,+9.42%,1060800
08/04/2022,36.26,38.36,36.26,38.34,2.32,+6.44%,611100
08/03/2022,35.24,36.685,35.24,36.02,0.77,+2.18%,499600
08/02/2022,34.31,36.47,33.88,35.25,0.8,+2.32%,485300
08/01/2022,34.21,34.73,33.81,34.45,0.04,+0.12%,813700
07/29/2022,34.8,34.8,33.87,34.41,-0.42,-1.21%,412000
07/28/2022,34.76,35.2,33.74,34.83,0.14,+0.40%,437000
07/27/2022,34.53,35.14,33.95,34.69,0.19,+0.55%,360900
07/26/2022,34.1,35.17,33.81,34.5,0.18,+0.52%,340700
07/25/2022,34.82,34.82,33.92,34.32,-0.45,-1.29%,236000
07/22/2022,35.65,35.92,34.21,34.77,-0.81,-2.28%,562900
07/21/2022,36.53,36.665,35.43,35.58,-0.97,-2.65%,354400
07/20/2022,36.06,37.3736,35.63,36.55,0.65,+1.81%,802100
07/19/2022,34.55,35.91,34.55,35.9,1.72,+5.03%,344800
07/18/2022,35.59,36.02,33.91,34.18,-1.07,-3.04%,382100
07/15/2022,35.84,35.84,34.84,35.25,0.03,+0.09%,288400
07/14/2022,34.89,35.42,34.28,35.22,0.09,+0.26%,291600
07/13/2022,34.82,35.86,34.615,35.13,-0.32,-0.90%,306800
07/12/2022,35.03,36.025,34.18,35.45,0.42,+1.20%,563000
07/11/2022,36.4,36.4,34.881,35.03,-1.05,-2.91%,563700
07/08/2022,35.46,36.13,34.86,36.08,0.69,+1.95%,495300
07/07/2022,34.54,36.487,34.54,35.39,0.82,+2.37%,562600
07/06/2022,33.74,35.13,33.74,34.57,0.81,+2.40%,624200
07/05/2022,31.58,33.76,31.45,33.76,1.48,+4.58%,699800
07/01/2022,32.11,32.955,31.42,32.28,-0.02,-0.06%,422500
06/30/2022,32.11,32.79,31.5,32.3,-0.51,-1.55%,513700
06/29/2022,32.25,32.9,31.77,32.81,0.27,+0.83%,420900
06/28/2022,34.93,35.58,32.48,32.54,-2.39,-6.84%,639100
06/27/2022,33.97,35.08,33.5,34.93,1.28,+3.80%,1163600
06/24/2022,35.98,36.19,33.6,33.65,-1.83,-5.16%,8117000
06/23/2022,35.5,35.8,33.5,35.48,0.01,+0.03%,1298300
06/22/2022,33.25,36.055,33.06,35.47,1.32,+3.87%,790200
06/21/2022,34.81,35.3275,33.62,34.15,0.29,+0.86%,945900
06/17/2022,31.67,34.97,31.67,33.86,2.5,+7.97%,1908900
06/16/2022,31.69,31.855,30.665,31.36,-1.21,-3.72%,916100
06/15/2022,32.02,33.1,31.62,32.57,0.7,+2.20%,842100
06/14/2022,32.19,32.81,31.51,31.87,-0.13,-0.41%,758900
06/13/2022,33.61,34,31.73,32,-2.58,-7.46%,1523700
06/10/2022,36.46,36.48,34.45,34.58,-2.71,-7.27%,675200
06/09/2022,37.1,37.66,36.5,37.29,-0.24,-0.64%,771200
06/08/2022,36.61,37.62,36.33,37.53,0.66,+1.79%,650700
06/07/2022,36.67,36.9,35.82,36.87,-0.01,-0.03%,736700
06/06/2022,37.79,38.16,36.785,36.88,-0.05,-0.14%,1090800
06/03/2022,36.47,37.27,35.9,36.93,0.22,+0.60%,996500
06/02/2022,34.2,36.785,33.56,36.71,2.47,+7.21%,1085600
06/01/2022,31.63,34.81,31.63,34.24,2.97,+9.50%,1481000
05/31/2022,31.95,32.33,30.71,31.27,-0.97,-3.01%,740700
05/27/2022,31.85,32.54,31.23,32.24,0.31,+0.97%,558200
05/26/2022,31.85,32.86,31.84,31.93,0.26,+0.82%,332000
05/25/2022,31.98,32.36,31.16,31.67,-0.37,-1.15%,394400
05/24/2022,31.43,32.56,30.53,32.04,0.27,+0.85%,573000
05/23/2022,32.6,32.65,31.6,31.77,-0.76,-2.34%,490000
05/20/2022,32.63,32.63,31.04,32.53,0.7,+2.20%,347600
05/19/2022,31.55,32.44,31.2,31.83,0.19,+0.60%,401800
05/18/2022,32.92,33.84,31.43,31.64,-2.49,-7.30%,690600
05/17/2022,32.87,34.479,32.255,34.13,1.91,+5.93%,684500
05/16/2022,30.51,32.8399,30.16,32.22,1.51,+4.92%,692300
05/13/2022,30.4,31.18,29.93,30.71,1.19,+4.03%,653400
05/12/2022,28.78,30.52,28.6351,29.52,0.18,+0.61%,811000
05/11/2022,29.97,31.56,29.23,29.34,-0.76,-2.52%,1169400
05/10/2022,29.08,30.574,27.825,30.1,2.58,+9.38%,1233300
05/09/2022,28.18,29.64,27.36,27.52,-1.09,-3.81%,1331700
05/06/2022,30.62,31.12,28.165,28.61,-2.7,-8.62%,697306
05/05/2022,33.65,33.65,30.6,31.31,-2.89,-8.45%,736800
05/04/2022,32.49,34.25,31.8,34.2,1.41,+4.30%,726200
05/03/2022,32.3,33.32,31.82,32.79,0.19,+0.58%,416100
05/02/2022,31.52,32.72,31.22,32.6,1.08,+3.43%,753800
04/29/2022,32.3,33.17,31.5,31.52,-0.9,-2.78%,610500
04/28/2022,31.97,32.83,30.76,32.42,0.73,+2.30%,701700
04/27/2022,31.51,32.245,31,31.69,0.24,+0.76%,421700
04/26/2022,32.9,33.07,31.41,31.45,-1.77,-5.33%,791900
04/25/2022,32.71,33.51,32.57,33.22,0.27,+0.82%,395300
04/22/2022,33.76,34.13,32.81,32.95,-0.85,-2.51%,608700
04/21/2022,35.41,35.445,33.72,33.8,-1.04,-2.99%,458700
04/20/2022,34.61,35,33.8,34.84,0.39,+1.13%,327200
04/19/2022,34.14,35.055,33.86,34.45,0.63,+1.86%,435700
04/18/2022,35.37,35.375,33.66,33.82,-1.43,-4.06%,505100
04/14/2022,35.65,35.65,34.95,35.25,-0.72,-2.00%,456000
04/13/2022,35.12,36.26,34.81,35.97,1,+2.86%,466300
04/12/2022,35.63,36.57,34.31,34.97,-0.23,-0.65%,484100
04/11/2022,36,36.645,35.18,35.2,-1.26,-3.46%,606700
04/08/2022,35.89,37.035,35.325,36.46,0.5,+1.39%,673200
04/07/2022,37.16,37.61,35.3901,35.96,-1.53,-4.08%,947000
04/06/2022,37.18,38.09,36.51,37.49,-0.17,-0.45%,694800
04/05/2022,37.96,38.87,37.02,37.66,-0.33,-0.87%,1741000
04/04/2022,36.64,38.38,35.75,37.99,0.99,+2.68%,1204000
04/01/2022,33.98,37.05,33.13,37,3.9,+11.78%,1393100
03/31/2022,34.46,34.86,33.08,33.1,-1.18,-3.44%,688600
03/30/2022,34.98,35.29,33.97,34.28,-1.02,-2.89%,741900
03/29/2022,34.27,35.63,34.27,35.3,1.59,+4.72%,679000
03/28/2022,32.47,33.76,32.47,33.71,1.29,+3.98%,1055100
03/25/2022,33.66,33.66,31.87,32.42,-1.22,-3.63%,635400
03/24/2022,33.78,33.89,33.13,33.64,0.04,+0.12%,393800
03/23/2022,34.33,34.9,33.45,33.6,-1.15,-3.31%,592400
03/22/2022,33.65,34.9637,33.325,34.75,1.15,+3.42%,701100
03/21/2022,34.72,35.06,33.445,33.6,-1.09,-3.14%,652100
03/18/2022,33.76,34.77,33.28,34.69,0.79,+2.33%,1094100
03/17/2022,33.16,34.2,33.12,33.9,0.44,+1.32%,726700
03/16/2022,31.96,33.55,31.6291,33.46,2.09,+6.66%,460900
03/15/2022,31.04,31.95,30.8,31.37,0.66,+2.15%,476700
03/14/2022,31.42,32.47,30.48,30.71,-0.36,-1.16%,683900
03/11/2022,32.67,33.145,31.02,31.07,-1.08,-3.36%,411700
03/10/2022,32.14,32.79,31.29,32.15,-0.62,-1.89%,627700
03/09/2022,32.57,32.915,32,32.77,0.76,+2.37%,609300
03/08/2022,32.95,33.32,31.76,32.01,-0.72,-2.20%,402200
03/07/2022,33.84,34.6299,32.64,32.73,-1.2,-3.54%,473200
03/04/2022,34.74,35.3272,33.69,33.93,-0.93,-2.67%,351900
03/03/2022,36.1,36.18,34.59,34.86,-1.26,-3.49%,401200
03/02/2022,36.62,37.24,35.935,36.12,-0.49,-1.34%,442600
03/01/2022,36.33,37.98,36.22,36.61,0.24,+0.66%,657500
02/28/2022,35.98,36.89,35.63,36.37,-0.28,-0.76%,717900
02/25/2022,34.05,36.72,34.05,36.65,1.94,+5.59%,976100
02/24/2022,31,35.03,31,34.71,2.1,+6.44%,836002
02/23/2022,34.27,34.27,32.6,32.61,-1.43,-4.20%,690100
02/22/2022,33.73,34.87,33.6917,34.04,-0.15,-0.44%,390800
02/18/2022,33.66,35.26,33.599,34.19,0.61,+1.82%,833500
02/17/2022,35.76,35.76,33.47,33.58,-2.33,-6.49%,2071400
02/16/2022,36.25,38.2,35.3,35.91,-7.59,-17.45%,3357400
