Time,Open,High,Low,Last,Change,%Chg,Volume
01/30/2023,18.35,18.68,18.31,18.49,-0.06,-0.32%,1309200
01/27/2023,18.41,18.63,18.41,18.55,0.07,+0.38%,1444900
01/26/2023,18.68,18.83,18.22,18.48,-0.01,-0.05%,727600
01/25/2023,17.98,18.545,17.9,18.49,0.27,+1.48%,1200500
01/24/2023,18.14,18.33,18.018,18.22,-0.13,-0.71%,1210900
01/23/2023,18.42,18.47,18.19,18.35,0.04,+0.22%,1317200
01/20/2023,18.26,18.3885,18.1,18.31,0.18,+0.99%,1149000
01/19/2023,18.17,18.265,17.915,18.13,-0.14,-0.77%,1212000
01/18/2023,18.21,18.41,18.09,18.27,0.25,+1.39%,1332100
01/17/2023,18.01,18.27,18.005,18.02,-0.07,-0.39%,999400
01/13/2023,17.92,18.15,17.87,18.09,-0.09,-0.50%,765900
01/12/2023,18.36,18.43,18.03,18.18,-0.17,-0.93%,1042000
01/11/2023,18.26,18.685,18.17,18.35,0.3,+1.66%,1370500
01/10/2023,17.66,18.22,17.6001,18.05,0.27,+1.52%,1472000
01/09/2023,17.7,18.185,17.65,17.78,0.23,+1.31%,1568000
01/06/2023,17.43,17.63,17.3,17.55,0.19,+1.09%,964500
01/05/2023,17.02,17.43,16.83,17.36,0.26,+1.52%,941700
01/04/2023,17.02,17.3,16.92,17.1,0.25,+1.48%,1152600
01/03/2023,17.13,17.32,16.7,16.85,-0.05,-0.30%,1600100
12/30/2022,16.4,16.91,16.21,16.9,0.26,+1.56%,1691700
12/29/2022,16.1,16.76,16.03,16.64,0.67,+4.20%,2041100
12/28/2022,16.28,16.35,15.96,15.97,-0.32,-1.96%,1655600
12/27/2022,16.85,16.89,16.245,16.29,-0.71,-4.18%,1859400
12/23/2022,17.09,17.24,16.91,17,-0.03,-0.18%,787700
12/22/2022,17.01,17.16,16.625,17.03,-0.22,-1.28%,1238100
12/21/2022,17,17.3283,16.92,17.25,0.38,+2.25%,1223800
12/20/2022,16.96,17.325,16.83,16.87,-0.27,-1.58%,1345700
12/19/2022,17.44,17.5,17.1,17.14,-0.4,-2.28%,2021900
12/16/2022,17.49,17.8,17.451,17.54,-0.24,-1.35%,4383800
12/15/2022,17.6,17.95,17.47,17.78,-0.15,-0.84%,2013300
12/14/2022,17.87,18.215,17.73,17.93,-0.07,-0.39%,1436600
12/13/2022,18.54,18.93,17.915,18,0.02,+0.11%,2268700
12/12/2022,17.79,18.04,17.58,17.98,0.19,+1.07%,2116200
12/09/2022,17.72,18.155,17.55,17.79,-0.01,-0.06%,1483700
12/08/2022,17.54,17.915,17.46,17.8,0.28,+1.60%,1130000
12/07/2022,17.53,17.72,17.46,17.52,-0.11,-0.62%,1452700
12/06/2022,18.2,18.2,17.4125,17.63,-0.57,-3.13%,1277700
12/05/2022,18.04,18.24,17.785,18.2,0.05,+0.28%,1510600
12/02/2022,17.57,18.165,17.495,18.15,0.29,+1.62%,1278500
12/01/2022,17.58,17.87,17.36,17.86,0.33,+1.88%,1510000
11/30/2022,16.97,17.55,16.875,17.53,0.56,+3.30%,2402100
11/29/2022,17.25,17.41,16.865,16.97,-0.32,-1.85%,1390800
11/28/2022,17.4,17.71,17.205,17.29,-0.31,-1.76%,1629100
11/25/2022,17.71,17.83,17.58,17.6,-0.18,-1.01%,867400
11/23/2022,17.5,17.98,17.4,17.78,0.32,+1.83%,1343900
11/22/2022,17.25,17.47,17.07,17.46,0.32,+1.87%,1148700
11/21/2022,16.9,17.205,16.72,17.14,0.04,+0.23%,2023000
11/18/2022,17.55,17.64,16.89,17.1,-0.25,-1.44%,2618800
11/17/2022,17.85,17.85,16.73,17.35,0.51,+3.03%,5654100
11/16/2022,17.42,17.5,16.735,16.84,-0.96,-5.39%,3805400
11/15/2022,17.74,18.28,17.64,17.8,0.4,+2.30%,2605500
11/14/2022,17.33,17.65,17.05,17.4,-0.27,-1.53%,2498800
11/11/2022,16.55,17.9,16.45,17.67,1.16,+7.03%,4401500
11/10/2022,15.92,16.56,15.85,16.51,1.34,+8.83%,3377900
11/09/2022,15.65,15.69,15.15,15.17,-0.58,-3.68%,1784500
11/08/2022,15.7,16,15.47,15.75,0.09,+0.57%,1619600
11/07/2022,15.64,15.77,15.315,15.66,0.11,+0.71%,1673900
11/04/2022,15.12,15.56,15,15.55,0.63,+4.22%,1427200
11/03/2022,15.33,15.33,14.845,14.92,-0.52,-3.37%,2172900
11/02/2022,16.1,16.18,15.42,15.44,-0.7,-4.34%,2649700
11/01/2022,16.36,16.45,16.005,16.14,0.02,+0.12%,1321200
10/31/2022,15.89,16.27,15.63,16.12,0.14,+0.88%,1668600
10/28/2022,15.82,16.07,15.56,15.98,0.15,+0.95%,1742000
10/27/2022,15.76,15.99,15.55,15.83,0.15,+0.96%,2017000
10/26/2022,15.22,15.8464,15.22,15.68,0.4,+2.62%,1386400
10/25/2022,14.78,15.385,14.74,15.28,0.65,+4.44%,1730000
10/24/2022,14.72,14.8,14.3,14.63,0.03,+0.21%,3263100
10/21/2022,14.34,14.75,14.19,14.6,0.28,+1.96%,2962800
10/20/2022,14.29,14.44,14.03,14.32,0.03,+0.21%,1966500
10/19/2022,14.56,14.63,14.17,14.29,-0.41,-2.79%,1821800
10/18/2022,14.77,14.995,14.58,14.7,0.21,+1.45%,1965600
10/17/2022,14.42,14.65,14.21,14.49,0.3,+2.11%,1929500
10/14/2022,14.68,14.9,14.19,14.19,-0.33,-2.27%,1079700
10/13/2022,14.07,14.545,13.65,14.52,0.06,+0.41%,1999100
10/12/2022,14.2,14.555,13.915,14.46,0.32,+2.26%,1694700
10/11/2022,14.26,14.6,13.905,14.14,-0.2,-1.39%,1806000
10/10/2022,14.41,14.48,14.155,14.34,0,0.00%,1667600
10/07/2022,14.41,14.55,14.2,14.34,-0.35,-2.38%,2337000
10/06/2022,14.58,14.9,14.505,14.69,0.11,+0.75%,1550700
10/05/2022,14.05,14.64,13.99,14.58,0.2,+1.39%,1543700
10/04/2022,14.33,14.63,14.22,14.38,0.42,+3.01%,1408300
10/03/2022,14.04,14.11,13.67,13.96,0.06,+0.43%,1730400
09/30/2022,13.88,14.41,13.84,13.9,-0.11,-0.79%,1683600
09/29/2022,14.16,14.1867,13.685,14.01,-0.38,-2.64%,1741700
09/28/2022,14.42,14.66,14.29,14.39,0.02,+0.14%,1719700
09/27/2022,14.12,14.39,13.96,14.37,0.45,+3.23%,1468000
09/26/2022,14.04,14.39,13.9,13.92,-0.22,-1.56%,2075600
09/23/2022,14.18,14.34,13.84,14.14,-0.22,-1.53%,2328200
09/22/2022,14.5,14.585,14.22,14.36,-0.19,-1.31%,1861400
09/21/2022,15.07,15.21,14.55,14.55,-0.42,-2.81%,1940600
09/20/2022,15.15,15.25,14.86,14.97,-0.45,-2.92%,1554000
09/19/2022,15.27,15.43,15.07,15.42,0.04,+0.26%,1371600
09/16/2022,15.4,15.545,15.07,15.38,-0.17,-1.09%,2070400
09/15/2022,15.39,15.88,15.38,15.55,0.03,+0.19%,1375700
09/14/2022,15.47,15.61,15.19,15.52,0.05,+0.32%,1482500
09/13/2022,15.49,15.55,15.25,15.47,-0.45,-2.83%,1774300
09/12/2022,16.18,16.33,15.77,15.92,-0.11,-0.69%,2001000
09/09/2022,15.93,16.14,15.76,16.03,0.27,+1.71%,2740800
09/08/2022,14.94,15.78,14.72,15.76,0.78,+5.21%,2289500
09/07/2022,14.65,14.99,14.64,14.98,0.19,+1.28%,2324500
09/06/2022,14.84,14.88,14.525,14.79,-0.04,-0.27%,1833600
09/02/2022,15.11,15.2,14.76,14.83,-0.12,-0.80%,1796200
09/01/2022,14.8,15.04,14.62,14.95,-0.09,-0.60%,2797800
08/31/2022,15.25,15.47,15.03,15.04,-0.15,-0.99%,1841400
08/30/2022,15.46,15.55,15.06,15.19,-0.1,-0.65%,1677900
08/29/2022,15.11,15.47,15.05,15.29,-0.02,-0.13%,1859100
08/26/2022,15.65,15.91,15.235,15.31,-0.41,-2.61%,2709900
08/25/2022,15.54,15.8589,15.515,15.72,0.18,+1.16%,2789000
08/24/2022,15.84,16.02,15.52,15.54,-0.31,-1.96%,3040500
08/23/2022,15.69,16.17,15.61,15.85,0.08,+0.51%,3981300
08/22/2022,15.87,16.19,15.62,15.77,-0.43,-2.65%,4459700
08/19/2022,16.88,17.04,16.08,16.2,-0.9,-5.26%,4871200
08/18/2022,16.92,17.24,16.92,17.1,0.16,+0.94%,1996900
08/17/2022,17.13,17.3,16.93,16.94,-0.28,-1.63%,2969500
08/16/2022,16.96,17.34,16.79,17.22,0.11,+0.64%,5127800
08/15/2022,17.02,17.58,16.95,17.11,-0.06,-0.35%,5289100
08/12/2022,17.25,17.45,16.84,17.17,0.08,+0.47%,8257800
08/11/2022,19,19.13,16.9,17.09,-5.68,-24.95%,26434800
08/10/2022,22.96,23.18,22.49,22.77,0.78,+3.55%,5886000
08/09/2022,22.8,22.8,21.3,21.99,-0.95,-4.14%,2657800
08/08/2022,23.598,24.5572,22.87,22.94,-0.26,-1.12%,3414300
08/05/2022,22.28,23.28,22.22,23.2,0.4,+1.75%,2229900
08/04/2022,22.59,22.97,22.23,22.8,0.23,+1.02%,1884600
08/03/2022,21.77,22.87,21.77,22.57,1.01,+4.68%,1770000
08/02/2022,21.34,22.15,21.34,21.56,-0.28,-1.28%,1028700
08/01/2022,21.63,22.29,21.5,21.84,-0.27,-1.22%,1355800
07/29/2022,22.16,22.16,21.59,22.11,0.13,+0.59%,1339500
07/28/2022,21.35,22.08,21.09,21.98,0.68,+3.19%,1694600
07/27/2022,20.73,21.43,20.36,21.3,0.83,+4.05%,1126500
07/26/2022,20.88,20.88,20.08,20.47,-0.9,-4.21%,1449700
07/25/2022,21.31,21.83,20.88,21.37,0.08,+0.38%,2362800
07/22/2022,21.95,22.03,21,21.29,-0.55,-2.52%,1454700
07/21/2022,20.71,21.86,20.5,21.84,1.12,+5.41%,1903600
07/20/2022,19.89,20.84,19.89,20.72,0.79,+3.96%,1506800
07/19/2022,19.29,19.965,19.18,19.93,0.92,+4.84%,1817000
07/18/2022,19.53,19.67,18.94,19.01,-0.12,-0.63%,1166400
07/15/2022,19.2,19.37,18.68,19.13,0.35,+1.86%,1206000
07/14/2022,19.18,19.25,18.45,18.78,-0.43,-2.24%,1273500
07/13/2022,18.9,19.69,18.53,19.21,0.09,+0.47%,1517800
07/12/2022,19.44,19.97,18.93,19.12,-0.31,-1.60%,1596100
07/11/2022,19.86,20.11,19.35,19.43,-0.4,-2.02%,1452200
07/08/2022,19.55,20.2,19.28,19.83,0.05,+0.25%,1361000
07/07/2022,19.21,19.84,19.16,19.78,0.57,+2.97%,1454504
07/06/2022,18.85,19.44,18.77,19.21,0.59,+3.17%,2743000
07/05/2022,17.5,18.62,17.43,18.62,0.7,+3.91%,2797100
07/01/2022,18.06,18.48,17.681,17.92,-0.12,-0.67%,1935800
06/30/2022,18.47,18.59,17.88,18.04,-0.78,-4.14%,2457500
06/29/2022,19.22,19.22,18.67,18.82,-0.48,-2.49%,1191000
06/28/2022,19.62,20.02,19.28,19.3,-0.37,-1.88%,1680400
06/27/2022,20.57,20.6,19.38,19.67,-0.67,-3.29%,1656300
06/24/2022,19.72,20.38,19.65,20.34,0.74,+3.78%,2951000
06/23/2022,19.67,19.76,18.89,19.6,0.24,+1.24%,2169600
06/22/2022,19.18,19.8,19.1,19.36,-0.1,-0.51%,1292900
06/21/2022,19.13,19.651,18.81,19.46,0.39,+2.05%,2429100
06/17/2022,18.87,19.41,18.6577,19.07,0.52,+2.80%,3304100
06/16/2022,18.77,18.97,18.16,18.55,-0.87,-4.48%,4662300
06/15/2022,19.17,20.22,18.9,19.42,-0.18,-0.92%,5150900
06/14/2022,20.1,20.55,19.34,19.6,-0.45,-2.24%,2422700
06/13/2022,20.28,20.77,19.885,20.05,-1.16,-5.47%,3083800
06/10/2022,21.15,21.55,20.67,21.21,-0.39,-1.81%,2106200
06/09/2022,22.14,22.58,21.58,21.6,-0.66,-2.96%,1644400
06/08/2022,22.05,22.56,21.8,22.26,0.15,+0.68%,1100400
06/07/2022,21.33,22.265,21.13,22.11,0.21,+0.96%,2176700
06/06/2022,22.8,22.9,21.72,21.9,-0.73,-3.23%,1927400
06/03/2022,22.69,22.99,22.125,22.63,-0.41,-1.78%,1846600
06/02/2022,22,23.08,21.95,23.04,1.09,+4.97%,1646300
06/01/2022,22.39,22.62,21.74,21.95,-0.18,-0.81%,1888600
05/31/2022,21.91,22.36,21.5,22.13,0.02,+0.09%,2467300
05/27/2022,21.15,22.12,21.01,22.11,1.33,+6.40%,2110300
05/26/2022,20.1,21.065,20.04,20.78,0.83,+4.16%,2386100
05/25/2022,19.32,20.265,19.32,19.95,0.41,+2.10%,1997000
05/24/2022,20.48,20.54,19.09,19.54,-1.42,-6.77%,3107000
05/23/2022,20.8,21.11,20.03,20.96,0.19,+0.91%,2584400
05/20/2022,21.74,21.78,19.785,20.77,-0.58,-2.72%,3679200
05/19/2022,19.94,21.79,19.81,21.35,1.38,+6.91%,2882000
05/18/2022,21.02,21.155,19.65,19.97,-1.51,-7.03%,4508800
05/17/2022,22.34,22.48,21.21,21.48,-0.25,-1.15%,3139500
05/16/2022,22.47,22.555,21.6,21.73,-0.91,-4.02%,3266600
05/13/2022,22.06,22.9813,21.85,22.64,0.92,+4.24%,4392500
05/12/2022,20.01,22.395,19.51,21.72,2.71,+14.26%,8963800
05/11/2022,20.66,20.887,18.92,19.01,-1.79,-8.61%,5400800
05/10/2022,20.72,21.05,19.72,20.8,0.78,+3.90%,3739200
05/09/2022,20.9,21.485,19.86,20.02,-1.93,-8.79%,5258100
05/06/2022,22.51,22.55,21.3406,21.95,-0.87,-3.81%,2430300
05/05/2022,23.82,24.07,22.405,22.82,-1.5,-6.17%,2400300
05/04/2022,23.26,24.35,22.5,24.32,1.07,+4.60%,2849000
05/03/2022,22.9,23.61,22.89,23.25,0.09,+0.39%,1939600
05/02/2022,22.81,23.29,22.475,23.16,0.34,+1.49%,2204400
04/29/2022,23.03,23.8099,22.73,22.82,-0.41,-1.76%,1643700
04/28/2022,22.89,23.44,22.455,23.23,0.58,+2.56%,2348300
04/27/2022,23.19,23.52,22.6,22.65,-0.5,-2.16%,2596200
04/26/2022,24.01,24.18,22.96,23.15,-1.13,-4.65%,3013300
04/25/2022,23.29,24.33,23.18,24.28,0.78,+3.32%,2411500
04/22/2022,24.37,24.64,23.21,23.5,-1.32,-5.32%,3267900
04/21/2022,25.55,26.01,24.44,24.82,-0.58,-2.28%,2193600
04/20/2022,25.93,26.08,25.21,25.4,-0.49,-1.89%,1992100
04/19/2022,25.64,26.25,25.43,25.89,0.2,+0.78%,1729500
04/18/2022,25.87,26.22,25.31,25.69,-0.39,-1.50%,1984700
04/14/2022,27.18,27.245,26.05,26.08,-0.95,-3.51%,1846200
04/13/2022,27.18,27.57,26.84,27.03,-0.19,-0.70%,2214300
04/12/2022,27.78,28.06,26.97,27.22,0.09,+0.33%,2518100
04/11/2022,26.54,27.8,26.32,27.13,0.42,+1.57%,3015100
04/08/2022,26.83,27.23,26.65,26.71,-0.07,-0.26%,2140800
04/07/2022,26.07,26.93,25.89,26.78,0.44,+1.67%,2563600
04/06/2022,26.63,26.87,25.75,26.34,-0.87,-3.20%,3496100
04/05/2022,28.39,28.39,26.98,27.21,-1.08,-3.82%,3967800
04/04/2022,27.71,28.46,27.71,28.29,0.61,+2.20%,2150000
04/01/2022,28.36,28.73,27.51,27.68,-0.54,-1.91%,3415400
03/31/2022,29.5,29.55,28.135,28.22,-1.11,-3.78%,4402300
03/30/2022,30.72,30.75,28.98,29.33,-1.62,-5.23%,4775200
03/29/2022,30.16,31.22,29.72,30.95,0.75,+2.48%,30898000
03/28/2022,29.1,30.51,28.65,30.2,3.74,+14.13%,15369400
03/25/2022,27.57,27.7,26.275,26.46,-1.05,-3.82%,1305800
03/24/2022,27.41,27.53,26.375,27.51,0.47,+1.74%,1424200
03/23/2022,26.4,27.22,26.045,27.04,0.28,+1.05%,1525500
03/22/2022,25.97,27.11,25.93,26.76,0.87,+3.36%,1623200
03/21/2022,26.17,26.23,25.41,25.89,-0.2,-0.77%,1117100
03/18/2022,25.64,26.365,25.615,26.09,0.24,+0.93%,3295500
03/17/2022,25.37,26.08,25.37,25.85,0.17,+0.66%,1197100
03/16/2022,24.8,25.77,24.76,25.68,1.19,+4.86%,1914100
03/15/2022,23.47,24.54,23.18,24.49,1.21,+5.20%,1928700
03/14/2022,23.82,24.32,23.1788,23.28,-0.74,-3.08%,1539200
03/11/2022,25,25.17,24.01,24.02,-0.69,-2.79%,1423100
03/10/2022,24.23,24.805,24.04,24.71,0.05,+0.20%,1614700
03/09/2022,24.67,24.95,24.2,24.66,1.03,+4.36%,1757300
03/08/2022,23.63,24.145,23.18,23.63,-0.17,-0.71%,3387500
03/07/2022,25.7,25.935,23.75,23.8,-1.84,-7.18%,3364400
03/04/2022,26.75,26.88,25.4,25.64,-1.32,-4.90%,2158100
03/03/2022,28,28.18,26.53,26.96,-0.92,-3.30%,2401100
03/02/2022,27.24,27.91,27.02,27.88,1.01,+3.76%,1593200
03/01/2022,27.32,27.57,26.64,26.87,-0.52,-1.90%,1891100
02/28/2022,27,27.65,26.73,27.39,0.12,+0.44%,1339800
02/25/2022,26.91,27.4,26.51,27.27,0.14,+0.52%,1956700
02/24/2022,24.48,27.15,24.475,27.13,1.31,+5.07%,2319000
02/23/2022,26.8,26.93,25.62,25.82,-0.71,-2.68%,1520900
02/22/2022,26.6,27.26,26.17,26.53,-0.39,-1.45%,1704000
02/18/2022,27.4,27.84,26.71,26.92,-0.52,-1.90%,1615900
02/17/2022,28.02,28.3,27.26,27.44,-1.03,-3.62%,1745600
02/16/2022,28.14,28.53,27.77,28.47,0.03,+0.11%,1894300
02/15/2022,27.54,28.52,27.54,28.44,1.12,+4.10%,2041500
02/14/2022,27.51,27.97,27.11,27.32,-0.01,-0.04%,2554500
02/11/2022,27.79,28.73,27.07,27.33,-0.51,-1.83%,3787600
02/10/2022,27.3,29.74,27.06,27.84,1.19,+4.47%,7846000
02/09/2022,27.09,27.14,26.2,26.65,0.06,+0.23%,4938100
02/08/2022,25.44,26.63,25.435,26.59,0.89,+3.46%,3317900
02/07/2022,25.49,26,25.29,25.7,0.41,+1.62%,1831700
02/04/2022,24.58,25.48,24.35,25.29,0.79,+3.22%,2305300
02/03/2022,24.85,25.31,24.48,24.5,-1.06,-4.15%,2341600
02/02/2022,25.87,26.06,25.18,25.56,-0.01,-0.04%,2137300
02/01/2022,25.5,25.88,24.84,25.57,0.35,+1.39%,2433800
01/31/2022,22.97,25.3,22.97,25.22,2.25,+9.80%,3366500
01/28/2022,22.17,23,21.99,22.97,0.77,+3.47%,2188000
01/27/2022,22.88,23.23,22.07,22.2,-0.37,-1.64%,2452600
01/26/2022,23.98,24.04,22.22,22.57,-0.38,-1.66%,2741200
01/25/2022,22.82,23.4,22.31,22.95,-0.48,-2.05%,1946300
01/24/2022,22.4053,23.5,21.4565,23.43,0.4,+1.74%,4174400
01/21/2022,24.06,24.32,22.88,23.03,-1.43,-5.85%,5011200
01/20/2022,26.62,26.67,24.33,24.46,-1.54,-5.92%,3782800
01/19/2022,26.95,27.09,25.95,26,-0.86,-3.20%,2940100
01/18/2022,27.5,27.5,26.365,26.86,-0.95,-3.42%,3734300
01/14/2022,29.02,29.07,27.4,27.81,-1.67,-5.66%,4680900
01/13/2022,30.2,30.22,29.24,29.48,-0.69,-2.29%,2112400
01/12/2022,30.65,30.78,30.08,30.17,-0.33,-1.08%,1915400
01/11/2022,29.05,30.58,28.86,30.5,1.39,+4.77%,2316800
01/10/2022,28.19,29.17,27.08,29.11,0.43,+1.50%,3994700
01/07/2022,29.61,30.5,28.6299,28.68,-0.19,-0.66%,3747900
01/06/2022,28.69,29.219,28.28,28.87,-0.03,-0.10%,1712000
01/05/2022,29.81,30.15,28.86,28.9,-1.01,-3.38%,1772100
01/04/2022,30.15,30.49,29.28,29.91,-0.15,-0.50%,1555300
01/03/2022,29.83,30.3,29.78,30.06,0.26,+0.87%,2328600
12/31/2021,30.08,30.46,29.51,29.8,-0.19,-0.63%,2382800
12/30/2021,29.51,30.62,29.45,29.99,0.59,+2.01%,2028100
12/29/2021,29.48,29.655,29.16,29.4,-0.17,-0.57%,1514300
12/28/2021,29.63,30.19,29.5,29.57,-0.27,-0.90%,1887801
12/27/2021,29.99,30.28,29.7,29.84,-0.06,-0.20%,1790600
12/23/2021,29.97,30.15,29.6427,29.9,-0.08,-0.27%,1516400
12/22/2021,30.1,30.32,29.83,29.98,-0.13,-0.43%,1263600
12/21/2021,29.13,30.41,29,30.11,1.26,+4.37%,1804200
12/20/2021,29.2,29.218,28.29,28.85,-0.86,-2.89%,2877900
12/17/2021,28.62,30.05,28.495,29.71,0.785,+2.71%,2427900
12/16/2021,30.16,30.3,28.85,28.925,-0.975,-3.26%,1708100
12/15/2021,28.93,29.92,28.56,29.9,0.81,+2.78%,2275400
12/14/2021,28.96,29.48,28.73,29.09,-0.29,-0.99%,2135600
12/13/2021,30.24,30.58,29.36,29.38,-1,-3.29%,1856400
12/10/2021,31.22,31.34,30,30.38,-0.84,-2.69%,2094100
12/09/2021,31.37,32.005,31.16,31.22,-0.2,-0.64%,1788200
12/08/2021,30.96,31.65,30.6803,31.42,0.46,+1.49%,1446800
12/07/2021,30.15,31.36,30.04,30.96,1.19,+4.00%,3068300
12/06/2021,30.5,30.6,29.38,29.77,-0.63,-2.07%,3679000
12/03/2021,31.8,31.8,30.28,30.4,-1.04,-3.31%,5339800
12/02/2021,31.5,31.82,31.02,31.44,0,0.00%,3768900
12/01/2021,32.18,32.72,31.39,31.44,-0.21,-0.66%,2515200
11/30/2021,32.5,33.03,31.51,31.65,-0.97,-2.97%,2910500
11/29/2021,32.42,32.92,31.7,32.62,0.37,+1.15%,2115600
11/26/2021,31.4,32.545,31.26,32.25,0.14,+0.44%,1444000
11/24/2021,31.84,32.405,31.45,32.11,-0.14,-0.43%,1849500
11/23/2021,31.76,32.49,31.633,32.25,0.04,+0.12%,2414700
11/22/2021,31.82,32.46,31.32,32.21,0.48,+1.51%,4307900
11/19/2021,32.93,33.65,31.6,31.73,-1.34,-4.05%,4579400
11/18/2021,34.19,34.7,32.17,33.07,-0.4,-1.20%,9088100
11/17/2021,34.66,35.02,33,33.47,-1.09,-3.15%,8372300
11/16/2021,35.18,35.21,33.75,34.56,0.04,+0.12%,3938600
11/15/2021,34.54,35.44,34.27,34.52,0.58,+1.71%,3426400
11/12/2021,34.57,34.64,33.89,33.94,-0.5,-1.45%,3174900
11/11/2021,34.3,35.16,34.15,34.44,0.6,+1.77%,1783800
11/10/2021,34.55,35.37,33.755,33.84,-1.05,-3.01%,2312900
11/09/2021,34.91,35.075,34.29,34.89,0.1,+0.29%,1480200
11/08/2021,34.5,34.96,33.9,34.79,0.39,+1.13%,1664700
11/05/2021,34.66,35.46,34.14,34.4,-0.1,-0.29%,1965000
11/04/2021,35.23,35.24,34.365,34.5,-0.49,-1.40%,2262900
11/03/2021,34.52,35.2299,34.22,34.99,0.58,+1.69%,1812700
11/02/2021,34.99,35.06,33.87,34.41,-0.34,-0.98%,2300900
11/01/2021,34.23,35.06,33.58,34.75,2.13,+6.53%,5362500
10/29/2021,31.85,32.64,31.7,32.62,0.61,+1.91%,2044100
10/28/2021,31.58,32.08,31.41,32.01,0.71,+2.27%,1591100
10/27/2021,31.96,32.3618,31.2,31.3,-0.79,-2.46%,2500500
10/26/2021,32.63,32.7899,31.85,32.09,-0.29,-0.90%,1081100
10/25/2021,31.95,32.9,31.9,32.38,0.38,+1.19%,1818300
10/22/2021,32.2,32.68,31.83,32,-0.41,-1.27%,1472500
10/21/2021,32.54,33.3,32.12,32.41,-0.4,-1.22%,1620900
10/20/2021,32.37,33.89,32.29,32.81,0.63,+1.96%,6002600
10/19/2021,32.6,32.81,32.04,32.18,-0.29,-0.89%,1435400
10/18/2021,31.6,32.6,31.17,32.47,0.75,+2.36%,1204600
10/15/2021,32.35,32.56,31.34,31.72,-0.49,-1.52%,1949700
10/14/2021,31.95,32.345,31.85,32.21,0.57,+1.80%,1389200
10/13/2021,31.46,32.08,31.42,31.64,0.48,+1.54%,1947700
10/12/2021,30.48,31.57,30.335,31.16,0.97,+3.21%,2105700
10/11/2021,30.6,31.31,30.15,30.19,-0.32,-1.05%,1835900
10/08/2021,32.06,32.19,30.47,30.51,-1.52,-4.75%,1933200
10/07/2021,31.45,32.35,31.41,32.03,0.92,+2.96%,1975700
10/06/2021,31.25,31.84,30.87,31.11,-0.45,-1.43%,2009200
10/05/2021,32,32.273,31.455,31.56,-0.26,-0.82%,2985200
10/04/2021,32.23,32.545,31.51,31.82,-0.44,-1.36%,1862800
10/01/2021,32.79,32.79,31.46,32.26,-0.1,-0.31%,2496500
09/30/2021,32.85,33.37,32.26,32.36,-0.51,-1.55%,1951100
09/29/2021,33.96,34.105,32.65,32.87,-0.93,-2.75%,2344400
09/28/2021,34.37,34.74,33.74,33.8,-1.11,-3.18%,2486400
09/27/2021,35.75,35.92,34.86,34.91,-1.06,-2.95%,1932100
09/24/2021,35.5,36.08,35.42,35.97,-0.01,-0.03%,1516600
09/23/2021,37.04,37.3199,35.83,35.98,-0.91,-2.47%,2404900
09/22/2021,36.99,37.15,36.74,36.89,0.18,+0.49%,1156800
09/21/2021,37.17,37.48,36.5601,36.71,-0.08,-0.22%,1495900
09/20/2021,36.1,36.92,35.955,36.79,-0.49,-1.31%,2473000
09/17/2021,36.59,37.41,36.5,37.28,0.7,+1.91%,3145500
09/16/2021,36.545,36.88,36.415,36.58,-0.14,-0.38%,1535100
09/15/2021,36.18,36.84,35.85,36.72,0.52,+1.44%,1729600
09/14/2021,36.73,36.73,35.76,36.2,-0.41,-1.12%,1991700
09/13/2021,37.37,37.37,36.02,36.61,-0.35,-0.95%,2342900
09/10/2021,37.9,38.77,36.939,36.96,-0.74,-1.96%,3779400
09/09/2021,38.14,38.4997,37.65,37.7,-0.64,-1.67%,2383000
09/08/2021,38.95,39.195,37.35,38.34,-0.81,-2.07%,2712200
09/07/2021,40.43,41.96,39.15,39.15,-1.53,-3.76%,3600600
09/03/2021,40.41,40.9899,40.09,40.68,0.1,+0.25%,1237800
09/02/2021,40.71,41.52,40.48,40.58,0.07,+0.17%,1825300
