Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/31/2023,63.43,64.85,62.93,63.97,0.87,+1.38%,447600,0
01/30/2023,64.13,65.19,62.26,63.1,-2.53,-3.85%,298800,0
01/27/2023,64.74,66.08,62.86,65.63,1.01,+1.56%,562300,0
01/26/2023,65.59,66.5,62.11,64.62,0.85,+1.33%,551400,0
01/25/2023,60.82,64.37,58.03,63.77,0.35,+0.55%,563200,0
01/24/2023,62.3,64.8761,61.8628,63.42,0.5,+0.79%,477900,0
01/23/2023,60.2,63.07,59.31,62.92,2.85,+4.74%,358200,0
01/20/2023,59.98,62.2,59.18,60.07,1.31,+2.23%,420900,0
01/19/2023,61.24,62.5182,58.71,58.76,-3.47,-5.58%,502300,0
01/18/2023,61.86,63.72,59.56,62.23,2.75,+4.62%,913800,0
01/17/2023,57.36,59.67,56.43,59.48,1.66,+2.87%,712200,0
01/13/2023,58.06,58.65,56.05,57.82,-1.5,-2.53%,612900,0
01/12/2023,59.91,60.535,58.145,59.32,-0.17,-0.29%,653100,0
01/11/2023,55,59.84,54.35,59.49,4.9,+8.98%,750500,0
01/10/2023,52.49,55.03,51.42,54.59,1.76,+3.33%,412000,0
01/09/2023,52.45,54.03,51.43,52.83,1.17,+2.26%,901500,0
01/06/2023,53.59,53.84,51.18,51.66,-1.54,-2.89%,495300,0
01/05/2023,55.06,55.65,52.33,53.2,-3.28,-5.81%,463300,0
01/04/2023,59.29,59.46,55.625,56.48,-1.45,-2.50%,434100,0
01/03/2023,57.79,58.84,54.91,57.93,1.47,+2.60%,857000,0
12/30/2022,54.27,57.1,54.27,56.46,0.36,+0.64%,411100,0
12/29/2022,52.76,57.47,52.01,56.1,4.35,+8.41%,652500,0
12/28/2022,53.36,54.36,51.51,51.75,-1.75,-3.27%,321700,0
12/27/2022,55.84,55.84,52.54,53.5,-2.48,-4.43%,468600,0
12/23/2022,56.5,56.51,54.57,55.98,-1.12,-1.96%,225500,0
12/22/2022,56.38,57.91,55.61,57.1,-0.61,-1.06%,437600,0
12/21/2022,57.24,58.5,55.26,57.71,0.85,+1.49%,481700,0
12/20/2022,55.06,58.12,54.335,56.86,0.85,+1.52%,443500,0
12/19/2022,58.84,59.56,54.97,56.01,-3.28,-5.53%,870700,0
12/16/2022,58.47,62.33,57.56,59.29,0.12,+0.20%,1160000,0
12/15/2022,62,62.13,56.83,59.17,-5.11,-7.95%,1042200,0
12/14/2022,64.99,66.45,62.8,64.28,-1.01,-1.55%,822800,0
12/13/2022,66.53,67.91,62.42,65.29,3.97,+6.47%,820100,0
12/12/2022,59.08,63.2446,58.57,61.32,2.15,+3.63%,554600,0
12/09/2022,59.06,59.99,57.27,59.17,-0.04,-0.07%,385900,0
12/08/2022,56.86,61.03,55.85,59.21,3.13,+5.58%,521700,0
12/07/2022,57.33,59.99,55.69,56.08,-1.81,-3.13%,387800,0
12/06/2022,59.61,60.55,57.061,57.89,-2.19,-3.65%,526700,0
12/05/2022,61.57,62.465,59.02,60.08,-1.94,-3.13%,556700,0
12/02/2022,58.31,62.1775,55.7085,62.02,2.42,+4.06%,564900,0
12/01/2022,59.94,60.7568,56.93,59.6,0.3,+0.51%,439901,0
11/30/2022,55.53,59.84,54.9,59.3,4.14,+7.51%,783400,0
11/29/2022,57.97,60.13,52.675,55.16,-2.7,-4.67%,564100,0
11/28/2022,58.78,60.385,57.61,57.86,-1.77,-2.97%,670300,0
11/25/2022,59.91,60.18,58.11,59.63,-0.85,-1.41%,228701,0
11/23/2022,60.2,61.55,59.55,60.48,-0.15,-0.25%,406201,0
11/22/2022,60,61.06,58.1,60.63,0.46,+0.76%,427900,0
11/21/2022,57.73,60.75,57.35,60.17,0.92,+1.55%,481200,0
