Time,Open,High,Low,Last,Change,%Chg,Volume
01/24/2023,14.9,14.9697,14.78,14.78,-0.15,-1.00%,235800
01/23/2023,15.04,15.15,14.93,14.93,-0.05,-0.33%,259000
01/20/2023,14.78,15,14.7381,14.98,0.26,+1.77%,220900
01/19/2023,14.74,14.78,14.59,14.72,-0.05,-0.34%,252300
01/18/2023,14.93,14.95,14.72,14.77,-0.25,-1.66%,255300
01/17/2023,15.08,15.08,14.96,15.02,-0.01,-0.07%,211500
01/13/2023,14.85,15.085,14.76,15.03,0.12,+0.80%,180800
01/12/2023,14.77,15.02,14.7,14.91,0.23,+1.57%,339100
01/11/2023,14.54,14.79,14.53,14.68,0.16,+1.10%,314100
01/10/2023,14.6,14.63,14.33,14.52,-0.11,-0.75%,306100
01/09/2023,14.55,14.6532,14.45,14.63,0.09,+0.62%,284100
01/06/2023,14.24,14.54,14.24,14.54,0.32,+2.25%,140200
01/05/2023,14.33,14.34,14.16,14.22,-0.17,-1.18%,116500
01/04/2023,14.52,14.55,14.315,14.39,-0.04,-0.28%,129100
01/03/2023,14.46,14.57,14.31,14.43,0.02,+0.14%,176000
12/30/2022,14.53,14.59,14.33,14.41,-0.15,-1.03%,147500
12/29/2022,14.36,14.63,14.36,14.56,0.29,+2.03%,159500
12/28/2022,14.36,14.45,14.27,14.27,-0.1,-0.70%,213700
12/27/2022,14.17,14.37,14.07,14.37,0.21,+1.48%,210900
12/23/2022,13.99,14.205,13.9443,14.16,0.19,+1.36%,172400
12/22/2022,13.98,13.999,13.8,13.97,-0.12,-0.85%,222900
12/21/2022,13.98,14.145,13.9,14.09,0.21,+1.51%,228300
12/20/2022,13.8,13.9399,13.72,13.88,0.11,+0.80%,174500
12/19/2022,13.69,13.84,13.63,13.77,-0.04,-0.29%,278300
12/16/2022,13.63,13.83,13.55,13.81,0.12,+0.88%,387400
12/15/2022,14.06,14.1,13.635,13.69,-0.48,-3.39%,238000
12/14/2022,14.05,14.445,14.01,14.17,0.1,+0.71%,396700
12/13/2022,13.81,14.37,13.75,14.07,0.16,+1.15%,905000
12/12/2022,13.94,13.98,13.81,13.91,-0.1,-0.71%,210000
12/09/2022,13.89,14.11,13.859,14.01,0.12,+0.86%,290700
12/08/2022,13.73,13.97,13.72,13.89,0.18,+1.31%,198600
12/07/2022,13.76,13.81,13.6,13.71,-0.08,-0.58%,197900
12/06/2022,13.89,13.95,13.6101,13.79,-0.04,-0.29%,325400
12/05/2022,13.87,13.89,13.5,13.83,-0.08,-0.58%,323000
12/02/2022,13.9,14.05,13.83,13.91,-0.16,-1.14%,214100
12/01/2022,13.74,14.09,13.7,14.07,0.42,+3.08%,347400
11/30/2022,13.57,13.69,13.26,13.65,0.11,+0.81%,680800
11/29/2022,13.49,13.615,13.49,13.54,0.04,+0.30%,189700
11/28/2022,13.58,13.73,13.455,13.5,-0.47,-3.36%,340400
11/25/2022,13.98,14.045,13.914,13.97,0.04,+0.29%,251700
11/23/2022,14,14.129,13.85,13.93,-0.08,-0.57%,281000
11/22/2022,13.8,14.0597,13.8,14.01,0.2,+1.45%,272200
11/21/2022,14.04,14.17,13.745,13.81,-0.23,-1.64%,308800
11/18/2022,14.13,14.135,13.92,14.04,0.15,+1.08%,164300
11/17/2022,13.8,13.98,13.7988,13.89,-0.05,-0.36%,270600
11/16/2022,14.06,14.12,13.8799,13.94,-0.21,-1.48%,193500
11/15/2022,14.22,14.29,14.02,14.15,0.11,+0.78%,226600
11/14/2022,13.99,14.23,13.99,14.04,-0.02,-0.14%,172600
11/11/2022,14.09,14.21,13.98,14.06,-0.02,-0.14%,231800
11/10/2022,13.85,14.185,13.85,14.08,0.51,+3.76%,239900
11/09/2022,13.79,13.79,13.55,13.57,-0.2,-1.45%,169000
11/08/2022,13.77,13.99,13.74,13.77,0.01,+0.07%,265100
11/07/2022,13.9,13.9773,13.76,13.76,-0.02,-0.15%,232100
11/04/2022,13.82,13.92,13.665,13.78,0.14,+1.03%,241100
11/03/2022,13.66,13.68,13.44,13.64,-0.12,-0.87%,194800
11/02/2022,13.98,14.1,13.73,13.76,-0.25,-1.78%,195900
11/01/2022,14.08,14.17,13.99,14.01,-0.04,-0.28%,193300
