Time,Open,High,Low,Last,Change,%Chg,Volume
02/25/2022,23.94,24.05,17.83,18.94,-1.38,-6.79%,28271400
02/24/2022,17.96,23.39,14.11,20.32,-13.72,-40.31%,77397600
02/23/2022,38.7,39.02,34,34.04,-5.38,-13.65%,7743000
02/22/2022,40.52,43.31,38.805,39.42,-5.33,-11.91%,14953200
02/18/2022,46.7,47.28,44.69,44.75,-4.19,-8.56%,6898900
02/17/2022,49.8,50.75,48.88,48.94,-4.64,-8.66%,3067900
02/16/2022,53,53.85,51.8,53.58,1.18,+2.25%,3193600
02/15/2022,49.25,52.79,49.24,52.4,7.22,+15.98%,8060700
02/14/2022,45.85,46.09,44.48,45.18,0.77,+1.73%,3978100
02/11/2022,49.06,49.71,44.01,44.41,-6.57,-12.89%,5916700
02/10/2022,49.21,52.25,49.19,50.98,0.41,+0.81%,3207800
02/09/2022,50.05,50.82,49.05,50.57,2.01,+4.14%,2439600
02/08/2022,46.16,48.665,46,48.56,2.57,+5.59%,1863300
02/07/2022,46.07,46.67,45.23,45.99,-0.17,-0.37%,1679700
02/04/2022,46.01,46.69,45.44,46.16,0.32,+0.70%,1909300
02/03/2022,46.16,47.11,45.72,45.84,-2.19,-4.56%,2555000
02/02/2022,49.2,50.12,47.76,48.03,-0.49,-1.01%,3060800
02/01/2022,48.88,49.15,47.78,48.52,0.46,+0.96%,2269500
01/31/2022,45.33,48.14,45.3,48.06,3.65,+8.22%,3446000
01/28/2022,44.05,44.74,43.14,44.41,1.36,+3.16%,5183700
01/27/2022,45.73,45.73,42.9835,43.05,0.93,+2.21%,7058600
01/26/2022,44.38,45.03,41.64,42.12,-1,-2.32%,4876800
01/25/2022,41.46,44.2,40.65,43.12,0.62,+1.46%,5588600
01/24/2022,41.11,42.56,39,42.5,-1.97,-4.43%,7669400
01/21/2022,47.8,47.89,44.45,44.47,-3.33,-6.97%,4186100
01/20/2022,49.41,50.33,47.69,47.8,-0.54,-1.12%,3595400
01/19/2022,50.88,50.88,48.24,48.34,-0.35,-0.72%,5945500
01/18/2022,49.26,50.44,48.67,48.69,-3.65,-6.97%,5555300
01/14/2022,52.91,54.01,50.27,52.34,-2.17,-3.98%,5549400
01/13/2022,57.48,58.75,54.36,54.51,-4.47,-7.58%,3887600
01/12/2022,59.31,59.54,58.25,58.98,0.85,+1.46%,2086700
01/11/2022,57.12,59.01,56.91,58.13,2.07,+3.69%,3954000
01/10/2022,54.9,56.085,53.94,56.06,1.42,+2.60%,2842600
01/07/2022,55.32,55.99,54.4631,54.64,-0.68,-1.23%,2534900
01/06/2022,55.27,56.38,54.77,55.32,-0.02,-0.04%,2455800
01/05/2022,58.41,58.91,55.27,55.34,-3.88,-6.55%,2327800
01/04/2022,60.17,60.61,58.65,59.22,-1.18,-1.95%,2131200
01/03/2022,61.29,61.79,60.33,60.4,-0.1,-0.17%,2072900
12/31/2021,61.55,61.655,60.16,60.5,-0.84,-1.37%,890500
12/30/2021,59.71,61.46,59.37,61.34,1.75,+2.94%,2027000
12/29/2021,60.43,60.5,58.98,59.59,-0.99,-1.63%,1026300
12/28/2021,60.7813,61.25,60.4027,60.58,-0.11,-0.18%,757100
12/27/2021,60.68,60.825,60.24,60.69,0.7,+1.17%,1393900
12/23/2021,60.59,60.69,59.3,59.99,-0.87,-1.43%,1945500
12/22/2021,62.31,62.42,60.57,60.86,-0.97,-1.57%,1724200
12/21/2021,60.84,62.22,60.78,61.83,1.51,+2.50%,1481600
12/20/2021,61.03,61.7,60.02,60.32,-1.86,-2.99%,1265200
12/17/2021,62.19,63.37,61.91,62.18,-0.37,-0.59%,1903500
12/16/2021,64.07,65.49,61.89,62.55,1.42,+2.32%,3008200
12/15/2021,61.82,61.826,60.13,61.13,-0.88,-1.42%,1628900
12/14/2021,61.17,63.07,60.46,62.01,0.31,+0.50%,1731900
12/13/2021,61.93,62.93,61.31,61.7,-1.65,-2.60%,1856400
12/10/2021,65.72,65.79,63.23,63.35,-2.3,-3.50%,2153700
12/09/2021,67.56,67.67,65.37,65.65,-1.39,-2.07%,1735100
12/08/2021,66.77,67.88,64.72,67.04,0.03,+0.04%,3235000
12/07/2021,68.57,69.08,66.98,67.01,-1.09,-1.60%,3716200
12/06/2021,67.89,68.4,67.17,68.1,-1.3,-1.87%,1330200
12/03/2021,71.54,71.695,68.74,69.4,-1.66,-2.34%,1881000
12/02/2021,71.69,72.02,70.19,71.06,-0.11,-0.15%,1359600
12/01/2021,72.6,73.58,71.17,71.17,-0.77,-1.07%,1668300
11/30/2021,72.6,73.31,71.15,71.94,-0.06,-0.08%,1992400
11/29/2021,73.43,73.43,71.81,72,1.56,+2.21%,1362200
11/26/2021,71.57,71.64,70.37,70.44,-3.53,-4.77%,1583900
11/24/2021,74,74.89,72.54,73.97,-1.38,-1.83%,1341700
11/23/2021,75.09,75.63,74.115,75.35,2.49,+3.42%,2516000
11/22/2021,79,79,71.32,72.86,-8.19,-10.10%,5577800
11/19/2021,81.87,83.87,81,81.05,-0.83,-1.01%,1208800
11/18/2021,81.57,82.06,80.8657,81.88,0.11,+0.13%,1045500
11/17/2021,81.31,82.4085,80.94,81.77,0.46,+0.57%,1631800
11/16/2021,81.2,81.3499,80.65,81.31,-0.46,-0.56%,464200
11/15/2021,83.36,83.42,81.09,81.77,-0.3,-0.37%,730700
11/12/2021,81.4,82.33,80.35,82.07,-1.18,-1.42%,2487900
11/11/2021,82.7,84.685,82.7,83.25,1.24,+1.51%,890300
11/10/2021,84.12,84.53,81.96,82.01,-2.62,-3.10%,1077700
11/09/2021,86.61,86.76,84.49,84.63,-1.84,-2.13%,1494300
11/08/2021,86.85,87.11,86.16,86.47,0.4,+0.46%,920600
11/05/2021,84.95,86.31,83.92,86.07,1.95,+2.32%,1488900
11/04/2021,84.35,84.8,82.82,84.12,0.12,+0.14%,933100
11/03/2021,82.32,84.03,82.24,84,1.09,+1.31%,1386000
11/02/2021,82.13,83.49,81.86,82.91,0.45,+0.55%,1070300
11/01/2021,83.01,83.54,81.02,82.46,-0.38,-0.46%,1027700
10/29/2021,82.1,83.1,81.37,82.84,-0.26,-0.31%,1373800
10/28/2021,79.25,83.55,79.07,83.1,5.09,+6.52%,2858000
10/27/2021,77.42,79.96,77,78.01,1.74,+2.28%,2497500
10/26/2021,77.54,77.55,76,76.27,-0.78,-1.01%,984800
10/25/2021,76.36,77.55,76.165,77.05,1.35,+1.78%,1325700
10/22/2021,76.63,77.03,75.44,75.7,-0.34,-0.45%,847400
10/21/2021,76.15,76.185,75.49,76.04,-0.3,-0.39%,716900
10/20/2021,77.53,77.53,76.27,76.34,-0.76,-0.99%,983100
10/19/2021,77.59,77.6,76.51,77.1,0.31,+0.40%,1734400
10/18/2021,76.13,76.91,75.79,76.79,0.6,+0.79%,1094200
10/15/2021,77.23,77.505,75.995,76.19,-0.97,-1.26%,1193000
10/14/2021,77.96,77.97,76.93,77.16,0.17,+0.22%,1067500
10/13/2021,77.55,78.28,76.69,76.99,-0.31,-0.40%,1363700
10/12/2021,77.96,78.63,77.15,77.3,-0.6,-0.77%,1271700
10/11/2021,78.95,80.12,77.76,77.9,-1.73,-2.17%,903400
10/08/2021,79.3,79.89,78.93,79.63,0.13,+0.16%,782500
10/07/2021,79.06,80.26,78.99,79.5,0.97,+1.24%,1172200
10/06/2021,76.06,78.63,75.975,78.53,1,+1.29%,1247500
10/05/2021,76.14,77.97,75.89,77.53,2.53,+3.37%,1452900
10/04/2021,78.34,78.56,74.935,75,-4.25,-5.36%,2747500
10/01/2021,79.6,80.27,79.22,79.25,-0.44,-0.55%,712300
09/30/2021,79.04,80.32,78.97,79.69,0.74,+0.94%,1072000
09/29/2021,80.02,80.075,78.74,78.95,-0.5,-0.63%,883200
09/28/2021,80.29,80.77,78.97,79.45,-2.59,-3.16%,991900
09/27/2021,81.5,82.46,80.21,82.04,1.84,+2.29%,2294500
09/24/2021,79.94,80.41,79.36,80.2,-0.63,-0.78%,948200
09/23/2021,79.17,80.87,78.94,80.83,2.04,+2.59%,1083700
09/22/2021,79.03,79.52,78.53,78.79,-0.21,-0.27%,810800
09/21/2021,79.55,79.6,78.21,79,-0.07,-0.09%,991600
09/20/2021,79.19,80.12,78.56,79.07,-1.31,-1.63%,1284600
