Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/06/2023,61.35,65.67,61.04,64.22,2.96,+4.83%,1766260,0
01/30/2023,64.06,64.69,60.701,61.26,-2.8,-4.37%,1714320,0
01/23/2023,62.55,65.32,62.29,64.06,1.6,+2.56%,1219240,0
01/16/2023,64.145,64.37,61.85,62.46,-1.3,-2.04%,1635400,0
01/09/2023,63.71,63.99,62.2,63.76,-0.14,-0.22%,1479180,0
01/02/2023,62.61,64.055,61.85,63.9,1.12,+1.78%,1617300,0
12/26/2022,63.38,63.875,62.395,62.78,-0.6,-0.95%,988500,0
12/19/2022,60.88,63.53,60.4,63.38,2.35,+3.85%,1687740,0
12/12/2022,60.09,61.45,59.345,61.03,0.99,+1.65%,2853380,0
12/05/2022,60.37,61.2,58.71,60.04,-0.56,-0.92%,1771840,0
11/28/2022,58.58,60.745,57.72,60.6,1.87,+3.18%,2339300,0
11/21/2022,57.71,58.9,57.09,58.73,1.06,+1.84%,1198700,0
11/14/2022,56.91,57.785,55.62,57.67,0.9,+1.59%,1969040,0
11/07/2022,57.03,59.14,56.415,56.77,-0.09,-0.16%,2686600,0
10/31/2022,56.32,58,54.82,56.86,0.18,+0.32%,23425320,0
10/24/2022,48.43,56.99,47.9,56.68,8.45,+17.52%,4438960,0
10/17/2022,47.36,49.22,47.08,48.23,1.23,+2.62%,1748300,0
10/10/2022,45.74,48.07,44.617,47,1.33,+2.91%,1930180,0
10/03/2022,45.79,48.72,44.92,45.67,0.13,+0.29%,2406080,0
09/26/2022,42.79,46.48,41.05,45.54,2.44,+5.66%,2606460,0
09/19/2022,46.12,47.49,42.605,43.1,-3.42,-7.35%,1245880,0
09/12/2022,46.79,47.695,46.1383,46.52,0,0.00%,1439620,0
09/05/2022,45.53,46.8615,44.76,46.52,1.02,+2.24%,952000,0
08/29/2022,46.16,46.71,45.21,45.5,-1,-2.15%,1091940,0
08/22/2022,47.03,47.48,46.15,46.5,-0.78,-1.65%,940240,0
08/15/2022,46.42,47.9171,46.1,47.28,0.24,+0.51%,965140,0
08/08/2022,44,47.075,44,47.04,3.23,+7.37%,958040,0
08/01/2022,43.89,44.18,42.98,43.81,-0.59,-1.33%,1530620,0
07/25/2022,44.01,45.46,43.065,44.4,0.73,+1.67%,1635763,0
07/18/2022,43.4,44.1,43.03,43.67,0.54,+1.25%,1385580,0
07/11/2022,44.07,44.93,42.105,43.13,-1.34,-3.01%,3808780,0
07/04/2022,45.4,45.65,43.86,44.47,-1.48,-3.22%,1557750,0
06/27/2022,44.83,46.189,44.09,45.95,1.09,+2.43%,1313760,0
06/20/2022,43.96,45.02,43.14,44.86,1.46,+3.36%,1954875,0
06/13/2022,44.33,44.915,42.09,43.4,-1.83,-4.05%,2485240,0
06/06/2022,46.8,47.485,44.83,45.23,-1.49,-3.19%,1005120,0
05/30/2022,47.24,47.93,46.14,46.72,-0.74,-1.56%,1600800,0
05/23/2022,45.85,47.5,45.4,47.46,2.04,+4.49%,1347960,0
05/16/2022,46.14,46.91,44.51,45.42,-0.6,-1.30%,1817060,0
05/09/2022,46.12,46.7069,44.795,46.02,-0.52,-1.12%,2594940,0
05/02/2022,45.6,47.52,45.25,46.54,0.87,+1.90%,1898640,0
04/25/2022,46.97,48.18,45.55,45.67,-1.64,-3.47%,2732140,0
04/18/2022,48.78,50.73,47.28,47.31,-1.67,-3.41%,1734460,0
04/11/2022,48.34,49.51,47.18,48.98,0.66,+1.37%,3300975,0
04/04/2022,48.29,48.455,46.56,48.32,-0.3,-0.62%,1594000,0
03/28/2022,47.64,49.08,47.15,48.62,0.95,+1.99%,1945080,0
03/21/2022,46.3,47.77,46.2,47.67,1.83,+3.99%,1983180,0
03/14/2022,46.09,47.15,45.765,45.84,0.11,+0.24%,2039620,0
03/07/2022,45.48,46.23,43.59,45.73,-0.29,-0.63%,2330400,0
02/28/2022,46.79,47.48,45.2,46.02,-1.52,-3.20%,2153200,0
02/21/2022,46.87,47.57,44.7,47.54,0.44,+0.93%,2048550,0
02/14/2022,46.44,47.99,46.04,47.1,0.54,+1.16%,1592760,0
02/07/2022,47.72,49.15,46.37,46.56,-1.08,-2.27%,2052400,0
01/31/2022,45.08,48.2,45,47.64,2.26,+4.98%,1577080,0
01/24/2022,44.86,46.17,43.81,45.38,0.19,+0.42%,1950320,0
01/17/2022,47.57,47.58,45.05,45.19,-2.22,-4.68%,1466625,0
01/10/2022,45.35,47.5452,45.01,47.41,2.34,+5.19%,1773640,0
01/03/2022,44.5,46.57,44.03,45.07,0.62,+1.39%,1453640,0
12/27/2021,43.32,44.919,43.1,44.45,0.97,+2.23%,643120,0
12/20/2021,42.69,43.7604,41.93,43.48,0.26,+0.60%,1236850,0
12/13/2021,43.4,44.53,42.84,43.22,-0.21,-0.48%,2046458,0
12/06/2021,42.8,43.83,42.8,43.43,1.18,+2.79%,1319120,0
11/29/2021,42.26,42.86,40.24,42.25,0.36,+0.86%,1976450,0
11/22/2021,42.18,43.93,41.78,41.89,-0.17,-0.40%,1321676,0
11/15/2021,42.18,43.33,41.25,42.06,0.04,+0.10%,1710260,0
11/08/2021,43.52,43.63,40.96,42.02,-1.34,-3.09%,3526320,0
11/01/2021,41.92,43.62,41.9,43.36,1.54,+3.68%,1567700,0
10/25/2021,43.17,43.72,41.64,41.82,-1.39,-3.22%,1501760,0
10/18/2021,42.16,43.4,41.2118,43.21,0.74,+1.74%,1215400,0
10/11/2021,41.13,43.05,40.01,42.47,1.52,+3.71%,1859720,0
10/04/2021,37.59,41.295,37.435,40.95,2.77,+7.26%,1695560,0
09/27/2021,39.43,39.69,37.91,38.18,-1,-2.55%,2181060,0
09/20/2021,38.94,39.55,38.385,39.18,-0.12,-0.31%,2546280,0
09/13/2021,39.28,40.24,38.82,39.3,0.36,+0.92%,2631980,0
09/06/2021,39.41,40.47,38.7,38.94,-0.49,-1.24%,2292975,0
08/30/2021,41.76,41.99,39.11,39.43,-2.32,-5.56%,1658440,0
