Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/27/2023,71.46,71.75,67.68,68.24,-2.76,-3.89%,1779550,0
02/20/2023,73.43,73.566,70.4,71,-2.59,-3.52%,678475,0
02/13/2023,74.53,76.08,72.41,73.59,-0.73,-0.98%,649060,0
02/06/2023,75.5,76.6,73.79,74.32,-1.93,-2.53%,732200,0
01/30/2023,74.47,77.9,74.1,76.25,1.45,+1.94%,858040,0
01/23/2023,75.07,75.99,72.76,74.8,-0.49,-0.65%,885520,0
01/16/2023,75,76.07,74.065,75.29,1.25,+1.69%,617025,0
01/09/2023,72.41,74.12,71.335,74.04,2.34,+3.26%,841520,0
01/02/2023,68.56,72.05,68.425,71.7,3.15,+4.60%,842825,0
12/26/2022,67.71,69.58,67.38,68.55,0.8,+1.18%,494025,0
12/19/2022,67.11,68.57,65.71,67.75,0.3,+0.44%,878540,0
12/12/2022,70.41,73.01,66.66,67.45,-1.46,-2.12%,948040,0
12/05/2022,69.45,69.615,66.76,68.91,-1.21,-1.73%,952300,0
11/28/2022,68.5,70.44,67.1,70.12,1.8,+2.63%,821940,0
11/21/2022,65.37,68.415,65.35,68.32,2.62,+3.99%,873375,0
11/14/2022,64.55,68.8,62.72,65.7,-0.39,-0.59%,1441860,0
11/07/2022,57.85,66.285,57.5,66.09,8.31,+14.38%,1284180,0
10/31/2022,60.89,61.995,56.42,57.78,-3.67,-5.97%,1097240,0
10/24/2022,59.23,61.96,58.465,61.45,3.22,+5.53%,861480,0
10/17/2022,59.72,61,57.18,58.23,0.65,+1.13%,793380,0
10/10/2022,58.39,59.29,55.21,57.58,-0.96,-1.64%,1089480,0
10/03/2022,58.98,62.07,58.33,58.54,0.36,+0.62%,768980,0
09/26/2022,57.58,59.23,56.18,58.18,-1.84,-3.07%,1731400,0
09/19/2022,65.75,67.2,59.2,60.02,-6.83,-10.22%,985260,0
09/12/2022,69.62,70.27,66.32,66.85,-1.74,-2.54%,781700,0
09/05/2022,66.38,69.18,65.99,68.59,2.28,+3.44%,696625,0
08/29/2022,66.53,67.47,65.0102,66.31,-0.43,-0.64%,679980,0
08/22/2022,68.72,70.04,66.51,66.74,-2.13,-3.09%,857300,0
08/15/2022,69.39,70.49,68.33,68.87,-1.2,-1.71%,723780,0
08/08/2022,77.04,77.44,69.03,70.07,-7.05,-9.14%,1357380,0
08/01/2022,77.36,78.54,76.31,77.12,-0.97,-1.24%,704260,0
07/25/2022,74.11,78.56,73.56,78.09,3.78,+5.09%,557580,0
07/18/2022,71.27,75.29,69.915,74.31,3.06,+4.29%,518220,0
07/11/2022,71.28,71.73,68.97,71.25,0.05,+0.07%,553620,0
07/04/2022,70.31,72.13,69.89,71.2,-0.38,-0.53%,724300,0
06/27/2022,69.13,71.61,68.38,71.58,1.99,+2.86%,657440,0
06/20/2022,66.61,69.6,65.32,69.59,4.23,+6.47%,730000,0
06/13/2022,67.1,67.89,64.42,65.36,-4.7,-6.71%,1043300,0
06/06/2022,76.5,76.82,69.75,70.06,-5.58,-7.38%,738260,0
05/30/2022,75.33,76.71,73.33,75.64,0.53,+0.71%,1090325,0
05/23/2022,72.73,75.43,71.77,75.11,2.43,+3.34%,702860,0
05/16/2022,70.99,72.95,70.3,72.68,2.03,+2.87%,924520,0
05/09/2022,66.48,71.49,63.92,70.65,1.77,+2.57%,1930280,0
05/02/2022,71.45,72.49,68.43,68.88,-2.33,-3.27%,943400,0
04/25/2022,76.86,77.66,71.09,71.21,-6.3,-8.13%,1044200,0
