Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/27/2023,8.37,8.72,8.2236,8.38,0.07,+0.84%,262950,0
02/20/2023,8.17,8.34,7.78,8.31,0.17,+2.09%,343175,0
02/13/2023,8.74,8.9,7.9825,8.14,-0.63,-7.18%,329580,0
02/06/2023,8.05,8.8091,7.76,8.77,0.79,+9.90%,583040,0
01/30/2023,8.8,8.93,7.96,7.98,-1.11,-12.21%,673140,0
01/23/2023,8.99,9.36,8.68,9.09,0.19,+2.13%,293400,0
01/16/2023,8.85,9.2189,8.54,8.9,0.04,+0.45%,276950,0
01/09/2023,8.5,9.1,8.22,8.86,0.64,+7.79%,297100,0
01/02/2023,8.76,8.79,7.7,8.22,-0.57,-6.48%,547300,0
12/26/2022,8.59,8.94,8.29,8.79,0.39,+4.64%,591575,0
12/19/2022,7.35,8.43,7.12,8.4,1.06,+14.44%,497840,0
12/12/2022,6.8,7.49,6.8,7.34,0.55,+8.10%,366800,0
12/05/2022,8.3,8.475,6.73,6.79,-1.51,-18.19%,424740,0
11/28/2022,8.17,8.58,7.97,8.3,-0.28,-3.26%,242720,0
11/21/2022,8.06,8.78,7.68,8.58,0.23,+2.75%,253675,0
11/14/2022,8.79,9.0689,7.92,8.35,-0.43,-4.90%,335600,0
11/07/2022,9.46,9.945,8.34,8.78,-0.52,-5.59%,556020,0
10/31/2022,9.54,10.38,8.83,9.3,-0.3,-3.13%,780700,0
10/24/2022,9.48,9.86,9.04,9.6,0.09,+0.95%,422600,0
10/17/2022,8.4,9.7,8.4,9.51,1.17,+14.03%,518640,0
10/10/2022,8.77,9.13,8.23,8.34,-0.46,-5.23%,415580,0
10/03/2022,7.07,9.2,7.05,8.8,2.23,+33.94%,984960,0
09/26/2022,5.88,6.74,5.62,6.57,0.58,+9.68%,657940,0
09/19/2022,7.05,7.32,5.8901,5.99,-1.44,-19.38%,441180,0
09/12/2022,8.06,8.37,7.075,7.43,-0.54,-6.78%,583640,0
09/05/2022,7.87,8.12,7.03,7.97,0.22,+2.84%,415500,0
08/29/2022,7.62,8.29,7.01,7.75,0.09,+1.17%,437780,0
08/22/2022,7.47,8.24,7.18,7.66,0.15,+2.00%,412240,0
08/15/2022,7.2,7.88,6.81,7.51,-0.01,-0.13%,583920,0
08/08/2022,5.96,7.53,5.81,7.52,1.5,+24.92%,646880,0
08/01/2022,6.56,6.6425,5.76,6.02,-0.83,-12.12%,674520,0
07/25/2022,5.84,7.1111,5.795,6.85,1.04,+17.90%,629500,0
07/18/2022,6.23,6.45,5.74,5.81,-0.23,-3.81%,444780,0
07/11/2022,6.13,6.235,5.49,6.04,-0.23,-3.67%,628540,0
07/04/2022,6.25,6.49,5.62,6.27,-0.19,-2.94%,873400,0
06/27/2022,6.6,7.6,6.21,6.46,-0.1,-1.52%,905920,0
06/20/2022,7.38,7.76,6.5,6.56,-0.65,-9.02%,2160725,0
06/13/2022,8.61,8.91,7.15,7.21,-1.9,-20.86%,1127120,0
06/06/2022,9.61,9.86,8.62,9.11,-0.31,-3.29%,893720,0
05/30/2022,9.28,9.6402,8.69,9.42,0.45,+5.02%,804350,0
05/23/2022,7.46,9.19,7.34,8.97,1.59,+21.54%,713540,0
05/16/2022,6.98,8.27,6.97,7.38,0.4,+5.73%,887520,0
05/09/2022,7.31,7.31,5.9,6.98,-0.53,-7.06%,1148700,0
05/02/2022,6.53,7.76,6.19,7.51,0.83,+12.43%,1016640,0
04/25/2022,6.26,7.095,6.08,6.68,0.06,+0.91%,1007320,0
04/18/2022,6.93,7.435,6.615,6.62,-0.3,-4.34%,760600,0
04/11/2022,6.06,6.98,5.835,6.92,0.71,+11.43%,732200,0
04/04/2022,5.9,6.29,5.51,6.21,0.43,+7.44%,658760,0
03/28/2022,6.17,6.195,5.44,5.78,-0.53,-8.40%,1022220,0
03/21/2022,5.67,6.665,5.67,6.31,0.78,+14.10%,905140,0
03/14/2022,6.05,6.055,4.97,5.53,-0.59,-9.64%,1001880,0
03/07/2022,5.8,6.33,4.81,6.12,0.64,+11.68%,1610010,0
02/28/2022,4.72,5.53,4.7,5.48,0.78,+16.60%,1015220,0
02/21/2022,4.84,4.89,4.44,4.7,-0.04,-0.84%,610650,0
02/14/2022,4.69,4.94,4.31,4.74,0.12,+2.60%,570640,0
