Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,28.52,28.86,26.87,27.03,-1.49,-5.22%,1419175,0
02/27/2023,29.38,30.12,27.41,28.52,-0.47,-1.62%,2487240,0
02/20/2023,30.67,30.67,27.92,28.99,-2.2,-7.05%,1516050,0
02/13/2023,30.48,31.69,29.99,31.19,0.7,+2.30%,1458020,0
02/06/2023,29.81,31.33,29.56,30.49,0.42,+1.40%,1385000,0
01/30/2023,27,31.14,26.865,30.07,2.76,+10.11%,1564600,0
01/23/2023,28.19,29.255,27.275,27.31,-0.48,-1.73%,1222440,0
01/16/2023,27.95,28.155,26.63,27.79,-0.19,-0.68%,1372850,0
01/09/2023,26.44,28.36,25.9524,27.98,2.78,+11.03%,2557220,0
01/02/2023,23.24,26.0055,23.03,25.2,2.29,+10.00%,2078250,0
12/26/2022,22.17,23.24,21.795,22.91,0.65,+2.92%,1192725,0
12/19/2022,21.82,22.61,21.03,22.26,0.48,+2.20%,1200920,0
12/12/2022,23.76,24.25,21.465,21.78,-1.81,-7.67%,1664220,0
12/05/2022,23.96,24.26,22.49,23.59,-0.72,-2.96%,1491900,0
11/28/2022,23.56,24.57,23.3,24.31,0.54,+2.27%,1825380,0
11/21/2022,18.68,24.51,18.305,23.77,4.99,+26.57%,4259675,0
11/14/2022,18.73,19.9,17.32,18.78,-0.19,-1.00%,1664120,0
11/07/2022,17.22,19.335,16.81,18.97,1.82,+10.61%,1220440,0
10/31/2022,18.49,18.69,15.95,17.15,-1.56,-8.34%,1305520,0
10/24/2022,17.04,18.765,16.8,18.71,1.77,+10.45%,1206680,0
10/17/2022,16.87,17.75,16.325,16.94,0.51,+3.10%,994760,0
10/10/2022,15.27,16.85,14.62,16.43,1.26,+8.31%,1713220,0
10/03/2022,15.94,16.72,14.785,15.17,-0.38,-2.44%,2103000,0
09/26/2022,16.04,16.81,14.43,15.55,-0.33,-2.08%,1984620,0
09/19/2022,15.35,16.46,15.23,15.88,0.4,+2.58%,2255020,0
09/12/2022,16.4,16.97,14.62,15.48,-0.72,-4.44%,1952860,0
09/05/2022,15.62,16.51,14.95,16.2,0.77,+4.99%,1862200,0
08/29/2022,15.87,16.02,14.02,15.43,-0.44,-2.77%,2849540,0
08/22/2022,20.26,20.415,15.65,15.87,-4.7,-22.85%,4570940,0
08/15/2022,19.44,22.68,19.19,20.57,0.87,+4.42%,2022320,0
08/08/2022,18.28,20.15,17.865,19.7,1.68,+9.32%,1692120,0
08/01/2022,17.54,18.54,16.94,18.02,0.21,+1.18%,1321440,0
07/25/2022,18.63,18.78,16.75,17.81,-0.76,-4.09%,1245620,0
07/18/2022,16.88,19.17,16.82,18.57,1.86,+11.13%,1336100,0
07/11/2022,17.06,17.39,16.24,16.71,-0.5,-2.91%,1123660,0
07/04/2022,16.85,17.94,16.75,17.21,0.03,+0.17%,1443925,0
06/27/2022,19.64,19.71,16.53,17.18,-2.29,-11.76%,1485080,0
06/20/2022,19.5,19.87,18.405,19.47,0.51,+2.69%,1876725,0
06/13/2022,18.79,20.07,17.96,18.96,-0.11,-0.58%,2534580,0
06/06/2022,20.34,21.245,18.69,19.07,-1.29,-6.34%,2072180,0
05/30/2022,22.22,22.32,19.7501,20.36,-2.19,-9.71%,2626575,0
05/23/2022,26.5,27.74,18.31,22.55,-5.42,-19.38%,6522340,0
05/16/2022,32.43,33.75,27.075,27.97,-4.55,-13.99%,2469460,0
05/09/2022,33.63,34.96,30.77,32.52,-1.71,-5.00%,1442600,0
05/02/2022,34.57,36.56,33.31,34.23,-0.35,-1.01%,1265760,0
04/25/2022,34.56,36.35,34.15,34.58,-0.21,-0.60%,1421460,0
04/18/2022,34.4,38.49,34.4,34.79,0.3,+0.87%,2360560,0
04/11/2022,32.14,35.1,32.09,34.49,1.85,+5.67%,1796375,0
04/04/2022,31.62,33.03,29.87,32.64,1.22,+3.88%,1899280,0
03/28/2022,31.82,34.9,31.17,31.42,-0.51,-1.60%,1788780,0
03/21/2022,32.44,32.8,30.63,31.93,-0.34,-1.05%,1385380,0
03/14/2022,28.75,32.74,28.59,32.27,3.83,+13.47%,1861340,0
03/07/2022,28.75,29.7,26.47,28.44,-0.15,-0.52%,2707920,0
02/28/2022,38.14,38.739,28.43,28.59,-10.23,-26.35%,3614760,0
02/21/2022,38.78,39.72,35.43,38.82,-0.37,-0.94%,1529650,0
02/14/2022,40.29,41.96,38.72,39.19,-0.75,-1.88%,1162860,0
02/07/2022,38.42,42.09,38.34,39.94,1.91,+5.02%,1362120,0
01/31/2022,36.37,40,36.01,38.03,1.54,+4.22%,1682100,0
01/24/2022,32,38.15,31.76,36.49,4.13,+12.76%,2289180,0
01/17/2022,33.5,35.23,31.13,32.36,-1.78,-5.21%,2155375,0
01/10/2022,32.68,35.44,30.86,34.14,0.95,+2.86%,2424580,0
01/03/2022,35.2,36.32,32.4,33.19,-1.64,-4.71%,2008400,0
12/27/2021,34.36,35.92,34.26,34.83,0.47,+1.37%,1197980,0
12/20/2021,32.72,34.73,31.85,34.36,0.81,+2.41%,1284700,0
12/13/2021,35.1,35.335,32.02,33.55,-1.93,-5.44%,2139400,0
12/06/2021,35.52,38.22,34.7,35.48,0.55,+1.57%,1744800,0
11/29/2021,39.03,39.38,34.5175,34.93,-3.12,-8.20%,2085640,0
11/22/2021,45.76,47.5499,37.08,38.05,-7.14,-15.80%,3809175,0
11/15/2021,46.63,47.91,44.97,45.19,-0.49,-1.07%,1284160,0
11/08/2021,46.1,46.795,44.92,45.68,-0.55,-1.19%,814760,0
11/01/2021,40.06,48.97,39.94,46.23,6.69,+16.92%,1817440,0
10/25/2021,38.67,40.44,38.15,39.54,1.31,+3.43%,1061500,0
10/18/2021,38.95,39.5,37.5,38.23,-0.93,-2.37%,1077960,0
10/11/2021,39.5,39.85,36.92,39.16,-0.17,-0.43%,1642460,0
10/04/2021,38.74,40.98,37.68,39.33,0.55,+1.42%,1686420,0
09/27/2021,40.01,41.61,37.04,38.78,-1.21,-3.03%,1681100,0
09/20/2021,35.94,40.72,35.61,39.99,2.71,+7.27%,1379360,0
09/13/2021,35.59,37.8883,34.71,37.28,1.93,+5.46%,1690660,0
09/06/2021,34.65,35.87,33.02,35.35,0.57,+1.64%,1836900,0
08/30/2021,37.15,37.98,34.13,34.78,-2.48,-6.66%,2009860,0
08/23/2021,38.9,41.92,33.71,37.26,-0.76,-2.00%,4338580,0
08/16/2021,37.04,38.65,34.77,38.02,0.48,+1.28%,1501480,0
08/09/2021,36.19,40.86,35.23,37.54,1.11,+3.05%,1556180,0
08/02/2021,37.95,38.89,34.3601,36.43,-1.38,-3.65%,1787400,0
07/26/2021,38.88,39.95,37.61,37.81,-1.23,-3.15%,1367120,0
07/19/2021,38.5,41.75,37.82,39.04,-1.01,-2.52%,1567700,0
07/12/2021,43.09,45.32,39.6,40.05,-4.6,-10.30%,1670080,0
07/05/2021,45.65,45.65,41.501,44.65,-1.17,-2.55%,1492600,0
06/28/2021,45.77,47.235,44.95,45.82,-0.42,-0.91%,1175800,0
06/21/2021,41.2,47.29,41.03,46.24,5.9,+14.63%,1736660,0
06/14/2021,43,44.18,40.24,40.34,-2.76,-6.40%,1721620,0
06/07/2021,39.59,43.25,39.561,43.1,3.58,+9.06%,1695320,0
05/31/2021,43.22,43.27,38.34,39.52,-3.18,-7.45%,1939350,0
05/24/2021,37.28,44.49,36.82,42.7,5.54,+14.91%,3418820,0
05/17/2021,41.18,43.6,36.66,37.16,-4.13,-10.00%,1670600,0
05/10/2021,41.01,42.3,37.61,41.29,0.54,+1.33%,1507280,0
05/03/2021,37.86,41.13,37.35,40.75,3.26,+8.70%,1592360,0
04/26/2021,39.5,39.83,36.9504,37.49,-1.99,-5.04%,1196120,0
04/19/2021,40.17,40.4244,36.95,39.48,-1.03,-2.54%,993760,0
04/12/2021,38.65,41.08,37.88,40.51,1.81,+4.68%,1528900,0
04/05/2021,34.75,40.08,33.22,38.7,4.24,+12.30%,1764760,0
03/29/2021,33.09,35.37,32.88,34.46,0.9,+2.68%,1291375,0
03/22/2021,35.82,35.91,30.24,33.56,-2.34,-6.52%,1366060,0
03/15/2021,34.2,37.88,34.11,35.9,1.7,+4.97%,1713220,0
03/08/2021,30,34.27,29.9,34.2,4.5,+15.15%,1659620,0
03/01/2021,28.11,29.96,26.09,29.7,2.33,+8.51%,1850340,0
02/22/2021,27,28.69,25.425,27.37,0.45,+1.67%,1317620,0
02/15/2021,25.19,27.04,24.75,26.92,1.82,+7.25%,1237500,0
02/08/2021,26.28,26.67,24.18,25.1,-0.94,-3.61%,1087460,0
02/01/2021,23.07,26.3,22.29,26.04,2.97,+12.87%,1104100,0
01/25/2021,24.5,25.84,22.7505,23.07,-1.25,-5.14%,1548520,0
01/18/2021,24.42,24.57,23.5,24.32,0.06,+0.25%,1052100,0
01/11/2021,21.19,24.7613,21.19,24.26,2.73,+12.68%,2654300,0
01/04/2021,20.51,22.69,20.25,21.53,1.17,+5.75%,1784680,0
12/28/2020,20.22,20.93,19.64,20.36,0.27,+1.34%,1046425,0
12/21/2020,19.6,20.67,18.69,20.09,0.05,+0.25%,1134075,0
12/14/2020,20.94,20.965,19.825,20.04,-0.65,-3.14%,1125160,0
12/07/2020,21.05,22.62,20.45,20.69,-0.58,-2.73%,1423020,0
11/30/2020,22.4,22.5,19.6499,21.27,-1.34,-5.93%,2603540,0
11/23/2020,21.21,23.82,21.09,22.61,1.72,+8.23%,3935900,0
11/16/2020,18.78,20.97,18.01,20.89,2.83,+15.67%,1755600,0
11/09/2020,16.6,19.06,16.31,18.06,2.53,+16.29%,2549240,0
11/02/2020,14.39,16.19,14.05,15.53,1.31,+9.21%,2184320,0
10/26/2020,15.5,15.74,14.04,14.22,-1.69,-10.62%,1396040,0
10/19/2020,15.63,15.93,14.6601,15.91,0.27,+1.73%,1476800,0
10/12/2020,16.46,16.95,15.6224,15.64,-0.73,-4.46%,1635560,0
10/05/2020,15.49,17.2,15.22,16.37,1.17,+7.70%,2202020,0
09/28/2020,14.81,15.25,13.7,15.2,0.59,+4.04%,2217880,0
09/21/2020,14.92,15.085,14.295,14.61,-0.66,-4.32%,1592260,0
09/14/2020,14.49,15.79,14.39,15.27,1.01,+7.08%,2180520,0
09/07/2020,13.46,14.98,13.33,14.26,0.66,+4.85%,3096800,0
08/31/2020,12.41,13.64,12.3201,13.6,1.29,+10.48%,3364780,0
08/24/2020,10.06,13.2,10.06,12.31,2.2,+21.76%,5819800,0
08/17/2020,10.85,11.34,9.975,10.11,-0.71,-6.56%,1861220,0
08/10/2020,10.03,11.23,9.95,10.82,0.92,+9.29%,1792600,0
