Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/27/2023,0.9948,1.01,0.9607,0.9899,-0.0101,-1.01%,1529700,0
02/20/2023,0.91,1.07,0.8501,1,0.1351,+15.62%,2873600,0
02/13/2023,0.94,1,0.8555,0.8649,-0.0151,-1.72%,4137940,0
02/06/2023,2.39,2.44,0.85,0.88,-1.47,-62.55%,10470060,0
01/30/2023,2.61,2.66,2.1,2.35,-0.29,-10.98%,2797100,0
01/23/2023,1.56,2.65,1.49,2.64,1.02,+62.96%,3627220,0
01/16/2023,1.82,1.92,1.26,1.62,-0.25,-13.37%,4588450,0
01/09/2023,0.906,1.95,0.8602,1.87,1.0262,+121.62%,5635580,0
01/02/2023,0.6,0.9596,0.59,0.8438,0.2764,+48.71%,2871525,0
12/26/2022,0.6056,0.67,0.55,0.5674,-0.0049,-0.86%,1720750,0
12/19/2022,0.58,0.6798,0.5111,0.5723,0.1038,+22.16%,2527200,0
12/12/2022,0.8213,0.8298,0.4685,0.4685,-0.3614,-43.55%,2938180,0
12/05/2022,0.8795,0.9599,0.82,0.8299,-0.0363,-4.19%,1743520,0
11/28/2022,1.11,1.13,0.83,0.8662,-0.2538,-22.66%,3395280,0
11/21/2022,1.24,1.28,1.01,1.12,-0.12,-9.68%,2225775,0
11/14/2022,1.55,1.55,1.22,1.24,-0.29,-18.95%,1736180,0
11/07/2022,1.99,2.15,1.42,1.53,-0.42,-21.54%,2514420,0
10/31/2022,2.15,2.31,1.89,1.95,-0.15,-7.14%,1267260,0
10/24/2022,1.6,2.14,1.56,2.1,0.52,+32.91%,1441740,0
10/17/2022,1.61,1.67,1.5,1.58,-0.02,-1.25%,1116480,0
10/10/2022,1.82,1.82,1.58,1.6,-0.19,-10.61%,983320,0
10/03/2022,2,2.07,1.77,1.79,-0.18,-9.14%,1262280,0
09/26/2022,1.92,2.085,1.82,1.97,0.05,+2.60%,1801400,0
09/19/2022,2.13,2.26,1.86,1.92,-0.22,-10.28%,1562320,0
09/12/2022,2.77,2.82,2.11,2.14,-0.6,-21.90%,1623740,0
09/05/2022,2.8,2.8,2.56,2.74,0,0.00%,1149300,0
08/29/2022,2.95,3.0003,2.73,2.74,-0.25,-8.36%,756840,0
08/22/2022,3.1,3.3299,2.98,2.99,-0.11,-3.55%,744300,0
08/15/2022,3.3,3.52,3.03,3.1,-0.22,-6.63%,1568320,0
08/08/2022,3.81,4.07,3.21,3.32,-0.51,-13.32%,1224400,0
08/01/2022,3.91,4.15,3.6,3.83,-0.01,-0.26%,1131800,0
07/25/2022,4.18,4.18,3.655,3.84,-0.32,-7.69%,699540,0
07/18/2022,4.12,4.4,3.82,4.16,0.02,+0.48%,980740,0
07/11/2022,4.51,4.52,3.62,4.14,-0.53,-11.35%,1110480,0
07/04/2022,3.65,4.8379,3.5701,4.67,1.02,+27.95%,1565125,0
06/27/2022,3.95,4.05,3.14,3.65,-0.27,-6.89%,1030880,0
06/20/2022,3.16,4.1708,3.15,3.92,0.8,+25.64%,2111175,0
06/13/2022,2.51,3.3,2.51,3.12,0.46,+17.29%,2375560,0
06/06/2022,2.95,2.97,2.585,2.66,-0.21,-7.32%,1015460,0
05/30/2022,3.27,3.29,2.78,2.87,-0.39,-11.96%,1225000,0
05/23/2022,3.05,3.37,2.8,3.26,0.32,+10.88%,1492300,0
05/16/2022,3.15,3.23,2.78,2.94,-0.05,-1.67%,1330240,0
05/09/2022,2.98,3.15,2.4,2.99,0.07,+2.40%,2046020,0
05/02/2022,4.11,4.11,2.85,2.92,-1.19,-28.95%,3024800,0
04/25/2022,4,4.475,3.97,4.11,0.03,+0.74%,916080,0
04/18/2022,4.66,4.8,3.925,4.08,-0.62,-13.19%,1037780,0
04/11/2022,4.38,4.875,4.18,4.7,0.29,+6.58%,1154925,0
04/04/2022,4.92,5.48,4.38,4.41,-0.475,-9.72%,1412420,0
03/28/2022,6.01,6.17,4.83,4.885,-1.095,-18.31%,1793300,0
03/21/2022,6.51,7.05,5.77,5.98,-0.26,-4.17%,2468880,0
03/14/2022,5.32,6.67,4.54,6.24,1.13,+22.11%,3376900,0
03/07/2022,4.62,5.8,4.1363,5.11,0.62,+13.81%,5064992,0
02/28/2022,3.6,4.59,3.52,4.49,0.96,+27.20%,2556300,0
02/21/2022,3,3.55,2.74,3.53,0.52,+17.28%,1424150,0
02/14/2022,3.14,3.35,2.955,3.01,-0.11,-3.53%,1126580,0
02/07/2022,2.99,3.34,2.94,3.12,0.16,+5.41%,1459620,0
01/31/2022,2.75,3.26,2.62,2.96,-0.44,-12.94%,2343860,0
01/24/2022,3.42,3.7394,3.1805,3.4,-0.15,-4.23%,1402680,0
01/17/2022,4.02,4.02,3.51,3.55,-0.47,-11.69%,1563000,0
01/10/2022,4.0084,4.1691,3.805,4.02,-0.05,-1.23%,1053960,0
01/03/2022,3.95,4.27,3.73,4.07,0.18,+4.63%,1609420,0
12/27/2021,4.65,4.65,3.84,3.89,-0.66,-14.51%,1369320,0
12/20/2021,4.56,4.8,4.42,4.55,-0.145,-3.09%,1210125,0
12/13/2021,5.13,5.16,4.58,4.695,-0.475,-9.19%,1638020,0
12/06/2021,4.85,5.42,4.71,5.17,0.35,+7.26%,1372340,0
11/29/2021,5.15,5.22,4.665,4.82,-0.32,-6.23%,1652780,0
11/22/2021,5.41,5.57,4.9803,5.14,-0.27,-4.99%,1197500,0
11/15/2021,6.47,6.49,5.22,5.41,-1.09,-16.77%,1816920,0
11/08/2021,5.54,7.11,5.385,6.5,0.96,+17.33%,2925780,0
11/01/2021,6.06,6.34,5.46,5.54,-0.48,-7.97%,1563980,0
10/25/2021,5.31,6.45,5.08,6.02,0.66,+12.31%,1843200,0
10/18/2021,5.74,5.75,5.275,5.36,-0.42,-7.27%,1135620,0
10/11/2021,5.72,6.05,5.35,5.78,0.03,+0.52%,1674360,0
10/04/2021,6.44,6.45,5.71,5.75,-0.68,-10.58%,1132800,0
09/27/2021,6.68,6.84,6.24,6.43,-0.24,-3.60%,1243500,0
09/20/2021,7.5,7.5,6.65,6.67,-0.93,-12.24%,1954220,0
09/13/2021,7.5,8.1,7.02,7.6,0.09,+1.20%,3542980,0
09/06/2021,7.9,8.219,7.45,7.51,-0.37,-4.70%,853400,0
08/30/2021,8.16,8.85,7.655,7.88,-0.24,-2.96%,1463440,0
08/23/2021,7.46,8.44,7.26,8.12,0.98,+13.73%,2000500,0
08/16/2021,7.6,7.78,6.66,7.14,-0.46,-6.05%,2380560,0
08/09/2021,12.01,12.29,7.2,7.6,-4.31,-36.19%,6123360,0
08/02/2021,11.82,12.6,11.145,11.91,-0.01,-0.08%,1258720,0
07/26/2021,12.17,13.22,11.66,11.92,-0.24,-1.97%,1175360,0
07/19/2021,12.64,13.68,12.05,12.16,-0.72,-5.59%,889960,0
07/12/2021,14.77,14.89,12.55,12.88,-1.97,-13.27%,1025720,0
07/05/2021,14.98,15.63,13.86,14.85,0.05,+0.34%,888300,0
06/28/2021,16.54,16.87,14.63,14.8,-1.73,-10.47%,1166500,0
06/21/2021,15.33,17.6,15.07,16.53,1.21,+7.90%,2193280,0
06/14/2021,17.16,17.48,14.93,15.32,-1.72,-10.09%,1282540,0
06/07/2021,18.27,20.22,16.925,17.04,-0.94,-5.23%,1569860,0
05/31/2021,17.06,18.64,16.2101,17.98,1.33,+7.99%,1281350,0
05/24/2021,15.74,17.3796,14.9,16.65,1.17,+7.56%,1101780,0
05/17/2021,12.34,15.63,12.08,15.48,3.57,+29.97%,1508520,0
05/10/2021,13.77,13.77,10.9,11.91,-2,-14.38%,1459880,0
05/03/2021,17.21,17.45,13.77,13.91,-3.2,-18.70%,1187940,0
04/26/2021,15.95,18.11,15.55,17.11,1.93,+12.71%,1262100,0
04/19/2021,15.83,15.99,11.9401,15.18,-0.82,-5.13%,2681920,0
04/12/2021,16.89,17.94,15.8,16,-0.98,-5.77%,1863760,0
04/05/2021,18.13,19.01,16.87,16.98,-0.86,-4.82%,1173300,0
03/29/2021,17.93,19.26,16.13,17.84,-0.12,-0.67%,1398000,0
03/22/2021,21.93,22.0799,16.9,17.96,-3.63,-16.81%,2276720,0
03/15/2021,24.36,25,20.61,21.59,-1.74,-7.46%,4041560,0
03/08/2021,18.21,24.95,16.5,23.33,6.46,+38.29%,2904720,0
03/01/2021,31.52,32.48,15.3001,16.87,-13.58,-44.60%,3959900,0
02/22/2021,35.7,39.5,30.15,30.45,-5.25,-14.71%,1121240,0
02/15/2021,35.3,37.49,30.51,35.7,2.44,+7.34%,901000,0
02/08/2021,36.2,39.5,33.26,33.26,-0.49,-1.45%,902740,0
02/01/2021,35.69,42.9,26,33.75,8.8,+35.27%,1515540,0
01/25/2021,25.99,25.99,20.71,24.95,-0.08,-0.32%,264160,0
01/18/2021,24.26,28.98,23.44,25.03,1.36,+5.75%,526675,0
01/11/2021,19.44,26.6899,19.18,23.67,4.52,+23.60%,406460,0
01/04/2021,15.74,20.75,14.63,19.15,3.5,+22.36%,317240,0
12/28/2020,16.34,16.4899,14.11,15.65,-0.28,-1.76%,238950,0
12/21/2020,16.5,17.9099,15.15,15.93,-0.14,-0.87%,242600,0
12/14/2020,17.6,18.13,14.61,16.07,-1.28,-7.38%,200820,0
12/07/2020,13.99,18.7327,13.75,17.35,3.84,+28.42%,385640,0
11/30/2020,12.0158,14.2195,11.8501,13.51,1.63,+13.72%,379920,0
11/23/2020,12.15,12.36,11.71,11.88,0.04,+0.34%,320625,0
11/16/2020,10.66,12.2676,10.66,11.84,1.19,+11.17%,330360,0
11/09/2020,11.15,11.15,10.55,10.65,-0.39,-3.53%,34140,0
11/02/2020,11.27,11.46,10.78,11.04,-0.065,-0.59%,136700,0
10/26/2020,11.8,11.8,11.0001,11.105,-0.395,-3.43%,242620,0
10/19/2020,10.75,11.6,10.6284,11.5,0.84,+7.88%,503820,0
10/12/2020,10.59,10.71,10.16,10.66,0.14,+1.33%,360520,0
10/05/2020,11.73,11.73,10.25,10.52,-0.83,-7.31%,278560,0
09/28/2020,10.06,12.99,10.05,11.35,1.32,+13.16%,1983060,0
09/21/2020,10.04,10.1,9.9081,10.03,-0.0395,-0.39%,43940,0
09/14/2020,9.97,10.07,9.82,10.0695,0.1895,+1.92%,113100,0
09/07/2020,9.91,9.98,9.81,9.88,-0.09,-0.90%,22450,0
08/31/2020,9.85,9.97,9.8,9.97,0.0701,+0.71%,30920,0
08/24/2020,9.98,9.98,9.85,9.8999,0.0499,+0.51%,47400,0
08/17/2020,9.91,10,9.85,9.85,-0.06,-0.61%,110240,0
08/10/2020,9.87,9.97,9.87,9.91,-0.06,-0.60%,10900,0
08/03/2020,9.9,10,9.83,9.97,0.0341,+0.34%,2820,0
07/27/2020,10.0025,10.0025,9.9,9.9359,-0.0641,-0.64%,10500,0
07/20/2020,10.0001,10.02,9.97,10,-0.015,-0.15%,5580,0
07/13/2020,9.98,10.2,9.8995,10.015,0.075,+0.75%,14580,0
07/06/2020,9.87,10,9.758,9.94,0.12,+1.22%,7820,0
06/29/2020,10,10.5,9.75,9.82,-0.03,-0.30%,27075,0
06/22/2020,9.94,10.19,9.705,9.85,-0.03,-0.30%,86460,0
06/15/2020,10.1,10.1,9.61,9.88,-0.13,-1.30%,49740,0
"Downloaded from Barchart.com as of 02-28-2023 05:38am CST"
