Time,Open,High,Low,Last,Change,%Chg,Volume
02/27/2023,81.25,81.66,79.945,80.63,0.46,+0.57%,943550
02/20/2023,81.48,82.21,79.8,80.17,-2.94,-3.54%,691150
02/13/2023,86.2,86.43,81.8,83.11,-2.23,-2.61%,1072140
02/06/2023,83.55,87.5,82.77,85.34,0.31,+0.36%,1165340
01/30/2023,81.89,86.1334,80.79,85.03,2.13,+2.57%,1079780
01/23/2023,79.16,83.12,76.44,82.9,4.27,+5.43%,761881
01/16/2023,77.3,79.28,74.97,78.63,1.16,+1.50%,893275
01/09/2023,69.9,77.68,69.44,77.47,8.34,+12.06%,938600
01/02/2023,69.44,70.02,67.29,69.13,0.69,+1.01%,1015478
12/26/2022,68,68.9694,66.13,68.44,0.75,+1.11%,770575
12/19/2022,67.47,69.13,66.04,67.69,-0.45,-0.66%,949761
12/12/2022,69.11,75.46,67.32,68.14,-1.02,-1.47%,1628340
12/05/2022,75.43,75.74,68.11,69.16,-6.81,-8.96%,1358420
11/28/2022,77.51,78.72,74.505,75.97,-2.5,-3.19%,3041000
11/21/2022,76.66,79.6,76.3738,78.47,1.56,+2.03%,948350
11/14/2022,83.89,83.89,76.25,76.91,-7.19,-8.55%,1201660
11/07/2022,79.96,86.06,78.22,84.1,5.65,+7.20%,1556340
10/31/2022,76.75,79.68,75.44,78.45,1.56,+2.03%,1156520
10/24/2022,68.86,77.115,66.99,76.89,8.52,+12.46%,1643140
10/17/2022,62.89,68.85,62.87,68.37,7.29,+11.94%,1422260
10/10/2022,65.39,65.4,58.6,61.08,-4.11,-6.30%,1036080
10/03/2022,62.67,68.8562,61.21,65.19,3.24,+5.23%,1061680
09/26/2022,64.63,66.57,61.59,61.95,-3.27,-5.01%,1450100
09/19/2022,73.61,76.03,63.55,65.22,-9.44,-12.64%,1230860
09/12/2022,79.23,79.5,73.57,74.66,-4.08,-5.18%,1120120
09/05/2022,72.74,79.19,70.57,78.74,5.99,+8.23%,761725
08/29/2022,74.07,75.93,72.16,72.75,-2.32,-3.09%,882920
08/22/2022,73.43,78.49,72.685,75.07,0.19,+0.25%,795560
08/15/2022,74.99,78.55,73.955,74.88,-0.24,-0.32%,1080980
08/08/2022,73.94,76.17,71.75,75.12,1.79,+2.44%,649540
08/01/2022,71.36,74.5299,70.97,73.33,1.68,+2.34%,688360
07/25/2022,65.23,73.45,63.47,71.65,6.51,+9.99%,1085640
07/18/2022,61.72,66.9644,60.18,65.14,4.45,+7.33%,582760
07/11/2022,60.16,61.8469,57.1501,60.69,-0.16,-0.26%,654660
07/04/2022,57.13,61.705,56.49,60.85,2.3,+3.93%,858300
06/27/2022,60.32,61.94,55.4525,58.55,-1.38,-2.30%,790460
06/20/2022,55.74,59.98,55.05,59.93,5.41,+9.92%,1452350
06/13/2022,62.79,63.34,53.15,54.52,-11.23,-17.08%,2134080
06/06/2022,74.15,75.44,65.65,65.75,-7.57,-10.32%,649360
05/30/2022,72.23,73.75,68.76,73.32,0.61,+0.84%,813125
05/23/2022,67.7,72.915,64.69,72.71,5.95,+8.91%,563440
05/16/2022,67.86,70.12,65.04,66.76,-1.77,-2.58%,605920
05/09/2022,65.75,68.75,61.62,68.53,0.64,+0.94%,1060560
05/02/2022,66.22,72.232,65.6,67.89,1.67,+2.52%,977540
04/25/2022,74.71,76.7915,66.08,66.22,-9.4,-12.43%,1025404
04/18/2022,76.59,83.42,74.75,75.62,-1.68,-2.17%,754620
04/11/2022,79.29,79.61,75.49,77.3,-3.07,-3.82%,721975
04/04/2022,83.38,85.48,77.715,80.37,-2.67,-3.22%,782380
03/28/2022,79.18,83.48,78.13,83.04,3.95,+4.99%,612900
03/21/2022,80.3,81.66,77.83,79.09,-1.51,-1.87%,790620
03/14/2022,71.25,80.89,69.35,80.6,9.35,+13.12%,1052940
03/07/2022,74.14,74.72,65.61,71.25,-3.41,-4.57%,889600
02/28/2022,78.8,82.75,74.13,74.66,-5.06,-6.35%,1014800
02/21/2022,75.93,79.93,70.36,79.72,2.77,+3.60%,767200
02/14/2022,80.11,82.81,76.76,76.95,-2.95,-3.69%,868260
02/07/2022,79.11,83.73,77.66,79.9,0.51,+0.64%,969540
01/31/2022,74.49,80.9,74.23,79.39,5.23,+7.05%,1095160
01/24/2022,70.93,75.14,69.21,74.16,1.41,+1.94%,876740
01/17/2022,76.29,76.41,71.9,72.75,-4.37,-5.67%,727400
01/10/2022,74.11,79.87,72.68,77.12,2.12,+2.83%,619180
01/03/2022,81.08,81.47,72.75,75,-6.27,-7.72%,656200
12/27/2021,82.54,84.1,80.41,81.27,-0.09,-0.11%,381280
12/20/2021,75.33,81.94,72.835,81.36,4.67,+6.09%,639500
12/13/2021,78.26,79.28,74.39,76.69,-2,-2.54%,933920
12/06/2021,80.4,83.13,78.06,78.69,-1.2,-1.50%,544960
11/29/2021,83.27,84.67,79,79.89,-2.28,-2.77%,630460
11/22/2021,89.02,89.25,81.22,82.17,-6.13,-6.94%,754500
11/15/2021,86.87,90.08,86.0196,88.3,1.77,+2.05%,486780
11/08/2021,85.81,88.16,84.865,86.53,0.87,+1.02%,570300
11/01/2021,85.21,87.33,83.25,85.66,0.92,+1.09%,621240
10/25/2021,82.21,86.34,81.92,84.74,3.07,+3.76%,681160
10/18/2021,76.96,81.78,76.42,81.67,4.94,+6.44%,493040
10/11/2021,77.83,79.59,75.98,76.73,-1,-1.29%,386780
10/04/2021,73.98,78.41,72.931,77.73,3.3,+4.43%,613060
09/27/2021,77.13,77.4123,72.51,74.43,-2.85,-3.69%,522340
09/20/2021,77.09,77.85,75.23,77.28,-1.42,-1.80%,625560
09/13/2021,79.15,80.21,77.43,78.7,-0.23,-0.29%,1159620
09/06/2021,79.69,81.16,78.79,78.93,-0.4,-0.50%,658400
08/30/2021,75.23,79.58,75,79.33,4.22,+5.62%,575660
08/23/2021,71.27,75.78,71.27,75.11,3.95,+5.55%,575100
08/16/2021,74.31,74.77,70.15,71.16,-3.33,-4.47%,1119360
08/09/2021,73.99,74.69,70,74.49,0.68,+0.92%,628300
08/02/2021,71.99,73.97,70.35,73.81,2.2,+3.07%,551040
07/26/2021,66.5,71.885,65.85,71.61,5.1,+7.67%,631860
07/19/2021,61.12,66.54,60.84,66.51,4.34,+6.98%,424240
07/12/2021,64.83,65.26,61.96,62.17,-2.5,-3.87%,451180
07/05/2021,65,65.65,63.41,64.67,-0.32,-0.49%,653350
06/28/2021,62.79,64.99,61.46,64.99,2.28,+3.64%,775420
06/21/2021,57.71,62.79,57.46,62.71,5.52,+9.65%,1356600
06/14/2021,59.38,59.5,56.67,57.19,-2.1,-3.54%,762740
06/07/2021,56.9,59.52,56.6,59.29,2.72,+4.81%,575520
05/31/2021,55.83,56.62,55.01,56.57,1.39,+2.52%,816850
05/24/2021,55.37,55.38,53.63,55.18,0.18,+0.33%,1175380
05/17/2021,52.11,55.06,50.46,55,2.59,+4.94%,812500
05/10/2021,53.54,54.26,50.79,52.41,-1.25,-2.33%,994980
05/03/2021,52.76,53.99,51.24,53.66,1.14,+2.17%,1964480
04/26/2021,55.7,56.7326,52.26,52.52,-2.85,-5.15%,1372100
04/19/2021,55.91,56.105,53.1,55.37,-0.52,-0.93%,1026000
04/12/2021,55.5,56.71,54.56,55.89,0.76,+1.38%,776420
04/05/2021,58.5,59.165,53.75,55.13,-2.55,-4.42%,2364160
03/29/2021,52.99,57.7,52.47,57.68,3.78,+7.01%,773800
03/22/2021,54.15,55.45,52.84,53.9,-0.3,-0.55%,869900
03/15/2021,55.16,55.96,53.98,54.2,-1.04,-1.88%,890040
03/08/2021,51.5,55.54,51.28,55.24,4.08,+7.97%,608720
03/01/2021,52.9,53.55,47.77,51.16,-0.82,-1.58%,771060
02/22/2021,51.03,52.7,49.1,51.98,0.49,+0.95%,656700
02/15/2021,51.88,53.35,51.25,51.49,0.05,+0.10%,670675
02/08/2021,49,53.14,47.25,51.44,2.77,+5.69%,885240
02/01/2021,45.62,49.35,45.18,48.67,3.51,+7.77%,534800
01/25/2021,45.28,46.385,44.43,45.16,-0.12,-0.27%,409000
01/18/2021,45.34,46.8,45.11,45.28,0.14,+0.31%,604525
01/11/2021,47.29,47.57,44.62,45.14,-2.37,-4.99%,522360
01/04/2021,47.3,48.25,45.77,47.51,0.46,+0.98%,658380
12/28/2020,49.53,49.64,46.91,47.05,-2.01,-4.10%,730900
