Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,13.53,13.99,13.15,13.56,0.02,+0.15%,293540,0
03/06/2023,14.51,14.83,13.26,13.54,-0.76,-5.31%,381163,0
02/27/2023,11.2,14.83,10.9655,14.3,3.34,+30.47%,527354,0
02/20/2023,11.13,11.94,10.7,10.96,-0.32,-2.84%,117075,0
02/13/2023,10.64,11.46,10.17,11.28,0.58,+5.42%,94040,0
02/06/2023,10.78,11.08,10.5958,10.7,-0.2,-1.83%,60780,0
01/30/2023,9.97,11.2299,9.95,10.9,0.9,+9.00%,95280,0
01/23/2023,9.86,10.4,9.7,10,0.08,+0.81%,119700,0
01/16/2023,9.82,10.1,9.41,9.92,0.09,+0.92%,79600,0
01/09/2023,9.94,10.8975,9.7627,9.83,-0.11,-1.11%,147380,0
01/02/2023,9.58,10.29,9.11,9.94,0.6,+6.42%,99800,0
12/26/2022,9.6,10.19,8.14,9.34,-0.12,-1.27%,118500,0
12/19/2022,8.98,10.52,8.81,9.46,0.65,+7.38%,198400,0
12/12/2022,7.85,8.84,7.85,8.81,0.95,+12.09%,81100,0
12/05/2022,8.98,9.04,7.83,7.86,-1.12,-12.47%,45320,0
11/28/2022,7.95,9.3894,7.73,8.98,1,+12.53%,149400,0
11/21/2022,6.91,8.121,6.81,7.98,0.99,+14.16%,268450,0
11/14/2022,6.79,7.0499,6.59,6.99,0.255,+3.79%,76060,0
11/07/2022,6.6,7.06,6.4,6.735,0.085,+1.28%,78860,0
10/31/2022,6.06,6.73,5.99,6.65,0.55,+9.02%,43600,0
10/24/2022,5.51,6.3,5.35,6.1,0.68,+12.55%,176860,0
10/17/2022,5.05,5.47,5.05,5.42,0.38,+7.54%,32080,0
10/10/2022,5.01,5.31,4.87,5.04,-0.11,-2.14%,32440,0
10/03/2022,5.63,5.71,5.1,5.15,-0.57,-9.97%,30580,0
09/26/2022,5.19,5.91,5.14,5.72,0.39,+7.32%,60220,0
09/19/2022,5.1,5.4,5.0369,5.33,0.17,+3.29%,39060,0
09/12/2022,5.48,5.69,5.05,5.16,-0.29,-5.32%,75480,0
09/05/2022,5.37,5.65,5.14,5.45,0.05,+0.93%,29475,0
08/29/2022,5.51,5.68,5.26,5.4,-0.12,-2.17%,20280,0
08/22/2022,5.49,5.74,5.25,5.52,-0.06,-1.08%,94860,0
08/15/2022,5.54,5.7899,5,5.58,-0.02,-0.36%,104600,0
08/08/2022,5.2,5.94,5.01,5.6,0.43,+8.32%,172580,0
08/01/2022,5.66,5.7,5.14,5.17,-0.53,-9.30%,48880,0
07/25/2022,5.67,6,5.56,5.7,0.05,+0.88%,34120,0
07/18/2022,5.6,5.77,5.51,5.65,0.04,+0.71%,36480,0
07/11/2022,5.44,5.68,5.34,5.61,0.12,+2.19%,53300,0
07/04/2022,5.72,5.72,5.345,5.49,-0.17,-3.00%,17600,0
06/27/2022,5.73,5.73,5.5,5.66,-0.03,-0.53%,55460,0
06/20/2022,5.6,5.9481,5.5227,5.69,0.1,+1.79%,16675,0
06/13/2022,5.9,5.94,5.5,5.59,-0.36,-6.05%,46680,0
06/06/2022,5.97,6.06,5.766,5.95,0,0.00%,48680,0
05/30/2022,6.12,6.12,5.78,5.95,-0.15,-2.46%,42350,0
05/23/2022,6.07,6.2,5.7956,6.1,-0.03,-0.49%,45300,0
05/16/2022,5.94,6.22,5.9075,6.13,0.13,+2.17%,21880,0
05/09/2022,6.1067,6.11,5.805,6,-0.05,-0.83%,30580,0
05/02/2022,6.01,6.2499,5.82,6.05,-0.01,-0.17%,14520,0
04/25/2022,5.96,6.2399,5.66,6.06,0.02,+0.33%,66120,0
04/18/2022,5.56,6.34,5.5,6.04,0.54,+9.82%,31180,0
04/11/2022,6.57,6.7399,5.5,5.5,-1.02,-15.64%,63175,0
04/04/2022,5.88,7.1487,5.84,6.52,0.75,+13.00%,98320,0
03/28/2022,6.13,6.25,5.65,5.77,-0.27,-4.47%,34820,0
03/21/2022,6.52,6.52,6,6.04,-0.52,-7.93%,24360,0
03/14/2022,6.88,7.1799,6.32,6.56,-0.35,-5.07%,59960,0
03/07/2022,7.05,7.1665,6.66,6.91,-0.09,-1.29%,25960,0
02/28/2022,7,7.1777,6.76,7,0.02,+0.29%,24240,0
02/21/2022,7.09,7.2699,6.85,6.98,-0.15,-2.10%,42025,0
02/14/2022,7.28,7.32,7,7.13,-0.18,-2.46%,14200,0
02/07/2022,7.31,7.32,7.01,7.31,0.04,+0.55%,13360,0
01/31/2022,7.2,7.36,7.02,7.27,0.13,+1.82%,21200,0
01/24/2022,7,7.3,6.68,7.14,0.11,+1.56%,142040,0
01/17/2022,7.15,7.37,6.85,7.03,-0.39,-5.26%,25375,0
01/10/2022,7.2,7.49,7.14,7.42,0.17,+2.34%,16220,0
01/03/2022,7.9,7.95,7.16,7.25,-0.58,-7.41%,32120,0
12/27/2021,7.98,8.03,7.51,7.83,-0.15,-1.88%,67980,0
12/20/2021,7.81,8.35,7.475,7.98,0.17,+2.18%,30175,0
12/13/2021,8.52,8.66,7.74,7.81,-0.75,-8.76%,37640,0
12/06/2021,8.31,8.77,8.18,8.56,0.23,+2.76%,23400,0
11/29/2021,8.49,8.98,8.1,8.33,-0.2,-2.34%,63840,0
11/22/2021,8.64,8.86,8.2584,8.53,-0.15,-1.73%,52000,0
11/15/2021,9.25,9.26,8.51,8.68,0,0.00%,73320,0
11/08/2021,9.52,9.94,8.595,8.68,-0.87,-9.11%,115082,0
11/01/2021,9.8563,9.9,9.375,9.55,-0.11,-1.14%,26860,0
10/25/2021,9.28,9.9123,8.73,9.66,0.46,+5.00%,26460,0
10/18/2021,9.01,9.37,8.91,9.2,0.2,+2.22%,31740,0
10/11/2021,9.13,9.21,8.78,9,-0.07,-0.77%,18820,0
10/04/2021,8.88,9.2,8.66,9.07,0.14,+1.57%,41820,0
09/27/2021,8.48,9.13,8.48,8.93,0.43,+5.06%,41900,0
09/20/2021,8.38,8.61,8.154,8.5,-0.06,-0.70%,28720,0
09/13/2021,8.47,8.74,8.05,8.56,0.14,+1.66%,28200,0
09/06/2021,8.92,8.92,8.42,8.42,-0.54,-6.03%,24625,0
08/30/2021,8.98,9.4399,8.715,8.96,-0.04,-0.44%,24320,0
08/23/2021,8.84,9.35,8.74,9,0.17,+1.93%,49140,0
08/16/2021,9.35,9.35,8.75,8.83,-0.62,-6.56%,47220,0
08/09/2021,9.38,9.75,9.01,9.45,0.08,+0.85%,67860,0
08/02/2021,9.43,9.59,8.848,9.37,-0.05,-0.53%,37340,0
07/26/2021,8.97,9.52,8.73,9.42,0.46,+5.13%,75580,0
07/19/2021,8.19,9.13,7.96,8.96,0.76,+9.27%,77360,0
07/12/2021,8.48,8.69,8.1,8.2,-0.27,-3.19%,62240,0
07/05/2021,8.79,8.8,8.09,8.47,-0.26,-2.98%,85925,0
06/28/2021,8.89,9.25,8.6,8.73,-0.13,-1.47%,67900,0
06/21/2021,8.15,8.92,7.97,8.86,0.7,+8.58%,564820,0
06/14/2021,8.23,8.455,7.96,8.16,-0.1,-1.21%,120000,0
06/07/2021,8.23,9.03,8.13,8.26,0,0.00%,88720,0
05/31/2021,8.44,8.96,8.02,8.26,-0.19,-2.25%,103125,0
05/24/2021,8.74,8.92,8.2,8.45,-0.26,-2.99%,57020,0
05/17/2021,7.99,8.86,7.84,8.71,0.64,+7.93%,95960,0
05/10/2021,8.27,8.39,7.73,8.07,-0.2,-2.42%,153200,0
05/03/2021,8,8.27,7.88,8.27,0.26,+3.25%,82820,0
04/26/2021,8.11,8.24,7.88,8.01,-0.09,-1.11%,76620,0
04/19/2021,7.86,8.17,7.64,8.1,0.19,+2.40%,98460,0
04/12/2021,7.97,8.24,7.73,7.91,0.06,+0.76%,156420,0
04/05/2021,8.09,8.13,7.72,7.85,-0.15,-1.88%,73560,0
03/29/2021,7.73,8.04,7.57,8,0.3,+3.90%,94925,0
03/22/2021,7.7,8.12,7.575,7.7,0,0.00%,143680,0
03/15/2021,8.21,8.23,7.55,7.7,-0.53,-6.44%,199360,0
03/08/2021,8.11,9.04,7.98,8.23,0.15,+1.86%,76140,0
03/01/2021,7.95,8.23,7.67,8.08,0.29,+3.72%,56400,0
02/22/2021,8.36,8.49,7.55,7.79,-0.66,-7.81%,77660,0
02/15/2021,8.5,8.91,8.275,8.45,-0.05,-0.59%,88725,0
02/08/2021,9.15,9.16,8.36,8.5,-0.69,-7.51%,117020,0
02/01/2021,8.18,9.25,8.0501,9.19,1.01,+12.35%,74420,0
01/25/2021,8.25,8.5999,7.92,8.18,-0.07,-0.85%,100160,0
01/18/2021,7.45,8.47,7.375,8.25,0.83,+11.19%,192400,0
01/11/2021,7.25,7.5383,7.145,7.42,0.17,+2.34%,62340,0
01/04/2021,7.14,7.4,7.05,7.25,0.15,+2.11%,109680,0
12/28/2020,7.35,7.5,7.03,7.1,-0.17,-2.34%,127725,0
12/21/2020,7.25,7.43,7.21,7.27,0.02,+0.28%,172000,0
12/14/2020,7.55,7.99,7.23,7.25,-0.25,-3.33%,376560,0
12/07/2020,7.61,7.8,7.13,7.5,-0.26,-3.35%,68380,0
11/30/2020,7.98,8.23,7.55,7.76,-0.23,-2.88%,46720,0
11/23/2020,7.75,8.48,7.4667,7.99,0.25,+3.23%,72300,0
11/16/2020,7.2,7.9,7.0411,7.74,0.62,+8.71%,57400,0
11/09/2020,7.28,7.689,6.5088,7.12,0.13,+1.86%,85980,0
11/02/2020,7.11,7.89,6.85,6.99,-0.08,-1.13%,71160,0
10/26/2020,8.46,8.5001,6.91,7.07,-1.51,-17.60%,86940,0
10/19/2020,8.34,8.73,8.13,8.58,0.33,+4.00%,54520,0
10/12/2020,8.29,8.38,7.8,8.25,-0.12,-1.43%,71560,0
10/05/2020,7.47,8.4,7.32,8.37,0.98,+13.26%,84000,0
09/28/2020,7.05,7.7,7.03,7.39,0.41,+5.87%,99180,0
