Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,2.97,3.1,2.49,2.72,-0.3,-9.93%,157575,0
02/13/2023,2.92,3.21,2.92,3.02,0.05,+1.68%,98320,0
02/06/2023,3.5,3.58,2.86,2.97,-0.56,-15.86%,210320,0
01/30/2023,3.21,4.39,3.17,3.53,0.29,+8.95%,825800,0
01/23/2023,3.4,5.35,3.09,3.24,-0.39,-10.74%,5404940,0
01/16/2023,3.58,4.25,3.1004,3.63,-0.08,-2.16%,497325,0
01/09/2023,5.1,6.05,3.47,3.71,-1.56,-29.60%,1757040,0
01/02/2023,3.93,7.1499,3.55,5.27,1.88,+55.46%,23310525,0
12/26/2022,1.92,3.98,1.55,3.39,2.15,+173.39%,24040100,0
12/19/2022,6.14,7.06,1.18,1.24,-3.56,-74.17%,7541660,0
12/12/2022,5.4,8,3.212,4.8,-0.6,-11.11%,31068,0
12/05/2022,8.2,8.2,5.002,5.4,-2.86,-34.62%,13421,0
11/28/2022,8.82,9.818,7.86,8.26,-0.74,-8.22%,4363,0
11/21/2022,10.294,10.532,8,9,-1.534,-14.56%,2693,0
11/14/2022,7.894,11.18,7.302,10.534,3.054,+40.83%,8508,0
11/07/2022,8.4,8.56,7,7.48,-1.2,-13.82%,8207,0
10/31/2022,9.02,9.898,7.974,8.68,-0.392,-4.32%,7060,0
10/24/2022,10.158,10.26,8.8,9.072,-0.904,-9.06%,5903,0
10/17/2022,10.4,11.92,9.03,9.976,-0.228,-2.23%,13301,0
10/10/2022,11.72,11.72,10,10.204,-1.796,-14.97%,9182,0
10/03/2022,14.4,18,11.602,12,-1.3,-9.77%,31726,0
09/26/2022,14,14.632,12.62,13.3,-0.518,-3.75%,3026,0
09/19/2022,15.8,16.198,12.456,13.818,-2.38,-14.69%,10390,0
09/12/2022,16.82,18.66,15.4,16.198,-0.642,-3.81%,11544,0
09/05/2022,17,17.8,15.2,16.84,0.17,+1.02%,4890,0
08/29/2022,17.36,17.998,16.052,16.67,-0.512,-2.98%,6811,0
08/22/2022,17.4,19.6,16,17.182,-1.818,-9.57%,20709,0
08/15/2022,23.2,23.2,18.454,19,-3.8,-16.67%,7144,0
08/08/2022,25.8,25.8,21.002,22.8,-2.6,-10.24%,5918,0
08/01/2022,22,26,21.6,25.4,3.6,+16.51%,5787,0
07/25/2022,25,25,20.6,21.8,-2.2,-9.17%,3853,0
07/18/2022,19.8,26.6,19.8,24,1.2,+5.26%,10670,0
07/11/2022,20,27.8,19.998,22.8,2.802,+14.01%,15516,0
07/04/2022,17.6,20.8,17,19.998,2.598,+14.93%,5418,0
06/27/2022,18.4,18.8,16,17.4,-0.906,-4.95%,4843,0
06/20/2022,18,18.6,16.2,18.306,1.556,+9.29%,11930,0
06/13/2022,30.8,31,15.8,16.75,-14.65,-46.66%,32855,0
06/06/2022,33.4,37.998,29.2,31.4,-5.4,-14.67%,13970,0
05/30/2022,28.4,48.8,27.9,36.8,9.4,+34.31%,51200,0
05/23/2022,26.6,27.4,24,27.4,2,+7.87%,5118,0
05/16/2022,25.2,29.6,24.2,25.4,0.2,+0.79%,11116,0
05/09/2022,24.6,25.6,20,25.2,-1,-3.82%,17806,0
05/02/2022,41.4,42,24,26.2,-16.2,-38.21%,79432,0
04/25/2022,33.4,45,29,42.4,8,+23.26%,39364,0
04/18/2022,39.2,40.036,33.2,34.4,-4.8,-12.24%,16437,0
04/11/2022,41.4,44,38.4,39.2,-3.2,-7.55%,15842,0
04/04/2022,50.4,52,39.6,42.4,-8.2,-16.21%,20148,0
03/28/2022,54.2,55.984,50,50.6,-3.8,-6.99%,9700,0
03/21/2022,58,61.6,54.2,54.4,-4.8,-8.11%,6736,0
03/14/2022,56.8,60.4,50.4,59.2,1.8,+3.14%,9450,0
03/07/2022,59,61.776,54,57.4,-2.6,-4.33%,9755,0
02/28/2022,63.6,66.4,59.2,60,-3.6,-5.66%,7697,0
02/21/2022,64,67,59,63.6,1.2,+1.92%,10948,0
02/14/2022,63.4,71.4,62,62.4,-0.6,-0.95%,10921,0
02/07/2022,67.4,69.8,62,63,-4,-5.97%,12941,0
01/31/2022,55,69.2,53.6,67,13.6,+25.47%,34719,0
01/24/2022,51.2,59.2,45,53.4,1.6,+3.09%,20575,0
01/17/2022,60,60.2,49.4,51.8,-9,-14.80%,25185,0
01/10/2022,65.4,67.798,55.91,60.8,-5.2,-7.88%,22109,0
01/03/2022,77.4,80.72,64.524,66,-12,-15.38%,24187,0
12/27/2021,83.4,84,72.6,78,-5.4,-6.47%,28113,0
12/20/2021,84,89.8,81.02,83.4,-4,-4.58%,23893,0
12/13/2021,81.2,88.4,77.2,87.4,6,+7.37%,38583,0
12/06/2021,68.4,88.6,62.4,81.4,16,+24.46%,61458,0
11/29/2021,120,139.2,65,65.4,-42.8,-39.56%,207128,0
11/22/2021,81,111.6,77.714,108.2,27.2,+33.58%,64281,0
11/15/2021,84.6,92,70.8,81,-2.2,-2.64%,65623,0
11/08/2021,104.2,104.2,77.4,83.2,-20,-19.38%,45162,0
11/01/2021,102.4,107,99.2,103.2,1.8,+1.78%,17764,0
10/25/2021,108.8,113.594,99,101.4,-6.8,-6.28%,23160,0
10/18/2021,111.6,124.4,106.8,108.2,-4,-3.57%,25977,0
10/11/2021,108.8,115,104.4,112.2,3.4,+3.13%,12269,0
10/04/2021,109.4,115,104,108.8,0.4,+0.37%,14849,0
09/27/2021,110,116.6,100.4,108.4,-2.4,-2.17%,24915,0
09/20/2021,120.2,123.8,109.6,110.8,-13.2,-10.65%,54268,0
09/13/2021,114,138,107,124,13,+11.71%,97088,0
09/06/2021,131.8,137.4,110.6,111,-16,-12.60%,34416,0
