Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,61.36,61.46,61.36,61.46,0.76,+1.25%,1065,0
03/13/2023,63.23,64.71,60.45,60.7,-3.49,-5.44%,273400,0
03/06/2023,67.79,68.32,63.94,64.19,-3.71,-5.46%,192920,0
02/27/2023,66.43,67.96,64.3835,67.9,2.21,+3.36%,165560,0
02/20/2023,63.13,70.05,61.76,65.69,1.73,+2.70%,271025,0
02/13/2023,62.71,64.22,62.48,63.96,1.22,+1.94%,157580,0
02/06/2023,64.79,65.37,61.82,62.74,-2.27,-3.49%,131760,0
01/30/2023,62.9,66.79,62.6928,65.01,1.51,+2.38%,201380,0
01/23/2023,63.04,64.265,61.75,63.5,0.44,+0.70%,130700,0
01/16/2023,62.78,64.235,61.22,63.06,0.44,+0.70%,269025,0
01/09/2023,58.22,62.725,57.37,62.62,4.68,+8.08%,207001,0
01/02/2023,54.19,58.052,53.88,57.94,4.23,+7.88%,180675,0
12/26/2022,54.18,54.572,53.15,53.71,-0.41,-0.76%,151100,0
12/19/2022,55.49,55.62,52.625,54.12,-1.5,-2.70%,256640,0
12/12/2022,57.59,59.65,54.67,55.62,-1.9,-3.30%,442480,0
12/05/2022,58.61,59.3,56.2061,57.52,-1.77,-2.99%,168080,0
11/28/2022,60.32,60.42,58.16,59.29,-1.43,-2.36%,209980,0
11/21/2022,59.83,61.51,59.83,60.72,0.57,+0.95%,96450,0
11/14/2022,60.66,62.81,58.405,60.15,-1.01,-1.65%,186760,0
11/07/2022,59.27,64.33,58.58,61.16,2.04,+3.45%,269870,0
10/31/2022,58,60.81,56.92,59.12,0.6,+1.03%,235062,0
10/24/2022,59.65,61.7,55.48,58.52,-1.09,-1.83%,346641,0
10/17/2022,57.13,59.61,56.43,59.61,3.64,+6.50%,323140,0
10/10/2022,56.51,57.58,54.99,55.97,-0.07,-0.12%,289460,0
10/03/2022,49.27,56.69,48.49,56.04,7.6,+15.69%,276320,0
09/26/2022,51.54,52.24,48.38,48.44,-3.26,-6.31%,358220,0
09/19/2022,52.49,53.76,50.145,51.7,-1.55,-2.91%,228340,0
09/12/2022,55.68,56.74,52.12,53.25,-2.39,-4.30%,222100,0
09/05/2022,55.15,55.71,52.685,55.64,0.72,+1.31%,175900,0
08/29/2022,55.67,56.48,54.61,54.92,-1.31,-2.33%,246780,0
08/22/2022,57.23,58.22,55.8277,56.23,-1.72,-2.97%,172180,0
08/15/2022,58.76,59.9,57.49,57.95,-1.05,-1.78%,244740,0
08/08/2022,57.29,59.1,55.9,59,2.17,+3.82%,365000,0
08/01/2022,56.46,58.205,54.8,56.83,-0.11,-0.19%,262260,0
07/25/2022,54.96,58.27,54.5,56.94,2.17,+3.96%,267840,0
07/18/2022,56.89,57.36,53.99,54.77,-1.58,-2.80%,312660,0
07/11/2022,59.14,59.4,54.09,56.35,-3.11,-5.23%,215821,0
07/04/2022,58.96,61.2897,58.15,59.46,-0.78,-1.29%,219025,0
