Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,22.37,23.375,22.37,23.24,1.16,+5.25%,399250,0
03/13/2023,23.14,23.81,21.83,22.08,-1.36,-5.80%,468440,0
03/06/2023,24.1,24.3127,23.4,23.44,-0.61,-2.54%,224480,0
02/27/2023,24.25,24.36,23.5,24.05,-0.03,-0.12%,252760,0
02/20/2023,24.65,24.735,23.99,24.08,-0.79,-3.18%,189125,0
02/13/2023,25.19,25.55,24.59,24.87,-0.29,-1.15%,181780,0
02/06/2023,24.94,25.37,24.7,25.16,-0.1,-0.40%,208127,0
01/30/2023,27.17,28.86,22.9,25.26,-2.06,-7.54%,378111,0
01/23/2023,28.55,29.19,27.28,27.32,-1.32,-4.61%,119660,0
01/16/2023,28.78,29.46,28.04,28.64,-0.07,-0.24%,112325,0
01/09/2023,27.7,28.86,27.69,28.71,1.21,+4.40%,123720,0
01/02/2023,26.88,27.65,26.35,27.5,0.81,+3.03%,157450,0
12/26/2022,27.04,27.04,26.07,26.69,-0.31,-1.15%,128025,0
12/19/2022,27.42,27.91,26.8,27,-0.45,-1.64%,176440,0
12/12/2022,28.18,29.37,27.43,27.45,-0.57,-2.03%,349060,0
12/05/2022,28.62,28.77,27.805,28.02,-0.91,-3.15%,151840,0
11/28/2022,28.51,29.39,27.575,28.93,0.38,+1.33%,205120,0
11/21/2022,28.57,29.02,28.13,28.55,0,0.00%,104600,0
11/14/2022,28.53,29.15,28.16,28.55,-0.35,-1.21%,118100,0
11/07/2022,28.47,29.84,27.8,28.9,0.47,+1.65%,177720,0
10/31/2022,28.13,29.36,27.42,28.43,0.33,+1.17%,156520,0
10/24/2022,27.87,30,26.57,28.1,0.44,+1.59%,173580,0
10/17/2022,25.87,27.7,25.77,27.66,2.17,+8.51%,150180,0
10/10/2022,26.05,26.14,24.504,25.49,-0.43,-1.66%,161620,0
10/03/2022,24.97,26.745,24.5301,25.92,1.14,+4.60%,99280,0
09/26/2022,24.73,25.58,24.435,24.78,-0.04,-0.16%,130040,0
09/19/2022,25.46,26.4,24.475,24.82,-0.76,-2.97%,152440,0
09/12/2022,26.88,27.07,25.12,25.58,-1.09,-4.09%,190620,0
09/05/2022,26.38,26.74,25.72,26.67,0.23,+0.87%,105975,0
