Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,10.89,11.52,8.34,9.15,-1.96,-17.64%,2398225,0
02/13/2023,11.19,12.15,10.77,11.11,-0.06,-0.54%,1990500,0
02/06/2023,11.89,12.5299,10.71,11.17,-0.97,-7.99%,845860,0
01/30/2023,12.31,13.39,11.94,12.14,-0.42,-3.34%,916660,0
01/23/2023,10.96,12.94,10.74,12.56,1.72,+15.87%,953420,0
01/16/2023,10.13,11.6,10.02,10.84,0.63,+6.17%,1094800,0
01/09/2023,8.57,10.3,8.535,10.21,1.88,+22.57%,975180,0
01/02/2023,8.81,9.1,7.78,8.33,-0.41,-4.69%,1032500,0
12/26/2022,8.25,8.81,7.745,8.74,0.4,+4.80%,1005400,0
12/19/2022,9.3,9.3,8.04,8.34,-1.06,-11.28%,1128200,0
12/12/2022,9.15,10.085,8.92,9.4,0.3,+3.30%,1241380,0
12/05/2022,9.54,9.68,8.265,9.1,-0.51,-5.31%,1212320,0
11/28/2022,8.11,9.7,7.865,9.61,1.39,+16.91%,2405220,0
11/21/2022,8.08,8.66,7.81,8.22,0.05,+0.61%,1494325,0
11/14/2022,9.74,10.51,8.12,8.17,-1.74,-17.56%,1686380,0
11/07/2022,9.44,10.16,8,9.91,0.65,+7.02%,2466620,0
10/31/2022,14.63,15.68,8.96,9.26,-5.55,-37.47%,1435980,0
10/24/2022,13.22,15.41,12.46,14.81,1.47,+11.02%,764580,0
10/17/2022,13.09,14.26,12.7,13.34,0.83,+6.63%,607000,0
10/10/2022,14.87,14.87,12.01,12.51,-2.39,-16.04%,957580,0
10/03/2022,14.95,16.97,14.52,14.9,0.1,+0.68%,728940,0
09/26/2022,14.46,15.68,14.12,14.8,0.3,+2.07%,671040,0
09/19/2022,16.25,16.5,14.01,14.5,-1.78,-10.93%,779200,0
09/12/2022,17,17.29,15.27,16.28,-0.71,-4.18%,991200,0
09/05/2022,15.4,17.375,15.16,16.99,1.63,+10.61%,961175,0
08/29/2022,16.91,17.5,14.52,15.36,-1.96,-11.32%,1081940,0
08/22/2022,17.97,18.99,17.16,17.32,-1.04,-5.66%,677740,0
08/15/2022,20.55,21.24,18.18,18.36,-2.5,-11.98%,895440,0
08/08/2022,18.84,21.8,18.46,20.86,2.04,+10.84%,1205660,0
08/01/2022,15.52,19.42,15.02,18.82,3.17,+20.26%,889360,0
07/25/2022,16.69,16.73,14.43,15.65,-1.17,-6.96%,759380,0
07/18/2022,17.78,18.56,14.76,16.82,-0.39,-2.27%,1420460,0
07/11/2022,18.36,19.24,16.88,17.21,-1.4,-7.52%,850420,0
07/04/2022,17.13,19.2,16.78,18.61,1.24,+7.14%,666325,0
06/27/2022,19.38,19.605,15.77,17.37,-1.79,-9.34%,815280,0
06/20/2022,16.15,19.6,15.55,19.16,3.36,+21.27%,1456025,0
06/13/2022,16.34,16.89,13.94,15.8,-1.48,-8.56%,1366800,0
06/06/2022,18.52,20.01,16.74,17.28,-0.66,-3.68%,1092820,0
05/30/2022,19.54,19.98,17.83,17.94,-1.65,-8.42%,1460300,0
05/23/2022,18.68,20.34,15.85,19.59,0.65,+3.43%,2255660,0
05/16/2022,17.07,19.5,16.27,18.94,1.57,+9.04%,2000380,0
05/09/2022,18.17,18.61,12.71,17.37,-1.35,-7.21%,1952660,0
05/02/2022,17.67,20.54,17.25,18.72,0.85,+4.76%,1865680,0
04/25/2022,17.19,19.04,16.8,17.87,0.55,+3.18%,1112660,0
04/18/2022,19.84,20.82,16.99,17.32,-2.64,-13.23%,1941220,0
04/11/2022,20.32,22.2,19.81,19.96,-0.72,-3.48%,742625,0
04/04/2022,22.4,24.1,20.1,20.68,-1.53,-6.89%,1290100,0
03/28/2022,20.66,23.62,20.52,22.21,1.71,+8.34%,1033080,0
03/21/2022,21.4,23.44,20.33,20.5,-1.2,-5.53%,1106881,0
03/14/2022,19.02,22.12,17.27,21.7,2.55,+13.32%,2141800,0
03/07/2022,20.78,22.2675,19.02,19.15,-1.79,-8.55%,1849860,0
02/28/2022,25.04,26.25,20.1301,20.94,-4.37,-17.27%,2320040,0
02/21/2022,24.53,26.22,21.6335,25.31,-0.01,-0.04%,1229550,0
02/14/2022,30.74,31.955,24.53,25.32,-5.69,-18.35%,1343940,0
02/07/2022,30.68,33.8,30.152,31.01,0.33,+1.08%,1161540,0
01/31/2022,30.51,34,28.77,30.68,0.33,+1.09%,1403120,0
01/24/2022,26.08,31.37,25.61,30.35,2.76,+10.00%,2157160,0
01/17/2022,30.08,31.99,27.3801,27.59,-3.51,-11.29%,1645675,0
01/10/2022,31.97,34.9799,30.22,31.1,-1.56,-4.78%,1391080,0
01/03/2022,35.8,37.75,31.05,32.66,-2.71,-7.66%,1607500,0
12/27/2021,38.5,38.67,34.84,35.37,-3.14,-8.15%,1449260,0
12/20/2021,35.89,40.43,34.5,38.51,1.92,+5.25%,1352125,0
12/13/2021,39.5,39.96,34.71,36.59,-2.19,-5.65%,1814020,0
12/06/2021,40.23,44.71,38.36,38.78,-1.92,-4.72%,2169280,0
11/29/2021,48.73,49.23,39.45,40.7,-7.95,-16.34%,1806120,0
11/22/2021,49.5,49.84,45.05,48.65,-0.62,-1.26%,1125925,0
11/15/2021,58.2,59.94,48.85,49.27,-8.26,-14.36%,1371020,0
11/08/2021,58.68,64.14,57.395,57.53,-1.28,-2.18%,1894260,0
11/01/2021,46.25,59.38,43.9,58.81,12.6,+27.27%,2678860,0
10/25/2021,50.81,52.0999,45.05,46.21,-4.63,-9.11%,1278080,0
10/18/2021,53.33,56.34,50.51,50.84,-2.75,-5.13%,1014020,0
10/11/2021,50.05,55.67,49.8671,53.59,2.91,+5.74%,1042680,0
10/04/2021,50.62,53.24,47.33,50.68,-0.46,-0.90%,792480,0
09/27/2021,53.34,55.48,49.59,51.14,-2.62,-4.87%,903080,0
09/20/2021,55.98,56.1,52.6,53.76,-4.61,-7.90%,1096140,0
09/13/2021,54.6,59.555,53.62,58.37,3.53,+6.44%,1977320,0
09/06/2021,59.76,63.02,52.91,54.84,-4.41,-7.44%,2503025,0
08/30/2021,59.88,62.3626,58.81,59.25,-0.2,-0.34%,650840,0
08/23/2021,55.09,59.82,54.33,59.45,4.79,+8.76%,647440,0
08/16/2021,62.56,62.5699,53.2101,54.66,-8.47,-13.42%,927880,0
08/09/2021,63.65,64.3523,60.14,63.13,-0.03,-0.05%,927140,0
08/02/2021,65,71.6287,61.5,63.16,-1.6,-2.47%,1547520,0
07/26/2021,69.24,70.87,63.56,64.76,-4.34,-6.28%,965480,0
07/19/2021,59,70.7,57.71,69.1,8.34,+13.73%,875860,0
07/12/2021,70.05,70.6918,58.9,60.76,-9.21,-13.16%,1172660,0
07/05/2021,65.08,72.2,63.87,69.97,4.89,+7.51%,2528075,0
06/28/2021,63.72,65.81,63.38,65.08,1.87,+2.96%,931400,0
06/21/2021,63.28,66.1865,61.62,63.21,-0.25,-0.39%,2327600,0
06/14/2021,60.69,64.33,57.6,63.46,2.8,+4.62%,1559920,0
06/07/2021,55.34,61.58,55,60.66,5.35,+9.67%,1030620,0
05/31/2021,55,57.73,53.92,55.31,0.92,+1.69%,691700,0
05/24/2021,51.74,57.66,51.345,54.39,3.27,+6.40%,1362060,0
05/17/2021,45.89,51.96,45.64,51.12,4.55,+9.77%,1355200,0
05/10/2021,47.92,48.84,42.17,46.57,-1.86,-3.84%,2213580,0
05/03/2021,60.04,60.3083,46.05,48.43,-11.51,-19.20%,1290080,0
04/26/2021,54.52,60.88,54.23,59.94,6.08,+11.29%,825460,0
04/19/2021,59.48,61.0499,51.31,53.86,-5.93,-9.92%,928580,0
04/12/2021,56.87,60.28,54.88,59.79,2.42,+4.22%,768940,0
04/05/2021,59.49,60,56.97,57.37,-1.38,-2.35%,706760,0
03/29/2021,54.27,59.72,50.5906,58.75,4.27,+7.84%,1386025,0
03/22/2021,54.98,57.38,51.795,54.48,-0.26,-0.47%,1432480,0
03/15/2021,59.22,61.05,53.68,54.74,-4.82,-8.09%,2500420,0
03/08/2021,59.29,61.95,56.24,59.56,0.46,+0.78%,2080420,0
03/01/2021,61.41,64.6,51.15,59.1,-0.01,-0.02%,2184540,0
02/22/2021,69.16,71,53.1901,59.11,-11.65,-16.46%,4282980,0
02/15/2021,74.25,76,67.52,70.76,-4.24,-5.65%,2833875,0
02/08/2021,82.89,92,73.61,75,-7.3,-8.87%,2203900,0
02/01/2021,80.38,88.8799,73.01,82.3,2.36,+2.95%,1753240,0
01/25/2021,73,96.6599,72.75,79.94,8.69,+12.20%,4699600,0
01/18/2021,63.18,73.64,60.7,71.25,8.88,+14.24%,3125850,0
01/11/2021,62.55,68.44,60.3,62.37,-2.28,-3.53%,2218340,0
01/04/2021,64.25,66.46,57.26,64.65,0.5,+0.78%,3176440,0
12/28/2020,73.36,73.8496,63.54,64.15,-8.67,-11.91%,2593800,0
12/21/2020,69.68,74.7799,68.6,72.82,2.24,+3.17%,2050100,0
12/14/2020,73.27,74.7,68.3,70.58,-1.9,-2.62%,2361720,0
12/07/2020,81.8,86.37,71.0249,72.48,-7.81,-9.73%,2823640,0
11/30/2020,79.92,82.28,71.4004,80.29,0.17,+0.21%,1798400,0
11/23/2020,68.05,82.99,67.8,80.12,12.49,+18.47%,2840050,0
11/16/2020,67.8,70.1986,65.06,67.63,0.84,+1.26%,2043820,0
11/09/2020,76.8,77.77,65.5,66.79,-12.71,-15.99%,2925900,0
11/02/2020,74.98,87.88,71.65,79.5,6.1,+8.31%,1455620,0
10/26/2020,89,90.1308,72.56,73.4,-16.71,-18.54%,1074240,0
10/19/2020,104.5,105.29,87.6012,90.11,-12.83,-12.46%,927240,0
10/12/2020,99,109.15,96.04,102.94,5.18,+5.30%,1696140,0
10/05/2020,86.23,98.73,84.27,97.76,13.09,+15.46%,2072640,0
09/28/2020,81.35,89.8,78.05,84.67,4.68,+5.85%,1955240,0
09/21/2020,71.2,85.85,70.2,79.99,5.03,+6.71%,1972060,0
09/14/2020,83,88.4,72.2601,74.96,-7.91,-9.55%,1930440,0
09/07/2020,96.96,110.92,80.08,82.87,-24.11,-22.54%,4592000,0
08/31/2020,115.13,122,80.5,106.98,-24,-18.32%,5003800,0
08/24/2020,79.12,162.5,74,130.98,54.88,+72.12%,11940680,0
08/17/2020,76,76.4999,63.7716,76.1,0.79,+1.05%,1688960,0
08/10/2020,85.99,87,70,75.31,-3.69,-4.67%,1492020,0
"Downloaded from Barchart.com as of 02-27-2023 07:44am CST"
