Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,28.79,30.38,27.3235,29.52,0.05,+0.17%,369940,0
03/06/2023,32.44,32.745,29.1,29.47,-2.84,-8.79%,258780,0
02/27/2023,33.76,34.295,31.54,32.31,-1.3,-3.87%,324920,0
02/20/2023,33.25,36.14,33.2,33.61,-0.05,-0.15%,493375,0
02/13/2023,32.4,35.5,31.06,33.66,1.18,+3.63%,462560,0
02/06/2023,32.75,34.49,31.94,32.48,-0.31,-0.95%,247700,0
01/30/2023,30.98,33.59,30.1,32.79,1.59,+5.10%,287740,0
01/23/2023,32.07,32.59,30.055,31.2,-0.97,-3.02%,238462,0
01/16/2023,31.25,32.655,30.09,32.17,0.83,+2.65%,207050,0
01/09/2023,28.13,31.93,28.01,31.34,3.4,+12.17%,258480,0
01/02/2023,26.7,28.15,26.21,27.94,1.56,+5.91%,309075,0
12/26/2022,27.89,28,26.1,26.38,-1.37,-4.94%,175400,0
12/19/2022,28.26,28.54,26.48,27.75,-0.53,-1.87%,200420,0
12/12/2022,29.52,30.77,27.63,28.28,-1.46,-4.91%,305460,0
12/05/2022,31.36,31.36,28.74,29.74,-1.9,-6.01%,256300,0
11/28/2022,31.84,32.53,30.33,31.64,-0.42,-1.31%,211640,0
11/21/2022,32.12,32.65,31.205,32.06,-0.14,-0.43%,166750,0
11/14/2022,31.59,33.68,31.01,32.2,0.45,+1.42%,222909,0
11/07/2022,31.17,32.65,29.23,31.75,0.5,+1.60%,271000,0
10/31/2022,32.59,33.4,30,31.25,-1.34,-4.11%,355060,0
10/24/2022,28.6,32.69,27.75,32.59,4.49,+15.98%,587640,0
10/17/2022,26.76,29.13,26.585,28.1,1.96,+7.50%,402602,0
10/10/2022,25.17,27.2599,23.55,26.14,0.99,+3.94%,276260,0
10/03/2022,24.12,27.42,22.93,25.15,1.3,+5.45%,309700,0
09/26/2022,23.71,24.98,23,23.85,-0.04,-0.17%,327320,0
09/19/2022,27.8,28.57,23.271,23.89,-4.42,-15.61%,392440,0
09/12/2022,27.4,28.87,26.2,28.31,1.23,+4.54%,356100,0
09/05/2022,25.45,27.37,23.44,27.08,1.65,+6.49%,361600,0
08/29/2022,25.52,26.32,24.67,25.43,-0.44,-1.70%,250840,0
08/22/2022,25.57,27.87,25.57,25.87,-0.8,-3.00%,352520,0
08/15/2022,26.35,28.41,26.35,26.67,0.04,+0.15%,365480,0
08/08/2022,23.31,26.665,23.305,26.63,3.53,+15.28%,378560,0
08/01/2022,23.29,24.25,22.73,23.1,-0.37,-1.58%,270520,0
07/25/2022,22.65,24.24,21.11,23.47,0.58,+2.53%,556840,0
07/18/2022,22.16,25.31,21.75,22.89,1.06,+4.86%,479120,0
07/11/2022,20.75,22.16,20.15,21.83,0.95,+4.55%,297100,0
07/04/2022,21.63,23.225,20.55,20.88,-1.21,-5.48%,407550,0
06/27/2022,25.04,25.04,21.44,22.09,-2.84,-11.39%,372141,0
06/20/2022,23.48,25.09,21.74,24.93,1.84,+7.97%,360402,0
06/13/2022,23.9,24.16,21.62,23.09,-1.66,-6.71%,297680,0
06/06/2022,26.12,26.79,24.7,24.75,-1.63,-6.18%,166040,0
05/30/2022,26.24,27.22,25.39,26.38,-0.16,-0.60%,197000,0
05/23/2022,23.06,26.83,21.76,26.54,3.8,+16.71%,336764,0
05/16/2022,25.48,25.48,22.6,22.74,-2.94,-11.45%,351820,0
05/09/2022,26.2,26.72,23.42,25.68,-1.25,-4.64%,376460,0
05/02/2022,27.82,29.21,26.07,26.93,-0.86,-3.09%,336580,0
04/25/2022,29,30.51,27.44,27.79,-1.37,-4.70%,385440,0
04/18/2022,27.18,31.59,27.18,29.16,1.61,+5.84%,600200,0
04/11/2022,24.47,28.41,24.15,27.55,3.11,+12.73%,460500,0
04/04/2022,27.54,28.47,24.02,24.44,-3.28,-11.83%,509220,0
03/28/2022,26.16,30.16,26.16,27.72,1.72,+6.62%,642280,0
03/21/2022,28.04,28.49,25.84,26,-1.93,-6.91%,307860,0
03/14/2022,26.77,28.46,25.86,27.93,1.26,+4.72%,424120,0
03/07/2022,28.22,28.45,24.75,26.67,-1.62,-5.73%,554200,0
02/28/2022,31.64,32.38,27.52,28.29,-3.87,-12.03%,324880,0
02/21/2022,32.92,33.99,28.755,32.16,-1.96,-5.74%,405275,0
02/14/2022,34.29,35.59,30.67,34.12,-0.14,-0.41%,526360,0
02/07/2022,30.65,34.885,30.48,34.26,3.97,+13.11%,319220,0
01/31/2022,29.93,33.12,29.3,30.29,-0.15,-0.49%,345360,0
01/24/2022,28.53,32.25,28.23,30.44,1.19,+4.07%,425901,0
01/17/2022,31.78,31.84,28.95,29.25,-3.02,-9.36%,348726,0
01/10/2022,33.95,34.13,31.2,32.27,-1.51,-4.47%,246820,0
01/03/2022,34.61,37.215,33.58,33.78,-0.77,-2.23%,272520,0
12/27/2021,35.94,36.675,34.5,34.55,-1.58,-4.37%,216580,0
12/20/2021,33.25,36.52,32.875,36.13,1.65,+4.79%,312350,0
