Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,16.65,17.43,16.64,16.93,0.36,+2.17%,80766,0
03/13/2023,17.62,18.75,16.57,16.57,-1.34,-7.48%,209160,0
03/06/2023,18.55,19.155,17.69,17.91,-0.61,-3.29%,127440,0
02/27/2023,16.77,19.17,16.6,18.52,1.84,+11.03%,140180,0
02/20/2023,16.97,16.97,16.52,16.68,-0.38,-2.23%,61475,0
02/13/2023,16.7,17.07,16.62,17.06,0.41,+2.46%,71240,0
02/06/2023,17.1,17.1589,16.5301,16.65,-0.45,-2.63%,48300,0
01/30/2023,16.6,17.51,16.56,17.1,0.48,+2.89%,121160,0
01/23/2023,16.45,16.814,16.11,16.62,0.1,+0.61%,71991,0
01/16/2023,17.29,17.45,16.46,16.52,-0.62,-3.62%,105600,0
01/09/2023,16.12,17.47,15.82,17.14,1.04,+6.46%,91660,0
01/02/2023,16.3,16.49,15.71,16.1,-0.1,-0.62%,97225,0
12/26/2022,15.91,16.325,15.685,16.2,0.3,+1.89%,65025,0
12/19/2022,15.79,15.96,15.58,15.9,0.06,+0.38%,63500,0
12/12/2022,16.35,16.75,15.67,15.84,-0.59,-3.59%,95440,0
12/05/2022,16.11,16.6,16.11,16.43,0.15,+0.92%,64640,0
11/28/2022,16.54,16.805,16.03,16.28,-0.28,-1.69%,68680,0
11/21/2022,16.26,16.69,15.95,16.56,0.37,+2.29%,48575,0
11/14/2022,16.16,16.46,15.8,16.19,0.05,+0.31%,56180,0
11/07/2022,16.02,16.58,15.98,16.14,0.13,+0.81%,80180,0
10/31/2022,15.59,16.16,14.96,16.01,0.4,+2.56%,108720,0
10/24/2022,14.8,15.65,14.65,15.61,0.88,+5.97%,57800,0
10/17/2022,13.81,14.78,13.81,14.73,1.08,+7.91%,108200,0
10/10/2022,13.18,14.14,13.12,13.65,0.43,+3.25%,72520,0
10/03/2022,13.25,14.25,13.02,13.22,0.16,+1.23%,81260,0
09/26/2022,14.4,14.5,13,13.06,-1.43,-9.87%,87800,0
09/19/2022,15.01,15.36,14.36,14.49,-0.51,-3.40%,101420,0
09/12/2022,14.97,15.3,14.64,15,0.1,+0.67%,122100,0
09/05/2022,14.77,15.07,14.5,14.9,0.29,+1.98%,88600,0
08/29/2022,14.11,14.9129,14.04,14.61,0.44,+3.11%,110400,0
08/22/2022,14.31,14.4,13.86,14.17,-0.24,-1.67%,59240,0
08/15/2022,14.6,14.65,14.31,14.41,-0.41,-2.77%,68560,0
08/08/2022,14.62,14.84,14.39,14.82,0.3,+2.07%,82060,0
08/01/2022,13.73,15,13.64,14.52,0.67,+4.84%,82920,0
07/25/2022,13.57,13.99,13.5101,13.85,0.39,+2.90%,70000,0
07/18/2022,13.39,13.495,13.06,13.46,0.22,+1.66%,92300,0
07/11/2022,13.37,13.51,13.0598,13.24,-0.22,-1.63%,90820,0
07/04/2022,13.29,13.55,13.03,13.46,-0.04,-0.30%,104775,0
06/27/2022,13.62,13.74,13.06,13.5,-0.11,-0.81%,135000,0
06/20/2022,13.08,13.61,12.58,13.61,0.61,+4.69%,304425,0
06/13/2022,13.9,14.15,12.81,13,-1.05,-7.47%,146960,0
06/06/2022,14.43,14.62,13.92,14.05,-0.29,-2.02%,62020,0
05/30/2022,14.5,14.88,14.3,14.34,-0.16,-1.10%,93000,0
05/23/2022,13.99,14.57,13.93,14.5,0.44,+3.13%,96000,0
05/16/2022,14.12,14.26,13.73,14.06,-0.09,-0.64%,96880,0
05/09/2022,14.48,14.995,13.85,14.15,-0.46,-3.15%,161660,0
05/02/2022,14.49,15.315,14.17,14.61,0.12,+0.83%,122120,0
04/25/2022,15.08,15.08,14.29,14.49,-0.56,-3.72%,132140,0
04/18/2022,15,15.69,14.79,15.05,0,0.00%,77240,0
04/11/2022,15.01,15.2321,14.81,15.05,0.04,+0.27%,83800,0
04/04/2022,15.31,15.45,14.9217,15.01,-0.39,-2.53%,97220,0
03/28/2022,15.56,15.83,15.31,15.4,-0.17,-1.09%,110040,0
03/21/2022,15.38,15.99,15.3,15.57,0.15,+0.97%,84880,0
03/14/2022,15.25,15.49,15.02,15.42,0.25,+1.65%,95280,0
03/07/2022,15.21,15.44,14.88,15.17,-0.08,-0.52%,123160,0
02/28/2022,15.24,15.87,15.08,15.25,-0.08,-0.52%,137300,0
02/21/2022,15.76,15.9,14.91,15.33,-0.31,-1.98%,133200,0
02/14/2022,15.84,15.91,15.27,15.64,-0.1,-0.64%,78200,0
02/07/2022,16.22,16.7,15.1,15.74,-0.6,-3.67%,90240,0
01/31/2022,16.5,16.7,16.15,16.34,-0.31,-1.86%,94580,0
01/24/2022,16.5,16.86,16.32,16.65,0.12,+0.73%,121340,0
01/17/2022,17.21,17.3499,16.5,16.53,-0.75,-4.34%,72875,0
01/10/2022,17.07,17.335,16.6,17.28,0.33,+1.95%,67580,0
01/03/2022,16.64,17.23,16.6115,16.95,0.35,+2.11%,78300,0
12/27/2021,17.04,17.41,16.44,16.6,-0.4,-2.35%,145340,0
12/20/2021,16.77,17.16,16.44,17,0.06,+0.35%,136025,0
12/13/2021,16.51,17.34,16.34,16.94,0.32,+1.93%,173440,0
12/06/2021,16.41,16.9339,16.36,16.62,0.42,+2.59%,152460,0
11/29/2021,16.58,16.77,16.09,16.2,-0.36,-2.17%,232980,0
11/22/2021,16.45,17.13,16.16,16.56,0.16,+0.98%,142525,0
11/15/2021,17.14,17.38,16.345,16.4,-0.7,-4.09%,138480,0
11/08/2021,17.61,17.81,16.65,17.1,-0.81,-4.52%,147600,0
11/01/2021,18.28,18.365,17.52,17.91,-0.23,-1.27%,132800,0
10/25/2021,19.24,19.2465,17.73,18.14,-1.13,-5.86%,134120,0
10/18/2021,18.59,19.325,18.55,19.27,0.57,+3.05%,129620,0
10/11/2021,18.56,19.12,18.4,18.7,0.17,+0.92%,124880,0
10/04/2021,17.97,18.585,17.591,18.53,0.62,+3.46%,114700,0
09/27/2021,16.71,18.15,16.62,17.91,1.13,+6.73%,129320,0
09/20/2021,16.25,16.98,16.05,16.78,0.31,+1.88%,139240,0
09/13/2021,16.51,16.79,16.28,16.47,0,0.00%,135760,0
09/06/2021,16.57,16.83,16.45,16.47,-0.12,-0.72%,99950,0
08/30/2021,17.01,17.27,16.51,16.59,-0.44,-2.58%,142740,0
08/23/2021,16.54,17.14,16.36,17.03,0.56,+3.40%,144600,0
08/16/2021,16.94,16.94,16.24,16.47,-0.49,-2.89%,85520,0
08/09/2021,17,17.08,16.7,16.96,-0.02,-0.12%,86300,0
