Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/30/2023,18.66,19.7363,18.66,19.59,0.98,+5.27%,18975,0
01/23/2023,18.46,19.3699,18.08,18.61,0.32,+1.75%,22460,0
01/16/2023,18.42,19.253,17.75,18.29,-0.27,-1.45%,31525,0
01/09/2023,17.58,18.56,17.27,18.56,1.21,+6.97%,23820,0
01/02/2023,17.35,17.78,16.8,17.35,-0.03,-0.17%,21775,0
12/26/2022,17.1,17.85,16.68,17.38,0.3,+1.76%,28825,0
12/19/2022,17.25,17.4299,16.74,17.08,-0.28,-1.61%,22400,0
12/12/2022,17.52,18.3,17,17.36,-0.16,-0.91%,38140,0
12/05/2022,18.45,19.1825,17.45,17.52,-0.95,-5.14%,33320,0
11/28/2022,18.67,19.14,18.19,18.47,-0.15,-0.81%,28180,0
11/21/2022,19.46,19.46,18.61,18.62,-0.64,-3.32%,24250,0
11/14/2022,19,19.6436,18.1125,19.26,0.22,+1.16%,28780,0
11/07/2022,18.69,19.29,18.215,19.04,0.48,+2.59%,40920,0
10/31/2022,17.9,18.68,16.6917,18.56,0.65,+3.63%,46640,0
10/24/2022,16.58,18.25,16.27,17.91,1.41,+8.55%,54760,0
10/17/2022,17.51,18.03,16.44,16.5,-0.99,-5.66%,66220,0
10/10/2022,15.76,19.1,15.64,17.49,1.94,+12.48%,122440,0
10/03/2022,15.93,16.85,15.26,15.55,-0.13,-0.83%,70080,0
09/26/2022,16.51,16.795,15.5,15.68,-0.85,-5.14%,54760,0
09/19/2022,17.94,18.44,16.409,16.53,-1.52,-8.42%,47780,0
09/12/2022,19.34,19.34,17.58,18.05,-1.05,-5.50%,51300,0
09/05/2022,18.83,19.73,18.11,19.1,0.25,+1.33%,45400,0
08/29/2022,19.03,19.35,18.5,18.85,-0.37,-1.93%,59240,0
08/22/2022,20.42,20.62,19.0401,19.22,-1.38,-6.70%,49960,0
08/15/2022,21.27,21.64,19.51,20.6,-0.89,-4.14%,102900,0
08/08/2022,20.5,21.8,20.13,21.49,0.77,+3.72%,85840,0
08/01/2022,22.9,22.9137,20.425,20.72,-2.23,-9.72%,97880,0
07/25/2022,23.48,23.97,21.8349,22.95,-0.53,-2.26%,101140,0
07/18/2022,22.9,24.1181,22.2,23.48,0.59,+2.58%,71520,0
07/11/2022,20.25,23.36,20.25,22.89,2.71,+13.43%,127760,0
07/04/2022,18.78,20.75,18.58,20.18,1.35,+7.17%,128700,0
06/27/2022,17.36,18.83,16.21,18.83,1.54,+8.91%,106460,0
06/20/2022,16.26,17.695,15.645,17.29,1.32,+8.27%,383875,0
06/13/2022,16.48,16.63,15.225,15.97,-0.97,-5.73%,83720,0
06/06/2022,16.75,17.375,16.06,16.94,0.13,+0.77%,126680,0
05/30/2022,16.51,17.1055,16.185,16.81,0.18,+1.08%,70725,0
05/23/2022,14.9,16.69,14.2,16.63,1.68,+11.24%,53480,0
05/16/2022,15.98,16.99,14.81,14.95,-1.11,-6.91%,78620,0
05/09/2022,16.22,17,15.36,16.06,-0.32,-1.95%,76480,0
05/02/2022,16.57,17.14,16.2,16.38,-0.18,-1.09%,68940,0
04/25/2022,16.75,17.39,16.48,16.56,-0.38,-2.24%,68320,0
04/18/2022,17.46,17.65,16.69,16.94,-0.52,-2.98%,76120,0
04/11/2022,16.99,17.72,16.7912,17.46,0.42,+2.46%,86275,0
04/04/2022,17.08,17.78,16.25,17.04,0.09,+0.53%,95780,0
03/28/2022,16.86,17.73,16.25,16.95,0.19,+1.13%,138280,0
03/21/2022,20.83,20.95,16.72,16.76,-3.67,-17.96%,163840,0
03/14/2022,18.98,20.47,18.83,20.43,1.6,+8.50%,136760,0
03/07/2022,17.78,19.69,17,18.83,1.05,+5.91%,116880,0
02/28/2022,17,18.19,16.93,17.78,0.54,+3.13%,67640,0
02/21/2022,16.17,17.29,15.9,17.24,0.95,+5.83%,91675,0
