Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/27/2023,6.63,6.63,6.29,6.32,-0.22,-3.36%,289200,0
02/20/2023,6.45,6.62,6.24,6.54,-0.01,-0.15%,371150,0
02/13/2023,6.52,6.695,6.395,6.55,0.02,+0.31%,347100,0
02/06/2023,8.32,8.34,5.56,6.53,-1.87,-22.26%,959020,0
01/30/2023,8.07,8.45,7.805,8.4,0.26,+3.19%,480540,0
01/23/2023,7.37,8.19,7.195,8.14,0.77,+10.45%,566168,0
01/16/2023,7.66,7.91,7.17,7.37,-0.34,-4.41%,347450,0
01/09/2023,7.42,7.77,7.17,7.71,0.34,+4.61%,198940,0
01/02/2023,6.98,7.52,6.85,7.37,0.48,+6.97%,319100,0
12/26/2022,6.69,6.965,6.46,6.89,0.24,+3.61%,332250,0
12/19/2022,6.57,6.87,6.44,6.65,0.08,+1.22%,269742,0
12/12/2022,6.42,6.93,5.78,6.57,0.15,+2.34%,454480,0
12/05/2022,6.65,6.88,6.4,6.42,-0.35,-5.17%,203080,0
11/28/2022,7.33,7.42,6.6099,6.77,-0.65,-8.76%,211540,0
11/21/2022,7,7.46,6.91,7.42,-0.06,-0.80%,274050,0
11/14/2022,9.14,9.32,7.2,7.48,-1.69,-18.43%,307600,0
11/07/2022,8.63,9.25,8.24,9.17,0.62,+7.25%,242960,0
10/31/2022,8.83,9.1,8.44,8.55,-0.39,-4.36%,234400,0
10/24/2022,8.4,8.955,8.24,8.94,0.63,+7.58%,131440,0
10/17/2022,8.08,8.48,8.03,8.31,0.37,+4.66%,126340,0
10/10/2022,8.28,8.29,7.71,7.94,-0.24,-2.93%,132180,0
10/03/2022,8.06,8.73,7.88,8.18,0.24,+3.02%,166340,0
09/26/2022,8.04,8.25,7.62,7.94,-0.13,-1.61%,348480,0
09/19/2022,8.7,9.01,7.95,8.07,-0.71,-8.09%,175461,0
09/12/2022,9.87,9.93,8.6,8.78,-1.05,-10.68%,240200,0
09/05/2022,9.55,9.86,9.35,9.83,0.23,+2.40%,192525,0
08/29/2022,10.35,10.41,9.5,9.6,-0.81,-7.78%,181300,0
08/22/2022,10.66,10.92,10.32,10.41,-0.38,-3.52%,109200,0
08/15/2022,11,11.31,10.72,10.79,-0.26,-2.35%,163200,0
08/08/2022,10.71,11.09,9.98,11.05,0.34,+3.17%,1163900,0
08/01/2022,13.03,13.27,10.67,10.71,-2.43,-18.49%,144380,0
07/25/2022,12.55,13.17,12.47,13.14,0.61,+4.87%,97800,0
07/18/2022,12.24,12.81,12.04,12.53,0.46,+3.81%,102260,0
07/11/2022,11.95,12.28,11.63,12.07,-0.01,-0.08%,119800,0
07/04/2022,11.75,12.31,11.52,12.08,0.03,+0.25%,167300,0
06/27/2022,12.84,12.87,11.76,12.05,-0.72,-5.64%,167504,0
06/20/2022,11.65,12.9,11.4,12.77,1.36,+11.92%,309975,0
06/13/2022,12.43,12.44,11.21,11.41,-1.27,-10.02%,239880,0
06/06/2022,13.14,13.73,12.43,12.68,-0.39,-2.98%,178040,0
05/30/2022,12.87,13.2,12.72,13.07,0.03,+0.23%,163400,0
05/23/2022,11.89,13.11,11.65,13.04,1.3,+11.07%,132420,0
05/16/2022,11.72,12.51,11.43,11.74,-0.06,-0.51%,173080,0
05/09/2022,12.4,12.51,11.25,11.8,-0.78,-6.20%,217660,0
05/02/2022,12.59,12.84,11.7,12.58,-0.08,-0.63%,223020,0
04/25/2022,13.21,13.4,12.56,12.66,-0.61,-4.60%,146860,0
04/18/2022,12.97,13.97,12.85,13.27,0.2,+1.53%,111400,0
04/11/2022,12.35,13.25,12.35,13.07,0.61,+4.90%,133325,0
04/04/2022,13.47,13.54,12.25,12.46,-1.04,-7.70%,210360,0
03/28/2022,13.51,13.955,13.27,13.5,-0.13,-0.95%,127752,0
03/21/2022,13.29,13.91,13.25,13.63,0.37,+2.79%,240020,0
03/14/2022,13.21,13.96,13.05,13.26,0.14,+1.07%,430500,0
03/07/2022,13.6,13.68,12.7,13.12,-0.46,-3.39%,180821,0
02/28/2022,13.4,14.07,13.27,13.58,0.04,+0.30%,192800,0
02/21/2022,13.31,13.77,12.76,13.54,0.3,+2.27%,242025,0
02/14/2022,12.44,13.53,12.41,13.24,0.83,+6.69%,243100,0
02/07/2022,12.47,13.55,12.39,12.41,-0.19,-1.51%,293560,0
01/31/2022,12.83,13.53,12.11,12.6,-0.39,-3.00%,317900,0
01/24/2022,13.43,13.91,12.54,12.99,-0.59,-4.34%,206420,0
01/17/2022,14.04,14.04,13.42,13.58,-0.57,-4.03%,266550,0
01/10/2022,13.66,14.23,12.91,14.15,-0.02,-0.14%,178440,0
01/03/2022,14.17,15.33,14.07,14.17,0.09,+0.64%,346200,0
12/27/2021,13.88,14.2541,13.76,14.08,0.13,+0.93%,121940,0
12/20/2021,13.22,14.12,12.47,13.95,-0.52,-3.59%,337150,0
12/13/2021,14.09,14.57,13.52,14.47,0.29,+2.05%,358200,0
12/06/2021,13.98,14.735,13.98,14.18,0.72,+5.35%,248180,0
11/29/2021,14.63,14.74,13.21,13.46,-0.99,-6.85%,293080,0
11/22/2021,15.52,15.52,14.45,14.45,-0.98,-6.35%,222250,0
11/15/2021,16.89,16.89,14.51,15.43,-1.33,-7.94%,343840,0
11/08/2021,16.92,17.53,16.61,16.76,-0.01,-0.06%,192500,0
11/01/2021,15.98,17.04,15.98,16.77,0.91,+5.74%,159200,0
