Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/30/2023,65.34,68.1,65.095,67.8,2.38,+3.64%,504180,0
01/23/2023,65.62,66.29,64.99,65.42,-0.15,-0.23%,373281,0
01/16/2023,70.06,70.2,65.19,65.57,-4.49,-6.41%,581126,0
01/09/2023,69.88,70.2,67.67,70.06,0.56,+0.81%,282760,0
01/02/2023,68.13,69.81,66.89,69.5,1.43,+2.10%,300675,0
12/26/2022,67.18,68.54,66.45,68.07,1.27,+1.90%,255050,0
12/19/2022,64.82,67.16,64.13,66.8,2.1,+3.25%,367100,0
12/12/2022,66.85,68.54,64.265,64.7,-2.16,-3.23%,612021,0
12/05/2022,70.23,70.23,66.81,66.86,-3.78,-5.35%,281480,0
11/28/2022,70.781,72.6,68.5905,70.64,-0.7314,-1.02%,350982,0
11/21/2022,69.5905,71.4857,69.5905,71.3714,1.7809,+2.56%,221026,0
11/14/2022,68.4571,70.4762,67.2476,69.5905,1.0667,+1.56%,313028,0
11/07/2022,67.3048,69.9429,66.8667,68.5238,1.5047,+2.25%,330225,0
10/31/2022,66.6952,68.2667,65.6476,67.0191,-0.3714,-0.55%,437346,0
10/24/2022,65.9429,67.4191,64.9429,67.3905,1.9524,+2.98%,381885,0
10/17/2022,68.2476,69.3524,64.1048,65.4381,-2,-2.97%,392259,0
10/10/2022,66.0286,68.6952,64.0952,67.4381,1.5524,+2.36%,343140,0
10/03/2022,63.4476,67.7238,63.1714,65.8857,2.8762,+4.56%,424389,0
09/26/2022,64.6191,65.5048,62.8857,63.0095,-2.2,-3.37%,398265,0
09/19/2022,65.7714,68.3619,64.4286,65.2095,-0.9715,-1.47%,354165,0
09/12/2022,67.3905,68.0762,65.6429,66.181,-1.2,-1.78%,521325,0
09/05/2022,65.2762,67.9429,63.8667,67.381,2.2477,+3.45%,338415,0
08/29/2022,66.9524,66.9524,64.9524,65.1333,-2.1429,-3.19%,340363,0
08/22/2022,69.3714,69.3714,66.9333,67.2762,-2.6571,-3.80%,660786,0
08/15/2022,68.9048,70.4476,68.5429,69.9333,0.7428,+1.07%,319284,0
08/08/2022,68,69.3905,67.1905,69.1905,1.3334,+1.97%,376257,0
08/01/2022,65.9524,67.9905,65.6952,67.8571,1.6761,+2.53%,380268,0
07/25/2022,64.9714,66.781,64.8095,66.181,1.9619,+3.06%,462441,0
07/18/2022,63.7048,65.2286,62.7308,64.2191,1.0286,+1.63%,376992,0
07/11/2022,63.2952,64.1429,61.1429,63.1905,-0.7524,-1.18%,360780,0
07/04/2022,62.2095,64.6333,61.5429,63.9429,0.6286,+0.99%,315899,0
06/27/2022,63.2667,64.2952,61.5333,63.3143,0.3333,+0.53%,298830,0
06/20/2022,61.6095,63.281,60.6638,62.981,2.1429,+3.52%,489982,0
