Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/06/2023,55.48,56,54.23,54.61,-1.26,-2.26%,1131620,0
01/30/2023,54.97,56.83,54.79,55.87,0.78,+1.42%,1189860,0
01/23/2023,55.79,56.06,54.9,55.09,-0.64,-1.15%,715900,0
01/16/2023,56.44,57.635,55.42,55.73,-0.56,-0.99%,1227000,0
01/09/2023,56.81,57.31,55.605,56.29,-0.54,-0.95%,1170100,0
01/02/2023,55.43,56.96,53.97,56.83,1.51,+2.73%,1241300,0
12/26/2022,55.17,55.89,54.8,55.32,0.35,+0.64%,754500,0
12/19/2022,54.03,55.48,53.59,54.97,0.89,+1.65%,911920,0
12/12/2022,53.59,55.56,53.22,54.08,0.18,+0.33%,1197620,0
12/05/2022,53.48,54.05,51.86,53.9,-0.02,-0.04%,1083700,0
11/28/2022,52.4,54.199,51.21,53.92,1.17,+2.22%,1404360,0
11/21/2022,50.4,52.9,50.22,52.75,1.96,+3.86%,661325,0
11/14/2022,51.65,53.25,49.8,50.79,-0.86,-1.67%,1326440,0
11/07/2022,48.71,51.82,48.46,51.65,3.45,+7.16%,1280120,0
10/31/2022,47.18,49.035,45.75,48.2,0.98,+2.08%,1213080,0
10/24/2022,45.97,47.59,45.71,47.22,1.54,+3.37%,1320840,0
10/17/2022,46.02,47.53,44.09,45.68,0.48,+1.06%,1097900,0
10/10/2022,44.88,46.87,43.66,45.2,0.52,+1.16%,944240,0
10/03/2022,43.08,46.4525,42.66,44.68,2.06,+4.83%,1378620,0
09/26/2022,44.66,44.96,41.8,42.62,-1.95,-4.38%,1878400,0
09/19/2022,46.82,47.81,44.1,44.57,-2.58,-5.47%,1171280,0
09/12/2022,49.98,50.53,46.57,47.15,-2.55,-5.13%,1442640,0
09/05/2022,47.8,49.78,46.22,49.7,2.11,+4.43%,2020825,0
08/29/2022,49.13,50.29,47.345,47.59,-1.785,-3.62%,2597000,0
08/22/2022,52.8,52.925,49.355,49.375,-4.375,-8.14%,1265520,0
08/15/2022,54.26,55.4,53.5,53.75,-0.78,-1.43%,965400,0
08/08/2022,52.69,54.55,51.47,54.53,2.54,+4.89%,1657560,0
08/01/2022,54.08,54.9,51.66,51.99,-2.13,-3.94%,1170900,0
07/25/2022,51.83,54.24,51.62,54.12,2.62,+5.09%,835300,0
07/18/2022,49.91,52.05,49.28,51.5,1.85,+3.73%,1000400,0
07/11/2022,51.55,51.73,48.29,49.65,-2.15,-4.15%,1071220,0
07/04/2022,52.02,52.63,50.82,51.8,-1.49,-2.80%,863650,0
06/27/2022,53.02,53.54,50.78,53.29,0.27,+0.51%,1013380,0
06/20/2022,51.31,53.04,50.35,53.02,2.16,+4.25%,1219325,0
06/13/2022,51.15,52.05,49.17,50.86,-1.88,-3.56%,1267880,0
06/06/2022,54.13,54.63,52.57,52.74,-0.7,-1.31%,1031760,0
05/30/2022,53.77,53.975,51.83,53.44,-0.44,-0.82%,1187225,0
05/23/2022,52.76,54.38,52.52,53.88,1.17,+2.22%,1019040,0
05/16/2022,52.03,53.86,50.33,52.71,0.46,+0.88%,1729080,0
05/09/2022,48.21,52.3,47.92,52.25,3.54,+7.27%,1512080,0
05/02/2022,50.43,51.65,48.08,48.71,-1.24,-2.48%,1000360,0
04/25/2022,51.17,52.56,49.82,49.95,-1.4,-2.73%,1482840,0
04/18/2022,49.17,52.81,48.37,51.35,1.87,+3.78%,1167660,0
04/11/2022,47.89,49.695,47.44,49.48,1.41,+2.93%,875576,0
04/04/2022,49.26,49.46,47.4,48.07,-1.77,-3.55%,1054500,0
03/28/2022,48.64,51.28,47.93,49.84,1.37,+2.83%,1133020,0
03/21/2022,49.68,50.21,47.64,48.47,-1.24,-2.49%,1007180,0
03/14/2022,46.21,50.03,46.2,49.71,4.1,+8.99%,1433600,0
03/07/2022,46.52,47.54,42.33,45.61,-0.41,-0.89%,2328460,0
02/28/2022,52.07,52.45,44.625,46.02,-7.52,-14.05%,2222920,0
02/21/2022,54.61,54.93,50.086,53.54,-1.86,-3.36%,1255125,0
02/14/2022,56.82,58.08,55.23,55.4,-1.69,-2.96%,1533300,0
02/07/2022,57.32,59.72,56.81,57.09,-0.03,-0.05%,1121360,0
01/31/2022,56.33,59.19,56.28,57.12,0.39,+0.69%,904960,0
01/24/2022,55.66,58.18,54.623,56.73,0.03,+0.05%,1214280,0
01/17/2022,58.73,59.59,56.55,56.7,-2.96,-4.96%,910350,0
01/10/2022,57.77,59.86,57.3,59.66,1.83,+3.16%,928220,0
01/03/2022,55.91,58.3,55.73,57.83,1.9,+3.40%,996240,0
12/27/2021,55.25,56.47,55.03,55.93,0.7,+1.27%,802160,0
12/20/2021,52.18,55.32,51.31,55.23,1.68,+3.14%,1376875,0
12/13/2021,53.46,54.53,53.09,53.55,0.11,+0.21%,1045140,0
12/06/2021,53.61,55.68,52.86,53.44,0.35,+0.66%,1021540,0
11/29/2021,50.91,53.17,48.88,53.09,2.38,+4.69%,1622940,0
11/22/2021,52.01,53.67,50.18,50.71,-1.08,-2.09%,956900,0
11/15/2021,56.27,56.5,50.88,51.79,-4.41,-7.85%,960280,0
11/08/2021,54.91,58.15,54.3,56.2,1.1,+2.00%,1662200,0
11/01/2021,52.62,55.21,52.52,55.1,2.45,+4.65%,625760,0
10/25/2021,52.78,53.6,52.06,52.65,-0.2,-0.38%,562200,0
10/18/2021,54.47,54.47,52.6,52.85,-2.19,-3.98%,609840,0
10/11/2021,54.2,55.67,53.18,55.04,0.99,+1.83%,1063160,0
