Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/06/2023,184.46,190.585,183.2566,183.8,-2.05,-1.10%,1265820,0
01/30/2023,183.61,191.92,180.615,185.85,0.82,+0.44%,1522960,0
01/23/2023,177.2,186.24,176.49,185.03,6.77,+3.80%,1222640,0
01/16/2023,171.79,178.945,169.41,178.26,9,+5.32%,1699550,0
01/09/2023,161.34,169.37,161.34,169.26,9.6,+6.01%,1362120,0
01/02/2023,162.83,163.9999,154.88,159.66,-0.98,-0.61%,1311000,0
12/26/2022,161.1,163.18,158.1825,160.64,-0.81,-0.50%,723900,0
12/19/2022,163.15,165.765,158.94,161.45,-1.75,-1.07%,1068080,0
12/12/2022,163.96,174.48,160.38,163.2,-0.47,-0.29%,1821620,0
12/05/2022,170.45,170.92,159.72,163.67,-8.76,-5.08%,1392900,0
11/28/2022,167.54,177.27,161.9,172.43,5.12,+3.06%,1659160,0
11/21/2022,164.45,168.65,160.87,167.31,2.29,+1.39%,866450,0
11/14/2022,166.03,172.4,162.87,165.02,-1.88,-1.13%,1534940,0
11/07/2022,143.75,167.99,141.62,166.9,24.49,+17.20%,1864320,0
10/31/2022,150.19,153.7591,138.76,142.41,-9.07,-5.99%,2076080,0
10/24/2022,160.04,161.3988,146.36,151.48,-6.86,-4.33%,2702980,0
10/17/2022,152.23,159.82,150.69,158.34,10.89,+7.39%,1754099,0
10/10/2022,159.48,159.86,142.338,147.45,-11.45,-7.21%,3197720,0
10/03/2022,164.39,174.33,158,158.9,-4.53,-2.77%,2155081,0
09/26/2022,161.49,167.66,160.61,163.43,2.46,+1.53%,1706900,0
09/19/2022,162.63,172.06,159.12,160.97,-3.3,-2.01%,1774220,0
09/12/2022,175.11,175.45,160.825,164.27,-10.41,-5.96%,2116980,0
09/05/2022,168.39,175.97,166.64,174.68,6.51,+3.87%,1523325,0
08/29/2022,175.65,177.51,166.89,168.17,-9.66,-5.43%,1709820,0
08/22/2022,186.34,187.13,177.48,177.83,-10.21,-5.43%,1303520,0
08/15/2022,188.83,194.97,186.62,188.04,-0.79,-0.42%,1434800,0
08/08/2022,186.82,189.9499,183.12,188.83,2.28,+1.22%,1673880,0
08/01/2022,183.015,187.51,176.25,186.55,0.47,+0.25%,1962800,0
07/25/2022,167.72,186.58,165.19,186.08,18.37,+10.95%,1976100,0
07/18/2022,158.08,171.11,154.22,167.71,10.71,+6.82%,1403580,0
07/11/2022,158.87,162.19,148.85,157,-3.42,-2.13%,1240240,0
07/04/2022,148.98,161.42,147,160.42,10.78,+7.20%,1398275,0
06/27/2022,157.25,158.32,147.4,149.64,-7.98,-5.06%,1446640,0
06/20/2022,145.65,157.89,145.09,157.62,14.53,+10.15%,1999400,0
06/13/2022,144.4,149.91,139.73,143.09,-6.02,-4.04%,1739500,0
06/06/2022,160.9,164.18,147.84,149.11,-9.45,-5.96%,1180700,0
05/30/2022,155.74,161.69,151.83,158.56,2.32,+1.48%,1569025,0
05/23/2022,147.2,156.33,142,156.24,9.64,+6.58%,1391400,0
05/16/2022,140.95,147.47,135.47,146.6,4.16,+2.92%,1818620,0
05/09/2022,143.39,144.35,132.315,142.44,-3.93,-2.68%,1780740,0
05/02/2022,150.54,158.71,142.823,146.37,-4.48,-2.97%,1615200,0
04/25/2022,148.38,160.965,147.205,150.85,2.78,+1.88%,2336980,0
04/18/2022,148.52,160.965,147.81,148.07,-1.73,-1.15%,1417960,0
04/11/2022,157.2,159.01,149.05,149.8,-8.44,-5.33%,1656400,0
04/04/2022,165.95,168.73,157.82,158.24,-7.39,-4.46%,1397240,0
03/28/2022,159,167.38,158.64,165.63,6.79,+4.27%,1427140,0
03/21/2022,157.38,163.24,153.945,158.84,-0.03,-0.02%,1322020,0
