Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,3.99,4.47,3.96,4.04,-0.07,-1.70%,218650,0
03/06/2023,4.39,4.9,3.9515,4.11,-0.25,-5.73%,325100,0
02/27/2023,4.13,4.4099,4.03,4.36,0.19,+4.56%,84840,0
02/20/2023,4.07,4.6,3.96,4.17,0.01,+0.24%,208800,0
02/13/2023,4.28,4.44,3.9515,4.16,-0.09,-2.12%,101400,0
02/06/2023,4.71,4.98,4.2118,4.25,-0.4,-8.60%,237100,0
01/30/2023,4.04,4.71,3.83,4.65,0.56,+13.69%,510740,0
01/23/2023,4.42,4.6,3.88,4.09,-0.28,-6.41%,169400,0
01/16/2023,3.4,4.5,3.39,4.37,0.97,+28.53%,190800,0
01/09/2023,3.17,3.49,2.91,3.4,0.32,+10.39%,89120,0
01/02/2023,2.5,3.16,2.43,3.08,0.58,+23.20%,79350,0
12/26/2022,2.8,2.862,2.42,2.5,-0.29,-10.39%,103050,0
12/19/2022,2.61,2.79,2.34,2.79,0.14,+5.28%,96920,0
12/12/2022,2.14,2.74,1.96,2.65,0.53,+25.00%,176300,0
12/05/2022,2.07,2.22,1.97,2.12,0.01,+0.47%,66760,0
11/28/2022,2.16,2.25,1.85,2.11,-0.07,-3.21%,95380,0
11/21/2022,2.3,2.475,2.14,2.18,-0.21,-8.79%,193175,0
11/14/2022,2.16,2.4,2.01,2.39,0.28,+13.27%,118120,0
11/07/2022,1.96,2.23,1.71,2.11,0.11,+5.50%,220220,0
10/31/2022,1.9,2.1,1.86,2,0.05,+2.56%,143480,0
10/24/2022,1.58,2,1.52,1.95,0.37,+23.42%,112980,0
10/17/2022,1.69,1.8101,1.48,1.58,-0.08,-4.82%,116940,0
10/10/2022,1.7,2,1.53,1.66,-0.02,-1.19%,191780,0
10/03/2022,1.85,2.25,1.65,1.68,-0.22,-11.58%,277660,0
09/26/2022,2.5,2.51,1.9,1.9,-0.54,-22.13%,121500,0
09/19/2022,3.04,3.19,2.35,2.44,-0.68,-21.79%,104461,0
09/12/2022,3.34,3.67,3.04,3.12,-0.22,-6.59%,122120,0
09/05/2022,3.89,4.1,3.21,3.34,-0.56,-14.36%,110075,0
08/29/2022,3.75,4.04,3.63,3.9,0.07,+1.83%,53580,0
08/22/2022,4.05,4.405,3.79,3.83,-0.26,-6.36%,94440,0
08/15/2022,4.25,5.23,4.05,4.09,-0.11,-2.62%,292580,0
08/08/2022,4.31,4.5843,3.99,4.2,-0.03,-0.71%,123140,0
08/01/2022,3.8,4.7,3.75,4.23,0.44,+11.61%,442380,0
07/25/2022,2.96,3.81,2.96,3.79,0.7,+22.65%,260620,0
07/18/2022,2.59,3.1,2.51,3.09,0.55,+21.65%,214240,0
07/11/2022,2.34,2.6,2.13,2.54,0.19,+8.09%,171560,0
07/04/2022,2.5,2.63,2.25,2.35,-0.15,-6.00%,128025,0
06/27/2022,2.56,2.72,2.1601,2.5,-0.02,-0.79%,222840,0
06/20/2022,1.99,2.84,1.94,2.52,0.6,+31.25%,1055925,0
06/13/2022,2.03,2.18,1.9,1.92,-0.17,-8.13%,224320,0
06/06/2022,2.21,2.284,2.01,2.09,-0.12,-5.43%,257060,0
05/30/2022,2.06,2.21,1.88,2.21,0.11,+5.24%,131825,0
05/23/2022,2.07,2.25,1.99,2.1,0.05,+2.44%,139100,0
05/16/2022,1.89,2.089,1.77,2.05,0.13,+6.77%,186720,0
05/09/2022,1.99,2.105,1.88,1.92,-0.12,-5.88%,281520,0
05/02/2022,1.98,2.13,1.88,2.04,0.06,+3.03%,318460,0
04/25/2022,1.95,2.06,1.74,1.98,0.02,+1.02%,367080,0
04/18/2022,1.975,2.16,1.77,1.96,0.03,+1.55%,308020,0
