Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,2.41,2.47,2.27,2.33,-0.18,-7.17%,7351175,0
02/13/2023,2.27,2.54,2.2,2.51,0.23,+10.09%,6041720,0
02/06/2023,2.88,2.97,2.21,2.28,-0.64,-21.92%,9125260,0
01/30/2023,2.9,3.22,2.8238,2.92,-0.01,-0.34%,9760660,0
01/23/2023,2.63,2.99,2.6,2.93,0.32,+12.26%,8714120,0
01/16/2023,2.66,2.84,2.51,2.61,0,0.00%,10518600,0
01/09/2023,2.41,2.69,2.23,2.61,0.23,+9.66%,11144980,0
01/02/2023,2.37,2.58,2.27,2.38,0.07,+3.03%,8379525,0
12/26/2022,2.28,2.32,2.09,2.31,-0.02,-0.86%,8420900,0
12/19/2022,2.6,2.61,2.19,2.33,-0.27,-10.38%,9729940,0
12/12/2022,2.92,3.175,2.51,2.6,-0.27,-9.41%,15013240,0
12/05/2022,4.29,4.77,2.87,2.87,-1.42,-33.10%,22249920,0
11/28/2022,3.59,4.46,3.34,4.29,0.63,+17.21%,15205160,0
11/21/2022,3.63,3.83,3.37,3.66,-0.01,-0.27%,10218700,0
11/14/2022,4.34,4.5596,3.67,3.67,-0.55,-13.03%,16541960,0
11/07/2022,3.3,4.27,2.98,4.22,0.93,+28.27%,18893460,0
10/31/2022,3.11,3.89,3.08,3.29,0.14,+4.44%,20993920,0
10/24/2022,2.4,3.339,2.2301,3.15,0.76,+31.80%,25667420,0
10/17/2022,2.43,2.67,2.26,2.39,0.04,+1.70%,10403920,0
10/10/2022,2.8,2.8199,2.32,2.35,-0.44,-15.77%,14766740,0
10/03/2022,2.78,3.83,2.7202,2.79,0.06,+2.20%,22808420,0
09/26/2022,2.81,3.05,2.72,2.73,-0.11,-3.87%,6746720,0
09/19/2022,3.13,3.24,2.6,2.84,-0.33,-10.41%,7289000,0
09/12/2022,3.69,3.845,3.17,3.17,-0.48,-13.15%,7453500,0
09/05/2022,3.45,3.76,3.15,3.65,0.19,+5.49%,8270150,0
08/29/2022,3.77,4.14,3.34,3.46,-0.38,-9.90%,9828700,0
08/22/2022,3.69,4.2599,3.28,3.84,0.02,+0.52%,13644100,0
08/15/2022,3.26,4.3,3.23,3.82,0.52,+15.76%,21164600,0
08/08/2022,2.74,3.52,2.7,3.3,0.6,+22.22%,13612440,0
08/01/2022,2.63,3.03,2.5,2.7,0.07,+2.66%,9565480,0
07/25/2022,2.56,2.67,2.34,2.63,0.065,+2.53%,8483020,0
07/18/2022,2.3,3.175,2.28,2.565,0.325,+14.51%,21574720,0
07/11/2022,2.47,2.59,2.13,2.24,-0.38,-14.50%,13613020,0
07/04/2022,2.75,2.78,2.53,2.62,-0.19,-6.76%,11934425,0
06/27/2022,3.78,3.86,2.6438,2.81,-0.96,-25.46%,7967860,0
06/20/2022,3.485,3.79,3.3,3.77,0.4,+11.87%,4237600,0
06/13/2022,3.41,3.58,3.24,3.37,-0.28,-7.67%,5453220,0
06/06/2022,4.36,4.45,3.59,3.65,-0.67,-15.51%,6006800,0
05/30/2022,4.8,5.1,4.3,4.32,-0.56,-11.48%,6365950,0
05/23/2022,5.52,5.61,4.6,4.88,-0.64,-11.59%,8557320,0
05/16/2022,5.89,6.209,5.36,5.52,-0.4,-6.76%,4661140,0
05/09/2022,5.72,5.96,4.82,5.92,-0.05,-0.84%,6417380,0
05/02/2022,5.62,6.71,5.55,5.97,0.26,+4.55%,5366240,0
04/25/2022,5.52,5.86,5.05,5.71,0.14,+2.51%,5145680,0
04/18/2022,6.8,6.83,5.53,5.57,-1.25,-18.33%,7542520,0
04/11/2022,6.56,7.25,6.382,6.82,0.12,+1.79%,5295250,0
04/04/2022,7.53,7.95,6.52,6.7,-0.67,-9.09%,6993560,0
03/28/2022,8.16,8.64,7.345,7.37,-1.32,-15.19%,13184160,0
03/21/2022,7.2,8.79,6.8,8.69,1.57,+22.05%,15420220,0
03/14/2022,6.07,7.235,5.62,7.12,1.04,+17.11%,5482980,0
03/07/2022,6.26,6.79,5.79,6.08,-0.24,-3.80%,6022623,0
02/28/2022,7.05,7.23,6.24,6.32,-0.84,-11.73%,5324820,0
02/21/2022,7.51,7.62,6.4173,7.16,-0.54,-7.01%,5424525,0
