Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,54.25,54.25,48.96,49.64,0.55,+1.12%,3710500,0
02/27/2023,46.75,50.01,46.13,49.09,2.91,+6.30%,2237300,0
02/20/2023,47.24,49.04,45.83,46.18,-1.57,-3.29%,1299325,0
02/13/2023,48.49,49.83,47.29,47.75,-0.79,-1.63%,1056180,0
02/06/2023,49.5,50.59,48.185,48.54,-1.78,-3.54%,1305660,0
01/30/2023,50.6,52.6,49.74,50.32,-0.71,-1.39%,1715580,0
01/23/2023,50.69,51.44,49.28,51.03,0.74,+1.47%,1058400,0
01/16/2023,50.89,52.52,48.94,50.29,-0.8,-1.57%,1353350,0
01/09/2023,51.89,53.16,50.19,51.09,-0.33,-0.64%,1065380,0
01/02/2023,51.5,52.14,48.56,51.42,0.44,+0.86%,1569800,0
12/26/2022,49.43,51.01,48.9,50.98,1.65,+3.34%,996475,0
12/19/2022,48.54,50.0437,48.24,49.33,0.91,+1.88%,1665040,0
12/12/2022,50.78,52.51,47.57,48.42,-2.34,-4.61%,2596480,0
12/05/2022,44.54,52.4499,42.81,50.76,5.99,+13.38%,4278420,0
11/28/2022,43.85,45.42,42.61,44.77,0.66,+1.50%,1922040,0
11/21/2022,44.43,44.8,43.39,44.11,-0.69,-1.54%,1309275,0
11/14/2022,44.82,46.49,43.07,44.8,-0.21,-0.47%,1531800,0
11/07/2022,46.26,46.47,41.045,45.01,-0.94,-2.05%,2347100,0
10/31/2022,47.98,48.53,44.985,45.95,-2.3,-4.77%,1533260,0
10/24/2022,43.25,48.3,42.67,48.25,5.17,+12.00%,1665200,0
10/17/2022,40.32,43.23,40.12,43.08,3.49,+8.82%,1569960,0
10/10/2022,40.59,40.78,38.33,39.59,-1,-2.46%,1636520,0
10/03/2022,41.15,43.02,40.4,40.59,0.16,+0.40%,1161500,0
09/26/2022,40.6,42.53,39.44,40.43,-0.17,-0.42%,1703240,0
09/19/2022,41.37,41.905,39.865,40.6,-1.25,-2.99%,1868780,0
09/12/2022,44.75,45.46,41.11,41.85,-2.48,-5.59%,2399380,0
09/05/2022,43.22,44.53,42.29,44.33,0.11,+0.25%,2406875,0
08/29/2022,52.99,53.18,44.07,44.22,-9.4,-17.53%,3588700,0
08/22/2022,55.5,55.76,53.44,53.62,-2.17,-3.89%,857540,0
08/15/2022,54.21,56.38,54.2,55.79,1.09,+1.99%,1132780,0
08/08/2022,53.14,54.85,51.52,54.7,1.81,+3.42%,1015560,0
08/01/2022,51.15,52.91,50.67,52.89,1.29,+2.50%,884720,0
07/25/2022,48.64,51.78,47.59,51.6,3.16,+6.52%,1113440,0
07/18/2022,47.63,49.88,47.01,48.44,0.94,+1.98%,1078240,0
07/11/2022,47.11,47.95,45.26,47.5,0.01,+0.02%,955040,0
07/04/2022,44.89,47.64,43.7946,47.49,1.85,+4.05%,1185825,0
06/27/2022,47.13,47.37,44.66,45.64,-1.3,-2.77%,1283320,0
06/20/2022,44.2,46.95,43.89,46.94,3.38,+7.76%,2248100,0
06/13/2022,44.28,44.885,41.63,43.56,-1.66,-3.67%,2253300,0
06/06/2022,49.12,51.18,44.9,45.22,-3.52,-7.22%,1581320,0
05/30/2022,51.65,51.97,46.6,48.74,-3.59,-6.86%,2639350,0
05/23/2022,50.27,52.33,48.16,52.33,2.49,+5.00%,1551360,0
05/16/2022,52.23,53.67,48.565,49.84,-2.52,-4.81%,1563260,0
05/09/2022,53.7,54.01,49.52,52.36,-1.89,-3.48%,1222040,0
05/02/2022,55.29,57.46,53.49,54.25,-0.92,-1.67%,1374860,0
04/25/2022,56.13,57.74,54.055,55.17,-1.15,-2.04%,1183180,0
04/18/2022,55.76,58.7099,55.53,56.32,0.48,+0.86%,1015540,0
04/11/2022,57.63,58.38,55.84,55.84,-2.38,-4.09%,1112600,0
04/04/2022,61.08,61.78,57.16,58.22,-2.82,-4.62%,869180,0
03/28/2022,60.05,61.975,59.85,61.04,0.53,+0.88%,1040200,0
03/21/2022,60,60.81,57.72,60.51,0.41,+0.68%,1327360,0
03/14/2022,54.92,60.21,53.29,60.1,5.12,+9.31%,2116840,0
03/07/2022,64.48,64.48,54.9,54.98,-10.96,-16.62%,2890100,0
