Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,22.43,22.6,20.74,21.29,-1.5,-6.58%,6869382,0
02/27/2023,20.12,22.83,20.1,22.79,3.07,+15.57%,9774100,0
02/20/2023,19.7,20.28,19.27,19.72,-0.1,-0.50%,9046725,0
02/13/2023,19.85,21.0596,19,19.82,-0.12,-0.60%,12199000,0
02/06/2023,21.26,21.39,19.425,19.94,-1.66,-7.69%,8366220,0
01/30/2023,21.33,22.54,20.74,21.6,-0.02,-0.09%,9045740,0
01/23/2023,20.97,21.75,19.74,21.62,0.65,+3.10%,9612800,0
01/16/2023,21.04,21.56,20.07,20.97,0.05,+0.24%,10902700,0
01/09/2023,18.76,20.96,18.105,20.92,2.27,+12.17%,13725520,0
01/02/2023,16.33,18.8,16.31,18.65,2.54,+15.77%,13460175,0
12/26/2022,17.06,17.555,15.925,16.11,-0.79,-4.67%,9465375,0
12/19/2022,15.11,17.37,14.22,16.9,1.77,+11.70%,14399420,0
12/12/2022,15.41,16.555,14.6,15.13,-0.37,-2.39%,15028240,0
12/05/2022,16.5,16.645,15.49,15.5,-0.92,-5.60%,10592940,0
11/28/2022,15.43,16.5,14.765,16.42,0.72,+4.59%,11918660,0
11/21/2022,14.1,16.09,13.93,15.7,1.37,+9.56%,10654000,0
11/14/2022,14.86,15.93,14.14,14.33,-0.78,-5.16%,10978640,0
11/07/2022,13.18,15.4,12.99,15.11,2.09,+16.05%,13265560,0
10/31/2022,13.37,13.575,11.825,13.02,-0.43,-3.20%,17699320,0
10/24/2022,15.98,16.05,13.26,13.45,-2.89,-17.69%,21764040,0
10/17/2022,14.87,16.4571,14.56,16.34,1.89,+13.08%,12673780,0
10/10/2022,15.08,15.71,14.41,14.45,-0.38,-2.56%,10629880,0
10/03/2022,13.87,15.5688,13.855,14.83,1.36,+10.10%,11518360,0
09/26/2022,13.08,14.05,13.02,13.47,0.2,+1.51%,12007100,0
09/19/2022,14.68,15.295,12.9,13.27,-1.73,-11.53%,14937320,0
09/12/2022,18.87,19.05,14.83,15,-3.73,-19.91%,19019440,0
09/05/2022,17.06,18.85,16.54,18.73,1.92,+11.42%,13491675,0
