Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,35.95,37.74,34.8,35,-1.76,-4.79%,145440,0
03/06/2023,38.71,39.04,36.35,36.76,-2.01,-5.18%,99960,0
02/27/2023,37.02,38.855,36.44,38.77,2.15,+5.87%,89580,0
02/20/2023,37.64,38,35.59,36.62,-1.45,-3.81%,73775,0
02/13/2023,36.37,38.26,35.82,38.07,1.87,+5.17%,76620,0
02/06/2023,38.72,38.72,35.7,36.2,-2.73,-7.01%,83860,0
01/30/2023,35.18,39.85,35.09,38.93,3.58,+10.13%,157720,0
01/23/2023,34.68,36.05,34.37,35.35,0.58,+1.67%,75940,0
01/16/2023,36.23,36.63,33.815,34.77,-1.55,-4.27%,94675,0
01/09/2023,35.14,36.45,33.87,36.32,1.7,+4.91%,105600,0
01/02/2023,32.77,34.99,31.706,34.62,2.15,+6.62%,126675,0
12/26/2022,31.94,33.34,31.51,32.47,0.69,+2.17%,147350,0
12/19/2022,30.83,31.985,30.05,31.78,0.89,+2.88%,114500,0
12/12/2022,31.89,33.52,30.13,30.89,-0.98,-3.07%,172960,0
12/05/2022,32.43,33.83,30.71,31.87,-0.79,-2.42%,128720,0
11/28/2022,31.02,33.6,30.28,32.66,1.4,+4.48%,127081,0
11/21/2022,32.4,32.69,31,31.26,-1.22,-3.76%,122125,0
11/14/2022,31.24,33.28,30.57,32.48,1.11,+3.54%,155460,0
11/07/2022,28.98,32.18,27.985,31.37,2.62,+9.11%,149680,0
10/31/2022,27.97,29.45,27.165,28.75,0.62,+2.20%,171840,0
10/24/2022,25.63,29.01,25.27,28.13,2.74,+10.79%,237140,0
10/17/2022,25.66,26.58,24.95,25.39,0.34,+1.36%,223960,0
10/10/2022,25.04,26.477,23.54,25.05,0.21,+0.85%,152320,0
10/03/2022,26.7,27.83,24.23,24.84,-1.32,-5.05%,130280,0
09/26/2022,26.34,27.17,25.38,26.16,-0.48,-1.80%,99680,0
09/19/2022,28.29,29.31,26.2,26.64,-2.1,-7.31%,94080,0
09/12/2022,31.26,31.94,27.645,28.74,-2.35,-7.56%,73360,0
09/05/2022,30.24,31.45,28.87,31.09,1.03,+3.43%,65250,0
08/29/2022,32.17,32.215,29.74,30.06,-2.29,-7.08%,66358,0
08/22/2022,32.82,34.35,31.32,32.35,-0.97,-2.91%,87360,0
08/15/2022,33.62,34.86,33,33.32,-0.74,-2.17%,70600,0
08/08/2022,32.49,34.11,31.71,34.06,1.98,+6.17%,88920,0
08/01/2022,32.67,33.3934,29.7819,32.08,-1.02,-3.08%,59440,0
07/25/2022,30.75,33.24,30.67,33.1,2.34,+7.61%,116880,0
07/18/2022,28.91,31.2606,28.9017,30.76,2.03,+7.07%,92500,0
07/11/2022,28.22,29.08,26.42,28.73,0.29,+1.02%,99680,0
07/04/2022,28.14,30.181,27.39,28.44,-0.35,-1.22%,100025,0
06/27/2022,30.99,31.15,27.56,28.79,-1.9,-6.19%,125134,0
06/20/2022,29.27,30.8,27.18,30.69,1.87,+6.49%,256404,0
06/13/2022,31.98,32.72,28.61,28.82,-4.04,-12.29%,155280,0
06/06/2022,35.03,35.24,32.4,32.86,-2.01,-5.76%,133860,0
05/30/2022,33.24,35.95,32.88,34.87,1.2,+3.56%,170025,0
05/23/2022,33.36,34.5,30.13,33.67,0.86,+2.62%,286725,0
05/16/2022,33.31,34.85,32.3357,32.81,-0.5,-1.50%,154383,0
05/09/2022,34.21,35.815,32.455,33.31,-1.53,-4.39%,105840,0
05/02/2022,35.73,37.38,34.35,34.84,-0.61,-1.72%,114540,0
04/25/2022,37.57,37.9,35.39,35.45,-2.64,-6.93%,119060,0
04/18/2022,37.8,40.565,37.55,38.09,0.16,+0.42%,83120,0
04/11/2022,37.37,38.69,36.28,37.93,0.29,+0.77%,97475,0
04/04/2022,42.07,43.45,37.63,37.64,-4.43,-10.53%,148141,0
03/28/2022,46.14,46.14,41.6,42.07,-4.44,-9.55%,120760,0
03/21/2022,43.96,46.54,42.805,46.51,2.49,+5.66%,93480,0
03/14/2022,42.8,44.16,41.55,44.02,1.55,+3.65%,98060,0
03/07/2022,44.71,44.71,42.03,42.47,-2.22,-4.97%,90700,0
02/28/2022,44.71,47.18,43.77,44.69,-0.3,-0.67%,168180,0
02/21/2022,44.26,45.51,42.59,44.99,0.83,+1.88%,129127,0
02/14/2022,44.39,45.76,43.71,44.16,-0.13,-0.29%,87440,0
02/07/2022,44.1,46.59,43.6501,44.29,0.16,+0.36%,103800,0
01/31/2022,42.64,44.86,42.14,44.13,1.06,+2.46%,131460,0
01/24/2022,46.28,48.78,41.01,43.07,-3.63,-7.77%,148800,0
01/17/2022,49.1,49.55,46.15,46.7,-2.83,-5.71%,128425,0
01/10/2022,48.76,49.62,47.48,49.53,0.53,+1.08%,101420,0
01/03/2022,46.26,50.18,46.01,49,2.74,+5.92%,124980,0
12/27/2021,45.31,46.64,44.41,46.26,0.94,+2.07%,53080,0
12/20/2021,43.7,45.71,41.75,45.32,1.15,+2.60%,81925,0
12/13/2021,46.02,46.37,43.3,44.17,-2.14,-4.62%,112460,0
12/06/2021,45.27,47.5,45.07,46.31,1.74,+3.90%,71200,0
