Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,164.34,166.8,161.38,165.0394,0.0794,+0.05%,5251695,0
02/27/2023,163.01,165.58,160.28,164.96,2.55,+1.57%,7260140,0
02/20/2023,162.18,163.7497,158.91,162.41,-0.44,-0.27%,6310300,0
02/13/2023,171.32,173.51,161.85,162.85,-9.12,-5.30%,8549720,0
02/06/2023,169.56,174.39,167.37,171.97,2.52,+1.49%,9885240,0
01/30/2023,178,178.34,166.82,169.45,-10,-5.57%,11270340,0
01/23/2023,181.21,187.81,176.35,179.45,-1.45,-0.80%,11012020,0
01/16/2023,178.44,182.38,176.16,180.9,3.34,+1.88%,8995450,0
01/09/2023,178.26,178.37,173.72,177.56,1,+0.57%,7254540,0
01/02/2023,178.04,179.39,170.85,176.56,-2.93,-1.63%,7132300,0
12/26/2022,178.36,180.23,175.93,179.49,2.09,+1.18%,4702300,0
12/19/2022,170.11,177.58,168.25,177.4,8.68,+5.14%,6129160,0
12/12/2022,168.93,174.92,167.1,168.72,0.72,+0.43%,11079660,0
12/05/2022,182.67,182.95,167.93,168,-13.03,-7.20%,8538820,0
11/28/2022,180.28,184.55,177.96,181.03,-2.67,-1.45%,7871740,0
11/21/2022,179.73,186.56,175.82,183.7,0.71,+0.39%,6519575,0
11/14/2022,186.31,189.68,179.65,182.99,-3.47,-1.86%,7925040,0
11/07/2022,182.5,187.1,177.22,186.46,3.04,+1.66%,7463520,0
10/31/2022,178.06,185.4,177.41,183.42,3.44,+1.91%,8932220,0
10/24/2022,172.08,182.86,171.61,179.98,6.79,+3.92%,8221380,0
10/17/2022,163.29,173.84,158.96,173.19,13.05,+8.15%,7626180,0
10/10/2022,161,165.99,154.11,160.14,0.11,+0.07%,7187640,0
10/03/2022,148.97,163.93,148.3,160.03,16.36,+11.39%,9844240,0
09/26/2022,143.57,146.44,140.46,143.67,-1.1,-0.76%,9088960,0
09/19/2022,152.93,158.78,143.66,144.77,-11.68,-7.47%,8709300,0
09/12/2022,162.81,164.53,155.61,156.45,-3.52,-2.20%,16759200,0
09/05/2022,159.89,160.65,152.62,159.97,2.12,+1.34%,8871700,0
08/29/2022,163.89,166.83,153.2275,157.85,-5.56,-3.40%,9326080,0
08/22/2022,156.69,166.13,154.42,163.41,5.72,+3.63%,8957220,0
08/15/2022,155.18,159.74,153.44,157.69,-2.16,-1.35%,7249240,0
08/08/2022,153.59,161.16,152.93,159.85,6.21,+4.04%,6618540,0
08/01/2022,161.18,161.86,149.02,153.64,-10.14,-6.19%,8101480,0
07/25/2022,145.7,164.66,144.18,163.78,19.59,+13.59%,8452880,0
07/18/2022,140.56,147.26,139.08,144.19,6.54,+4.75%,7513220,0
07/11/2022,141.91,142.8455,132.54,137.65,-5.12,-3.59%,8465700,0
07/04/2022,143.65,145.45,136.8,142.77,-3.74,-2.55%,11149150,0
06/27/2022,145.86,152.185,142.47,146.51,1.74,+1.20%,9176560,0
06/20/2022,152.05,156.02,140.15,144.77,-3.61,-2.43%,13584975,0
06/13/2022,171.61,172.29,145.79,148.38,-27.02,-15.40%,18030060,0
06/06/2022,177.9,182.4,173.65,175.4,-2.2,-1.24%,8883340,0
05/30/2022,179.96,180.96,173.47,177.6,-0.68,-0.38%,11312150,0
05/23/2022,169.43,178.35,169.11,178.28,10.46,+6.23%,10379880,0
05/16/2022,169,175.65,162.83,167.82,-0.05,-0.03%,11960940,0
05/09/2022,167.75,168.79,157.87,167.87,-2.82,-1.65%,10603660,0
05/02/2022,156.31,170.97,155.15,170.69,14.02,+8.95%,9959000,0
04/25/2022,155.73,163,151.36,156.67,-4.28,-2.66%,11947300,0
04/18/2022,173,174.54,160.86,160.95,-10.64,-6.20%,9771760,0
04/11/2022,168.57,172.94,164.9101,171.59,1.66,+0.98%,9121475,0
04/04/2022,165,171.095,163,169.93,5.71,+3.48%,9270060,0
03/28/2022,165.9,166.63,160.5,164.22,-5.09,-3.01%,10838300,0
03/21/2022,163.02,169.69,162.5804,169.31,7.58,+4.69%,10856460,0
03/14/2022,166.21,168.35,155.26,161.73,-9.17,-5.37%,22991080,0
03/07/2022,159.9,174.76,155.72,170.9,12.25,+7.72%,39764961,0
02/28/2022,139.27,159.95,138.65,158.65,18.27,+13.01%,27685940,0
02/21/2022,137,140.5,130.52,140.38,6.96,+5.22%,21424950,0
02/14/2022,137.94,138.05,132.05,133.42,-5.39,-3.88%,11962260,0
02/07/2022,135.34,139.44,134.83,138.81,2.93,+2.16%,12683720,0
01/31/2022,130.19,137,129.3301,135.88,5.27,+4.03%,13192080,0
01/24/2022,124.45,137,122.84,130.61,3.7,+2.92%,20451020,0
01/17/2022,129.69,130.86,126.229,126.91,-2.05,-1.59%,12349700,0
01/10/2022,125.15,129.2,123.86,128.96,3.93,+3.14%,12535260,0
01/03/2022,117.42,125.54,117.29,125.03,7.68,+6.54%,14020940,0
12/27/2021,116.07,119.3401,115.4101,117.35,0.94,+0.81%,6588600,0
12/20/2021,111.86,117.92,110.73,116.41,2.81,+2.47%,10148600,0
12/13/2021,117.46,118.1899,113.53,113.6,-4.74,-4.01%,13192200,0
12/06/2021,115.96,119.26,115.05,118.34,3.93,+3.44%,9501320,0
11/29/2021,116.34,117.17,111.93,114.41,-0.1,-0.09%,14120060,0
11/22/2021,112.02,118,111.85,114.51,2.6,+2.32%,10171300,0
11/15/2021,114.95,118.08,111.1,111.91,-2.32,-2.03%,10926800,0
11/08/2021,115.09,116.21,113.57,114.23,-0.51,-0.44%,8989440,0
11/01/2021,115.03,115.09,111.97,114.74,0.25,+0.22%,9718840,0
10/25/2021,113.53,115.29,111.58,114.49,1.69,+1.50%,9794200,0
10/18/2021,110.22,113.17,108.955,112.8,3.19,+2.91%,9979540,0
10/11/2021,109.56,110.025,106.17,109.61,1.56,+1.44%,9143920,0
10/04/2021,105,108.43,103.58,108.05,3.72,+3.57%,11274040,0
09/27/2021,102.59,104.89,101.45,104.33,3.73,+3.71%,12941060,0
09/20/2021,94.64,100.97,93.31,100.6,3.84,+3.97%,11673440,0
09/13/2021,97.21,98.74,95.98,96.76,0.69,+0.72%,13008840,0
09/06/2021,97.02,98.47,95.35,96.07,-1.42,-1.46%,10310025,0
08/30/2021,99.09,99.308,95.47,97.49,-1.15,-1.17%,11160340,0
08/23/2021,96.09,99.46,96.06,98.64,4.34,+4.60%,9390140,0
08/16/2021,100.83,101.68,92.86,94.3,-7.66,-7.51%,12088260,0
08/09/2021,100.91,103.25,99.93,101.96,0.01,+0.01%,8007260,0
08/02/2021,102.08,103.98,100.1,101.95,0.14,+0.14%,8440080,0
07/26/2021,99.46,104.05,98.94,101.81,2.95,+2.98%,9616400,0
07/19/2021,95.82,100.4698,94.52,98.86,0.24,+0.24%,11248600,0
07/12/2021,103.56,105.32,98.33,98.62,-5.45,-5.24%,9543560,0
07/05/2021,105.97,105.97,101.22,104.07,-2,-1.89%,8917775,0
06/28/2021,106.68,107.1,103.61,106.07,-1.23,-1.15%,8896640,0
06/21/2021,104.53,108.13,103.93,107.3,4.27,+4.14%,9688180,0
06/14/2021,108.18,110.51,102.91,103.03,-4.88,-4.52%,13099500,0
06/07/2021,108.42,110.25,106.3,107.91,-0.54,-0.50%,9742520,0
05/31/2021,105.3,108.67,105.3,108.45,4.66,+4.49%,8727750,0
05/24/2021,104.95,105.835,102.57,103.79,-0.33,-0.32%,8576720,0
05/17/2021,109.09,110.88,101.97,104.12,-5.35,-4.89%,12054860,0
05/10/2021,111.44,113.11,105.44,109.47,-0.55,-0.50%,11367980,0
05/03/2021,103.98,110.6686,103.22,110.02,6.95,+6.74%,9888520,0
04/26/2021,101.27,107.65,101.26,103.07,1.52,+1.50%,8945420,0
04/19/2021,103.17,103.83,100.14,101.55,-1.41,-1.37%,8355800,0
04/12/2021,103.67,105.33,101.29,102.96,0.04,+0.04%,8038100,0
04/05/2021,105.73,105.83,102.07,102.92,-2.83,-2.68%,7992720,0
03/29/2021,106.4,107.53,104.21,105.75,-1.73,-1.61%,7824200,0
03/22/2021,103.06,107.54,100.69,107.48,4.1,+3.97%,11855000,0
03/15/2021,111.53,111.905,102.74,103.38,-8.18,-7.33%,12619000,0
03/08/2021,109.86,112.7,107.88,111.56,2.56,+2.35%,15270740,0
03/01/2021,102.46,109.13,101.4,109,9,+9.00%,16535040,0
02/22/2021,96.99,104.96,96.46,100,4.2,+4.38%,14368340,0
02/15/2021,93.05,96.72,92.61,95.8,3.25,+3.51%,11579225,0
02/08/2021,90.29,92.73,89.81,92.55,3.29,+3.69%,8540260,0
02/01/2021,85.75,90.47,84.57,89.26,4.06,+4.77%,8499540,0
01/25/2021,90.61,92.91,84.92,85.2,-6.53,-7.12%,9710160,0
01/18/2021,93.5,95.56,89.83,91.73,-0.36,-0.39%,9129100,0
01/11/2021,89.12,96.315,88.57,92.09,1.01,+1.11%,11096480,0
01/04/2021,85.15,92.43,83.89,91.08,6.63,+7.85%,11401000,0
12/28/2020,85.61,86.63,83.9601,84.45,-0.88,-1.03%,7993775,0
12/21/2020,84.24,86.835,83.53,85.33,-1.86,-2.13%,7644750,0
12/14/2020,93.4,93.7,86.26,87.19,-5.26,-5.69%,14610040,0
12/07/2020,91.82,94.56,89.37,92.45,-0.83,-0.89%,9946280,0
11/30/2020,90.01,93.45,86.9,93.28,1.97,+2.16%,10750880,0
11/23/2020,87.45,95.82,86.76,91.31,5.52,+6.43%,11459400,0
11/16/2020,86.24,89.18,83.06,85.79,2.76,+3.32%,12201980,0
11/09/2020,80,84.49,78.26,83.03,11.88,+16.70%,14104680,0
11/02/2020,70.7,73.59,69.4,71.15,1.65,+2.37%,10000720,0
10/26/2020,71.73,71.8899,65.16,69.5,-3.07,-4.23%,13882940,0
