Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,140.61,140.97,134.33,134.89,-5.91,-4.20%,988025,0
02/27/2023,140.88,141.07,136.31,140.8,0.81,+0.58%,1802320,0
02/20/2023,147.13,147.92,139.75,139.99,-8.23,-5.55%,873700,0
02/13/2023,144.93,148.915,143.34,148.22,3.42,+2.36%,843450,0
02/06/2023,143.05,147.26,142.33,144.8,1.99,+1.39%,1231901,0
01/30/2023,145.96,150.57,139.87,142.81,-2.82,-1.94%,1546920,0
01/23/2023,145.31,147.59,143.26,145.63,0.2,+0.14%,832200,0
01/16/2023,147.46,148.17,144.27,145.43,-2.51,-1.70%,1040975,0
01/09/2023,156.13,156.94,146.94,147.94,-7.7,-4.95%,1397522,0
01/02/2023,156.01,157.36,152.39,155.64,-0.8,-0.51%,866225,0
12/26/2022,156.35,158.3356,155.36,156.44,0.13,+0.08%,712675,0
12/19/2022,148.76,156.62,148.23,156.31,7.07,+4.74%,1121240,0
12/12/2022,149.11,152.445,147.11,149.24,0.39,+0.26%,1284000,0
12/05/2022,149.42,151.44,147.26,148.85,-1.61,-1.07%,975200,0
11/28/2022,148.86,154.22,146.19,150.46,1.4,+0.94%,1219600,0
11/21/2022,145.68,149.6962,145.24,149.06,2.64,+1.80%,784675,0
11/14/2022,151.54,153.12,141.78,146.42,-4.61,-3.05%,1223240,0
11/07/2022,143.8,152.71,142.76,151.03,7.41,+5.16%,1262840,0
10/31/2022,144,146.85,138.04,143.62,-0.97,-0.67%,1190840,0
10/24/2022,138.36,146.11,137.85,144.59,7.84,+5.73%,1330681,0
10/17/2022,127.21,139.18,125.17,136.75,10.64,+8.44%,1530500,0
10/10/2022,123.73,128,122.05,126.11,2.8,+2.27%,838304,0
10/03/2022,123.39,128.67,122.555,123.31,0.62,+0.51%,760501,0
09/26/2022,121.94,126.29,121.8571,122.69,0.34,+0.28%,1029160,0
09/19/2022,124.16,126.13,120.4,122.35,-2.38,-1.91%,983900,0
09/12/2022,130.36,131.81,123.315,124.73,-5.27,-4.05%,964120,0
09/05/2022,125.06,131.02,124.94,130,4.87,+3.89%,857675,0
08/29/2022,126.89,127.7,124.28,125.13,-1.97,-1.55%,730142,0
08/22/2022,134.63,135.375,127.04,127.1,-8.38,-6.19%,864464,0
08/15/2022,140.63,142.465,134.425,135.48,-5.07,-3.61%,902100,0
08/08/2022,140.24,142.835,138.9,140.55,1.17,+0.84%,639980,0
08/01/2022,136.04,140.33,135.37,139.38,2.81,+2.06%,748900,0
07/25/2022,131.38,137.2,129.065,136.57,5.54,+4.23%,854840,0
07/18/2022,135.85,137.43,130.01,131.03,-4.83,-3.56%,1054240,0
07/11/2022,135.47,137.45,130.56,135.86,0.12,+0.09%,690440,0
07/04/2022,134.65,137.51,131.352,135.74,-0.94,-0.69%,747275,0
06/27/2022,139.98,140.345,132.23,136.68,-3.63,-2.59%,768500,0
06/20/2022,131.43,140.48,130.31,140.31,9.67,+7.40%,904925,0
06/13/2022,128.95,131.86,125.33,130.64,-0.61,-0.46%,1065320,0
