Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,74.24,77.57,74.17,77.4,2.77,+3.71%,163560,0
03/06/2023,76.82,77.29,74.451,74.63,-2.13,-2.77%,151140,0
02/27/2023,74.09,77.5,73.11,76.76,3.06,+4.15%,126340,0
02/20/2023,74.66,75.44,73.33,73.7,-1.44,-1.92%,92725,0
02/13/2023,74.28,78.16,73.7,75.14,1.1,+1.49%,108540,0
02/06/2023,75.79,77,73.61,74.04,-2.25,-2.95%,102620,0
01/30/2023,71.47,76.57,71.06,76.29,4.08,+5.65%,105140,0
01/23/2023,70.9,72.87,69.94,72.21,1.21,+1.70%,114420,0
01/16/2023,71.6,72.65,70.34,71,-0.21,-0.29%,85350,0
01/09/2023,70.63,71.52,69.29,71.21,1.36,+1.95%,81420,0
01/02/2023,70.09,71.12,66.46,69.85,0.2,+0.29%,112475,0
12/26/2022,68.6,70.59,68.03,69.65,1.15,+1.68%,79025,0
12/19/2022,68.95,70.139,67.34,68.5,-0.26,-0.38%,77580,0
12/12/2022,68.84,72.23,67.76,68.76,0.39,+0.57%,117848,0
12/05/2022,71.35,71.35,64.91,68.37,-3.16,-4.42%,182000,0
11/28/2022,69.21,72.29,64.23,71.53,2.23,+3.22%,380360,0
11/21/2022,68.13,69.76,66.74,69.3,1.34,+1.97%,97625,0
11/14/2022,72.2,73.865,65.79,67.96,-4.42,-6.11%,241580,0
11/07/2022,65.3,72.545,64.64,72.38,7.49,+11.54%,192140,0
10/31/2022,68.07,69.97,64.445,64.89,-3.59,-5.24%,367120,0
10/24/2022,66.29,68.58,64.57,68.48,2.16,+3.26%,286840,0
10/17/2022,66.385,69.46,62.12,66.32,1.2,+1.84%,243380,0
10/10/2022,68.75,68.75,64.925,65.12,-3.63,-5.28%,150680,0
10/03/2022,64,71.34,63.63,68.75,5.22,+8.22%,170742,0
09/26/2022,62.22,65.805,62.22,63.53,1.31,+2.11%,155760,0
09/19/2022,65.31,67.72,61.26,62.22,-3.66,-5.56%,174322,0
09/12/2022,68.85,69.845,65.75,65.88,-2.96,-4.30%,126780,0
09/05/2022,68.92,69.66,66.42,68.84,0.09,+0.13%,159250,0
08/29/2022,68.5,71.43,67.65,68.75,-0.43,-0.62%,149560,0
08/22/2022,70.11,71.58,69.04,69.18,-1.47,-2.08%,86840,0
08/15/2022,71.69,72.98,70.38,70.65,-1.12,-1.56%,82180,0
08/08/2022,71.78,73.16,70.18,71.77,0.34,+0.48%,122440,0
08/01/2022,69.02,71.73,68.21,71.43,2.39,+3.46%,99040,0
07/25/2022,67.97,69.37,63.98,69.04,0.85,+1.25%,98460,0
07/18/2022,64.71,69.64,64.42,68.19,3.77,+5.85%,116940,0
07/11/2022,65.84,65.84,61.28,64.42,-1.61,-2.44%,191840,0
07/04/2022,61.9,66.6,61.5234,66.03,2.9,+4.59%,171200,0
06/27/2022,64.02,64.64,60.68,63.13,-2.53,-3.85%,190147,0
06/20/2022,60.49,65.84,60.11,65.66,5.75,+9.60%,171855,0
06/13/2022,59.97,61.46,58.58,59.91,-1.63,-2.65%,258740,0
06/06/2022,63.72,64.44,61.06,61.54,-1.33,-2.12%,268260,0
05/30/2022,60.41,64.075,59.08,62.87,2.31,+3.81%,256600,0
05/23/2022,60.96,61.28,58.74,60.56,-0.29,-0.48%,98080,0
05/16/2022,60.22,61.51,59,60.85,0.89,+1.48%,113350,0
05/09/2022,56.51,60.13,56.185,59.96,2.11,+3.65%,294964,0
05/02/2022,62.26,63.74,56.58,57.85,-4.3,-6.92%,202720,0
04/25/2022,62.12,64.27,61.24,62.15,-0.44,-0.70%,139884,0
04/18/2022,60.89,64.9,59.51,62.59,1.4,+2.29%,179420,0
04/11/2022,67.28,67.8,61.09,61.19,-6.74,-9.92%,299025,0
04/04/2022,72.86,75.38,67.79,67.93,-4.87,-6.69%,271580,0
03/28/2022,74.03,77.33,71.84,72.8,-1.25,-1.69%,149580,0
03/21/2022,77.02,79.08,73.14,74.05,-3.23,-4.18%,147664,0
03/14/2022,70.45,77.46,70.1,77.28,6.57,+9.29%,238263,0
03/07/2022,69.48,74.44,69.06,70.71,1.65,+2.39%,231820,0
02/28/2022,70.1,72.295,66.16,69.06,-1.39,-1.97%,293700,0
02/21/2022,68.88,71.13,65.63,70.45,1.3,+1.88%,256050,0
02/14/2022,71.65,73,68.98,69.15,-2.43,-3.39%,172500,0
02/07/2022,70.99,73.61,69.19,71.58,1.05,+1.49%,156960,0
01/31/2022,72.03,73.81,68.82,70.53,0.7,+1.00%,241660,0
01/24/2022,66.98,69.92,64.92,69.83,1.81,+2.66%,294120,0
01/17/2022,69.69,70.94,66.95,68.02,-2.36,-3.35%,150150,0
01/10/2022,74.81,76.25,69.14,70.38,-4.84,-6.43%,212040,0
01/03/2022,82.7,82.865,75.15,75.22,-7.46,-9.02%,207060,0
12/27/2021,80.91,83.65,80.02,82.68,1.78,+2.20%,89040,0
12/20/2021,75.75,81.3,74.66,80.9,4.42,+5.78%,141000,0
12/13/2021,78.13,78.67,74.35,76.48,-1.11,-1.43%,315940,0
12/06/2021,76.63,80.04,75.32,77.59,0.93,+1.21%,165020,0
11/29/2021,84.1,84.34,75.71,76.66,-6.46,-7.77%,155080,0
11/22/2021,90.48,90.854,82.28,83.12,-6.86,-7.62%,105200,0
11/15/2021,88,91.39,87.68,89.98,2.13,+2.42%,83269,0
11/08/2021,83.37,88.01,82.5,87.85,5.4,+6.55%,89020,0
11/01/2021,81.77,83.77,81.71,82.45,0.68,+0.83%,88140,0
10/25/2021,81.72,82.37,80.01,81.77,-0.13,-0.16%,73620,0
10/18/2021,83.21,84.24,81.4,81.9,-1.39,-1.67%,79060,0
10/11/2021,80.96,85,79.64,83.29,2.44,+3.02%,56502,0
10/04/2021,80.28,81.48,77.31,80.85,0.1,+0.12%,83200,0
09/27/2021,86,86,79.14,80.75,-5.5,-6.38%,116920,0
09/20/2021,82.14,87.46,81.295,86.25,2.63,+3.15%,89880,0
09/13/2021,85.52,85.52,80.81,83.62,-1.49,-1.75%,133160,0
09/06/2021,80.33,86.8849,79.1984,85.11,4.37,+5.41%,138925,0
08/30/2021,77.97,81.18,77.459,80.74,3.16,+4.07%,98720,0
08/23/2021,73.68,79.435,73.68,77.58,4.24,+5.78%,41900,0
08/16/2021,73.12,73.66,71.91,73.34,0.03,+0.04%,57780,0
08/09/2021,72.3,73.62,71.51,73.31,0.96,+1.33%,52220,0
08/02/2021,72.86,73.55,71.97,72.35,-0.31,-0.43%,36240,0
07/26/2021,71.33,72.88,70.16,72.66,1.25,+1.75%,42460,0
07/19/2021,67.82,71.78,67.565,71.41,2.74,+3.99%,51960,0
07/12/2021,71.39,71.47,68.36,68.67,-2.41,-3.39%,40500,0
07/05/2021,70.33,71.23,68.705,71.08,0.58,+0.82%,58975,0
06/28/2021,67.96,70.71,67.69,70.5,2.73,+4.03%,112440,0
06/21/2021,65.56,68.11,65.19,67.77,2.11,+3.21%,76540,0
06/14/2021,65.72,67.91,65.26,65.66,-0.2,-0.30%,68020,0
06/07/2021,63.62,66.57,63.26,65.86,2.1,+3.29%,88200,0
05/31/2021,58.48,64.01,58,63.76,5.32,+9.10%,148075,0
05/24/2021,58.92,59.5,57.44,58.44,0.1,+0.17%,82140,0
05/17/2021,57.74,59.79,56.78,58.34,0.12,+0.21%,118240,0
05/10/2021,61.49,61.49,56.82,58.22,-3.06,-4.99%,108080,0
05/03/2021,64.35,64.63,60.75,61.28,-2.78,-4.34%,77380,0
04/26/2021,63.54,66.4,62.75,64.06,0.44,+0.69%,93020,0
04/19/2021,65.87,65.87,63.35,63.62,-2.3,-3.49%,49480,0
04/12/2021,64.1,66.71,63.54,65.92,1.47,+2.28%,78260,0
04/05/2021,62.14,64.77,61.33,64.45,2.55,+4.12%,95100,0
03/29/2021,59.45,61.93,58.4,61.9,2.29,+3.84%,72175,0
03/22/2021,62.12,62.61,58.31,59.61,-1.51,-2.47%,80700,0
03/15/2021,62.06,64.36,60.33,61.12,-0.84,-1.36%,85380,0
03/08/2021,58.37,63.41,58.07,61.96,3.17,+5.39%,118580,0
03/01/2021,59.77,62.39,57.07,58.79,0.23,+0.39%,166660,0
02/22/2021,60.63,60.89,56.92,58.56,-2.42,-3.97%,155720,0
02/15/2021,64.46,64.8242,60.27,60.98,-3.08,-4.81%,98200,0
02/08/2021,63.05,64.45,62.62,64.06,1.13,+1.80%,77560,0
02/01/2021,61.34,64.14,60.83,62.93,1.87,+3.06%,87500,0
01/25/2021,62.76,63.52,60.28,61.06,-1.44,-2.30%,91460,0
01/18/2021,58.5,63.729,58.5,62.5,3.9,+6.66%,173225,0
01/11/2021,60.56,61.08,57.12,58.6,-2.25,-3.70%,125300,0
01/04/2021,59,60.93,56.5525,60.85,2.37,+4.05%,125080,0
12/28/2020,60.635,60.635,58,58.48,-1.22,-2.04%,77750,0
12/21/2020,57.2,60.73,56.36,59.7,2.12,+3.68%,83600,0
