Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,252.24,254.39,241.79,243.48,-9.75,-3.85%,882075,0
02/27/2023,244.36,254.18,239.18,253.23,10.51,+4.33%,1271780,0
02/20/2023,247.5,253.48,241.695,242.72,-10.16,-4.02%,1036225,0
02/13/2023,253.37,262.255,247.505,252.88,2.64,+1.05%,1418440,0
02/06/2023,266.63,267.91,246.54,250.24,-19.3,-7.16%,2196360,0
01/30/2023,269.1,283.6225,265.5207,269.54,-1.25,-0.46%,1963060,0
01/23/2023,270,277.68,268.69,270.79,3.23,+1.21%,1628260,0
01/16/2023,266,269.44,259,267.56,0.34,+0.13%,1336750,0
01/09/2023,261.59,267.79,256.2,267.22,3.41,+1.29%,1311420,0
01/02/2023,256.18,267.355,250.58,263.81,15.7,+6.33%,1593075,0
12/26/2022,241.78,251.18,241.78,248.11,7.09,+2.94%,1215675,0
12/19/2022,240.46,248.17,232.21,241.02,0.08,+0.03%,1244400,0
12/12/2022,239.83,254.82,236.93,240.94,0.53,+0.22%,2204520,0
12/05/2022,235.49,243.55,230.46,240.41,1.4,+0.59%,1857660,0
11/28/2022,216.61,239.74,214.14,239.01,19,+8.64%,1968900,0
11/21/2022,228.44,229.6,215.01,220.01,-13.45,-5.76%,1581825,0
11/14/2022,225.78,235.54,216.39,233.46,5.24,+2.30%,1949940,0
11/07/2022,209.42,232.33,202.86,228.22,17.69,+8.40%,2396080,0
10/31/2022,204.37,217.649,186.47,210.53,4.09,+1.98%,4595440,0
10/24/2022,201.8,209.38,193.48,206.44,4.64,+2.30%,1977140,0
10/17/2022,211.78,220.3,196.955,201.8,-7.51,-3.59%,2142740,0
10/10/2022,219.81,220.24,206.19,209.31,-10.46,-4.76%,1509420,0
10/03/2022,217.86,231.6,213.08,219.77,3.87,+1.79%,1643360,0
09/26/2022,227.87,236.16,215.855,215.9,-13.12,-5.73%,1778120,0
09/19/2022,236.29,247.43,225.56,229.02,-10.36,-4.33%,1195300,0
09/12/2022,253.98,260.2799,237.63,239.38,-13.52,-5.35%,1318100,0
09/05/2022,249.32,254.04,243.4,252.9,4.58,+1.84%,1592075,0
08/29/2022,258.7,264.52,246.85,248.32,-13.56,-5.18%,1226920,0
08/22/2022,267.43,279.32,261.545,261.88,-11.4,-4.17%,1127900,0
