Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,161.49,165.44,159.29,159.91,-0.49,-0.31%,342333,0
03/13/2023,155.76,161.095,152.75,160.4,1.91,+1.21%,489520,0
03/06/2023,168.38,168.83,157.12,158.49,-10.46,-6.19%,333720,0
02/27/2023,166.12,169.465,164.755,168.95,3.43,+2.07%,373640,0
02/20/2023,149.76,169.885,145.77,165.52,14.33,+9.48%,440600,0
02/13/2023,146.18,152.225,145.47,151.19,5.32,+3.65%,228500,0
02/06/2023,148,149.32,143.85,145.87,-2.77,-1.86%,286880,0
01/30/2023,146.24,150.77,145.09,148.64,2.06,+1.41%,241620,0
01/23/2023,145.18,147.885,143.32,146.58,1.26,+0.87%,171720,0
01/16/2023,150.35,152.59,142.63,145.32,-7.37,-4.83%,199475,0
01/09/2023,147.81,152.98,143.71,152.69,5.05,+3.42%,223240,0
01/02/2023,148.86,149.75,141.89,147.64,-0.47,-0.32%,261750,0
12/26/2022,149.8,151.4,147.34,148.11,-1.74,-1.16%,146075,0
12/19/2022,148.19,150.63,146.12,149.85,1.68,+1.13%,271260,0
12/12/2022,148.68,153.24,143.68,148.17,-0.39,-0.26%,688381,0
12/05/2022,152.04,152.04,147.15,148.56,-5.33,-3.46%,244660,0
11/28/2022,154.51,156.15,149.74,153.89,-1.51,-0.97%,227840,0
11/21/2022,154.4,156.67,151.865,155.4,0.07,+0.05%,254025,0
11/14/2022,150.7,155.54,149.36,155.33,4.54,+3.01%,503720,0
11/07/2022,145.74,153.42,143.625,150.79,6.44,+4.46%,413440,0
10/31/2022,139.24,145.9,138.53,144.35,4.32,+3.09%,399500,0
10/24/2022,127.49,142.08,126.54,140.03,13.35,+10.54%,462360,0
10/17/2022,123.88,131.57,123.6,126.68,4.73,+3.88%,308421,0
10/10/2022,121.18,124.46,119.12,121.95,1.67,+1.39%,242740,0
10/03/2022,117.41,122.715,115.84,120.28,4.8,+4.16%,210760,0
09/26/2022,115.01,118.3,112.85,115.48,0.32,+0.28%,285620,0
09/19/2022,117.21,121.99,114.1,115.16,-2.89,-2.45%,272722,0
09/12/2022,122.62,123.22,116.85,118.05,-4.02,-3.29%,452760,0
09/05/2022,116.73,122.47,114.91,122.07,5.7,+4.90%,312650,0
08/29/2022,119.87,121.74,116.22,116.37,-4.35,-3.60%,316700,0
08/22/2022,120.16,124.27,119.75,120.72,-0.88,-0.72%,282300,0
08/15/2022,120.7,124.2527,119.82,121.6,0.35,+0.29%,286260,0
08/08/2022,115,121.35,114.07,121.25,6.85,+5.99%,210400,0
08/01/2022,115.88,117.71,112.915,114.4,-1.97,-1.69%,299860,0
07/25/2022,106.48,116.61,105.4125,116.37,9.86,+9.26%,282040,0
07/18/2022,102.61,107.41,101.11,106.51,4.34,+4.25%,205601,0
07/11/2022,102.47,103.74,98.48,102.17,-0.49,-0.48%,213480,0
07/04/2022,101.02,104.4,99.32,102.66,-0.36,-0.35%,224800,0
06/27/2022,106.63,107.09,100.11,103.02,-2.61,-2.47%,230288,0
06/20/2022,97.68,105.66,95.64,105.63,9.37,+9.73%,872475,0
06/13/2022,102.13,104.22,95.845,96.26,-8.38,-8.01%,577000,0
06/06/2022,107.83,109.24,104.03,104.64,-2.29,-2.14%,220060,0
05/30/2022,106.75,107.75,102.46,106.93,-0.77,-0.71%,247275,0
05/23/2022,103.26,107.74,101.22,107.7,5.18,+5.05%,268160,0
05/16/2022,103.84,105.62,100.71,102.52,0.21,+0.21%,331260,0
05/09/2022,104.87,105.91,99.72,102.31,-3.72,-3.51%,402240,0
05/02/2022,105.98,109.835,104.23,106.03,-0.45,-0.42%,476760,0
04/25/2022,113.16,114.51,104.7524,106.48,-7.37,-6.47%,475920,0
04/18/2022,116.44,120,113.8,113.85,-3,-2.57%,390460,0
04/11/2022,113.25,118.66,112.67,116.85,3.47,+3.06%,438727,0
04/04/2022,113.47,116.675,110.56,113.38,-0.48,-0.42%,490220,0
03/28/2022,114.96,116.68,112.18,113.86,-1.66,-1.44%,233601,0
03/21/2022,119.25,120.87,112.8625,115.52,-4.1,-3.43%,223561,0
03/14/2022,117.81,120,114.945,119.62,2.94,+2.52%,323580,0
