Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,88.19,91.49,88.19,89.44,2.18,+2.50%,106100,0
03/13/2023,86.91,90.41,85.5,87.26,-1.32,-1.49%,141800,0
03/06/2023,94.6,94.88,87.85,88.58,-6.17,-6.51%,90100,0
02/27/2023,93.42,95.41,92.395,94.75,2.43,+2.63%,58580,0
02/20/2023,96.95,96.95,90.77,92.32,-5.58,-5.70%,80800,0
02/13/2023,95.3,98.3,93.54,97.9,2.71,+2.85%,75420,0
02/06/2023,99.92,101.52,87.745,95.19,-4.54,-4.55%,132100,0
01/30/2023,93.37,101.42,93.37,99.73,5.5,+5.84%,114360,0
01/23/2023,93.31,95.47,92.09,94.23,0.9,+0.96%,48960,0
01/16/2023,93.87,94.84,91.55,93.33,-0.97,-1.03%,91575,0
01/09/2023,89.36,94.97,88.29,94.3,5.18,+5.81%,96700,0
01/02/2023,88.46,89.449,85.6,89.12,1.58,+1.80%,83600,0
12/26/2022,88.48,89.38,85.51,87.54,-0.44,-0.50%,86825,0
12/19/2022,86.83,91.06,86.38,87.98,1.4,+1.62%,76420,0
12/12/2022,89.7,93.94,85.01,86.58,-3.1,-3.46%,216240,0
12/05/2022,94.95,94.95,89.67,89.68,-6.01,-6.28%,58320,0
11/28/2022,95.02,96.26,90.66,95.69,-0.28,-0.29%,85560,0
11/21/2022,92.19,96.1,91.8058,95.97,4.63,+5.07%,72675,0
11/14/2022,88.74,96.69,86.46,91.34,2.76,+3.12%,92180,0
11/07/2022,86.29,91.53,85.61,88.58,2.74,+3.19%,58760,0
10/31/2022,84.99,87.51,82.18,85.84,0.04,+0.05%,51240,0
10/24/2022,79.26,86.02,78.11,85.8,7.4,+9.44%,55200,0
10/17/2022,77.08,79.245,75.3002,78.4,2.73,+3.61%,61320,0
10/10/2022,75.87,77.83,73.37,75.67,-0.06,-0.08%,61540,0
10/03/2022,74.48,79.54,74.48,75.73,2.29,+3.12%,67400,0
09/26/2022,74.78,76.84,73.33,73.44,-1.63,-2.17%,80680,0
09/19/2022,77.85,79.76,74.23,75.07,-2.96,-3.79%,55420,0
09/12/2022,83.02,83.61,75.84,78.03,-4.81,-5.81%,105120,0
09/05/2022,79.94,82.94,78.055,82.84,2.75,+3.43%,50450,0
08/29/2022,83.32,84.2805,79.2,80.09,-4.15,-4.93%,65680,0
08/22/2022,86.6,87.5,84.01,84.24,-3.38,-3.86%,58080,0
08/15/2022,88.51,90.48,86.72,87.62,-1.9,-2.12%,88820,0
08/08/2022,78.56,90.49,77.2,89.52,10.81,+13.73%,118960,0
08/01/2022,76.72,79.04,75.93,78.71,1.16,+1.50%,42680,0
07/25/2022,71.94,78.16,71.38,77.55,5.8,+8.08%,52160,0
07/18/2022,68.2,72.58,67.641,71.75,4.24,+6.28%,73780,0
07/11/2022,66.38,68.54,63.93,67.51,0.67,+1.00%,52180,0
07/04/2022,66.54,68.91,64.84,66.84,-0.85,-1.26%,75800,0
06/27/2022,67.43,69.24,64.87,67.69,0.46,+0.68%,129600,0
06/20/2022,63.39,67.41,61.43,67.23,4.38,+6.97%,155575,0
06/13/2022,65.23,66.87,62.32,62.85,-3.8,-5.70%,152420,0
06/06/2022,68.21,68.385,65.235,66.65,-0.86,-1.27%,67660,0
05/30/2022,65.59,68.5,64.77,67.51,1.5,+2.27%,76575,0
05/23/2022,64.71,66.51,62.25,66.01,1.43,+2.21%,65440,0
05/16/2022,63.61,66.8,62.71,64.58,0.41,+0.64%,100080,0
05/09/2022,61.03,66.195,60.0337,64.17,2.61,+4.24%,129880,0
05/02/2022,62.3,65.21,60.8,61.56,-0.89,-1.43%,104220,0
04/25/2022,65.32,65.95,61.79,62.45,-3.24,-4.93%,125220,0
04/18/2022,64.25,67.3,63.63,65.69,1.13,+1.75%,131880,0
04/11/2022,64.68,66.27,64.01,64.56,-0.26,-0.40%,159850,0
04/04/2022,70.21,71.69,64.75,64.82,-5.28,-7.53%,176900,0
03/28/2022,71.7,74.91,69.52,70.1,-1.92,-2.67%,167720,0
03/21/2022,73.14,74.61,71.11,72.02,-1.59,-2.16%,118500,0
03/14/2022,71.53,73.67,69.39,73.61,2.21,+3.10%,126540,0
03/07/2022,71.03,71.89,68.27,71.4,0.75,+1.06%,115800,0
02/28/2022,69.47,72.445,68.06,70.65,0.72,+1.03%,124500,0
02/21/2022,70.19,70.83,66.46,69.93,-0.76,-1.08%,94000,0
02/14/2022,69.51,72.69,69.51,70.69,1,+1.43%,106780,0
02/07/2022,76.74,78.36,69.29,69.69,-7.55,-9.77%,160120,0
01/31/2022,77.67,80.28,76.62,77.24,-1.17,-1.49%,142300,0
01/24/2022,83.68,86.09,75.67,78.41,-5.93,-7.03%,155600,0
01/17/2022,87.28,89.31,83.08,84.34,-3.89,-4.41%,124575,0
01/10/2022,87.5,88.26,84.74,88.23,0.09,+0.10%,78500,0
01/03/2022,89.81,90.52,87.62,88.14,-1.85,-2.06%,94880,0
12/27/2021,86.66,90.32,85.56,89.99,3.33,+3.84%,128040,0
12/20/2021,86.59,88.04,83.84,86.66,-1.19,-1.35%,175250,0
12/13/2021,86.74,90.3,86.47,87.85,0.57,+0.65%,365280,0
12/06/2021,86.15,88.42,85.61,87.28,2.22,+2.61%,98880,0
11/29/2021,84.76,86.39,81.25,85.06,1.3,+1.55%,122760,0
11/22/2021,93.83,95.93,83.24,83.76,-10.28,-10.93%,81125,0
11/15/2021,91.98,96.009,90.59,94.04,2.67,+2.92%,95300,0
11/08/2021,90.32,91.43,89.33,91.37,1.05,+1.16%,56580,0
11/01/2021,84.59,90.82,84.075,90.32,5.76,+6.81%,88900,0
10/25/2021,84.44,86.355,84.12,84.56,-0.08,-0.09%,103520,0
10/18/2021,83.99,85.97,83.75,84.64,0.13,+0.15%,93480,0
10/11/2021,78.84,85.19,78.32,84.51,5.53,+7.00%,99560,0
10/04/2021,78.52,79.38,76.1701,78.98,0.42,+0.53%,91160,0
09/27/2021,76.98,79.72,76.61,78.56,1.85,+2.41%,141220,0
09/20/2021,76.64,78.36,75.19,76.71,-1.45,-1.86%,165860,0
09/13/2021,82.81,83.62,77.71,78.16,-4.15,-5.04%,147680,0
09/06/2021,86.43,86.905,82.31,82.31,-4.02,-4.66%,101175,0
08/30/2021,91.6,91.6,86.01,86.33,-4.8,-5.27%,91280,0
08/23/2021,89.32,92.04,89.13,91.13,1.97,+2.21%,66480,0
08/16/2021,89.33,90.46,86.99,89.16,-0.66,-0.73%,72760,0
08/09/2021,92.98,95.5,85.1,89.82,-3.87,-4.13%,88820,0
08/02/2021,94.32,95.95,91.02,93.69,-0.68,-0.72%,68980,0
07/26/2021,92.4,94.43,90.72,94.37,2.61,+2.84%,48260,0
07/19/2021,92.9,94.33,89.86,91.76,-3.24,-3.41%,83780,0
07/12/2021,95.68,97.55,94.63,95,-1,-1.04%,88980,0
07/05/2021,93.84,96.19,92.1,96,2.01,+2.14%,124300,0
06/28/2021,94.82,95.41,91.8,93.99,-0.15,-0.16%,125740,0
06/21/2021,90.24,94.24,89.7,94.14,4.31,+4.80%,288080,0
06/14/2021,90.1,92.16,88.6,89.83,-0.19,-0.21%,216600,0
06/07/2021,91.67,93.05,88.61,90.02,-1.94,-2.11%,113400,0
05/31/2021,95.25,96.66,90.11,91.96,-2.68,-2.83%,108050,0
05/24/2021,94.68,96.73,93.19,94.64,-0.05,-0.05%,131980,0
05/17/2021,101.21,101.61,93.2114,94.69,-7.26,-7.12%,120860,0
05/10/2021,109.37,109.37,99.24,101.95,-7.59,-6.93%,118700,0
05/03/2021,109.5,111.385,107.29,109.54,0.78,+0.72%,115900,0
04/26/2021,112.68,114,107.85,108.76,-3.44,-3.07%,79540,0
04/19/2021,109.03,112.8,107.335,112.2,2.54,+2.32%,81680,0
04/12/2021,111.58,111.6351,108.74,109.66,-1.55,-1.39%,53680,0
04/05/2021,111.27,113.84,107.94,111.21,0.37,+0.33%,71160,0
03/29/2021,109.67,111.96,107.77,110.84,0.97,+0.88%,184150,0
03/22/2021,112.74,115.839,103.59,109.87,-3.75,-3.30%,158940,0
03/15/2021,110.96,113.62,108.51,113.62,2.4,+2.16%,146300,0
03/08/2021,108.01,111.51,106.3,111.22,4.42,+4.14%,80300,0
03/01/2021,107.51,109.58,103.14,106.8,1.13,+1.07%,89320,0
02/22/2021,104.47,110.28,104.015,105.67,0.43,+0.41%,96900,0
02/15/2021,104.79,105.915,102.17,105.24,0.97,+0.93%,103400,0
02/08/2021,101.34,105.55,100.825,104.27,3.68,+3.66%,82960,0
02/01/2021,96.03,100.72,95.52,100.59,5.51,+5.80%,79720,0
01/25/2021,105.41,106.6,95.08,95.08,-11.13,-10.48%,114240,0
01/18/2021,107.32,110.57,103.23,106.21,-0.12,-0.11%,109525,0
01/11/2021,108.39,111.75,105.645,106.33,-3.67,-3.34%,79340,0
01/04/2021,103.69,110.9,99.21,110,6.78,+6.57%,134420,0
12/28/2020,102.42,104.41,100.92,103.22,1.86,+1.84%,119300,0
12/21/2020,97.62,101.87,97.61,101.36,1.31,+1.31%,82750,0
