Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,6.4,6.4688,5.72,5.79,-0.76,-11.60%,2554200,0
02/13/2023,6.23,6.56,6.07,6.55,0.33,+5.31%,2286820,0
02/06/2023,6.8,7.08,6.03,6.22,-0.65,-9.46%,1934600,0
01/30/2023,5.86,7.02,5.655,6.87,0.95,+16.05%,3053920,0
01/23/2023,5.59,6.01,5.16,5.92,0.45,+8.23%,2802240,0
01/16/2023,5.73,5.905,5.45,5.47,0.07,+1.30%,3310075,0
01/09/2023,4.32,5.8985,4.3,5.4,1.16,+27.36%,5951880,0
01/02/2023,9.94,11.4399,4.02,4.24,-5.85,-57.98%,14165900,0
12/26/2022,10.9,11.07,9.56,10.09,-0.92,-8.36%,5664625,0
12/19/2022,13.08,13.145,10.89,11.01,-2.07,-15.83%,2346840,0
12/12/2022,16.88,17.63,12.94,13.08,-5.82,-30.79%,3505100,0
12/05/2022,20.9,21.1,18.57,18.9,-2.01,-9.61%,1018320,0
11/28/2022,19.73,21.47,19.11,20.91,1.08,+5.45%,1152100,0
11/21/2022,19.68,20.74,18.86,19.83,-0.04,-0.20%,623325,0
11/14/2022,22.9,23.96,19.66,19.87,-3.09,-13.46%,1283020,0
11/07/2022,19.96,23.55,18.54,22.96,3.12,+15.73%,1776680,0
10/31/2022,21.51,21.95,18.705,19.84,-1.96,-8.99%,1522080,0
10/24/2022,19.47,22.195,18.46,21.8,2.51,+13.01%,1329340,0
10/17/2022,21.15,22.4,18.65,19.29,-1.07,-5.26%,1335322,0
10/10/2022,21.92,22.06,19.98,20.36,-1.11,-5.17%,1114460,0
10/03/2022,22.85,23.95,21.31,21.47,-0.94,-4.19%,1088940,0
09/26/2022,21.9,23.82,21,22.41,0.44,+2.00%,1182820,0
09/19/2022,24.74,25.59,21.34,21.97,-3.03,-12.12%,1201300,0
09/12/2022,28.1,29.42,24.46,25,-3.1,-11.03%,1913320,0
09/05/2022,26.71,28.83,25.22,28.1,1.38,+5.16%,1131350,0
08/29/2022,26.97,27.97,25.02,26.72,-0.81,-2.94%,1403040,0
08/22/2022,28.17,31.58,27.425,27.53,-1.5,-5.17%,1040420,0
08/15/2022,33.44,36.75,28.79,29.03,-4.79,-14.16%,1419560,0
08/08/2022,33.99,37.13,31.37,33.82,0.4,+1.20%,2022080,0
08/01/2022,30.05,36,29.51,33.42,2.89,+9.47%,1340240,0
07/25/2022,31.04,34.01,29.7301,30.53,-0.51,-1.64%,913140,0
07/18/2022,32.31,34.55,30.18,31.04,-0.66,-2.08%,1162100,0
07/11/2022,30.34,32.42,26.99,31.7,1.69,+5.63%,1247800,0
07/04/2022,24.93,31.49,24.3,30.01,4.87,+19.37%,1995200,0
06/27/2022,26.78,26.95,23.5,25.14,-1.66,-6.19%,1246180,0
06/20/2022,21.48,26.86,21.37,26.8,5.76,+27.38%,2002825,0
06/13/2022,18.7,22.11,17.1,21.04,1.23,+6.21%,2498080,0
06/06/2022,24.28,25.1,19.62,19.81,-3.84,-16.24%,1787520,0
05/30/2022,23.13,24.21,22,23.65,0.07,+0.30%,1635525,0
05/23/2022,23.17,23.85,20.88,23.58,0.48,+2.08%,1295880,0
05/16/2022,23.98,24.98,21.02,23.1,-1.12,-4.62%,1513540,0
05/09/2022,23.66,24.92,20.49,24.22,0.06,+0.25%,2545920,0
05/02/2022,28.58,31.5,23.885,24.16,-4.4,-15.41%,1647600,0
04/25/2022,34.5,36.175,28.47,28.56,-6.07,-17.53%,1296740,0
04/18/2022,37.91,38.69,33.96,34.63,-3.14,-8.31%,1005820,0
04/11/2022,37.08,39.24,35.37,37.77,-0.21,-0.55%,942100,0
04/04/2022,41.77,43.12,37.64,37.98,-3.34,-8.08%,1025700,0
03/28/2022,38.13,43.07,36.58,41.32,3.32,+8.74%,1286860,0
03/21/2022,36.72,39.14,35.54,38,0.25,+0.66%,1461500,0
03/14/2022,33.21,38.95,29.4,37.75,4.2,+12.52%,1425720,0
03/07/2022,32.79,36.69,30.73,33.55,1.08,+3.33%,1143161,0
02/28/2022,35,38.29,31.92,32.47,-2.46,-7.04%,1431240,0
02/21/2022,32.5,35.47,30.14,34.93,1.79,+5.40%,1685525,0
02/14/2022,37.94,38.75,32.9,33.14,-4.66,-12.33%,1200620,0
02/07/2022,38.98,42.36,37.49,37.8,-1.11,-2.85%,1015220,0
01/31/2022,37.6,42.28,36.87,38.91,2.28,+6.22%,1146440,0
01/24/2022,36.07,43.14,33.5,36.63,-0.52,-1.40%,2135040,0
01/17/2022,41.77,44,37.06,37.15,-6.13,-14.16%,1464925,0
01/10/2022,47.42,49.52,40.33,43.28,-5.03,-10.41%,1446800,0
01/03/2022,58.62,60.43,48.06,48.31,-10.2,-17.43%,1322300,0
12/27/2021,63.43,64.32,57.084,58.51,-5.83,-9.06%,946620,0
12/20/2021,58.25,66.56,55.37,64.34,5.58,+9.50%,1613575,0
12/13/2021,49.63,59.69,43.6,58.76,9.6,+19.53%,2021860,0
12/06/2021,47.74,56.57,44.99,49.16,1.16,+2.42%,1418360,0
11/29/2021,52.53,57.38,47.01,48,-4.52,-8.61%,929280,0
11/22/2021,55.91,56.95,48.3104,52.52,-3.45,-6.16%,952725,0
11/15/2021,56.39,57.46,52.58,55.97,0.12,+0.21%,930500,0
11/08/2021,61.13,65.15,54.5,55.85,-5.57,-9.07%,648360,0
11/01/2021,53.79,63.28,52.42,61.42,7.62,+14.16%,881020,0
10/25/2021,58.91,60.6,53.75,53.8,-5.2,-8.81%,1309820,0
10/18/2021,60.71,63.23,58.1,59,-2.24,-3.66%,810820,0
10/11/2021,54.93,63.72,54.49,61.24,6.31,+11.49%,801000,0
