Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/27/2023,37.46,37.74,37.1001,37.53,0.36,+0.97%,86700,0
02/20/2023,38.45,38.6341,36.7,37.17,-1.67,-4.30%,147900,0
02/13/2023,38.29,39.16,37.79,38.84,0.77,+2.02%,101840,0
02/06/2023,38.64,39.28,37.37,38.07,-1.12,-2.86%,84840,0
01/30/2023,36.45,39.46,36.45,39.19,2.36,+6.41%,136800,0
01/23/2023,36.66,37.4788,35.37,36.83,0.2,+0.55%,106520,0
01/16/2023,36.69,37.8945,35.22,36.63,-1.05,-2.79%,156775,0
01/09/2023,36.99,37.88,36.385,37.68,0.59,+1.59%,89900,0
01/02/2023,36.56,37.37,35.8176,37.09,0.95,+2.63%,122950,0
12/26/2022,36.7,36.84,35.79,36.14,-0.33,-0.90%,115200,0
12/19/2022,34.84,36.78,34.84,36.47,1.64,+4.71%,131260,0
12/12/2022,41.11,41.52,34.0243,34.83,-6.02,-14.74%,335480,0
12/05/2022,42.35,42.35,40.35,40.85,-1.94,-4.53%,82980,0
11/28/2022,43.24,43.305,41.1801,42.79,-0.51,-1.18%,94320,0
11/21/2022,41.93,43.36,41.93,43.3,1.2,+2.85%,86475,0
11/14/2022,42.56,44.04,41.345,42.1,-0.67,-1.57%,150960,0
11/07/2022,42.61,44.11,41.15,42.77,0.76,+1.81%,111940,0
10/31/2022,41.49,42.48,40.24,42.01,0.46,+1.11%,128400,0
10/24/2022,37.8,41.82,37.24,41.55,4.23,+11.33%,188880,0
10/17/2022,42.23,42.76,36.09,37.32,-4.37,-10.48%,280820,0
10/10/2022,39.14,42.82,38.68,41.69,2.98,+7.70%,140320,0
10/03/2022,38.61,39.77,37.69,38.71,0.5,+1.31%,180220,0
09/26/2022,39.51,39.8,38.145,38.21,-1.29,-3.27%,139300,0
09/19/2022,39.65,41.745,39.03,39.5,-0.25,-0.63%,97590,0
09/12/2022,39.65,40.67,38.84,39.75,0.12,+0.30%,189540,0
09/05/2022,38.86,39.73,37.02,39.63,0.68,+1.75%,139300,0
08/29/2022,40.21,40.25,38.66,38.95,-1.72,-4.23%,92720,0
08/22/2022,42.23,42.23,40.36,40.67,-2.3,-5.35%,105540,0
08/15/2022,44.28,45.25,42.63,42.97,-1.36,-3.07%,201580,0
08/08/2022,42.97,44.43,42.39,44.33,1.36,+3.16%,150140,0
08/01/2022,42.36,42.99,41.96,42.97,0.12,+0.28%,89540,0
07/25/2022,41.45,43.37,41.3,42.85,1.57,+3.80%,112320,0
07/18/2022,39.72,41.36,39.28,41.28,1.77,+4.48%,181140,0
07/11/2022,39.88,40.45,37.73,39.51,-0.78,-1.94%,87500,0
07/04/2022,38.95,40.9,38.5,40.29,0.6,+1.51%,115850,0
06/27/2022,39.07,39.87,37.93,39.69,1.11,+2.88%,144320,0
06/20/2022,39.22,39.33,38.1,38.58,0.34,+0.89%,249000,0
06/13/2022,39.31,39.965,37.17,38.24,-1.88,-4.69%,197860,0
06/06/2022,43.2,43.54,39.85,40.12,-2.85,-6.63%,128680,0
