Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,101.92,105.61,101.84,104.27,3.18,+3.15%,246700,0
03/13/2023,100.83,105.96,100.25,101.09,-1.59,-1.55%,275620,0
03/06/2023,107.43,108.015,101.16,102.68,-4.95,-4.60%,145360,0
02/27/2023,110.1,111.23,105.69,107.63,-1.03,-0.95%,196260,0
02/20/2023,109.36,110.25,106.24,108.66,-1.96,-1.77%,126400,0
02/13/2023,111.03,112.34,108.87,110.62,-0.09,-0.08%,101160,0
02/06/2023,115.67,115.88,109.39,110.71,-5.9,-5.06%,124540,0
01/30/2023,112.62,118.105,111.95,116.61,2.84,+2.50%,180340,0
01/23/2023,108.25,114.32,106.59,113.77,5.71,+5.28%,138080,0
01/16/2023,112.62,113.29,106.825,108.06,-4.97,-4.40%,83425,0
01/09/2023,111.7,113.57,109.36,113.03,2.02,+1.82%,113860,0
01/02/2023,107.03,111.2,105.51,111.01,4.67,+4.39%,111725,0
12/26/2022,109.98,110,105.67,106.34,-3.21,-2.93%,93850,0
12/19/2022,106.58,111.1,106.34,109.55,2.9,+2.72%,113620,0
12/12/2022,110.09,115.03,104.315,106.65,-2.71,-2.48%,222400,0
12/05/2022,113.02,113.5,106.92,109.36,-3.9,-3.44%,137180,0
11/28/2022,111.01,114.07,108.58,113.26,1.35,+1.21%,128400,0
11/21/2022,108.64,113.54,108.2138,111.91,2.88,+2.64%,73075,0
11/14/2022,108.19,112.15,107.36,109.03,0.44,+0.41%,129620,0
11/07/2022,104.2,110.37,101.26,108.59,2.84,+2.69%,154482,0
10/31/2022,102.1,107.87,101.03,105.75,3.32,+3.24%,120774,0
10/24/2022,94.16,103.955,89.5,102.43,8.16,+8.66%,150960,0
10/17/2022,92.26,97.295,91.905,94.27,3.09,+3.39%,120480,0
10/10/2022,91.21,94.28,87.98,91.18,0.94,+1.04%,110100,0
10/03/2022,86.53,92.715,85.57,90.24,5.09,+5.98%,190760,0
09/26/2022,90.56,91.18,84.96,85.15,-5.64,-6.21%,211100,0
09/19/2022,95.31,100.06,89.87,90.79,-5.61,-5.82%,171240,0
09/12/2022,96.96,98.54,93.13,96.4,0.36,+0.37%,222480,0
09/05/2022,93.04,96.23,92.25,96.04,2.99,+3.21%,109025,0
08/29/2022,98.63,99.47,92.79,93.05,-6.1,-6.15%,121620,0
08/22/2022,99.37,103.4,98.4675,99.15,-1.54,-1.53%,89840,0
08/15/2022,102.22,105.5075,99.98,100.69,-1.96,-1.91%,147620,0
08/08/2022,101.12,103.07,97.84,102.65,1.86,+1.85%,144320,0
08/01/2022,98.51,100.93,96.4971,100.79,0.54,+0.54%,112280,0
07/25/2022,93.72,100.91,93.18,100.25,6.76,+7.23%,140560,0
07/18/2022,95.59,99.09,93.07,93.49,-0.7,-0.74%,186560,0
07/11/2022,91.43,94.47,89.24,94.19,2.4,+2.61%,179800,0
07/04/2022,93.09,94.52,90.09,91.79,-3.04,-3.21%,232975,0
06/27/2022,95.18,97.79,92.25,94.83,1.09,+1.16%,212620,0
06/20/2022,93.15,95.79,90.84,93.74,1.75,+1.90%,186625,0
06/13/2022,97.68,99.8,91.29,91.99,-7.5,-7.54%,218560,0
06/06/2022,108.71,111.08,99.07,99.49,-7.91,-7.36%,114228,0
05/30/2022,104.8,108.7942,104.8,107.4,0.65,+0.61%,112700,0
05/23/2022,106.05,107.77,100.65,106.75,2.25,+2.15%,131880,0
05/16/2022,107.95,114.31,101.22,104.5,-3.96,-3.65%,216220,0
05/09/2022,105.91,109.545,103.81,108.46,1.63,+1.53%,221520,0
05/02/2022,103.64,109.01,100.08,106.83,3.44,+3.33%,231280,0
04/25/2022,108.74,110.78,103.27,103.39,-6.39,-5.82%,196660,0
04/18/2022,117.43,122.28,109.54,109.78,-7.51,-6.40%,322661,0
04/11/2022,117.2,118.36,115.07,117.29,0.38,+0.33%,211225,0
04/04/2022,121.41,122.19,115.12,116.91,-4.89,-4.01%,250310,0
03/28/2022,124.48,127.581,121.4,121.8,-3.9,-3.10%,183580,0
03/21/2022,123.18,125.87,120.88,125.7,2.33,+1.89%,128360,0
03/14/2022,120.48,126.1,118.645,123.37,3.44,+2.87%,297028,0
03/07/2022,114.81,120.15,112.67,119.93,5.48,+4.79%,225900,0
02/28/2022,105.15,114.604,103.77,114.45,7.9,+7.41%,172920,0
02/21/2022,105.5,107.27,100.59,106.55,0.91,+0.86%,150325,0
02/14/2022,102.32,107.87,101.44,105.64,3.88,+3.81%,128080,0
02/07/2022,103.24,106.27,101.16,101.76,-1.79,-1.73%,130900,0
01/31/2022,103.52,107.21,100.98,103.55,-1.33,-1.27%,259162,0
01/24/2022,94.12,105.7699,93.03,104.88,9.64,+10.12%,274680,0
01/17/2022,100.52,102.04,95.03,95.24,-6.53,-6.42%,137425,0
01/10/2022,103.31,103.63,98.36,101.77,-1.13,-1.10%,121640,0
01/03/2022,104.2,106.87,102.86,102.9,-1.29,-1.24%,108380,0
12/27/2021,102.97,104.86,101.8129,104.19,1.12,+1.09%,92120,0
12/20/2021,99.1,103.94,97.07,103.07,2.51,+2.50%,141625,0
12/13/2021,103.32,104.64,100.1,100.56,-3.62,-3.47%,188240,0
12/06/2021,102.36,107.33,102.36,104.18,3.37,+3.34%,121820,0
11/29/2021,102.99,102.99,96.52,100.81,-1.06,-1.04%,120340,0
11/22/2021,102.76,107.13,98.96,101.87,-0.08,-0.08%,105794,0
11/15/2021,105.37,105.37,100.14,101.95,-2.61,-2.50%,144160,0
11/08/2021,105,105.965,103.54,104.56,0.23,+0.22%,101280,0
11/01/2021,95.32,104.71,94.6,104.33,9.48,+9.99%,118760,0
10/25/2021,93.69,96.41,93.16,94.85,1.1,+1.17%,111120,0
10/18/2021,95.43,98.76,93.38,93.75,-2.04,-2.13%,135020,0
10/11/2021,92.24,96.79,91.57,95.79,4.19,+4.57%,87480,0
10/04/2021,92.09,93.27,89.74,91.6,-0.04,-0.04%,88560,0
09/27/2021,88.54,93.09,88.54,91.64,3.37,+3.82%,149540,0
09/20/2021,85.5,89.32,84.5,88.27,1.8,+2.08%,124180,0
09/13/2021,89,89.1,85.88,86.47,-1.91,-2.16%,196440,0
09/06/2021,89.94,90.41,87.21,88.38,-2.03,-2.25%,128675,0
08/30/2021,92.05,92.585,89.72,90.41,-1.42,-1.55%,134120,0
08/23/2021,86.82,92.75,86.64,91.83,5.39,+6.24%,142740,0
08/16/2021,93.14,94.32,84.64,86.44,-7.51,-7.99%,156900,0
08/09/2021,92.76,94.98,90.595,93.95,1.16,+1.25%,89180,0
08/02/2021,92.47,93.42,88.96,92.79,0.54,+0.59%,103660,0
07/26/2021,91.63,92.6,88.86,92.25,2.28,+2.53%,113560,0
07/19/2021,86.36,93.71,84.6,89.97,1.47,+1.66%,193840,0
07/12/2021,86.68,91.77,86.57,88.5,0.97,+1.11%,132560,0
07/05/2021,87.96,88.78,84.86,87.53,-0.28,-0.32%,137225,0
