Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,40.05,43.3,37.83,41.07,0.41,+1.01%,419240,0
03/06/2023,42.5,44.49,40.29,40.66,0.12,+0.30%,310760,0
02/27/2023,40.45,42.27,39.07,40.54,0.46,+1.15%,173880,0
02/20/2023,40.96,42,39.66,40.08,-1.44,-3.47%,130125,0
02/13/2023,40.39,42.16,40.16,41.52,1.14,+2.82%,144440,0
02/06/2023,41.33,41.4825,39.88,40.38,-1.23,-2.96%,137700,0
01/30/2023,39.46,41.795,37.96,41.61,2.3,+5.85%,227420,0
01/23/2023,39.23,40.8,38.6061,39.31,0.08,+0.20%,171200,0
01/16/2023,38.72,39.265,36.6214,39.23,0.55,+1.42%,108800,0
01/09/2023,37.26,39.1,36.345,38.68,0.63,+1.66%,140620,0
01/02/2023,37.97,38.305,37.19,38.05,0.65,+1.74%,111775,0
12/26/2022,38.04,38.37,36.69,37.4,-0.6,-1.58%,123775,0
12/19/2022,39.38,39.5,36.07,38,-1.5,-3.80%,120180,0
12/12/2022,40.8,43.455,39.32,39.5,-1.24,-3.04%,177220,0
12/05/2022,43.7,43.71,40.735,40.74,-2.99,-6.84%,125660,0
11/28/2022,43.53,44.5,42.02,43.73,-0.09,-0.21%,122760,0
11/21/2022,43.84,44.46,42.69,43.82,-0.65,-1.46%,75100,0
11/14/2022,42.49,44.905,41.605,44.47,0.96,+2.21%,217440,0
11/07/2022,41.91,44.945,41.79,43.51,1.72,+4.12%,204500,0
10/31/2022,42.25,44.73,36.47,41.79,-0.57,-1.35%,256060,0
10/24/2022,41.47,42.44,40.64,42.36,1.06,+2.57%,153420,0
10/17/2022,41.58,43.56,39.48,41.3,0.58,+1.42%,180540,0
10/10/2022,38.05,41.34,37.38,40.72,2.54,+6.65%,234960,0
10/03/2022,35.28,39.1,34.68,38.18,3.29,+9.43%,158720,0
09/26/2022,33.2,36.355,33.2,34.89,1.6,+4.81%,182700,0
09/19/2022,38.17,39.67,32.53,33.29,-5.11,-13.31%,216320,0
09/12/2022,40.8,41.6,37.98,38.4,-2.08,-5.14%,241540,0
09/05/2022,37.09,40.53,36.73,40.48,3.46,+9.35%,157800,0
08/29/2022,40.49,41.29,36.315,37.02,-3.88,-9.49%,360169,0
08/22/2022,40.26,42.4422,38.48,40.9,-0.09,-0.22%,252680,0
08/15/2022,41.91,43.31,40.68,40.99,-1.49,-3.51%,120957,0
08/08/2022,42.09,43.88,40.59,42.48,1.37,+3.33%,159320,0
08/01/2022,43.32,46.0999,40.4,41.11,-2.76,-6.29%,179840,0
07/25/2022,41.48,43.95,40.55,43.87,2.63,+6.38%,102100,0
07/18/2022,39.78,42.075,39.13,41.24,1.96,+4.99%,136300,0
07/11/2022,38.98,39.73,37.21,39.28,-0.33,-0.83%,144280,0
07/04/2022,39.68,41.46,39.061,39.61,-1.11,-2.73%,163275,0
06/27/2022,42.27,43.59,38.21,40.72,-1.18,-2.82%,232900,0
06/20/2022,42.03,42.39,39.27,41.9,0.6,+1.45%,263275,0
06/13/2022,43.42,44.9143,39.75,41.3,-4.04,-8.91%,271500,0
06/06/2022,49.58,50.47,44.34,45.34,-3.34,-6.86%,229264,0
05/30/2022,47.24,50.32,46.235,48.68,1.21,+2.55%,538400,0
05/23/2022,42.95,48.305,40.185,47.47,4.97,+11.69%,265060,0
05/16/2022,45.38,47.02,41.1,42.5,-3.33,-7.27%,244700,0
