Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/20/2023,30.1,31.45,29.83,31.19,1.58,+5.34%,555600,0
03/13/2023,32.64,33.18,29.43,29.61,-4.09,-12.14%,864420,0
03/06/2023,37.89,37.98,32.79,33.7,-4.31,-11.34%,639380,0
02/27/2023,37.12,38.315,35.62,38.01,1.54,+4.22%,459940,0
02/20/2023,38.67,39.06,36.18,36.47,-2.76,-7.04%,480618,0
02/13/2023,39.59,40.71,39.19,39.23,-0.36,-0.91%,375540,0
02/06/2023,42.8,42.855,38.66,39.59,-3.42,-7.95%,494320,0
01/30/2023,39.4,43.74,39.12,43.01,3.26,+8.20%,662403,0
01/23/2023,38,40.4667,37.865,39.75,1.75,+4.61%,336100,0
01/16/2023,39.57,40.74,37.07,38,-1.57,-3.97%,470200,0
01/09/2023,36.2,39.82,36.2,39.57,3.48,+9.64%,714400,0
01/02/2023,36.19,36.95,34.97,36.09,0.3,+0.84%,464000,0
12/26/2022,36.08,36.66,34.24,35.79,-0.2,-0.56%,515550,0
12/19/2022,35.08,36.12,33.95,35.99,1.04,+2.98%,396440,0
12/12/2022,34.99,37.69,33.82,34.95,0.06,+0.17%,756940,0
12/05/2022,35.36,35.685,34.27,34.89,-1.15,-3.19%,359600,0
11/28/2022,36.15,36.285,33.8472,36.04,-0.55,-1.50%,406340,0
11/21/2022,36.23,36.75,34.54,36.59,0.43,+1.19%,397050,0
11/14/2022,34,36.17,30.57,36.16,1.74,+5.06%,505924,0
11/07/2022,31.09,34.57,30.78,34.42,3.43,+11.07%,337584,0
10/31/2022,32.4,32.85,30.47,30.99,-1.89,-5.75%,272680,0
10/24/2022,30.84,33.53,30.13,32.88,2.1,+6.82%,370841,0
10/17/2022,29.7,31.38,29,30.78,1.74,+5.99%,276920,0
10/10/2022,30.39,31.06,28.85,29.04,-1.2,-3.97%,275880,0
10/03/2022,29.74,32.28,29.44,30.24,0.72,+2.44%,428340,0
09/26/2022,28.61,30.26,28.48,29.52,0.66,+2.29%,401320,0
09/19/2022,31.41,32.72,28.489,28.86,-2.89,-9.10%,345380,0
09/12/2022,34.46,34.85,31.37,31.75,-2.63,-7.65%,382120,0
09/05/2022,31.86,34.92,30.23,34.38,2.64,+8.32%,502925,0
08/29/2022,32.31,33.03,30.61,31.74,-0.7,-2.16%,288180,0
