Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/27/2023,47.98,48.63,47.36,47.51,-0.09,-0.19%,333400,0
02/20/2023,50.88,50.955,46.03,47.6,-4,-7.75%,570875,0
02/13/2023,50.81,53,49.805,51.6,1.15,+2.28%,399680,0
02/06/2023,50.87,51.23,48.35,50.45,-1.07,-2.08%,317660,0
01/30/2023,47.64,53.3235,47.37,51.52,3.48,+7.24%,496780,0
01/23/2023,48.64,49.5,47.04,48.04,-0.49,-1.01%,248920,0
01/16/2023,48.99,49.76,47.31,48.53,-0.68,-1.38%,299975,0
01/09/2023,45.5,50.23,44.03,49.21,4.04,+8.94%,431540,0
01/02/2023,44.31,45.96,42.48,45.17,1.49,+3.41%,465575,0
12/26/2022,42.59,43.98,40.45,43.68,1.05,+2.46%,261225,0
12/19/2022,42.29,44.08,41.33,42.63,0.15,+0.35%,304280,0
12/12/2022,45.68,48.04,41.8,42.48,-2.98,-6.56%,427840,0
12/05/2022,47.09,47.37,43.38,45.46,-2.36,-4.94%,404580,0
11/28/2022,46.86,49.22,44.715,47.82,0.69,+1.46%,468800,0
11/21/2022,48.45,49.22,46.53,47.13,-1.75,-3.58%,212675,0
11/14/2022,51.64,52.2,47.86,48.88,-3.1,-5.96%,342380,0
11/07/2022,48.55,53.07,46.02,51.98,3.31,+6.80%,455540,0
10/31/2022,57.25,57.6,46.23,48.67,-9.08,-15.72%,658030,0
10/24/2022,55.3,58.25,53.38,57.75,2.76,+5.02%,304202,0
10/17/2022,54.97,57.165,51.71,54.99,1.21,+2.25%,340240,0
10/10/2022,55.06,55.09,50.18,53.78,-1.55,-2.80%,272620,0
10/03/2022,53.9,57.24,52.82,55.33,2.09,+3.93%,321660,0
09/26/2022,49.9,55.92,49.69,53.24,2.85,+5.66%,426240,0
09/19/2022,56.68,57.37,49.39,50.39,-7.28,-12.62%,537300,0
09/12/2022,56.6,58.82,55.28,57.67,1.37,+2.43%,646140,0
09/05/2022,49.2,60.92,47.63,56.3,7.47,+15.30%,1823200,0
08/29/2022,49.14,50.9,46.9,48.83,-1.06,-2.12%,388200,0
08/22/2022,49.29,52.84,48.44,49.89,-0.19,-0.38%,406240,0
08/15/2022,49.8,53.12,49.25,50.08,-0.3,-0.60%,522660,0
08/08/2022,53.02,54.145,48.99,50.38,-2.6,-4.91%,506342,0
08/01/2022,53.48,55.1,50.1,52.98,-0.87,-1.62%,777460,0
07/25/2022,49.99,54.08,49.48,53.85,3.86,+7.72%,386040,0
07/18/2022,51.39,51.88,48.66,49.99,-0.43,-0.85%,419720,0
07/11/2022,48.23,51.15,45.835,50.42,1.59,+3.26%,457820,0
07/04/2022,46.63,49.53,45.79,48.83,1.17,+2.45%,413350,0
06/27/2022,47.61,48.92,43.56,47.66,0.4,+0.85%,326120,0
06/20/2022,44.75,47.5,42.235,47.26,3.77,+8.67%,446975,0
06/13/2022,42.09,45.36,41.24,43.49,-0.33,-0.75%,481960,0
06/06/2022,43.49,46.99,42.55,43.82,0.94,+2.19%,377440,0
05/30/2022,41.5,43.77,39.51,42.88,1.28,+3.08%,325375,0
05/23/2022,39.66,42,38.485,41.6,2.26,+5.74%,294580,0
05/16/2022,38.58,41.45,38.14,39.34,0.71,+1.84%,455280,0
05/09/2022,40.68,40.775,33.33,38.63,-2.72,-6.58%,826880,0
05/02/2022,47.61,49.015,41.27,41.35,-5.94,-12.56%,731204,0
04/25/2022,57,57.44,45.68,47.29,-9.71,-17.04%,881600,0
04/18/2022,61.49,62.58,55.58,57,-3.98,-6.53%,284520,0
04/11/2022,63.21,64.32,59.725,60.98,-2.79,-4.38%,477900,0
04/04/2022,60.73,64.49,59.34,63.77,2.99,+4.92%,611700,0
03/28/2022,56.63,60.84,55.66,60.78,4.16,+7.35%,363800,0
03/21/2022,55.21,57.2,53.66,56.62,1.03,+1.85%,213840,0
03/14/2022,50.4,56.97,47.92,55.59,4.93,+9.73%,390960,0
03/07/2022,54.71,55.74,50.41,50.66,-3.68,-6.77%,343260,0
02/28/2022,54.36,56.37,52.23,54.34,-0.51,-0.93%,278800,0
02/21/2022,49.76,54.9,47.15,54.85,4.83,+9.66%,539900,0
02/14/2022,54.82,56.26,49.18,50.02,-4.96,-9.02%,376440,0
02/07/2022,54,57.53,53.86,54.98,0.84,+1.55%,277381,0
01/31/2022,50.98,54.89,50.72,54.14,2.55,+4.94%,589340,0
01/24/2022,50.26,51.94,47.185,51.59,0.21,+0.41%,568560,0
01/17/2022,54.89,55.87,50.68,51.38,-2.32,-4.32%,615075,0
01/10/2022,46.88,53.86,46.0624,53.7,6.15,+12.93%,667420,0
01/03/2022,44.94,48.87,43.095,47.55,3.11,+7.00%,469920,0
12/27/2021,46.91,47.07,44.34,44.44,-2.36,-5.04%,291840,0
12/20/2021,42.81,47.42,40.76,46.8,3.02,+6.90%,452750,0
12/13/2021,41.06,44.69,40.64,43.78,2.49,+6.03%,752880,0
12/06/2021,40.4,44.61,39.42,41.29,1.02,+2.53%,355280,0
11/29/2021,45.95,46.29,39.35,40.27,-5.23,-11.49%,446600,0
11/22/2021,48.72,49.05,44.79,45.5,-2.61,-5.43%,510550,0
11/15/2021,50.99,50.99,46.65,48.11,-2.59,-5.11%,558800,0
11/08/2021,56.99,57.2689,50.46,50.7,-6.29,-11.04%,475860,0
11/01/2021,46.03,58.29,44.75,56.99,11.28,+24.68%,1287080,0
10/25/2021,44.84,46.03,42.685,45.71,0.8,+1.78%,313320,0
10/18/2021,44.59,46.7,43.71,44.91,0.09,+0.20%,303320,0
10/11/2021,44.93,48.26,44.37,44.82,-0.34,-0.75%,1204480,0
10/04/2021,48.01,48.01,45.11,45.16,-3.35,-6.91%,415780,0
09/27/2021,50.6,51.37,47.01,48.51,-2.09,-4.13%,468440,0
09/20/2021,53,53.94,50.41,50.6,-3.34,-6.19%,590020,0
09/13/2021,52.3,53.98,49.5,53.94,1.57,+3.00%,977180,0
09/06/2021,59.48,60.04,52.32,52.37,-6.72,-11.37%,497800,0
08/30/2021,56.93,60.075,56.63,59.09,2.27,+4.00%,480260,0
08/23/2021,49.61,57.28,49.33,56.82,7.88,+16.10%,484960,0
08/16/2021,48.79,49.945,46.3801,48.94,-0.02,-0.04%,307220,0
08/09/2021,51.66,54.97,48.61,48.96,-2.06,-4.04%,541660,0
08/02/2021,51.19,52.15,46.84,51.02,0.02,+0.04%,683000,0
07/26/2021,48.94,51.79,46.32,51,1.08,+2.16%,652460,0
07/19/2021,56.06,57.52,46.5,49.92,-7.09,-12.44%,1245160,0
07/12/2021,76.76,78.2,53.0006,57.01,-19.46,-25.45%,1672640,0
07/05/2021,82.33,84.1,74.12,76.47,-5.98,-7.25%,432075,0
06/28/2021,86.53,86.615,81.71,82.45,-3.8,-4.41%,322320,0
06/21/2021,82.54,87.24,81.38,86.25,4.35,+5.31%,246180,0
06/14/2021,80.66,82.41,78.89,81.9,1.99,+2.49%,303340,0
06/07/2021,73.43,79.97,73.369,79.91,6.26,+8.50%,224240,0
05/31/2021,73.93,74.9298,71.47,73.65,0.07,+0.10%,313150,0
05/24/2021,75.36,77.825,73.27,73.58,-1.34,-1.79%,399360,0
05/17/2021,74.33,77.07,72.17,74.92,0.16,+0.21%,300020,0
05/10/2021,82.19,82.33,72.97,74.76,-8.28,-9.97%,402700,0
05/03/2021,94.24,95.25,81.06,83.04,-11.12,-11.81%,486300,0
04/26/2021,95.49,98.285,92.82,94.16,-0.83,-0.87%,316080,0
04/19/2021,84.24,96.035,83.28,94.99,9.97,+11.73%,331420,0
04/12/2021,82.79,86.5,80.915,85.02,1.89,+2.27%,257060,0
04/05/2021,82.53,85.85,78.87,83.13,1.16,+1.42%,610720,0
03/29/2021,84.92,86.98,81,81.97,-3.61,-4.22%,491750,0
03/22/2021,89.16,90.25,80.5,85.58,-2.85,-3.22%,355280,0
03/15/2021,87.88,90.85,85.43,88.43,-0.42,-0.47%,331300,0
03/08/2021,86.14,89.435,81.65,88.85,3.09,+3.60%,344660,0
03/01/2021,93.99,99,79.68,85.76,-8.8,-9.31%,454880,0
02/22/2021,92.64,98.24,91.06,94.56,1.2,+1.29%,455820,0
02/15/2021,95.2,96.21,87.8,93.36,-1.6,-1.68%,439125,0
02/08/2021,96.5,97.785,93.75,94.96,-0.88,-0.92%,352860,0
02/01/2021,89.63,96.71,86.25,95.84,7.15,+8.06%,298980,0
01/25/2021,87,92.19,81.3142,88.69,1.52,+1.74%,563760,0
01/18/2021,86.89,90.71,86.65,87.17,0.83,+0.96%,474875,0
01/11/2021,76.84,88.21,76.32,86.34,8.11,+10.37%,516520,0
01/04/2021,75.71,79.5,69.89,78.23,2.97,+3.95%,527100,0
12/28/2020,74.99,76.2,72.47,75.26,1.27,+1.72%,321575,0
12/21/2020,70.69,75.735,70.42,73.99,1.73,+2.39%,341050,0
12/14/2020,68.32,74.175,68,72.26,4.82,+7.15%,481720,0
12/07/2020,70.19,70.99,66.38,67.44,-2.79,-3.97%,408540,0
11/30/2020,68.22,71.96,67.01,70.23,2.26,+3.32%,340540,0
11/23/2020,64.99,68.54,64.64,67.97,3.68,+5.72%,285150,0
11/16/2020,67.6,68.95,63.63,64.29,-2.32,-3.48%,489040,0
11/09/2020,64.07,67.26,61.96,66.61,6.3,+10.45%,627420,0
