Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,7.41,7.52,3.3501,3.42,-4.1,-54.52%,931593,0
02/13/2023,8.88,10.19,7,7.52,-1.43,-15.98%,749692,0
02/06/2023,11.37,11.8,8.1,8.95,-2.29,-20.37%,814492,0
01/30/2023,11.76,15.2,10.01,11.24,0.04,+0.36%,1065725,0
01/23/2023,8.5,23.8,7.6,11.2,3.1,+38.27%,1267181,0
01/16/2023,7.36,9.18,6.67,8.1,0.07,+0.87%,159185,0
01/09/2023,7.29,9.3,7.29,8.03,0.76,+10.45%,106670,0
01/02/2023,7.8,8.1,7,7.27,-0.39,-5.09%,49604,0
12/26/2022,11,11,7.42,7.66,-1.82,-19.20%,148936,0
12/19/2022,10,10.5,8.14,9.48,-0.44,-4.44%,21976,0
12/12/2022,11.91,11.91,9.92,9.92,-1.36,-12.06%,27743,0
12/05/2022,12,12.9,10.49,11.28,-0.12,-1.05%,20939,0
11/28/2022,11.3,12.82,10.5,11.4,-0.09,-0.78%,38230,0
11/21/2022,11.48,12.96,9.62,11.49,0.27,+2.41%,36268,0
11/14/2022,11.5,17.39,10.51,11.22,1.02,+10.00%,123274,0
11/07/2022,13,13.86,8.51,10.2,-2.9,-22.14%,25741,0
10/31/2022,13.62,14.87,12.22,13.1,-1.05,-7.42%,14686,0
10/24/2022,13.68,15.2,12.55,14.15,0.5,+3.66%,15005,0
10/17/2022,12.85,14.75,12.4,13.65,1.15,+9.20%,17056,0
10/10/2022,12,14.62,11,12.5,0.1,+0.81%,20119,0
10/03/2022,12.53,16.5,12,12.4,0.1,+0.81%,59741,0
09/26/2022,15,15.02,11.65,12.3,-2.2,-15.17%,36775,0
09/19/2022,17.4,17.5,13.33,14.5,-3,-17.14%,69601,0
09/12/2022,44.44,48,16.5,17.5,-28.03,-61.56%,107767,0
09/05/2022,42.39,45.73,38.51,45.53,2.82,+6.60%,5517,0
08/29/2022,43.45,51.9,41,42.71,-1.66,-3.74%,21627,0
08/22/2022,50,53,42.2,44.37,-6.33,-12.49%,5595,0
08/15/2022,56,64.5,47.1,50.7,-6.29,-11.04%,13284,0
08/08/2022,39.62,68.98,38.59,56.99,19.24,+50.97%,58998,0
08/01/2022,40.81,41,36,37.75,-1.22,-3.13%,4879,0
07/25/2022,42.99,49.5,37,38.97,-3.02,-7.19%,5887,0
07/18/2022,40.27,44,39.5,41.99,2.09,+5.24%,3024,0
07/11/2022,46,46,37.41,39.9,-6.63,-14.25%,2959,0
07/04/2022,40,48,39.07,46.53,6.43,+16.03%,2010,0
06/27/2022,45.57,47.84,38.5,40.1,-3.8,-8.66%,2816,0
06/20/2022,39.1,48.2,39,43.9,4.28,+10.80%,3199,0
06/13/2022,43,48,35.43,39.62,-5.38,-11.96%,5114,0
06/06/2022,44,52.06,41,45,0.7,+1.58%,4243,0
05/30/2022,39.9,52.06,37.16,44.3,5.22,+13.36%,6611,0
05/23/2022,49,49.87,30,39.08,-7.87,-16.76%,9170,0
05/16/2022,45.01,54,43.61,46.95,0.55,+1.19%,4083,0
05/09/2022,52,52.99,37,46.4,-5.73,-10.99%,11370,0
05/02/2022,54.96,61,50.1,52.13,-2.58,-4.72%,5482,0
