Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,2.15,2.25,1.68,1.73,-0.48,-21.72%,3587475,0
02/13/2023,2.3,2.53,2,2.21,-0.09,-3.91%,2189340,0
02/06/2023,2.8,2.91,2.21,2.3,-0.48,-17.27%,2441480,0
01/30/2023,2.44,3.0599,2.36,2.78,0.35,+14.40%,3520920,0
01/23/2023,2.05,2.5251,1.99,2.43,0.44,+22.11%,3468380,0
01/16/2023,2.35,2.35,1.85,1.99,-0.35,-14.96%,3617350,0
01/09/2023,2.19,2.54,2.08,2.34,0.14,+6.36%,4419280,0
01/02/2023,2.15,2.25,1.98,2.2,0.03,+1.38%,3504075,0
12/26/2022,1.88,2.32,1.705,2.17,0.27,+14.21%,4571625,0
12/19/2022,2.339,2.339,1.57,1.9,-0.83,-30.40%,6977900,0
12/12/2022,2.24,2.95,1.935,2.73,0.56,+25.81%,14532140,0
12/05/2022,9,9.55,1.73,2.17,-6.85,-75.94%,21769100,0
11/28/2022,8.97,9.1,8.12,9.02,0.09,+1.01%,2250360,0
11/21/2022,9.1,9.41,8.84,8.93,-0.21,-2.30%,1717875,0
11/14/2022,9.82,10.46,8.75,9.14,-0.7,-7.11%,1842920,0
11/07/2022,10.39,10.565,9.745,9.84,-0.68,-6.46%,1263620,0
10/31/2022,10.5,11.33,10.2,10.52,-0.02,-0.19%,1031180,0
10/24/2022,12.5,12.56,10.23,10.54,-2.02,-16.08%,1658000,0
10/17/2022,12.3,13.53,11.92,12.56,0.39,+3.20%,1488520,0
10/10/2022,12.3,12.5286,11.07,12.17,-0.01,-0.08%,1445020,0
10/03/2022,12.11,13.675,11.6,12.18,0.2,+1.67%,1253100,0
09/26/2022,12.19,12.915,11.84,11.98,-0.16,-1.32%,1196880,0
09/19/2022,13.76,13.83,11.65,12.14,-1.38,-10.21%,1391700,0
09/12/2022,14.14,14.57,13.36,13.52,-0.55,-3.91%,1380700,0
09/05/2022,14.2,14.99,13.565,14.07,-0.22,-1.54%,727300,0
08/29/2022,13.52,14.87,13.31,14.29,0.64,+4.69%,723880,0
08/22/2022,13.28,15.195,13.28,13.65,-0.4,-2.85%,785600,0
08/15/2022,13.72,14.48,13.26,14.05,0.18,+1.30%,742060,0
08/08/2022,13.06,13.96,12.13,13.87,0.92,+7.10%,1681700,0
08/01/2022,11.23,13.07,11.08,12.95,1.72,+15.32%,1128860,0
07/25/2022,11.92,12.09,11.13,11.23,-0.61,-5.15%,974600,0
07/18/2022,11.57,12.555,11.12,11.84,0.76,+6.86%,2210280,0
07/11/2022,7.66,11.65,6.82,11.08,3.37,+43.71%,5888400,0
07/04/2022,8.27,9.01,7.38,7.71,-0.65,-7.78%,931900,0
06/27/2022,7.53,8.5199,7.32,8.36,0.72,+9.42%,504880,0
06/20/2022,6.7,7.74,6.63,7.64,0.95,+14.20%,1007650,0
06/13/2022,6.41,6.82,5.64,6.69,-0.02,-0.30%,748940,0
06/06/2022,7.33,7.52,6.66,6.71,-0.49,-6.81%,443420,0
05/30/2022,7.64,7.64,6.55,7.2,-0.4,-5.26%,652400,0
05/23/2022,7.56,7.92,7.11,7.6,0.12,+1.60%,435340,0
05/16/2022,8.51,8.91,6.88,7.48,-1.12,-13.02%,798460,0
05/09/2022,6.66,9.01,6.275,8.6,1.7,+24.64%,1272040,0
05/02/2022,6.91,7.61,6.775,6.9,-0.01,-0.14%,923660,0
04/25/2022,7.93,9.145,6.65,6.91,-1.89,-21.48%,2479840,0
04/18/2022,9.3,9.3,7.87,8.8,-0.05,-0.56%,848280,0
04/11/2022,9.82,9.885,8.77,8.85,-1.12,-11.23%,461200,0
04/04/2022,8.99,10.21,8.69,9.97,0.97,+10.78%,571240,0
03/28/2022,8.67,9.36,8.42,9,0.33,+3.81%,521900,0
03/21/2022,9.31,9.31,8.53,8.67,-0.59,-6.37%,513840,0
03/14/2022,9.01,9.34,8.06,9.26,0.29,+3.23%,668000,0
03/07/2022,9.68,9.985,8.96,8.97,-0.63,-6.56%,432720,0
02/28/2022,9.16,9.9,8.9404,9.6,0.35,+3.78%,627200,0
02/21/2022,9.18,9.93,8.6,9.25,-0.04,-0.43%,772425,0
02/14/2022,8.79,9.53,8.52,9.29,0.58,+6.66%,452020,0
02/07/2022,8.6,9.38,8.522,8.71,0.1,+1.16%,542940,0
01/31/2022,9.27,9.77,8.42,8.61,-0.5,-5.49%,688040,0
01/24/2022,10.12,10.52,8.325,9.11,-1.18,-11.47%,1334000,0
01/17/2022,11.78,11.78,10.2,10.29,-1.56,-13.16%,645975,0
01/10/2022,12.21,12.86,11.13,11.85,-0.1,-0.84%,615040,0
01/03/2022,11.43,12.28,10.79,11.95,0.64,+5.66%,531820,0
12/27/2021,11.6,11.685,10.53,11.31,-0.33,-2.84%,351060,0
12/20/2021,10.51,11.66,10.04,11.64,0.9,+8.38%,478075,0
12/13/2021,10.2,11,9.87,10.74,0.49,+4.78%,1009020,0
12/06/2021,10.35,11.47,10.07,10.25,-0.01,-0.10%,338940,0
11/29/2021,10.91,11.425,10.1,10.26,-0.39,-3.66%,746400,0
11/22/2021,11.6,11.75,10.48,10.65,-0.92,-7.95%,345100,0
11/15/2021,12.05,12.08,11.12,11.57,-0.51,-4.22%,351900,0
11/08/2021,13.41,13.735,11.92,12.08,-1.21,-9.10%,563940,0
11/01/2021,12.3,13.62,12.09,13.29,0.87,+7.00%,648320,0
10/25/2021,12.25,13.2,12.098,12.42,-0.31,-2.44%,544120,0
10/18/2021,13.86,13.94,12.38,12.73,-1.34,-9.52%,338160,0
