Time,Open,High,Low,Last,Change,%Chg,Volume
03/13/2023,2.49,2.619,2.41,2.53,0.03,+1.20%,33460
03/06/2023,2.68,2.7348,2.4899,2.5,-0.21,-7.75%,27220
02/27/2023,2.98,3.0188,2.53,2.71,-0.22,-7.51%,42560
02/20/2023,3.05,3.09,2.93,2.93,-0.15,-4.87%,13725
02/13/2023,3.1,3.186,3.0204,3.08,0.01,+0.33%,11960
02/06/2023,3.28,3.2822,3.05,3.07,-0.19,-5.83%,17820
01/30/2023,3.09,3.3,3.09,3.26,0.13,+4.15%,23460
01/23/2023,3.03,3.16,3,3.13,0.1227,+4.08%,42140
01/16/2023,3,3.095,2.96,3.0073,0.0073,+0.24%,29175
01/09/2023,2.92,3.07,2.91,3,0.05,+1.69%,29260
01/02/2023,2.92,2.979,2.8673,2.95,0.06,+2.08%,22075
12/26/2022,2.67,2.9,2.5888,2.89,0.24,+9.06%,54350
12/19/2022,2.9,2.9,2.53,2.65,-0.24,-8.30%,50800
12/12/2022,2.91,2.92,2.81,2.89,-0.01,-0.34%,21620
12/05/2022,2.88,2.9711,2.8268,2.9,-0.01,-0.34%,18640
11/28/2022,2.88,2.99,2.79,2.91,0.06,+2.11%,23960
11/21/2022,2.84,2.94,2.8,2.85,0.04,+1.42%,11450
11/14/2022,3.02,3.08,2.81,2.81,-0.14,-4.75%,13740
11/07/2022,3.03,3.1922,2.92,2.95,-0.05,-1.67%,33560
10/31/2022,2.91,3.0364,2.88,3,0.09,+3.09%,16740
10/24/2022,2.79,2.95,2.76,2.91,0.12,+4.30%,20440
10/17/2022,2.68,2.8299,2.68,2.79,0.04,+1.45%,17140
10/10/2022,2.85,2.88,2.64,2.75,-0.11,-3.85%,24940
10/03/2022,2.86,3.14,2.8,2.86,-0.01,-0.35%,30100
09/26/2022,2.85,2.94,2.83,2.87,-0.04,-1.37%,19260
09/19/2022,3,3.17,2.83,2.91,-0.16,-5.21%,35160
09/12/2022,3.6,3.7472,3.06,3.07,-0.57,-15.66%,77660
09/05/2022,3.76,3.76,3.58,3.64,-0.12,-3.19%,27625
08/29/2022,3.94,3.952,3.73,3.76,-0.23,-5.76%,32040
08/22/2022,4.18,4.25,3.92,3.99,-0.19,-4.55%,32200
08/15/2022,4.22,4.345,4.15,4.18,-0.09,-2.11%,16740
08/08/2022,4.26,4.32,4.12,4.27,0.02,+0.47%,28940
08/01/2022,4.19,4.34,4.14,4.25,0.06,+1.43%,28260
07/25/2022,4.34,4.3625,4.1,4.19,-0.11,-2.56%,36220
