Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,1.39,1.41,1.15,1.19,-0.13,-9.85%,44860,0
03/06/2023,2.19,2.2537,1.25,1.32,-0.89,-40.27%,116363,0
02/27/2023,2.27,2.44,2.11,2.21,-0.02,-0.90%,24140,0
02/20/2023,2.7,2.78,2.2201,2.23,-0.54,-19.49%,19525,0
02/13/2023,3,3.0075,2.72,2.77,-0.205,-6.89%,12400,0
02/06/2023,3.29,3.445,2.89,2.975,-0.505,-14.51%,17060,0
01/30/2023,3.79,3.86,3.4082,3.48,-0.42,-10.77%,33180,0
01/23/2023,2.87,3.96,2.74,3.9,1.04,+36.36%,15660,0
01/16/2023,3,3.05,2.69,2.86,-0.05,-1.72%,17075,0
01/09/2023,2.93,3.15,2.83,2.91,-0.22,-7.03%,14700,0
01/02/2023,3.26,3.31,2.945,3.13,-0.03,-0.95%,20500,0
12/26/2022,2.81,3.25,2.485,3.16,0.33,+11.66%,41826,0
12/19/2022,3.1501,3.53,2.7,2.83,-0.41,-12.65%,33980,0
12/12/2022,3.7699,4.08,3.24,3.24,-0.54,-14.29%,15120,0
12/05/2022,3.02,4.07,2.96,3.78,0.79,+26.42%,33520,0
11/28/2022,3.4,3.4,2.891,2.99,-0.45,-13.08%,27180,0
11/21/2022,3.3,3.44,3.1101,3.44,0.25,+7.84%,10075,0
11/14/2022,3.28,3.61,3.085,3.19,-0.3,-8.60%,17740,0
11/07/2022,4.45,4.45,3.12,3.49,-1,-22.27%,34840,0
10/31/2022,5.02,5.1,4.36,4.49,-0.61,-11.96%,30340,0
10/24/2022,5.29,5.34,4.8336,5.1,-0.07,-1.35%,28120,0
10/17/2022,5.34,5.34,4.78,5.17,0.06,+1.17%,28220,0
10/10/2022,5.3,5.77,4.7,5.11,-0.22,-4.13%,51500,0
10/03/2022,4.8,5.5,4.68,5.33,0.51,+10.58%,27920,0
09/26/2022,4.15,5.0616,4.02,4.82,0.58,+13.68%,22260,0
09/19/2022,4.81,4.8326,4.16,4.24,-0.77,-15.37%,32860,0
09/12/2022,4.03,5.0475,4,5.01,0.84,+20.14%,92860,0
