Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,21.3,21.45,18.275,20.71,-1.24,-5.65%,4625275,0
02/13/2023,21.22,26.35,19.8,21.95,0.81,+3.83%,4606340,0
02/06/2023,23.19,23.655,20.76,21.14,-2.1,-9.04%,1717460,0
01/30/2023,22.54,24.56,22.04,23.24,0.59,+2.60%,2253640,0
01/23/2023,20.36,22.79,20.15,22.65,2.36,+11.63%,1465560,0
01/16/2023,19.77,20.395,18.79,20.29,0.44,+2.22%,1466825,0
01/09/2023,19.72,20.66,18.25,19.85,0.09,+0.46%,1782160,0
01/02/2023,21.01,21.37,19.075,19.76,-1.65,-7.71%,2159700,0
12/26/2022,22.35,22.47,20.34,21.41,-0.84,-3.78%,1405877,0
12/19/2022,22.2,23.32,21.19,22.25,-0.07,-0.31%,1988440,0
12/12/2022,20.26,22.825,20.05,22.32,2.07,+10.22%,2728640,0
12/05/2022,22.95,23.4799,20.15,20.25,-2.81,-12.19%,2327180,0
11/28/2022,21.56,23.84,21.51,23.06,1.5,+6.96%,3430960,0
11/21/2022,21.57,21.942,20.4,21.56,-0.09,-0.42%,1541425,0
11/14/2022,18.5,22.44,16.67,21.65,3.01,+16.15%,4503260,0
11/07/2022,21.06,21.51,18.02,18.64,-2.3,-10.98%,3796800,0
10/31/2022,23.45,24.33,19.85,20.94,-2.5,-10.67%,3697220,0
10/24/2022,21.66,23.71,21.15,23.44,2,+9.33%,2251700,0
10/17/2022,22.03,22.398,20.57,21.44,0.6,+2.88%,2348680,0
10/10/2022,20.13,21.9,19.35,20.84,0.5,+2.46%,2242240,0
10/03/2022,18.75,21.58,17.7,20.34,2.4,+13.38%,4628900,0
09/26/2022,15.12,19.51,14.8,17.94,2.78,+18.34%,4576800,0
09/19/2022,17.91,18.09,14.82,15.16,-2.46,-13.96%,3401860,0
09/12/2022,18.45,18.98,17.4001,17.62,-0.97,-5.22%,5678760,0
09/05/2022,12.96,20.99,12.28,18.59,9.15,+96.93%,49708775,0
08/29/2022,9.61,10.39,9.39,9.44,-0.31,-3.18%,2705520,0
08/22/2022,12.47,12.84,9.69,9.75,-2.9,-22.92%,2615600,0
08/15/2022,13.27,13.645,12.495,12.65,-0.83,-6.16%,1584440,0
08/08/2022,13,14.175,12.81,13.48,0.67,+5.23%,2152120,0
08/01/2022,10.59,12.82,10.45,12.81,2.12,+19.83%,2066180,0
07/25/2022,11.17,11.18,10.33,10.69,-0.41,-3.69%,1901160,0
07/18/2022,11.97,12.817,10.995,11.1,-0.6,-5.13%,2293780,0
07/11/2022,11.58,12.16,10.985,11.7,-0.01,-0.09%,1423940,0
07/04/2022,9.21,11.72,8.95,11.71,2.31,+24.57%,1985100,0
06/27/2022,10.44,10.689,9.152,9.4,-1.04,-9.96%,1681180,0
06/20/2022,9.58,10.47,9.335,10.44,1.04,+11.06%,3133050,0
