Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,79.75,81.85,77.74,81.01,0.18,+0.22%,445240,0
03/06/2023,87.28,88.41,80.6,80.83,-6.63,-7.58%,334380,0
02/27/2023,79.05,88.89,77.74,87.46,8.68,+11.02%,631580,0
02/20/2023,80.88,81.82,77.8,78.78,-2.76,-3.38%,325600,0
02/13/2023,78.07,82.35,77.615,81.54,3.58,+4.59%,260320,0
02/06/2023,78.07,79.01,75.48,77.96,-0.29,-0.37%,263560,0
01/30/2023,75.06,79.51,73.97,78.25,2.69,+3.56%,283220,0
01/23/2023,74.98,75.82,72.26,75.56,0.85,+1.14%,336660,0
01/16/2023,75.56,77.38,71.72,74.71,-1.23,-1.62%,324950,0
01/09/2023,70.58,78.44,70,75.94,5.86,+8.36%,485140,0
01/02/2023,69,70.82,66.52,70.08,1.85,+2.71%,360902,0
12/26/2022,67.71,69.345,65.715,68.23,0.39,+0.57%,240400,0
12/19/2022,69.21,69.21,66.2,67.84,-1.34,-1.94%,332840,0
12/12/2022,69.56,70.3672,65.82,69.18,-0.55,-0.79%,480040,0
12/05/2022,69.87,70.32,67.5,69.73,-0.17,-0.24%,280580,0
11/28/2022,72.55,73.47,69.23,69.9,-2.6,-3.59%,432320,0
11/21/2022,85.55,86.11,69.01,72.5,-12.9,-15.11%,859325,0
11/14/2022,84.9,88.36,83.5,85.4,0.39,+0.46%,244760,0
11/07/2022,86.73,89.9,82.055,85.01,-1.35,-1.56%,314220,0
10/31/2022,88.5,89.63,83.97,86.36,-2.14,-2.42%,229927,0
10/24/2022,82.57,89.55,81.63,88.5,6.2,+7.53%,257060,0
10/17/2022,79.8,83.58,79.64,82.3,3.97,+5.07%,253280,0
10/10/2022,75.05,80.66,70.27,78.33,3.58,+4.79%,382760,0
10/03/2022,75.11,78.805,72.03,74.75,0.68,+0.92%,296900,0
09/26/2022,75.41,78.3799,73.48,74.07,-1.13,-1.50%,310220,0
09/19/2022,82.63,85.83,74.8401,75.2,-8.91,-10.59%,329840,0
09/12/2022,84.44,86.775,82.51,84.11,2.37,+2.90%,354020,0
09/05/2022,80.18,82.56,73.62,81.74,0.98,+1.21%,676925,0
08/29/2022,86.55,88.08,78.19,80.76,-6.36,-7.30%,489440,0
08/22/2022,90.37,92.63,86,87.12,-4.26,-4.66%,351120,0
08/15/2022,87.29,93.72,87.29,91.38,3.71,+4.23%,758181,0
08/08/2022,74.12,87.76,74.1,87.67,13.45,+18.12%,597000,0
08/01/2022,68.43,74.49,67.425,74.22,5.08,+7.35%,313140,0
07/25/2022,65.51,70.19,62.39,69.14,3.38,+5.14%,378820,0
07/18/2022,61.64,68.1,61.22,65.76,4,+6.48%,319080,0
07/11/2022,59.5,62.63,58.17,61.76,2.17,+3.64%,290040,0
07/04/2022,57.24,61.18,56.32,59.59,1.76,+3.04%,558950,0
06/27/2022,59.89,60.39,54.8,57.83,-1.42,-2.40%,362020,0
06/20/2022,60.61,61.8696,56.03,59.25,-0.58,-0.97%,423125,0
06/13/2022,67.7,68.01,57.04,59.83,-9.26,-13.40%,561740,0
06/06/2022,70.23,72.12,67.83,69.09,-1.23,-1.75%,432380,0
05/30/2022,67.94,70.81,65.88,70.32,3.28,+4.89%,645850,0
05/23/2022,72.06,73.89,65,67.04,-4.14,-5.82%,815480,0
05/16/2022,77.82,79.06,69.655,71.18,-6.64,-8.53%,480320,0
05/09/2022,81.77,83.96,76.4,77.82,-4.05,-4.95%,538420,0
05/02/2022,82.55,83.89,79.36,81.87,-0.89,-1.08%,328040,0
04/25/2022,85.19,88.25,82.37,82.76,-3.01,-3.51%,296340,0
04/18/2022,91.82,92.365,85.77,85.77,-6.23,-6.77%,232020,0
04/11/2022,89.61,93.12,89.4,92,2.27,+2.53%,315475,0
04/04/2022,89.7,92.68,86.74,89.73,-0.42,-0.47%,424160,0
03/28/2022,89.62,94.68,88.51,90.15,0.59,+0.66%,388780,0
03/21/2022,88.83,90.99,86.86,89.56,-1.46,-1.60%,276860,0
03/14/2022,82.3,92.17,81.305,91.02,9.23,+11.28%,485540,0
03/07/2022,80,84.3,76.5,81.79,1.53,+1.91%,449980,0
02/28/2022,83.28,88.01,79.5,80.26,-6.86,-7.87%,478560,0
02/21/2022,89.85,92.67,82.125,87.12,-3.18,-3.52%,598725,0
02/14/2022,93.81,93.885,89.46,90.3,-3.52,-3.75%,417840,0
02/07/2022,92.24,96.87,91.63,93.82,2.06,+2.24%,314080,0
01/31/2022,90.01,92.36,88.81,91.76,1.61,+1.79%,1346440,0
01/24/2022,83.34,94.93,83.08,90.15,5.85,+6.94%,589220,0
01/17/2022,87.08,89.44,84.26,84.3,-3.73,-4.24%,287525,0
01/10/2022,89.5,91.82,85.7426,88.03,-1.34,-1.50%,333000,0
01/03/2022,87.87,90.87,86.3,89.37,1.89,+2.16%,271220,0
12/27/2021,85,88.86,83.56,87.48,2.62,+3.09%,266420,0
12/20/2021,79.29,85.8906,78.65,84.86,3.84,+4.74%,262350,0
12/13/2021,83.2,84.28,77.86,81.02,-2.29,-2.75%,477940,0
12/06/2021,83.6,86.07,77.13,83.31,-0.69,-0.82%,672200,0
11/29/2021,88.68,90.16,80.85,84,-3.92,-4.46%,559640,0
11/22/2021,98.17,98.8,85.94,87.92,-9.55,-9.80%,602300,0
11/15/2021,101.19,102.05,95.77,97.47,-3.23,-3.21%,364600,0
11/08/2021,103.06,105.98,99.89,100.7,-2.14,-2.08%,235940,0
11/01/2021,99.15,103.31,96.2,102.84,3.89,+3.93%,226020,0
10/25/2021,100.38,101.7,98.38,98.95,-1.05,-1.05%,228980,0
10/18/2021,96.85,101.94,95,100,2,+2.04%,327740,0
10/11/2021,99.53,101.14,93.11,98,-1.06,-1.07%,366180,0
10/04/2021,99.1,100.74,95.5,99.06,-0.45,-0.45%,205840,0
09/27/2021,102.54,104.19,97.3001,99.51,-2.73,-2.67%,236860,0
09/20/2021,99.07,102.89,96.02,102.24,1.95,+1.94%,268100,0
09/13/2021,101.24,101.52,96.9401,100.29,-0.27,-0.27%,401800,0
09/06/2021,104.58,105.53,100.455,100.56,-4.33,-4.13%,319275,0
08/30/2021,106.92,107.99,104.06,104.89,-1.96,-1.83%,272580,0
08/23/2021,103.81,106.94,101.5501,106.85,3.54,+3.43%,260820,0
08/16/2021,102.27,105.62,100.53,103.31,0.46,+0.45%,369760,0
08/09/2021,100.94,103.19,98.9124,102.85,1.45,+1.43%,289320,0
08/02/2021,109.17,111.1033,98,101.4,-7.46,-6.85%,454700,0
07/26/2021,110.08,111.6,107.651,108.86,-0.68,-0.62%,172020,0
07/19/2021,102.65,109.68,101.26,109.54,4.61,+4.39%,233480,0
07/12/2021,108.16,110.32,102.35,104.93,-4.32,-3.95%,367120,0
07/05/2021,110.99,111.45,104.06,109.25,-2,-1.80%,439075,0
06/28/2021,119.7,119.7,111.11,111.25,-8.83,-7.35%,426300,0
06/21/2021,116.71,122.35,116.005,120.08,3.84,+3.30%,324280,0
06/14/2021,119.78,120.79,115.77,116.24,-2.89,-2.43%,337320,0
06/07/2021,114.37,122.7,113.84,119.13,4.93,+4.32%,353140,0
05/31/2021,114.46,116.12,112.07,114.2,0.6,+0.53%,307625,0
05/24/2021,115.92,116.89,111.39,113.6,-1.44,-1.25%,217240,0
05/17/2021,117.84,118.61,111.445,115.04,-3.88,-3.26%,261940,0
