Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,8.45,8.4999,7.96,8.15,-0.47,-5.45%,5927200,0
02/13/2023,8.32,8.77,8.25,8.62,0.3,+3.61%,6073920,0
02/06/2023,8.63,8.86,8.23,8.32,-0.41,-4.70%,7230240,0
01/30/2023,7.94,9.35,7.8,8.73,0.76,+9.54%,13118620,0
01/23/2023,8.61,8.73,7.97,7.97,-0.61,-7.11%,10932640,0
01/16/2023,8.14,8.82,8.1,8.58,0.34,+4.13%,10245050,0
01/09/2023,7.37,8.24,7.23,8.24,0.96,+13.19%,8302300,0
01/02/2023,6.64,7.32,6.4,7.28,0.8,+12.35%,9963100,0
12/26/2022,6.4,6.5,6.18,6.48,0.03,+0.47%,7989750,0
12/19/2022,6.85,6.89,6.23,6.45,-0.39,-5.70%,7923740,0
12/12/2022,7.43,7.96,6.62,6.84,-0.58,-7.82%,15452700,0
12/05/2022,7.87,8.07,7.35,7.42,-0.52,-6.55%,9252400,0
11/28/2022,7.86,8.05,7.61,7.94,-0.04,-0.50%,7168040,0
11/21/2022,7.83,8.03,7.635,7.98,0.12,+1.53%,6262100,0
11/14/2022,8.03,8.3456,7.68,7.86,-0.25,-3.08%,8878280,0
11/07/2022,7.68,8.23,7.32,8.11,0.52,+6.85%,10259040,0
10/31/2022,7.8,8.205,7.45,7.59,-0.17,-2.19%,12241380,0
10/24/2022,7.24,7.79,6.88,7.76,0.6,+8.38%,15281220,0
10/17/2022,6.86,7.2,6.685,7.16,0.49,+7.35%,12936880,0
10/10/2022,6.63,6.92,6.2146,6.67,0.06,+0.91%,11051040,0
10/03/2022,6.67,7.24,6.49,6.61,-0.02,-0.30%,11192320,0
09/26/2022,6.91,7.015,6.52,6.63,-0.28,-4.05%,13202300,0
09/19/2022,7.86,8.19,6.75,6.91,-1.01,-12.75%,14789200,0
09/12/2022,8.37,8.54,7.705,7.92,-0.35,-4.23%,11069900,0
09/05/2022,7.74,8.29,7.5,8.27,0.64,+8.39%,12266975,0
08/29/2022,7.97,8.14,7.5142,7.63,-0.4,-4.98%,11205800,0
08/22/2022,8.23,8.43,8.01,8.03,-0.35,-4.18%,8254540,0
08/15/2022,9.08,9.345,8.3,8.38,-0.76,-8.32%,9363580,0
08/08/2022,8.79,9.15,8.38,9.14,0.46,+5.30%,10163720,0
08/01/2022,8.45,8.75,7.95,8.68,0.26,+3.09%,16195240,0
07/25/2022,8.47,8.525,8.09,8.42,0.05,+0.60%,10115320,0
07/18/2022,8.25,8.94,8.16,8.37,0.27,+3.33%,10143780,0
07/11/2022,8.17,8.49,7.87,8.1,-0.11,-1.34%,11068900,0
07/04/2022,8.33,8.66,8.06,8.21,-0.32,-3.75%,9475150,0
06/27/2022,8.76,9.17,8.25,8.53,-0.09,-1.04%,11889060,0
06/20/2022,8.68,8.7,8.05,8.62,0.08,+0.94%,10420675,0
06/13/2022,9.25,9.29,7.99,8.54,-1,-10.48%,11541280,0
06/06/2022,10.69,10.745,9.47,9.54,-0.93,-8.88%,9122920,0
05/30/2022,10.68,10.97,10.18,10.47,-0.37,-3.41%,8276250,0
05/23/2022,10.32,10.95,9.6724,10.84,0.65,+6.38%,8996560,0
05/16/2022,9.9,10.495,9.44,10.19,0.13,+1.29%,10858260,0
05/09/2022,10.37,10.55,9.2201,10.06,-0.56,-5.27%,10959600,0
05/02/2022,11,11.48,10.47,10.62,-0.39,-3.54%,10758200,0
04/25/2022,12.77,13.07,10.88,11.01,-1.86,-14.45%,14767440,0
04/18/2022,12.64,14.07,12.47,12.87,0.09,+0.70%,11459120,0
04/11/2022,11.85,12.98,11.72,12.78,0.88,+7.39%,11578475,0
04/04/2022,14.71,14.8,11.77,11.9,-2.9,-19.59%,22926040,0
03/28/2022,14.72,15.26,14.32,14.8,0.24,+1.65%,6195400,0
03/21/2022,14.32,14.835,14.015,14.56,-0.03,-0.21%,7321380,0
03/14/2022,12.62,14.64,12.46,14.59,2,+15.89%,9866860,0
03/07/2022,12.98,13.18,11.37,12.59,-0.62,-4.69%,12195543,0
02/28/2022,15.22,15.5,13,13.21,-2.31,-14.88%,9065200,0
02/21/2022,15.25,15.65,13.96,15.52,0.02,+0.13%,6923475,0
02/14/2022,15.29,16.39,14.995,15.5,0.32,+2.11%,7607900,0
02/07/2022,14.8,16.22,14.795,15.18,0.7,+4.83%,8842580,0
01/31/2022,13.74,14.965,13.67,14.48,0.58,+4.17%,7387760,0
01/24/2022,13.35,14.2453,12.95,13.9,0.13,+0.94%,10190020,0
01/17/2022,14.68,15.04,13.7,13.77,-1.08,-7.27%,6825200,0
01/10/2022,15.06,15.52,14.555,14.85,-0.26,-1.72%,7085640,0
01/03/2022,14.32,15.36,14.31,15.11,0.87,+6.11%,8446720,0
12/27/2021,14.27,14.9,14.175,14.24,-0.43,-2.93%,5804720,0
12/20/2021,13.58,14.89,13.47,14.67,0.76,+5.46%,6981750,0
12/13/2021,14.13,14.235,13.41,13.91,-0.44,-3.07%,7565000,0
12/06/2021,13.88,14.94,13.84,14.35,0.75,+5.51%,8027080,0
11/29/2021,13.93,14.06,12.86,13.6,-0.02,-0.15%,10563780,0
11/22/2021,14.56,14.77,13.18,13.62,-0.78,-5.42%,7135175,0
11/15/2021,15.29,15.4,14.041,14.4,-0.76,-5.01%,6841400,0
11/08/2021,16.48,16.48,15,15.16,-0.96,-5.96%,5723060,0
11/01/2021,14.0293,16.23,13.89,16.12,2.09,+14.90%,8890520,0
10/25/2021,14.6,15.05,13.965,14.03,-0.61,-4.17%,7628020,0
10/18/2021,15.1,15.19,14.56,14.64,-0.64,-4.19%,6525240,0
10/11/2021,15.35,15.85,15.12,15.28,-0.26,-1.67%,6846200,0
10/04/2021,16.48,16.645,15.13,15.54,-0.77,-4.72%,7079140,0
09/27/2021,16.2,16.56,15.13,16.31,0.26,+1.62%,7915920,0
09/20/2021,15.11,16.17,14.65,16.05,0.83,+5.45%,8157140,0
09/13/2021,14.79,15.59,14.475,15.22,0.54,+3.68%,6095020,0
09/06/2021,14.86,15.69,14.6,14.68,-0.26,-1.74%,7638575,0
08/30/2021,15.5,15.55,14.83,14.94,-0.48,-3.11%,5545000,0
08/23/2021,14.45,15.57,14.44,15.42,1.26,+8.90%,6023220,0
08/16/2021,15.1,15.285,13.96,14.16,-1.19,-7.75%,6477620,0
08/09/2021,15.1,15.86,14.76,15.35,0.1,+0.66%,6542080,0
08/02/2021,14.86,15.43,14.34,15.25,0.46,+3.11%,7548320,0
07/26/2021,15.53,16.09,14.665,14.79,-0.74,-4.76%,9481680,0
07/19/2021,14.1,16.05,13.925,15.53,0.69,+4.65%,10536840,0
07/12/2021,16.26,16.58,14.78,14.84,-1.63,-9.90%,7426780,0
07/05/2021,17.13,17.26,15.7151,16.47,-0.63,-3.68%,7033800,0
06/28/2021,17.18,17.36,16.62,17.1,-0.08,-0.47%,8827880,0
06/21/2021,17.42,17.69,17.12,17.18,-0.13,-0.75%,5784300,0
06/14/2021,18.62,18.775,16.98,17.31,-1.34,-7.18%,7131880,0
06/07/2021,19.16,19.4,18.39,18.65,-0.41,-2.15%,6740200,0
05/31/2021,20.27,20.59,18.84,19.06,-1.04,-5.17%,7563350,0
