Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,143.44,144.04,137.81,138.62,-5.04,-3.51%,10504400,0
02/27/2023,142.11,143.76,139.54,143.66,2.73,+1.94%,9758780,0
02/20/2023,140.69,141.36,137.435,140.93,-1.31,-0.92%,9574625,0
02/13/2023,141.3,143.89,140.07,142.24,1.2,+0.85%,7845820,0
02/06/2023,140.23,144.34,138.59,141.04,-0.05,-0.04%,7767560,0
01/30/2023,139.23,142.33,138,141.09,0.77,+0.55%,9616580,0
01/23/2023,135.12,141.255,134.82,140.32,5.24,+3.88%,8275300,0
01/16/2023,141.17,141.54,133.55,135.08,-7.93,-5.55%,13520275,0
01/09/2023,138.6,143.49,134.8,143.01,5.07,+3.68%,11487200,0
01/02/2023,135.24,138.38,133.7004,137.94,3.84,+2.86%,10288125,0
12/26/2022,131.57,134.33,130.55,134.1,2.82,+2.15%,7529075,0
12/19/2022,129.65,132.98,128.41,131.28,1.99,+1.54%,7872340,0
12/12/2022,132.4,137.09,128.425,129.29,-2.87,-2.17%,12411380,0
12/05/2022,134.24,135.11,129.87,132.16,-3,-2.22%,10545100,0
11/28/2022,136.07,138.66,133.19,135.16,-1.58,-1.16%,10076880,0
11/21/2022,133.74,137.14,132.75,136.74,2.9,+2.17%,6880675,0
11/14/2022,134.8,135.73,131.28,133.84,-1.46,-1.08%,10262040,0
11/07/2022,131,136.17,129.22,135.3,4.62,+3.54%,11689020,0
10/31/2022,125.7,130.83,125.59,130.68,4.6,+3.65%,14011320,0
10/24/2022,122.07,126.28,120.89,126.08,3.85,+3.15%,11634320,0
10/17/2022,115.41,122.39,114.32,122.23,11.04,+9.93%,18737700,0
10/10/2022,106.73,115.24,101.28,111.19,5.21,+4.92%,18134220,0
10/03/2022,105.62,112.99,104.46,105.98,1.48,+1.42%,12481500,0
09/26/2022,108,109.605,104.398,104.5,-4.64,-4.25%,13999380,0
09/19/2022,116,118.73,107.16,109.14,-7.94,-6.78%,12049880,0
09/12/2022,120.62,121.55,114.88,117.08,-2.09,-1.75%,11306060,0
09/05/2022,114.33,120.05,112.07,119.17,5.46,+4.80%,10284200,0
08/29/2022,114,117.45,111.91,113.71,-0.96,-0.84%,10049420,0
08/22/2022,116.75,119.99,114.45,114.67,-3.96,-3.34%,9676160,0
08/15/2022,121.14,124.2389,118.11,118.63,-3.5,-2.87%,9831300,0
08/08/2022,116.25,122.25,114.18,122.13,6.37,+5.50%,11002380,0
08/01/2022,114.5,116.1899,111.0214,115.76,0.4,+0.35%,15257220,0
07/25/2022,115.84,116.5,113.03,115.36,0.6,+0.52%,10534540,0
07/18/2022,114.77,116.25,111.29,114.76,1.81,+1.60%,11349780,0
07/11/2022,113.55,115.18,106.06,112.95,-1.41,-1.23%,15448760,0
07/04/2022,110.77,115.65,109.3,114.36,0.31,+0.27%,10581675,0
06/27/2022,118.06,119.29,110.93,114.05,-3.27,-2.79%,11596080,0
06/20/2022,115.86,117.82,111.48,117.32,4.29,+3.80%,12055350,0
06/13/2022,116.86,117.95,111.87,113.03,-6.52,-5.45%,18378300,0
06/06/2022,131.09,132.39,119.32,119.55,-10.61,-8.15%,10596940,0
05/30/2022,130.18,133.15,128.67,130.16,-1.11,-0.85%,11188425,0
05/23/2022,120.46,131.27,120.45,131.27,13.93,+11.87%,16730100,0
05/16/2022,118.54,122.97,115.02,117.34,-1.75,-1.47%,12001940,0
05/09/2022,122.11,123.78,115.37,119.09,-4.63,-3.74%,14417380,0
05/02/2022,119.88,127.4,118.22,123.72,4.36,+3.65%,16173520,0
04/25/2022,126.01,127.115,118.9,119.36,-7.45,-5.87%,15893680,0
04/18/2022,125.67,133.51,125.54,126.81,0.69,+0.55%,13354560,0
04/11/2022,133,134.9,125.02,126.12,-7.37,-5.52%,18282325,0
04/04/2022,134.12,136.94,128.73,133.49,-1.82,-1.35%,13713780,0
03/28/2022,140,143.595,133.8,135.31,-6.61,-4.66%,12796120,0
03/21/2022,140.35,143.93,138.7301,141.92,1.82,+1.30%,11344340,0
03/14/2022,129.46,140.85,129.23,140.1,11.21,+8.70%,18389020,0
03/07/2022,132.17,135.24,127.27,128.89,-5.51,-4.10%,19994090,0
02/28/2022,143.55,145.06,132.4,134.4,-13.57,-9.17%,25044520,0
02/21/2022,150.6,153.3,139.78,147.97,-4.17,-2.74%,16788775,0
02/14/2022,152.73,156.1,150.3178,152.14,-1.78,-1.16%,11740880,0
02/07/2022,153.27,159.03,150.85,153.92,1.36,+0.89%,15080040,0
01/31/2022,145.64,153.5,144.67,152.56,5.95,+4.06%,14028180,0
01/24/2022,142.28,150.57,139.57,146.61,1.53,+1.05%,19957860,0
01/17/2022,155.78,155.78,144.27,145.08,-12.81,-8.11%,22573650,0
01/10/2022,169.07,169.81,156.895,157.89,-9.27,-5.55%,18225240,0
01/03/2022,159.86,168.58,159.51,167.16,8.81,+5.56%,15764800,0
12/27/2021,157.6,160.24,156.34,158.35,1.09,+0.69%,6336960,0
12/20/2021,154.51,159.12,151.84,157.26,0.5,+0.32%,10441800,0
12/13/2021,159.5,161.825,155.18,156.76,-3.06,-1.91%,17265440,0
12/06/2021,161.01,163.39,158.65,159.82,1.53,+0.97%,10867680,0
11/29/2021,163.31,164.78,157.19,158.29,-3.64,-2.25%,13787420,0
11/22/2021,164.16,169.44,158.82,161.93,1.01,+0.63%,12540700,0
11/15/2021,167.21,167.785,159.45,160.92,-5.94,-3.56%,9285020,0
11/08/2021,169.05,170.92,165.72,166.86,-1.19,-0.71%,7066340,0
11/01/2021,172.04,172.33,166.4901,168.05,-1.84,-1.08%,8112280,0
10/25/2021,172.71,172.96,167.34,169.89,-1.89,-1.10%,8674800,0
10/18/2021,166.48,172.09,165.91,171.78,5.17,+3.10%,9229040,0
10/11/2021,170.8,171.29,160.06,166.61,-3.61,-2.12%,15477760,0
10/04/2021,166.97,171.51,165.73,170.22,3.09,+1.85%,10698180,0
09/27/2021,165,169.3,162.79,167.13,4.09,+2.51%,11767700,0
09/20/2021,153.89,163.59,150.49,163.04,5.36,+3.40%,11698860,0
09/13/2021,158.53,161.34,156.26,157.68,0.32,+0.20%,13983720,0
09/06/2021,159.99,161.3814,157.22,157.36,-2.13,-1.34%,8339800,0
08/30/2021,163.21,163.49,158.97,159.49,-3.56,-2.18%,9157000,0
08/23/2021,155.33,163.83,155.24,163.05,8.33,+5.38%,9349580,0
08/16/2021,158.94,159.03,153.01,154.72,-5.26,-3.29%,8532820,0
08/09/2021,157.52,162.37,155.9,159.98,2.48,+1.57%,9034120,0
08/02/2021,152.03,157.82,149.52,157.5,5.72,+3.77%,10646580,0
07/26/2021,150.19,153.87,149.8,151.78,1.14,+0.76%,9502500,0
07/19/2021,148.55,153.65,145.71,150.64,-1.27,-0.84%,13898780,0
07/12/2021,154.35,159.1612,151.02,151.91,-3.86,-2.48%,16555340,0
07/05/2021,155.78,156.15,150.04,155.77,-0.26,-0.17%,14721000,0
06/28/2021,153.7,157.14,152.1203,156.03,1.98,+1.29%,12619200,0
06/21/2021,149.08,154.495,148.66,154.05,6.13,+4.14%,14973420,0
06/14/2021,160.15,160.33,147.56,147.92,-12.37,-7.72%,28608480,0
06/07/2021,167,167.1,159.06,160.29,-6.15,-3.70%,11163640,0
05/31/2021,165.87,167.44,164.661,166.44,2.2,+1.34%,10452300,0
05/24/2021,163.36,165.7,161.305,164.24,1.58,+0.97%,12221940,0
05/17/2021,163.37,165.5,158.64,162.66,-1.35,-0.82%,10987720,0
05/10/2021,161.5,164.45,157.03,164.01,2.77,+1.72%,13965760,0
05/03/2021,154.85,161.5,152.14,161.24,7.43,+4.83%,12617120,0
04/26/2021,150.78,155.28,150.11,153.81,3.62,+2.41%,11449100,0
04/19/2021,153.42,153.88,146.685,150.19,-3.11,-2.03%,13430500,0
04/12/2021,155.58,157.25,149.32,153.3,-2.98,-1.91%,15958760,0
04/05/2021,154.4,157.042,151.86,156.28,2.57,+1.67%,13588160,0
03/29/2021,152.12,155.87,151.04,153.71,-1.38,-0.89%,16013175,0
03/22/2021,152.8,155.45,148.96,155.09,-0.05,-0.03%,16492700,0
03/15/2021,156.35,161.69,151.19,155.14,-1.01,-0.65%,23035640,0
03/08/2021,152.47,157.63,149.82,156.15,5.24,+3.47%,14467000,0
03/01/2021,149.52,154.98,147.97,150.91,3.74,+2.54%,16390040,0
02/22/2021,146.87,154.9,146.51,147.17,-0.85,-0.57%,16148200,0
02/15/2021,143.55,148.84,142.4,148.02,6.77,+4.79%,11381150,0
02/08/2021,138.2,141.61,138.18,141.25,3.27,+2.37%,9319940,0
02/01/2021,129.4,139.49,128.475,137.98,9.31,+7.24%,11281100,0
01/25/2021,132.14,133.17,127.35,128.67,-5.12,-3.83%,14338820,0
01/18/2021,139.86,140.7,132.2,133.79,-4.85,-3.50%,15555175,0
01/11/2021,134.58,142.75,134.11,138.64,2.62,+1.93%,19049120,0
