Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/06/2023,65.23,65.4162,64.2,64.54,-0.8,-1.22%,1700600,0
02/27/2023,67.79,68.13,64.55,65.34,-2.34,-3.46%,2289820,0
02/20/2023,68.41,69.472,67.4725,67.68,-0.7,-1.02%,2009550,0
02/13/2023,67.71,68.46,66.52,68.38,0.69,+1.02%,2292540,0
02/06/2023,67.72,69.18,66.69,67.69,0.08,+0.12%,2695120,0
01/30/2023,67.82,68.67,66.45,67.61,0.01,+0.01%,2208420,0
01/23/2023,67.57,68.43,66.78,67.6,0.1,+0.15%,1741080,0
01/16/2023,70.05,70.25,66.68,67.5,-2.5,-3.57%,2333675,0
01/09/2023,72.35,72.67,69.945,70,-2.45,-3.38%,1814800,0
01/02/2023,71.08,72.555,69.9,72.45,1.21,+1.70%,2371975,0
12/26/2022,72.33,73.055,70.63,71.24,-0.94,-1.30%,1155550,0
12/19/2022,71.32,72.34,70.095,72.18,0.89,+1.25%,1500400,0
12/12/2022,73.06,74.72,70.71,71.29,-1.05,-1.45%,2470800,0
12/05/2022,73.12,74.08,72.18,72.34,-1.49,-2.02%,1801420,0
11/28/2022,72.71,73.87,71.35,73.83,1.03,+1.41%,2773720,0
11/21/2022,70.73,72.9,70.375,72.8,2.19,+3.10%,1690725,0
11/14/2022,69.63,70.95,68.39,70.61,1.63,+2.36%,1990820,0
11/07/2022,70,72.67,68.01,68.98,-0.88,-1.26%,2734740,0
10/31/2022,76.76,77.17,68.82,69.86,-6.93,-9.02%,4003000,0
10/24/2022,72.75,76.99,72.58,76.79,4.55,+6.30%,2120860,0
10/17/2022,72.26,74.09,71.46,72.24,0.26,+0.36%,1561440,0
10/10/2022,69.99,73.96,69.84,71.98,2.33,+3.35%,1847180,0
10/03/2022,70.07,72.52,69.221,69.65,-0.01,-0.01%,1832760,0
09/26/2022,72.85,74,69.57,69.66,-3.38,-4.63%,2220920,0
09/19/2022,71.11,74.11,70.88,73.04,1.96,+2.76%,2336080,0
09/12/2022,72.14,72.859,69.495,71.08,-0.98,-1.36%,2978460,0
09/05/2022,72.69,73.29,70.71,72.06,-0.64,-0.88%,2309550,0
08/29/2022,73.6,74.54,72.06,72.7,-1.15,-1.56%,1963800,0
08/22/2022,76.64,76.81,73.83,73.85,-2.82,-3.68%,1810360,0
08/15/2022,75.67,76.99,75.155,76.67,1.05,+1.39%,1935900,0
