Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/20/2023,40,40.25,39.28,39.61,-0.39,-0.98%,6244875,0
02/13/2023,39.82,40.41,39.28,40,0.37,+0.93%,8144420,0
02/06/2023,39.35,39.96,38.68,39.63,0.25,+0.63%,5825900,0
01/30/2023,39.78,40.79,39.215,39.38,-0.31,-0.78%,6938640,0
01/23/2023,40.03,40.46,39.08,39.69,-0.19,-0.48%,5490220,0
01/16/2023,42.36,42.62,39.305,39.88,-2.54,-5.99%,12095075,0
01/09/2023,42.39,42.8,42.14,42.42,-0.17,-0.40%,7653120,0
01/02/2023,40.53,42.78,40.285,42.59,1.88,+4.62%,6745250,0
12/26/2022,40.62,41.19,40.32,40.71,0.19,+0.47%,4569525,0
12/19/2022,40.03,40.67,39.48,40.52,0.6,+1.50%,5879260,0
12/12/2022,40.02,40.63,39.19,39.92,-0.02,-0.05%,6922000,0
12/05/2022,39.56,40.44,39.25,39.94,0.11,+0.28%,5482080,0
11/28/2022,39,40.1,38.365,39.83,0.93,+2.39%,6545020,0
11/21/2022,38.25,39.18,38.03,38.9,0.8,+2.10%,5142800,0
11/14/2022,37.14,38.14,36.55,38.1,1.11,+3.00%,6742620,0
11/07/2022,38.26,38.55,36.025,36.99,-1.03,-2.71%,6372640,0
10/31/2022,38.93,39.04,37.4923,38.02,-0.92,-2.36%,6654720,0
10/24/2022,35.77,39.05,35.7,38.94,3.73,+10.59%,10066540,0
10/17/2022,35.87,36.43,34.89,35.21,-0.52,-1.46%,7477080,0
10/10/2022,34,36.48,33.55,35.73,2.7,+8.17%,10261920,0
10/03/2022,33.57,34.69,32.81,33.03,-0.32,-0.96%,6652920,0
09/26/2022,33.73,34.45,32.73,33.35,-0.57,-1.68%,7961860,0
09/19/2022,34.7,35.16,33.46,33.92,-0.79,-2.28%,8309580,0
09/12/2022,36.67,36.877,34.26,34.71,-1.75,-4.80%,12928700,0
09/05/2022,37.4,37.61,35.82,36.46,-0.85,-2.28%,9838675,0
08/29/2022,37.95,38.48,37.04,37.31,-0.8,-2.10%,5960660,0
08/22/2022,38.48,39.015,38.1,38.11,-0.42,-1.09%,5471920,0
08/15/2022,38.49,38.95,37.805,38.53,-0.14,-0.36%,7053460,0
08/08/2022,37.79,39.33,37.66,38.67,1.1,+2.93%,5341020,0
08/01/2022,37.02,37.69,36.61,37.57,0.74,+2.01%,5448580,0
07/25/2022,38.37,38.68,35.3,36.83,-1.49,-3.89%,10888420,0
07/18/2022,38.23,39.12,37.8201,38.32,0.31,+0.82%,7914080,0
07/11/2022,38.48,39.435,37.83,38.01,-0.36,-0.94%,6635640,0
07/04/2022,38.48,38.65,37.47,38.37,-0.27,-0.70%,5869275,0
06/27/2022,38.37,39.01,37.55,38.64,0.24,+0.63%,6666800,0
06/20/2022,35.85,38.5,35.65,38.4,2.82,+7.93%,9175550,0
06/13/2022,37.02,37.34,34.83,35.58,-1.87,-4.99%,9979780,0
06/06/2022,36.37,38.055,36.21,37.45,1.15,+3.17%,9112580,0
05/30/2022,37.66,38.18,34.76,36.3,-1.53,-4.04%,16135625,0
05/23/2022,38.83,40,35.2,37.83,-0.54,-1.41%,11371700,0
05/16/2022,44.38,44.53,37.75,38.37,-5.92,-13.37%,9279180,0
05/09/2022,43.46,44.87,42.615,44.29,0.7,+1.61%,7582460,0
05/02/2022,42.72,43.67,41.29,43.59,0.96,+2.25%,6782700,0
04/25/2022,43.06,43.885,41.78,42.63,-0.55,-1.27%,7191440,0
04/18/2022,42.28,44.48,41.89,43.18,0.89,+2.10%,6734520,0
04/11/2022,41.3,42.4269,40.89,42.29,1.35,+3.30%,6987850,0
04/04/2022,39.81,41.99,38.9,40.94,1.01,+2.53%,5905920,0
03/28/2022,39.34,39.96,38.76,39.93,0.64,+1.63%,4587520,0
03/21/2022,37.59,39.36,37.45,39.29,1.67,+4.44%,5203540,0
03/14/2022,37.55,38.355,37.075,37.62,0.26,+0.70%,6626080,0
03/07/2022,39.49,40.87,37.15,37.36,-2.48,-6.22%,7854324,0
02/28/2022,38.88,40.17,38.21,39.84,0.11,+0.28%,7448360,0
02/21/2022,38.35,40.5765,38.06,39.73,1.27,+3.30%,13930775,0
02/14/2022,34.8,39.095,34.0701,38.46,3.73,+10.74%,11718360,0
02/07/2022,34.8,35.285,34.195,34.73,-0.02,-0.06%,6375380,0
01/31/2022,35.71,36.65,34.7,34.75,-1.3,-3.61%,8903340,0
01/24/2022,36.96,37.19,35.27,36.05,-0.95,-2.57%,7922260,0
01/17/2022,37.97,38.08,36.9,37,-1.02,-2.68%,6239425,0
01/10/2022,37.46,38.12,36.9,38.02,0.67,+1.79%,6109240,0
01/03/2022,35.85,37.42,35.6419,37.35,1.45,+4.04%,6380500,0
12/27/2021,35.16,36.05,34.93,35.9,0.65,+1.84%,3395840,0
12/20/2021,35.26,35.455,34.68,35.25,-0.26,-0.73%,5794750,0
12/13/2021,34.15,36.44,33.99,35.51,1.36,+3.98%,9782300,0
12/06/2021,33.89,34.645,33.02,34.15,0.51,+1.52%,9612980,0
11/29/2021,34.91,35,32.785,33.64,-1.19,-3.42%,10568940,0
11/22/2021,35.3,36.06,34.54,34.83,-0.51,-1.44%,11811075,0
11/15/2021,37.28,37.97,34.76,35.34,-1.88,-5.05%,9776360,0
11/08/2021,37.95,38.045,37,37.22,-0.62,-1.64%,4288460,0
11/01/2021,35.88,38.1999,35.79,37.84,1.95,+5.43%,5535500,0
10/25/2021,36.38,37.19,35.59,35.89,-0.49,-1.35%,6835960,0
10/18/2021,36.73,37.165,35.99,36.38,-0.6,-1.62%,3803820,0
10/11/2021,36.9,37.541,36.32,36.98,0.2,+0.54%,4254300,0
10/04/2021,36.68,37.765,36.61,36.78,0.1,+0.27%,4317520,0
09/27/2021,36.51,37.79,36.19,36.68,0.29,+0.80%,5480560,0
09/20/2021,36.37,36.675,35.765,36.39,-0.16,-0.44%,4382740,0
09/13/2021,36.57,37.14,35.93,36.55,0.22,+0.61%,6243200,0
09/06/2021,35.7,37.41,35.38,36.33,0.5,+1.40%,7207825,0
08/30/2021,36.29,36.43,35.54,35.83,-0.55,-1.51%,5628560,0
08/23/2021,36.69,36.865,35.81,36.38,-0.22,-0.60%,3810520,0
08/16/2021,37.86,38.26,36.26,36.6,-1.27,-3.35%,4470060,0
08/09/2021,37.4,38.08,36.9401,37.87,0.67,+1.80%,4432400,0
08/02/2021,38.6,39.115,36.41,37.2,-1.27,-3.30%,7637380,0
07/26/2021,39.22,39.72,38.375,38.47,-0.75,-1.91%,3746300,0
07/19/2021,39.2,39.9075,38.69,39.22,-0.08,-0.20%,3989200,0
07/12/2021,39.83,39.87,38.5899,39.3,-0.65,-1.63%,5040420,0
07/05/2021,40.59,40.59,39.22,39.95,-0.43,-1.06%,5001650,0
06/28/2021,40.755,41.02,40.22,40.38,-0.31,-0.76%,3315060,0
06/21/2021,40.59,40.935,39.77,40.69,0.19,+0.47%,4093960,0
06/14/2021,43.35,43.35,40.265,40.5,-2.92,-6.73%,6795760,0
06/07/2021,43.88,44.1,42.9164,43.42,-0.54,-1.23%,4358820,0
05/31/2021,43.72,44.335,43.57,43.96,0.37,+0.85%,3606550,0
05/24/2021,44.27,44.95,43.21,43.59,-0.54,-1.22%,4196880,0
05/17/2021,44,44.19,43.22,44.13,0.4,+0.91%,3740660,0
05/10/2021,43.53,44.425,42.63,43.73,0.25,+0.57%,4875380,0
05/03/2021,41.52,43.6,41.51,43.48,2.19,+5.30%,5649960,0
04/26/2021,40.38,41.98,39.89,41.29,0.88,+2.18%,6810280,0
04/19/2021,40.87,41.64,40.19,40.41,-0.59,-1.44%,5889380,0
04/12/2021,40.31,41.47,39.6597,41,0.86,+2.14%,7617400,0
04/05/2021,40.08,41.097,39.9,40.14,0.11,+0.27%,4554340,0
03/29/2021,39.97,41.2077,39.3709,40.03,0,0.00%,7081425,0
03/22/2021,39.04,40.14,38.03,40.03,0.89,+2.27%,7168820,0
03/15/2021,38.12,39.43,38.075,39.14,1.03,+2.70%,7571900,0
03/08/2021,37.82,39.71,37.81,38.11,0.26,+0.69%,7541460,0
03/01/2021,36.78,38.88,36.56,37.85,1.47,+4.04%,7409520,0
02/22/2021,37.36,38.5,36.37,36.38,-1.1,-2.93%,7596520,0
02/15/2021,35.37,39.22,35.15,37.48,2.09,+5.91%,13466150,0
02/08/2021,33.92,36.44,33.44,35.39,1.59,+4.70%,9022040,0
02/01/2021,33.46,34.89,32.73,33.8,0.29,+0.87%,7155800,0
01/25/2021,32.81,35.295,32.74,33.51,0.6,+1.82%,6298240,0
01/18/2021,32.14,33.03,31.855,32.91,0.92,+2.88%,5698025,0
01/11/2021,33.55,33.665,31.6,31.99,-1.63,-4.85%,8288600,0
01/04/2021,34.59,34.68,33.21,33.62,-1.04,-3.00%,6869160,0
12/28/2020,35.05,35.41,34.205,34.66,-0.32,-0.91%,3173400,0
12/21/2020,34.12,35.04,34.12,34.98,0.21,+0.60%,3513550,0
12/14/2020,34.16,35.3697,33.92,34.77,0.7,+2.05%,6340280,0
12/07/2020,34,34.6,33.45,34.07,-0.05,-0.15%,5094820,0
11/30/2020,32.615,34.15,32.465,34.12,1.28,+3.90%,5247540,0
11/23/2020,32.37,33.86,32.19,32.84,0.58,+1.80%,6041625,0
11/16/2020,31.61,32.42,31.325,32.26,0.65,+2.06%,7004120,0
11/09/2020,32.5,32.58,29.535,31.61,0.07,+0.22%,8370560,0
11/02/2020,31.04,32.5,30.86,31.54,0.95,+3.11%,6150340,0
10/26/2020,31.01,31.19,29.21,30.59,-0.78,-2.49%,7501020,0
10/19/2020,32.25,32.3756,31.06,31.37,-0.79,-2.46%,4736320,0
10/12/2020,31.43,32.87,31.21,32.16,1.05,+3.38%,6241600,0
10/05/2020,30.64,31.475,30.5,31.11,0.64,+2.10%,4391020,0
09/28/2020,29.65,30.58,29.36,30.47,1.34,+4.60%,5336460,0
