Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,50.202,54.25,50.202,53.69,2.32,+4.52%,385500,0
03/06/2023,53.7,53.9,51.02,51.37,-2.28,-4.25%,395300,0
02/27/2023,53.27,54.5,52.705,53.65,1.12,+2.13%,289000,0
02/20/2023,52.51,54.225,51.56,52.53,-1.01,-1.89%,396575,0
02/13/2023,53.98,55.47,53.11,53.54,-0.28,-0.52%,262420,0
02/06/2023,55.54,56.38,52.895,53.82,-2.71,-4.79%,493760,0
01/30/2023,50.84,58.805,50.27,56.53,4.87,+9.43%,761080,0
01/23/2023,50.07,52.99,49.92,51.66,1.93,+3.88%,390140,0
01/16/2023,50.99,51.95,48.39,49.73,-1.5,-2.93%,426500,0
01/09/2023,47.67,51.75,46.93,51.23,4.32,+9.21%,570200,0
01/02/2023,45.09,47.18,42.5394,46.91,2.65,+5.99%,586000,0
12/26/2022,44.44,45.065,43.19,44.26,-0.39,-0.87%,279300,0
12/19/2022,47.27,47.27,43.19,44.65,-2.49,-5.28%,412280,0
12/12/2022,46.77,50.645,46.375,47.14,0.08,+0.17%,605580,0
12/05/2022,47.66,48.33,46.05,47.06,-0.72,-1.51%,450020,0
11/28/2022,46.59,48.48,45.2,47.78,0.69,+1.47%,412460,0
11/21/2022,48,48.38,45.54,47.09,-1.27,-2.63%,432575,0
11/14/2022,46.52,48.8983,43,48.36,1.46,+3.11%,1140660,0
11/07/2022,42.72,47.855,42.21,46.9,4.44,+10.46%,698720,0
10/31/2022,41.96,42.96,39.83,42.46,0.37,+0.88%,445580,0
10/24/2022,40.35,43.28,39.89,42.09,1.74,+4.31%,501640,0
10/17/2022,38.01,40.5,37.38,40.35,2.85,+7.60%,506080,0
10/10/2022,40.82,40.82,35.95,37.5,-3.23,-7.93%,534280,0
10/03/2022,39.06,42.86,38.5,40.73,2.2,+5.71%,540460,0
09/26/2022,39.77,40.44,37.52,38.53,-1.3,-3.26%,593200,0
09/19/2022,40.4,42.4,38.94,39.83,-1.01,-2.47%,447048,0
09/12/2022,43.62,43.82,39.78,40.84,-2.4,-5.55%,677122,0
09/05/2022,42.43,44.05,41.19,43.24,0.74,+1.74%,592950,0
08/29/2022,43.75,44.92,40.25,42.5,-1.52,-3.45%,685700,0
08/22/2022,46.2,46.91,43.95,44.02,-3.46,-7.29%,523460,0
08/15/2022,48.99,50,46.24,47.48,-2.62,-5.23%,502180,0
08/08/2022,50,50.735,44.366,50.1,-0.38,-0.75%,802500,0
08/01/2022,48.04,51.95,45.18,50.48,2.36,+4.90%,1248400,0
07/25/2022,48.48,49.02,46.24,48.12,-0.78,-1.60%,693020,0
07/18/2022,45.87,50.87,44.7812,48.9,3.47,+7.64%,784380,0
07/11/2022,41.62,45.51,40.5695,45.43,3.47,+8.27%,458140,0
07/04/2022,37.74,42.3099,37.355,41.96,2.95,+7.56%,734976,0
06/27/2022,45.56,45.84,38.98,39.01,-5.87,-13.08%,730700,0
