Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/27/2023,44.76,52.97,43.3,52.15,7.81,+17.61%,1251400,0
02/20/2023,44.89,45.19,43.08,44.34,-1.28,-2.81%,466450,0
02/13/2023,46.72,47.8,45.23,45.62,-0.94,-2.02%,343460,0
02/06/2023,49.34,49.71,46.39,46.56,-3.18,-6.39%,320480,0
01/30/2023,46.6,50.6,45.84,49.74,2.74,+5.83%,413500,0
01/23/2023,45.84,48.23,45.35,47,1.16,+2.53%,248460,0
01/16/2023,45.6,47.55,45.01,45.84,0.03,+0.07%,326650,0
01/09/2023,43.1,46.03,42.39,45.81,2.82,+6.56%,317480,0
01/02/2023,40.46,44.04,39.5,42.99,3,+7.50%,317950,0
12/26/2022,39.61,40.3,38.17,39.99,0.41,+1.04%,295900,0
12/19/2022,40.16,40.46,37.98,39.58,-0.44,-1.10%,420740,0
12/12/2022,42.35,45.37,39.32,40.02,-1.72,-4.12%,1129980,0
12/05/2022,44.1,44.5,41.32,41.74,-3.05,-6.81%,301420,0
11/28/2022,44.26,45.21,42.13,44.79,0.14,+0.31%,334360,0
11/21/2022,42.45,44.86,41.12,44.65,2.12,+4.98%,363375,0
11/14/2022,40.69,43.8,40.29,42.53,1.53,+3.73%,481061,0
11/07/2022,37.9,41.24,35.33,41,3.05,+8.04%,675860,0
10/31/2022,36.42,39.02,34.26,37.95,1.16,+3.15%,595860,0
10/24/2022,34.99,38.15,34.81,36.79,1.89,+5.42%,435020,0
10/17/2022,35.38,36.48,33.52,34.9,0.23,+0.66%,442200,0
10/10/2022,32.69,35.47,32.2252,34.67,2.27,+7.01%,482400,0
10/03/2022,34.08,36.68,31.46,32.4,-1.21,-3.60%,603060,0
09/26/2022,35.04,36.31,32.12,33.61,-1.58,-4.49%,462300,0
09/19/2022,35.95,38.44,34.8749,35.19,-1.04,-2.87%,453960,0
09/12/2022,37.01,38.06,35.56,36.23,-0.45,-1.23%,447720,0
09/05/2022,36.84,37.0358,34.045,36.68,-0.03,-0.08%,470400,0
08/29/2022,38.4,39.47,36.42,36.71,-2.29,-5.87%,333640,0
08/22/2022,40.09,41.75,38.75,39,-1.9,-4.65%,341360,0
08/15/2022,40.28,42.36,39.75,40.9,0.49,+1.21%,325180,0
08/08/2022,38.61,40.469,36.515,40.41,1.77,+4.58%,418840,0
08/01/2022,36.01,39.4559,35.46,38.64,2.14,+5.86%,441180,0
07/25/2022,37.54,37.91,32.9,36.5,-1.67,-4.38%,446540,0
07/18/2022,35.69,38.18,35.54,38.17,2.95,+8.38%,311120,0
07/11/2022,33.81,35.85,33.37,35.22,1.71,+5.10%,413620,0
07/04/2022,32.18,34.31,32.0401,33.51,0.79,+2.41%,334850,0
06/27/2022,33.88,35.01,32.18,32.72,-1.03,-3.05%,392680,0
06/20/2022,33.04,34.585,32.16,33.75,1.52,+4.72%,559350,0
06/13/2022,34.48,34.7217,30.98,32.23,-3.14,-8.88%,622880,0
06/06/2022,40.2,40.35,35.19,35.37,-4.88,-12.12%,611580,0
05/30/2022,40.33,40.7499,38.935,40.25,0.39,+0.98%,423625,0
05/23/2022,36.42,40.26,35.56,39.86,3.63,+10.02%,440400,0
05/16/2022,42.67,44.61,35.62,36.23,-6.38,-14.97%,904020,0
05/09/2022,41.38,43.21,40.09,42.61,0.26,+0.61%,429720,0
05/02/2022,39.65,43.33,39.5,42.35,2.62,+6.59%,597320,0
04/25/2022,40.69,41.51,39.41,39.73,-1.21,-2.96%,506180,0
04/18/2022,40.47,43.675,40.24,40.94,0.39,+0.96%,556340,0
04/11/2022,40.07,42.27,39.89,40.55,0.22,+0.55%,592750,0
04/04/2022,41.18,42.72,39.005,40.33,-1.06,-2.56%,587080,0
03/28/2022,43.34,45.66,40.37,41.39,-2.12,-4.87%,486080,0
03/21/2022,46.06,46.43,42.8514,43.51,-2.64,-5.72%,228120,0
03/14/2022,44,46.4,42.34,46.15,2.45,+5.61%,397460,0
03/07/2022,42.71,45.08,39.75,43.7,0.45,+1.04%,534520,0
02/28/2022,49.23,50.225,42.32,43.25,-6.43,-12.94%,747660,0
02/21/2022,46.53,49.85,45.01,49.68,2.7,+5.75%,470875,0
