Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,14.75,15.195,14.4601,14.71,-0.29,-1.93%,11950,0
03/06/2023,15.54,15.54,14.36,15,-0.37,-2.41%,16400,0
02/27/2023,14.97,15.4661,14.34,15.37,0.37,+2.47%,9340,0
02/20/2023,16.07,16.07,14.3501,15,-1,-6.25%,11675,0
02/13/2023,15.4,16.0596,15.094,16,0.76,+4.99%,15540,0
02/06/2023,14.28,15.33,14.28,15.24,0.94,+6.57%,12520,0
01/30/2023,14.02,14.65,14.02,14.3,0.33,+2.36%,15760,0
01/23/2023,14.22,14.47,13.97,13.97,-0.11,-0.78%,14020,0
01/16/2023,14.32,14.75,13.84,14.08,-0.38,-2.63%,10975,0
01/09/2023,14.42,14.7,13.32,14.46,0.08,+0.56%,15200,0
01/02/2023,13.44,14.5468,13.075,14.38,1.08,+8.12%,20800,0
12/26/2022,12.53,13.47,12.45,13.3,0.55,+4.31%,31600,0
12/19/2022,13,13.27,12.19,12.75,-0.15,-1.16%,31680,0
12/12/2022,12.7,13.71,12.5501,12.9,0.34,+2.71%,37500,0
12/05/2022,13.31,14.45,11.74,12.56,-0.9,-6.69%,47300,0
11/28/2022,13.47,13.73,12.92,13.46,-0.14,-1.03%,44980,0
11/21/2022,13.44,13.895,12.6454,13.6,0.04,+0.29%,27525,0
11/14/2022,12.82,13.65,12.7795,13.56,0.54,+4.15%,29520,0
11/07/2022,12.8672,13.36,12.02,13.02,0.13,+1.01%,39400,0
10/31/2022,11.89,13,11.7397,12.89,0.91,+7.60%,48340,0
10/24/2022,11.61,12.13,11.6,11.98,0.29,+2.48%,59380,0
10/17/2022,12.02,12.255,11.25,11.69,-0.16,-1.35%,54300,0
10/10/2022,11.81,12.38,11.72,11.85,0.04,+0.34%,79900,0
10/03/2022,11.4413,12.4,11.4413,11.81,0.28,+2.43%,49740,0
09/26/2022,11.7039,11.79,11.32,11.53,-0.19,-1.62%,44700,0
09/19/2022,11.27,12.23,11.13,11.72,0.45,+3.99%,79160,0
09/12/2022,12.15,12.24,11.15,11.27,-0.73,-6.08%,113640,0
09/05/2022,13.4,13.44,11.95,12,-1.315,-9.88%,65650,0
08/29/2022,14.2,14.23,13.2001,13.315,-0.885,-6.23%,61320,0
08/22/2022,15.14,15.1899,13.98,14.2,-0.78,-5.21%,19560,0
08/15/2022,15.68,15.98,14.94,14.98,-0.64,-4.10%,26900,0
08/08/2022,15.38,15.73,15.13,15.62,0.37,+2.43%,33780,0
08/01/2022,16.04,16.04,15.19,15.25,-0.79,-4.93%,39480,0
07/25/2022,15.5,16.46,15.4,16.04,0.54,+3.48%,42440,0
07/18/2022,15.98,16.43,15.39,15.5,-0.53,-3.31%,40900,0
07/11/2022,15.74,16.1,15.04,16.03,0.35,+2.23%,26700,0
07/04/2022,15.22,15.85,15.05,15.68,0.47,+3.09%,19675,0
06/27/2022,16.08,16.25,14.91,15.21,-0.84,-5.23%,27280,0
06/20/2022,16.05,16.43,15.8001,16.05,0.24,+1.52%,30875,0
06/13/2022,16.76,16.76,15.69,15.81,-1.19,-7.00%,37720,0
06/06/2022,17.39,18.35,16.18,17,-0.58,-3.30%,32460,0
05/30/2022,17.57,18.1,17.04,17.58,-0.13,-0.73%,11175,0
05/23/2022,16.33,18.0899,16.2412,17.71,1.29,+7.86%,24960,0
05/16/2022,16.15,17.075,16.15,16.42,0.17,+1.05%,19800,0
05/09/2022,15.84,16.42,15.69,16.25,0.22,+1.37%,29540,0
05/02/2022,16.28,16.63,15.37,16.03,-0.15,-0.93%,45640,0
04/25/2022,17.12,17.12,15.805,16.18,-0.83,-4.88%,58120,0
04/18/2022,18.43,18.95,16.7,17.01,-1.52,-8.20%,69480,0
04/11/2022,19.55,19.55,18.5,18.53,-0.95,-4.88%,17425,0
04/04/2022,19.2,19.64,19.0213,19.48,0.34,+1.78%,16700,0
03/28/2022,18.64,19.65,18.37,19.14,0.68,+3.68%,22260,0
03/21/2022,19.62,19.62,18.26,18.46,-1.11,-5.67%,14940,0
03/14/2022,18.45,19.696,18.04,19.57,1.1,+5.96%,25560,0
03/07/2022,19.96,20.21,18.34,18.47,-1.59,-7.93%,22580,0
02/28/2022,19.23,20.27,18.83,20.06,0.72,+3.72%,28200,0
02/21/2022,19.39,19.49,18.26,19.34,-0.2,-1.02%,30375,0
02/14/2022,19.25,19.66,18.73,19.54,0.18,+0.93%,27380,0
02/07/2022,21.26,21.3,19,19.36,-1.84,-8.68%,26540,0
01/31/2022,20.21,21.37,20.21,21.2,1.03,+5.11%,38320,0
01/24/2022,20.22,20.76,19.44,20.17,-0.3,-1.47%,62960,0
01/17/2022,20.63,20.8907,20.27,20.47,-0.3,-1.44%,45275,0
01/10/2022,21.8,21.89,20.3924,20.77,-1.13,-5.16%,32360,0
01/03/2022,21.75,22.13,21.41,21.9,0.2,+0.92%,32620,0
12/27/2021,21.63,22.2121,21.16,21.7,0,0.00%,47180,0
12/20/2021,20.35,21.715,20.04,21.7,1.32,+6.48%,71875,0
12/13/2021,19.42,20.61,19.02,20.38,0.81,+4.14%,82600,0
12/06/2021,19,20.25,19,19.57,0.48,+2.51%,65640,0
11/29/2021,20.79,20.79,18.58,19.09,-1.96,-9.31%,76380,0
11/22/2021,19.51,21.5,18.85,21.05,1.17,+5.89%,57450,0
11/15/2021,21.62,21.62,19.35,19.88,-1.63,-7.58%,48560,0
11/08/2021,21.13,21.7,20.88,21.51,0.49,+2.33%,44200,0
11/01/2021,20.86,21.6,20.48,21.02,0.11,+0.53%,47880,0
10/25/2021,19.95,20.93,19.95,20.91,0.91,+4.55%,54160,0
10/18/2021,20.38,20.96,19.95,20,-0.38,-1.86%,60300,0
10/11/2021,21.15,21.37,20.32,20.38,-0.82,-3.87%,53360,0
10/04/2021,20.86,21.33,20.21,21.2,0.28,+1.34%,62740,0
09/27/2021,20.91,21.29,20.5,20.92,-0.15,-0.71%,90840,0
09/20/2021,21.06,21.38,20.77,21.07,-0.5,-2.32%,88500,0
09/13/2021,20.85,21.8,20.8,21.57,0.77,+3.70%,98531,0
09/06/2021,23.9,24.005,20,20.8,-3.21,-13.37%,197275,0
08/30/2021,24.52,24.53,23.58,24.01,-0.35,-1.44%,53420,0
08/23/2021,23.585,24.71,23.2,24.36,1.18,+5.09%,64700,0
08/16/2021,23.57,23.67,22.5,23.18,-0.53,-2.24%,92300,0
08/09/2021,24.4,24.93,23.6289,23.71,-0.49,-2.02%,66840,0
08/02/2021,27.17,27.22,23.5701,24.2,-2.76,-10.24%,137200,0
07/26/2021,25.105,27.2399,24.39,26.96,2.14,+8.62%,166920,0
07/19/2021,22.76,25.42,22.03,24.82,1.96,+8.57%,332460,0
07/12/2021,23.77,23.96,22.5,22.86,-0.97,-4.07%,146640,0
07/05/2021,22.11,23.9,21.1,23.83,1.8,+8.17%,208875,0
06/28/2021,22.79,22.87,21.62,22.03,-0.55,-2.44%,128600,0
06/21/2021,21.56,23.18,21.35,22.58,0.93,+4.30%,447360,0
06/14/2021,23.17,23.65,20.82,21.65,-1.48,-6.40%,359780,0
06/07/2021,25.39,26.94,22.7,23.13,-1.92,-7.66%,322220,0
05/31/2021,25.3,25.9199,24.61,25.05,-0.17,-0.67%,98175,0
05/24/2021,26.04,26.04,24.77,25.22,-0.52,-2.02%,89400,0
05/17/2021,25.68,26.86,24.9213,25.74,-0.28,-1.08%,114060,0
05/10/2021,26.85,27.08,24.6,26.02,-0.81,-3.02%,139140,0
05/03/2021,28.23,28.48,26.115,26.83,-1.38,-4.89%,113400,0
04/26/2021,29.25,29.64,28.01,28.21,-0.86,-2.96%,139440,0
04/19/2021,27.5,29.57,26.93,29.07,1.71,+6.25%,184340,0
04/12/2021,28.25,29.18,25.98,27.36,-0.72,-2.56%,243220,0
04/05/2021,27.78,28.93,26.8,28.08,0.59,+2.15%,135940,0
03/29/2021,27.33,28.37,26.45,27.49,0.22,+0.81%,121950,0
03/22/2021,29.39,29.45,25.421,27.27,-2.15,-7.31%,151680,0
03/15/2021,29.81,30.17,27.36,29.42,-0.74,-2.45%,171080,0
03/08/2021,29.31,31.56,28.7,30.16,1.01,+3.46%,170340,0
03/01/2021,31.75,33.68,26.3022,29.15,-2.24,-7.14%,254140,0
02/22/2021,35.26,35.92,29.2,31.39,-3.91,-11.08%,321140,0
02/15/2021,40.65,41.78,34.6,35.3,-5.65,-13.80%,428075,0
02/08/2021,38.42,47.9482,37.77,40.95,4.45,+12.19%,758360,0
02/01/2021,28.01,36.77,28,36.5,8.7,+31.29%,473180,0
01/25/2021,27.36,28.4999,26.33,27.8,0.63,+2.32%,272980,0
01/18/2021,28.86,28.99,26.51,27.17,-1.27,-4.47%,324925,0
01/11/2021,30.86,31.31,27.69,28.44,-2.81,-8.99%,321020,0
01/04/2021,28.22,31.95,27.04,31.25,4,+14.68%,472900,0
12/28/2020,27.7,30.39,26.23,27.25,0.05,+0.18%,479225,0
12/21/2020,23.03,27.35,23.02,27.2,3.76,+16.04%,419350,0
12/14/2020,22.5,23.65,22.26,23.44,1.16,+5.21%,366300,0
12/07/2020,20.73,24.24,19.97,22.28,1.88,+9.22%,603020,0
11/30/2020,20,20.66,19.41,20.4,0.31,+1.54%,210420,0
11/23/2020,20.69,21.04,19.32,20.09,-0.69,-3.32%,238675,0
11/16/2020,20,21.26,19.78,20.78,0.16,+0.78%,219240,0
11/09/2020,20.63,21.1,18.5,20.62,-2.24,-9.80%,480320,0
11/02/2020,21.83,24.07,21.65,22.86,1.29,+5.98%,178900,0
10/26/2020,24.56,25.33,21.46,21.57,-2.97,-12.10%,253000,0
10/19/2020,24.2,25.44,23.3638,24.54,0.49,+2.04%,276940,0
10/12/2020,23.25,24.47,23.03,24.05,1.19,+5.21%,319400,0
10/05/2020,21.25,23.41,21.05,22.86,1.54,+7.22%,443680,0
09/28/2020,18.5,21.39,18.25,21.32,2.88,+15.62%,417220,0
09/21/2020,19.56,20.03,17.88,18.44,-1.25,-6.35%,451860,0
09/14/2020,21.85,22.19,19.16,19.69,-2.31,-10.50%,743840,0
09/07/2020,21.45,23.29,20.36,22,0.75,+3.53%,1068650,0
08/31/2020,22.62,22.7541,20.18,21.25,-1.29,-5.72%,544660,0
08/24/2020,21.59,22.75,20.75,22.54,0.88,+4.06%,359260,0
08/17/2020,20.4,21.8,19.76,21.66,1.23,+6.02%,457000,0
08/10/2020,24.11,24.835,19.6626,20.43,-3.01,-12.84%,982280,0
08/03/2020,23.73,27.68,23.09,23.44,-0.22,-0.93%,984200,0
07/27/2020,22.44,24.45,22.3115,23.66,1.33,+5.96%,681620,0
07/20/2020,22.76,23.85,21.91,22.33,-0.19,-0.84%,840340,0
07/13/2020,24.41,24.645,20.72,22.52,-1.73,-7.13%,1020940,0
07/06/2020,22.81,26.3,22.8,24.25,1.67,+7.40%,845620,0
06/29/2020,22.51,23.54,21.38,22.58,0.14,+0.62%,692425,0
06/22/2020,21.4,25.56,19.8,22.44,1.04,+4.86%,2095980,0
06/15/2020,20.44,22.67,18.7,21.4,1.7,+8.63%,1449540,0
06/08/2020,15.07,23.99,14.76,19.7,5.04,+34.38%,3500220,0
06/01/2020,14.43,15.55,14.14,14.66,0.16,+1.10%,333620,0
05/25/2020,13.27,15.13,12.89,14.5,1,+7.41%,496325,0
05/18/2020,13.62,14.07,12.93,13.5,-0.3,-2.17%,340880,0
05/11/2020,13.11,14.2941,12.44,13.8,0.69,+5.26%,709940,0
05/04/2020,13.79,14.24,13.06,13.11,-0.75,-5.41%,419360,0
04/27/2020,15.22,15.58,13.04,13.86,-1.36,-8.94%,747220,0
04/20/2020,16.15,17.4,14.75,15.22,-0.9,-5.58%,930760,0
04/13/2020,14.5,18,14.5,16.12,1.73,+12.02%,1437400,0
04/06/2020,17.47,18.41,14.1589,14.39,-3.09,-17.68%,801900,0
03/30/2020,16.33,18.33,15.07,17.48,1.92,+12.34%,1304600,0
03/23/2020,16.86,17.2959,13.8,15.56,-0.96,-5.81%,730940,0
03/16/2020,16.5,18.8,15.53,16.52,-0.58,-3.39%,1099240,0
