Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,5.54,6,5.2,5.51,-0.07,-1.25%,55720,0
03/06/2023,7.23,7.23,5.52,5.58,-1.59,-22.18%,66240,0
02/27/2023,7.8811,8.465,7.075,7.17,-0.74,-9.36%,26420,0
02/20/2023,8.05,8.63,7.7,7.91,-0.11,-1.37%,46125,0
02/13/2023,7.82,8.08,7.563,8.02,0.2,+2.56%,25060,0
02/06/2023,7.92,8.19,7.55,7.82,-0.17,-2.13%,36360,0
01/30/2023,7.99,8.11,7.8,7.99,-0.01,-0.13%,43620,0
01/23/2023,7.89,8.23,7.73,8,-0.07,-0.87%,55140,0
01/16/2023,8,8.1658,7.7,8.07,0.26,+3.33%,28050,0
01/09/2023,7.8,8.0299,7.5,7.81,0.12,+1.56%,44704,0
01/02/2023,7.69,8,7.52,7.69,0.1,+1.32%,18000,0
12/26/2022,7.78,7.93,7.52,7.59,-0.29,-3.68%,21225,0
12/19/2022,8.1439,8.8999,7.63,7.88,-0.44,-5.29%,29740,0
12/12/2022,8.65,9.11,8.2,8.32,-0.41,-4.70%,57380,0
12/05/2022,8.67,10.25,8.46,8.73,-0.09,-1.02%,38820,0
11/28/2022,7.88,9.42,7.6,8.82,0.82,+10.25%,29760,0
11/21/2022,8.21,8.39,7.62,8,-0.25,-3.03%,21625,0
11/14/2022,7.13,8.41,6.9,8.25,1.14,+16.03%,49640,0
11/07/2022,6.95,7.285,6.56,7.11,0.08,+1.14%,34500,0
10/31/2022,8.71,8.85,6.6114,7.03,-1.66,-19.10%,44060,0
10/24/2022,7.15,8.69,6.7301,8.69,1.58,+22.22%,17620,0
10/17/2022,6.81,7.32,6.6,7.11,0.26,+3.80%,14420,0
10/10/2022,6.78,7.0247,6.38,6.85,0,0.00%,20100,0
10/03/2022,6.9,7.21,6.475,6.85,0.08,+1.18%,19400,0
09/26/2022,7.9864,7.9864,6.74,6.77,-0.79,-10.45%,19420,0
09/19/2022,8.46,9.02,7.42,7.56,-0.79,-9.46%,22400,0
09/12/2022,8.5,8.78,7.93,8.35,-0.14,-1.65%,24020,0
09/05/2022,8.58,8.84,8.36,8.49,-0.1,-1.16%,20175,0
08/29/2022,9.35,9.54,8.51,8.59,-0.76,-8.13%,24540,0
08/22/2022,9.53,9.7597,9.35,9.35,-0.24,-2.50%,13640,0
08/15/2022,9.55,10.01,8.93,9.59,-0.09,-0.93%,16300,0
08/08/2022,9.01,9.7342,9.01,9.68,0.63,+6.96%,18280,0
08/01/2022,10.64,10.7,8.9064,9.05,-1.71,-15.89%,41668,0
07/25/2022,10.8,10.8847,10,10.76,-0.04,-0.37%,18160,0
07/18/2022,10.54,11.1,10.4,10.8,0.35,+3.35%,20660,0
07/11/2022,10.89,10.89,10.18,10.45,-0.46,-4.22%,20340,0
07/04/2022,11.14,11.3079,10.835,10.91,-0.28,-2.50%,27750,0
06/27/2022,11.87,11.95,10.5,11.19,-0.59,-5.01%,46220,0
06/20/2022,10.54,12.14,10.48,11.78,1.47,+14.26%,58375,0
06/13/2022,11.22,11.5799,10.2,10.31,-1.1,-9.64%,40780,0
06/06/2022,11.5,12.44,11.365,11.41,0.06,+0.53%,31740,0
05/30/2022,11.47,11.625,11.12,11.35,-0.13,-1.13%,60775,0
05/23/2022,11.09,11.88,10.57,11.48,0.39,+3.52%,62320,0
05/16/2022,11.4,11.96,10.965,11.09,-0.31,-2.72%,69420,0
05/09/2022,10.95,11.91,10.87,11.4,0.24,+2.15%,56380,0
05/02/2022,12.53,12.68,11.15,11.16,-1.46,-11.57%,53980,0
04/25/2022,12.65,13.18,12.44,12.62,-0.15,-1.17%,24120,0
04/18/2022,13.03,13.56,12.73,12.77,-0.26,-2.00%,23080,0
04/11/2022,12.07,13.38,12.06,13.03,0.97,+8.04%,36275,0
04/04/2022,12.92,12.92,11.99,12.06,-0.93,-7.16%,47600,0
03/28/2022,12.72,13.789,12.67,12.99,0.19,+1.48%,32840,0
03/21/2022,13.57,13.74,12.13,12.8,-0.63,-4.69%,42660,0
