Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/30/2023,14.38,14.6356,13.12,13.81,-0.59,-4.10%,246806,0
01/23/2023,12.91,14.98,12.52,14.4,1.61,+12.59%,402251,0
01/16/2023,13.43,13.49,12.36,12.79,-0.7,-5.19%,250200,0
01/09/2023,12.85,13.58,12.55,13.49,0.95,+7.58%,268560,0
01/02/2023,12.38,12.82,11.65,12.54,0.3,+2.45%,198550,0
12/26/2022,11.93,12.6307,11.56,12.24,0.16,+1.32%,218500,0
12/19/2022,11.5,12.3,11.5,12.08,0.58,+5.04%,131180,0
12/12/2022,11.61,12.01,11.25,11.5,-0.1,-0.86%,171680,0
12/05/2022,11.73,12.44,11.26,11.6,-0.24,-2.03%,149220,0
11/28/2022,10.93,12.217,10.7214,11.84,0.8,+7.25%,199140,0
11/21/2022,10.32,11.441,10.27,11.04,0.5,+4.74%,111150,0
11/14/2022,10.05,10.76,10,10.54,0.49,+4.88%,120520,0
11/07/2022,9.86,11,9.42,10.05,0.67,+7.14%,217360,0
10/31/2022,7.6,9.61,7.485,9.38,1.86,+24.73%,125100,0
10/24/2022,7.05,7.58,6.55,7.52,0.26,+3.58%,115080,0
10/17/2022,7.93,8.02,7.03,7.26,-0.63,-7.98%,42440,0
10/10/2022,8.13,8.39,7.6,7.89,-0.31,-3.78%,56880,0
10/03/2022,7.64,8.3299,7.54,8.2,0.51,+6.63%,64520,0
09/26/2022,7.2,7.84,7.06,7.69,0.49,+6.81%,57500,0
09/19/2022,7.64,7.84,6.97,7.2,-0.65,-8.28%,73900,0
09/12/2022,8.72,8.93,7.8,7.85,-0.3,-3.68%,121320,0
09/05/2022,7.85,8.18,7.25,8.15,0.31,+3.95%,132100,0
08/29/2022,8.39,8.82,7.511,7.84,-0.46,-5.54%,85400,0
08/22/2022,7.57,8.49,7.37,8.3,0.72,+9.50%,110180,0
08/15/2022,6.4,7.76,6.3,7.58,1.2,+18.81%,77980,0
08/08/2022,6.0601,6.5,6.0601,6.38,0.32,+5.28%,35700,0
08/01/2022,6.11,6.2999,5.95,6.06,0.01,+0.17%,33840,0
07/25/2022,5.7,6.45,5.7,6.05,0.31,+5.40%,42500,0
07/18/2022,5.88,5.99,5.69,5.74,-0.18,-3.04%,48860,0
07/11/2022,6.27,6.365,5.5,5.92,-0.33,-5.28%,33220,0
07/04/2022,6.05,6.34,5.93,6.25,0.22,+3.65%,30900,0
06/27/2022,5.93,6.46,5.86,6.03,0.17,+2.90%,49460,0
06/20/2022,5.8882,5.9125,5.41,5.86,0.14,+2.45%,69000,0
06/13/2022,6.06,6.5291,5.56,5.72,-0.45,-7.29%,42940,0
06/06/2022,6.82,6.99,6.17,6.17,-0.68,-9.93%,24580,0
05/30/2022,6.8,7.085,6.52,6.85,0.08,+1.18%,30525,0
05/23/2022,6.75,6.82,6.22,6.77,0.02,+0.30%,35620,0
05/16/2022,7.03,7.07,6.56,6.75,-0.18,-2.60%,29520,0
05/09/2022,6.87,7.34,6.81,6.93,-0.1,-1.42%,37360,0
05/02/2022,7.14,7.85,6.95,7.03,-0.16,-2.23%,77420,0
04/25/2022,6,7.46,5.73,7.19,1.19,+19.83%,129680,0
04/18/2022,6.17,6.4699,5.86,6,-0.23,-3.69%,48900,0
04/11/2022,5.87,6.37,5.78,6.23,0.33,+5.59%,87700,0
04/04/2022,5.98,6.25,5.73,5.9,-0.02,-0.34%,66260,0
03/28/2022,6.29,6.36,5.71,5.92,-0.35,-5.58%,86400,0
03/21/2022,6.05,6.55,6.05,6.27,0.13,+2.12%,27180,0
03/14/2022,6.77,6.77,6.03,6.14,-0.8,-11.53%,202380,0
03/07/2022,6.66,7.12,6.46,6.94,0.18,+2.66%,32080,0
02/28/2022,6.41,7,6.4,6.76,0.26,+4.00%,29800,0
02/21/2022,6.97,7.02,6.46,6.5,-0.48,-6.88%,71475,0
02/14/2022,6.99,7.2445,6.91,6.98,-0.04,-0.57%,28520,0
02/07/2022,7.26,7.3566,6.93,7.02,-0.26,-3.57%,42960,0
01/31/2022,7.33,7.6,6.9,7.28,-0.055,-0.75%,60440,0
01/24/2022,6.17,7.3698,5.96,7.335,1.175,+19.07%,95840,0
01/17/2022,6.38,6.43,6.05,6.16,-0.23,-3.60%,36775,0
01/10/2022,6.6,6.8,6.38,6.39,-0.26,-3.91%,29680,0
01/03/2022,6.91,7.07,6.62,6.65,-0.21,-3.06%,41560,0
12/27/2021,6.64,6.97,6.52,6.86,0.19,+2.85%,44100,0
12/20/2021,6.7,6.73,6.3101,6.67,-0.08,-1.19%,76700,0
12/13/2021,7,7.12,6.65,6.75,-0.31,-4.39%,68460,0
12/06/2021,7.09,7.26,6.99,7.06,-0.03,-0.42%,34540,0
11/29/2021,7.54,7.54,6.985,7.09,-0.39,-5.21%,59760,0
11/22/2021,7.61,7.675,7.09,7.48,-0.08,-1.06%,33650,0
11/15/2021,8.03,8.09,7.4201,7.56,-0.49,-6.09%,61800,0
11/08/2021,8,8.18,7.87,8.05,0.05,+0.63%,41200,0
11/01/2021,7.49,8.566,7.49,8,0.56,+7.53%,93220,0
10/25/2021,7.91,7.95,7.41,7.44,-0.39,-4.98%,86000,0
10/18/2021,7.83,8.19,7.75,7.83,-0.07,-0.89%,24800,0
10/11/2021,8.15,8.37,7.87,7.9,-0.25,-3.07%,38400,0
10/04/2021,8.12,8.355,7.7967,8.15,0.03,+0.37%,40780,0
09/27/2021,7.61,8.21,7.55,8.12,0.52,+6.84%,49800,0
09/20/2021,7.5,7.6499,7.31,7.6,-0.02,-0.26%,39060,0
09/13/2021,7.8,7.98,7.33,7.62,-0.18,-2.31%,96760,0
09/06/2021,7.98,8.23,7.58,7.8,-0.19,-2.38%,78075,0
08/30/2021,8.49,8.5,7.87,7.99,-0.44,-5.22%,71260,0
08/23/2021,7.97,8.495,7.97,8.43,0.56,+7.12%,60900,0
08/16/2021,7.36,8.05,6.98,7.87,0.46,+6.21%,116940,0
08/09/2021,7.18,7.52,7.12,7.41,0.19,+2.63%,36580,0
08/02/2021,7.54,7.64,7.09,7.22,-0.31,-4.12%,46140,0
07/26/2021,7.34,7.69,7.34,7.53,0.21,+2.87%,34280,0
07/19/2021,7.06,7.62,7.03,7.32,0.17,+2.38%,67740,0
07/12/2021,7.51,7.79,7.15,7.15,-0.33,-4.41%,79140,0
07/05/2021,7.93,8.04,7.265,7.48,-0.29,-3.73%,122050,0
06/28/2021,8.3,8.32,7.75,7.77,-0.47,-5.70%,159060,0
06/21/2021,7.74,8.48,7.32,8.24,0.57,+7.43%,1065980,0
06/14/2021,8.36,8.42,7.56,7.67,-0.75,-8.91%,288080,0
06/07/2021,8.89,8.89,8.35,8.42,-0.34,-3.88%,127440,0
05/31/2021,9.3,9.405,8.75,8.76,-0.54,-5.81%,103875,0
05/24/2021,8.25,9.81,8.05,9.3,1.04,+12.59%,144080,0
05/17/2021,8.13,8.39,7.88,8.26,0.08,+0.98%,74080,0
05/10/2021,7.91,8.2,7.41,8.18,0.32,+4.07%,129900,0
05/03/2021,8.23,8.31,7.57,7.86,-0.36,-4.38%,124820,0
04/26/2021,9.31,9.42,8.17,8.22,-1.08,-11.61%,119040,0
04/19/2021,8.65,9.41,8.35,9.3,0.66,+7.64%,149220,0
04/12/2021,8.6,8.79,8.35,8.64,0.04,+0.47%,71060,0
04/05/2021,9.05,9.2,8.44,8.6,-0.34,-3.80%,107120,0
03/29/2021,8.55,9.19,8.065,8.94,0.39,+4.56%,109075,0
03/22/2021,8.6,8.8798,7.95,8.55,-0.02,-0.23%,128380,0
03/15/2021,10.2,10.2,8.57,8.57,-1.85,-17.75%,177140,0
03/08/2021,9.85,10.54,9.82,10.42,0.58,+5.89%,72760,0
03/01/2021,9.25,10.1293,9.04,9.84,0.82,+9.09%,73740,0
02/22/2021,9.57,9.87,8.9,9.02,-0.57,-5.94%,81620,0
02/15/2021,9.5686,9.69,9.05,9.59,0.01,+0.10%,79375,0
02/08/2021,10.24,10.58,9.4,9.58,-0.46,-4.58%,113560,0
02/01/2021,9.64,10.2356,9.46,10.04,0.435,+4.53%,117460,0
01/25/2021,10.89,11.2199,9.37,9.605,-1.145,-10.65%,205320,0
01/18/2021,8.84,10.75,8.5,10.75,2.03,+23.28%,201275,0
